"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[14868][14875]","INTRAPLATE VOLCANICS","ADRIA DOMAIN / SOUTHERN ALPS / VENETO VOLCANIC PROVINCE","CALCERANICA","46","46","11.24","11.24","SUBAERIAL","","","s CALC38 [14868] / s CALC 38 [14875]","MONCHIQUITE [14868] / LAMPROPHYRE [14875]","","","UPPER [14868]","CRETACEOUS [14868]","","","","","VEIN","","","","","WHOLE_ROCK [14868] ","36.98","2.64","","12.42","","1.71","10.26","","11.43","8.74","0.18","","1.66","3.95","1.62","","","","","","","","","","","","","","","","8.43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","231","179","","","46","165","","","","","","","","38","1434","36","319","88","","","","","","","","","","","","","910","80","173","","","","","","","","","","","","","","","","","","","","","","","","","10","","0.512893","","","0.703667","","","","","","","","","","","","","","","","","","","","","106683-CALC38",
"[11431]","INTRAPLATE VOLCANICS","ADRIA DOMAIN / ADRIATIC FORELAND / ABRUZZO / MONTE QUEGLIA","","42","42","14","14","SUBAERIAL","","","s QUEGLIA1 [11431]","LAMPROPHYRE [11431]","","","","EOCENE [11431]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [11431] ","34.6","3.38","","8.38","","","","8.98","15.92","17.66","0.18","","0.53","0.38","0.98","","","","","","","","","","","","","","","","8.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","373","392","","","56","242","","","","","","","","21","811","31.1","362","122","","","","","","","","","","","","","1089","89","150","17.3","66.8","13.3","3.84","11.2","1.47","7.31","1.21","3.01","0.4","2.16","0.28","","","","","","","","","","","","","9.49","2.99","","","","","","","","","","","","","","","","","","","","","","","","","336640",
"[11431]","INTRAPLATE VOLCANICS","ADRIA DOMAIN / ADRIATIC FORELAND / ABRUZZO / MONTE QUEGLIA","","42","42","14","14","SUBAERIAL","","","s QUEGLIA2 [11431]","LAMPROPHYRE [11431]","","","","EOCENE [11431]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [11431] ","36.37","3.63","","8.28","","","","9.23","12.87","19.04","0.18","","0.5","0.35","0.95","","","","","","","","","","","","","","","","7.57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","404","461","","","51","280","","","","","","","","18","593","30","343","125","","","","","","","","","","","","","","82.4","150","17.3","67.5","13.5","4.21","11.9","1.48","7.33","1.22","3.14","0.38","2.06","0.3","","","","","","","","","","","","","9.4","3","","","","","","","","","","","","","","","","","","","","","","","","","336641",
"[11431]","INTRAPLATE VOLCANICS","ADRIA DOMAIN / ADRIATIC FORELAND / APULIA / PIETRE NERE","","39.5","40.5","16","16.5","SUBAERIAL","","","s 88 [11431]","NOT GIVEN [11431]","","","","PALEOGENE [11431]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [11431] ","44.59","2.79","","11.06","","","","11.79","10.95","8.86","0.18","","2.37","3.19","0.79","","","","","","","","","","","","","","","","2.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","235","302","","","44","206","","","","","","","","31","575","26.4","269","74","","","","","","","","","","","","","707","52.5","101","12","50.9","10","2.86","9.1","1.25","5.84","0.98","2.61","0.32","1.79","0.25","","","","","","","","","","","","","6.4","1.58","","","","","","","","","","","","","","","","","","","","","","","","","336642",
"[11431]","INTRAPLATE VOLCANICS","ADRIA DOMAIN / ADRIATIC FORELAND / APULIA / PIETRE NERE","","39.5","40.5","16","16.5","SUBAERIAL","","","s 124 [11431]","NOT GIVEN [11431]","","","","PALEOGENE [11431]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [11431] ","40.38","2.79","","10.27","","","","9.25","16.76","9.18","0.16","","0.74","5.09","0.82","","","","","","","","","","","","","","","","3.52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","234","112","","","25","59","","","","","","","","18","688","26.4","284","89","","","","","","","","","","","","","391","67.1","129","16","66.2","12.5","3.61","10.5","1.41","6.74","1.01","2.58","0.3","1.75","0.24","","","","","","","","","","","","","9.06","2.46","","","","","","","","","","","","","","","","","","","","","","","","","336643",
"[11431]","INTRAPLATE VOLCANICS","ADRIA DOMAIN / ADRIATIC FORELAND / APULIA / PIETRE NERE","","39.5","40.5","16","16.5","SUBAERIAL","","","s 125 [11431]","NOT GIVEN [11431]","","","","PALEOGENE [11431]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [11431] ","42.56","2.78","","10.45","","","","8.88","15.98","10.05","0.14","","1.5","3.91","0.83","","","","","","","","","","","","","","","","1.92","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","232","232","","","29","69","","","","","","","","22","680","23.7","282","68","","","","","","","","","","","","","673","54","109","13.5","58","11.3","3.43","10","1.34","5.86","0.95","2.32","0.26","1.65","0.22","","","","","","","","","","","","","5.79","1.46","","","","","","","","","","","","","","","","","","","","","","","","","336644",
"[8363][8199]","INTRAPLATE VOLCANICS","ADRIA DOMAIN / ADRIATIC FORELAND / APULIA / PIETRE NERE","","39.5","40.5","16","16.5","SUBAERIAL","","","s B-1 [8363]","SYENITE, ALKALINE [8363] / NOT GIVEN [8199]","","","","CENOZOIC [8363]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [8363] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.3","485","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.9","","","","","","","0.70335","","19.94","","15.72","","39.49","","","","","","","","","","","","","","","37000-B-1",
"[8097][8363]","INTRAPLATE VOLCANICS","ADRIA DOMAIN / ADRIATIC FORELAND / APULIA / PIETRE NERE","","39.5","40.5","16","16.5","SUBAERIAL","","","s PDPN [8097]","SYENITE, ALKALINE [8097]","","","","NEOGENE [8097] / CENOZOIC [8363]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [8097] ","38.5","","","","","","","","","","","","3.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79","1102","","","","","","","","","","","","","","","","","","245","","117","22.6","6.86","18.9","","12.5","","4.9","","3.23","","","","","","","","","","","","5.73","","13","3.3","0.51283","","","0.70355","","20.009","","15.708","","39.738","","","","","","","","","","","","","","","37000-PDPN",
"[11999]","INTRAPLATE VOLCANICS","ADRIA DOMAIN / ADRIATIC FORELAND / ABRUZZO / MONTE QUEGLIA","","42","42","14","14","SUBAERIAL","","","s A [11999]","LAMPROPHYRE [11999]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [11999] ","34","3.53","","10.57","","6.25","4.88","","12.61","13.1","0.15","","0.98","0.19","1.26","","4.65","3.47","","3.82","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","470812",
"[11999]","INTRAPLATE VOLCANICS","ADRIA DOMAIN / ADRIATIC FORELAND / ABRUZZO / MONTE QUEGLIA","","42","42","14","14","SUBAERIAL","","","s B [11999]","LAMPROPHYRE [11999]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [11999] ","34.03","3.45","","7.57","","3.98","5.85","","12.61","18.22","0.15","","0.78","0.23","0.96","","5.92","3.14","","2.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","470813",
