"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[7150]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","ALDAN SHIELD - ARCHEAN / OLONDO GREENSTONE BELT / ANCIENT MAFIC-ULTRAMAFIC OLONDO ASSOCIATION","OLEKMA RIVER NEAR THE TIREKH-MASTAKH RAPIDS, OLEKMA BLOCK","57.03","57.03","120.72","120.72","SUBAERIAL","","","s 86155 [7150]","KOMATIITE [7150]","3232000000 [7150]","3230000000 [7150]","","ARCHEAN [7150]","","","","FINE-GRAINED [7150] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [7150] ","48.5","0.93","","9.13","","","","10.9","11","18.2","0.26","","0.22","0.77","0.09","","","","","","","","","","","","","","","","2.61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","240","2690","","","85","910","","","","","","","","2","12","14","64","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","180417",
"[7150]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","ALDAN SHIELD - ARCHEAN / OLONDO GREENSTONE BELT / ANCIENT MAFIC-ULTRAMAFIC OLONDO ASSOCIATION","OLEKMA RIVER NEAR THE TIREKH-MASTAKH RAPIDS, OLEKMA BLOCK","57.03","57.03","120.72","120.72","SUBAERIAL","","","s 86156 [7150]","KOMATIITE [7150]","3230000000 [7150]","3230000000 [7150]","","ARCHEAN [7150]","","","","FINE-GRAINED [7150] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [7150] ","47.4","0.93","","9.14","","","","12.7","9.79","19","0.22","","0.2","0.4","0.08","","","","","","","","","","","","","","","","1.87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","230","2650","","","100","1020","","","","","","","","0","14","14","62","","","","","","","","","","","","","","","5","12.3","","7.84","2.25","0.678","2.68","","2.49","","1.31","","1.1","0.163","","","","","","","","","","","","","","","0.512091","","","","","","","","","","","","","","","","","","","","","","","","180418",
"[7150]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","ALDAN SHIELD - ARCHEAN / OLONDO GREENSTONE BELT / ANCIENT MAFIC-ULTRAMAFIC OLONDO ASSOCIATION","OLEKMA RIVER NEAR THE TIREKH-MASTAKH RAPIDS, OLEKMA BLOCK","57.03","57.03","120.72","120.72","SUBAERIAL","","","s 86157 [7150]","KOMATIITE [7150]","3230000000 [7150]","3230000000 [7150]","","ARCHEAN [7150]","","","","FINE-GRAINED [7150] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [7150] ","46.2","0.98","","9.56","","","","13.3","8.96","19.7","0.27","","0.27","0.69","0.07","","","","","","","","","","","","","","","","3.39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","230","2630","","","100","1050","","","","","","","","0","14","15","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","180419",
"[7150]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","ALDAN SHIELD - ARCHEAN / OLONDO GREENSTONE BELT / ANCIENT MAFIC-ULTRAMAFIC OLONDO ASSOCIATION","OLEKMA RIVER NEAR THE TIREKH-MASTAKH RAPIDS, OLEKMA BLOCK","57.03","57.03","120.72","120.72","SUBAERIAL","","","s 8692 [7150]","KOMATIITE [7150]","3230000000 [7150]","3230000000 [7150]","","ARCHEAN [7150]","","","","FINE-GRAINED [7150] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [7150] ","49.2","0.57","","6.51","","","","13.5","9.1","20.6","0.23","","0.04","0.1","0.15","","","","","","","","","","","","","","","","1.74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","120","2240","","","140","1120","","","","","","","","0","15","18","31","","","","","","","","","","","","","","","1.82","5.89","","5.18","1.73","0.504","2.21","","2.47","","1.48","","1.35","","","","","","","","","","","","","","","","0.512475","","","","","","","","","","","","","","","","","","","","","","","","180420",
"[7150]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","ALDAN SHIELD - ARCHEAN / OLONDO GREENSTONE BELT / ANCIENT MAFIC-ULTRAMAFIC OLONDO ASSOCIATION","OLEKMA RIVER NEAR THE TIREKH-MASTAKH RAPIDS, OLEKMA BLOCK","57.03","57.03","120.72","120.72","SUBAERIAL","","","s 8694 [7150]","KOMATIITE [7150]","3230000000 [7150]","3230000000 [7150]","","ARCHEAN [7150]","","","","FINE-GRAINED [7150] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [7150] ","49.2","0.57","","6.8","","","","13.3","9.05","20.6","0.22","","0.03","0.07","0.16","","","","","","","","","","","","","","","","1.79","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","200","1880","","","115","1060","","","","","","","","2","24","12","30","","","","","","","","","","","","","","","1.85","5.55","","4.68","1.46","0.407","1.94","","2.14","","1.26","","1.18","0.176","","","","","","","","","","","","","","","0.51254","","","","","","","","","","","","","","","","","","","","","","","","180421",
"[7150]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","ALDAN SHIELD - ARCHEAN / OLONDO GREENSTONE BELT / ANCIENT MAFIC-ULTRAMAFIC OLONDO ASSOCIATION","OLEKMA RIVER NEAR THE TIREKH-MASTAKH RAPIDS, OLEKMA BLOCK","57.03","57.03","120.72","120.72","SUBAERIAL","","","s 8697 [7150]","KOMATIITE [7150]","3230000000 [7150]","3230000000 [7150]","","ARCHEAN [7150]","","","","FINE-GRAINED [7150] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [7150] ","47.4","0.56","","7.37","","","","13.4","8.16","21.9","0.32","","0.07","0.69","0.15","","","","","","","","","","","","","","","","2.74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","160","2150","","","100","1130","","","","","","","","2","17","11","32","","","","","","","","","","","","","","","1.41","4.36","","3.92","1.34","0.374","1.74","","1.95","","1.18","","1.09","0.165","","","","","","","","","","","","","","","0.512946","","","","","","","","","","","","","","","","","","","","","","","","180422",
"[7150]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","ALDAN SHIELD - ARCHEAN / OLONDO GREENSTONE BELT / ANCIENT MAFIC-ULTRAMAFIC OLONDO ASSOCIATION","OLEKMA RIVER NEAR THE TIREKH-MASTAKH RAPIDS, OLEKMA BLOCK","57.03","57.03","120.72","120.72","SUBAERIAL","","","s 8698 [7150]","KOMATIITE [7150]","3230000000 [7150]","3230000000 [7150]","","ARCHEAN [7150]","","","","OLIVINE CUMULATE [7150] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [7150] ","44.6","0.4","","5.63","","","","13","7.4","28.1","0.3","","0.02","0.5","0.03","","","","","","","","","","","","","","","","7.26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","120","2515","","","120","1680","","","","","","","","0","30","9","23","","","","","","","","","","","","","","","2.68","2.51","","0.877","0.163","1.18","1.35","","0.822","","0.778","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","180423",
"[7150]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","ALDAN SHIELD - ARCHEAN / OLONDO GREENSTONE BELT / ANCIENT MAFIC-ULTRAMAFIC OLONDO ASSOCIATION","OLEKMA RIVER NEAR THE TIREKH-MASTAKH RAPIDS, OLEKMA BLOCK","57.03","57.03","120.72","120.72","SUBAERIAL","","","s 8699 [7150]","KOMATIITE [7150]","3230000000 [7150]","3230000000 [7150]","","ARCHEAN [7150]","","","","OLIVINE CUMULATE [7150] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [7150] ","45.4","0.42","","5.8","","","","13.2","7.56","27","0.32","","0.03","0.22","0.05","","","","","","","","","","","","","","","","7.39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","120","2630","","","120","1620","","","","","","","","0","25","7","22","","","","","","","","","","","","","","","0.884","2.78","","2.6","0.877","0.173","1.23","","1.4","","0.851","","0.798","","","","","","","","","","","","","","","","0.512909","","","","","","","","","","","","","","","","","","","","","","","","180424",
"[7150]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","ALDAN SHIELD - ARCHEAN / OLONDO GREENSTONE BELT / ANCIENT MAFIC-ULTRAMAFIC OLONDO ASSOCIATION","OLEKMA RIVER NEAR THE TIREKH-MASTAKH RAPIDS, OLEKMA BLOCK","57.03","57.03","120.72","120.72","SUBAERIAL","","","s 86100 [7150]","KOMATIITE [7150]","3230000000 [7150]","3230000000 [7150]","","ARCHEAN [7150]","","","","CUMULATE [7150] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [7150] ","49.1","0.4","","5.57","","","","12.8","5.46","26.3","0.3","","0.04","0.2","0.04","","","","","","","","","","","","","","","","3.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","120","2730","","","110","1580","","","","","","","","0","15","8","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","180425",
"[7150]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","ALDAN SHIELD - ARCHEAN / OLONDO GREENSTONE BELT / ANCIENT MAFIC-ULTRAMAFIC OLONDO ASSOCIATION","OLEKMA RIVER NEAR THE TIREKH-MASTAKH RAPIDS, OLEKMA BLOCK","57.03","57.03","120.72","120.72","SUBAERIAL","","","s 86101 [7150]","KOMATIITE [7150]","3230000000 [7150]","3230000000 [7150]","","ARCHEAN [7150]","","","","FINE-GRAINED [7150] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [7150] ","49.2","0.44","","6","","","","12.6","7.32","24.6","0.29","","0.05","0.26","0.04","","","","","","","","","","","","","","","","2.96","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","130","3010","","","100","1445","","","","","","","","1","23","9","24","","","","","","","","","","","","","","","0.958","3.11","","2.96","1.03","0.22","1.33","","1.52","","0.901","","0.828","0.124","","","","","","","","","","","","","","","0.51292","","","","","","","","","","","","","","","","","","","","","","","","180426",
