"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[16383]","CONVERGENT MARGIN","ALEUTIAN ARC / ALEUTIAN BACK ARC / PRIBILOF ISLANDS - ST. GEORGE / PACIFIC OCEAN","COASTLINE, NEAR LANDING BEACH, ST. GEORGE VILLAGE","56.62","56.62","-169.55","-169.55","SUBAERIAL","","","s G-200 [16383]","DIORITE, QUARTZ [16383]","","","","EOCENE [16383]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [16383] ","65.6","0.36","","18.1","","","","4.8","2.83","1.16","0.14","","2.42","4.34","0.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","3","","","","","","","3","","68","389","17","130","0","","","","","","","","","","","","","763","18","35","","18","3.6","0.95","","0.33","","","","","1.5","0.22","3.6","0.5","","","","","","","","","","","4.1","","","","","","","","","","","","","","","","","","","","","","","","","","1001651",
"[6565][7092]","CONVERGENT MARGIN","ALEUTIAN ARC / ALASKA PENINSULA / SPURR VOLCANIC COMPLEX / ANCESTRAL MOUNT SPURR / PACIFIC OCEAN","","61.299","61.299","-152.251","-152.251","SUBAERIAL","","","s 85CNS17 [6565]","NOT GIVEN [6565]","","","","","","","1953","","VOLCANIC ROCK","","","","","WHOLE_ROCK [6565] ","54.89","0.86","","18.8","","","","7.68","8.02","4.58","0.15","","0.95","3.81","0.26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.6","0.83","11","","","","","","","","","","","","21","","248","50","","","","29","73","111","21.3","","","","","18.07","745","18.5","92.5","5.1","","","","","","","","","","","","0.6","401","12.02","26.93","3.78","16.45","3.92","1.25","3.56","0.55","3.17","0.63","1.75","0.27","1.7","0.27","2.44","0.28","","","","","","","","","4.42","","1.43","0.349","0.512868","","","0.703697","","18.833","","15.573","","38.421","","","","","","","","","","","","","","","10510-85CNS17",
"[6565][7092]","CONVERGENT MARGIN","ALEUTIAN ARC / ALASKA PENINSULA / SPURR VOLCANIC COMPLEX / ANCESTRAL MOUNT SPURR / PACIFIC OCEAN","","61.299","61.299","-152.251","-152.251","SUBAERIAL","","","s 92JBS02 [6565]","NOT GIVEN [6565]","","","","","","","1992","","VOLCANIC ROCK","","","","","WHOLE_ROCK [6565] ","56.64","0.68","","19.08","","","","7.03","7.59","3.58","0.15","","0.87","4.06","0.29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.2","0.8","2.7","","","","","","","","","","","","12","","171","38","","","","26","50","86","20.6","","","","","13.29","669","16.6","89.9","4.78","","","","","","","","","","","","0.39","405","10.58","23.59","3.28","14.07","3.34","1.11","3.2","0.48","2.84","0.58","1.61","0.26","1.65","0.26","2.37","0.26","","","","","","","","","4.55","","0.872","0.25","0.512868","","","0.703656","","18.782","","15.564","","38.36","","","","","","","","","","","","","","","10510-92JBS02",
"[2504][2502][14905][2505]","CONVERGENT MARGIN","ALEUTIAN ARC / ALASKA PENINSULA / COLD BAY / FROSTY PEAK / PACIFIC OCEAN","VENTED DIKE(?)","55.0867","55.0867","-162.8297","-162.8297","SUBAERIAL","","","s CB-7 [2504] / s CB 7 [14905] / s 7 [2505]","ANDESITE [2504]","","","","QUATERNARY [14905]","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [2504] ","59.21","0.62","","18.02","","3.57","3.22","","7.26","2.96","0.16","","1.25","3.47","0.23","","0.21","0.09","","0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","","100","10","","","16","","20","","16","","","","","","360","","80","","","","","","","","","","","","","","640","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.51299","","","0.70352","","18.903","","15.57","","38.449","","","","","","","","0.283114","","","","","","","10581-CB-7",
"[2504][14905][2505]","CONVERGENT MARGIN","ALEUTIAN ARC / ALASKA PENINSULA / COLD BAY / MOUNT BALDY (MOUNT SIMEON) / PACIFIC OCEAN","6 KM WEST OF TOWN OF COLD BAY","55.9","55.9","-162.78","-162.78","SUBAERIAL","","","s CB-3 [2504] / s CB 3 [14905] / s 3 [2505]","ANDESITE [2504] / ANDESITE, BASALTIC [14905]","","","","QUATERNARY [14905]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [2504] ","56.5","0.65","","17.98","","4.02","3.26","","8.49","4.05","0.15","","1.16","3.23","0.19","","","","","","","","","","","","","","","","0.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","137","36","","","20.5","7","188","64","","","","","","33","672","19","118","2.9","","","","","","","","","","","","","512","7","24","","16","","","","","","","","","","","","","","","","","","","","","8.2","","5.3","","0.513008","","","0.70321","","18.8","","15.56","","38.337","","","","","","","","0.283118","","","","","","","10589-CB-3",
"[2504][14905][2505]","CONVERGENT MARGIN","ALEUTIAN ARC / ALASKA PENINSULA / COLD BAY / MOUNT BALDY (MOUNT SIMEON) / PACIFIC OCEAN","BASAL UNIT","55.17","55.17","-162.78","-162.78","SUBAERIAL","","","s CB-5 [2504] / s CB 5 [14905] / s 5 [2505]","ANDESITE [2504]","","","","QUATERNARY [14905]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [2504] ","57.87","0.61","","18.54","","3.95","3","","8","3.19","0.16","","1.08","3.55","0.2","","0.09","","","","","","","","","","","","","","0.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","108","13","","","18","","26","61","","","","","","32","556","21","128","2.7","","","","","","","","","","","","","530","12","31","","19","","","","","","","","","","","","","","","","","","","","","9.2","","5.9","","0.513","","","0.70321","","","","","","","","","","","","","","0.283115","","","","","","","10590-CB-5",
"[2243]","CONVERGENT MARGIN","ALEUTIAN ARC / ALASKA PENINSULA / UPPER ALASKA PENINSULA / SOUTHWEST TRIDENT / PACIFIC OCEAN","KATMAI NATIONAL PARK","58.2","58.2","-155.1","-155.1","SUBAERIAL","","","s UA200 [2243]","NOT GIVEN [2243]","","","","","","","","","VOLCANIC ROCK","","","","","VOLCANIC GLASS [2243] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.61","940","19.8","43","","20","6.32","0.88","","1.01","","","","","4.84","0.79","5.04","0.4","","","","","","","","","","","6.2","2.5","","","","","","","","","","","","","","","","","","","","","","","","","107054",
"[2565]","CONVERGENT MARGIN","ALEUTIAN ARC / CENTRAL ALEUTIAN ARC / SEGUAM / SEGUAM / TURF POINT FORMATION / PACIFIC OCEAN","WESTERN TURF POINT FORMATION","52.27","52.27","-172.58","-172.58","SUBAERIAL","","","s B87-49 [2565]","ANDESITE [2565]","","","","","","","","PORPHYRITIC [2565] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [2565] ","58.3","1.14","","15.9","","1.72","8.81","","7.33","3.29","0.17","","0.84","3.59","0.18","","","0.21","","","","","","","","","","","","","-0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","","","","5","","","","","","","","22.01","282","23","58","","","","","","","","","","","","","","384","5.68","15.12","","11.56","3.35","1.01","3.84","","4.29","","2.61","","2.41","0.37","","","","","","","","","","","7.2","","","","0.512958","","","0.70366","","18.923","","15.581","","38.479","","","","","","","","","","","","","","","10886-B87-49",
"[2565]","CONVERGENT MARGIN","ALEUTIAN ARC / CENTRAL ALEUTIAN ARC / SEGUAM / SEGUAM / TURF POINT FORMATION / PACIFIC OCEAN","WESTERN TURF POINT FORMATION","52.27","52.27","-172.58","-172.58","SUBAERIAL","","","s B87-50 [2565]","ANDESITE [2565]","","","","","","","","PORPHYRITIC [2565] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [2565] ","62.7","0.92","","15.8","","1.49","4.84","","5.49","2.39","0.14","","1.42","4.07","0.22","","","0.15","","","","","","","","","","","","","0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","6","","","","","","","","59.96","252","25","125","","","","","","","","","","","","","","606","7.28","20.91","","16.04","4.34","1.13","4.55","","4.69","","3.17","","3.26","0.49","","","","","","","","","","","11.9","","","","0.512975","","","0.70364","","18.925","","15.578","","38.472","","","","","","","","","","","","","","","10886-B87-50",
"[2565]","CONVERGENT MARGIN","ALEUTIAN ARC / CENTRAL ALEUTIAN ARC / SEGUAM / SEGUAM / TURF POINT FORMATION / PACIFIC OCEAN","WESTERN TURF POINT FORMATION","52.27","52.27","-172.58","-172.58","SUBAERIAL","","","s B87-52 [2565]","DACITE [2565]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [2565] ","66","0.96","","15","","1.63","4.38","","4.13","1.46","0.13","","1.79","4.5","0.19","","","0.09","","","","","","","","","","","","","-0.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","1","","","","","","","","46.26","221","32","138","","","","","","","","","","","","","","810","10.76","30.84","","18.92","5.09","1.22","4.86","","5.48","","3.7","","3.89","0.59","","","","","","","","","","","11.9","","","","0.51296","","","0.70368","","18.925","","15.577","","38.464","","","","","","","","","","","","","","","10886-B87-52",
