"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[19915]","INTRAPLATE VOLCANICS","ALPS_SARDINIA_PALEOZOIC / SOUTHERN ALPS / ADIGE VALLEY / ATESINA (ATHESIAN) VOLCANIC COPMPLEX / ORA FORMATION","SOUTHERN INTRA-CALDERA","46.5","46.7","11.15","11.35","SUBAERIAL","","","s SIC [19915]","RHYOLITE [19915]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19915] ","74.12","0.29","","13.6","","","","2.11","0.6","0.78","0.08","","4.59","3.51","0.07","","","","","","","","","","","","","","","","1.51","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.2","","20.4","6.67","","","4.43","4.78","","44.7","","","","","","224.1","91.4","34.9","193.9","12.3","","","","","","","","","","","","","322.7","26.8","57","","","","","","","","","","","","","","","","","","","","","","","25","","21.8","","","","","","","","","","","","","","","","","","","","","","","","","","1014271",
"[19915]","INTRAPLATE VOLCANICS","ALPS_SARDINIA_PALEOZOIC / SOUTHERN ALPS / ADIGE VALLEY / ATESINA (ATHESIAN) VOLCANIC COPMPLEX / ORA FORMATION","NORTHERN INTRA-CALDERA","46.5","46.7","11.15","11.35","SUBAERIAL","","","s NIC [19915]","RHYOLITE [19915]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19915] ","74.84","0.23","","14.06","","","","1.48","0.69","0.38","0.07","","5.9","2.14","0.04","","","","","","","","","","","","","","","","1.82","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.7","","13.83","5.8","","","4","4.08","","35","","","","","","259.96","59.23","46.11","194.48","12.48","","","","","","","","","","","","","413.22","36.85","74.15","","","","","","","","","","","","","","","","","","","","","","","24.48","","20.15","","","","","","","","","","","","","","","","","","","","","","","","","","1014272",
"[19915]","INTRAPLATE VOLCANICS","ALPS_SARDINIA_PALEOZOIC / SOUTHERN ALPS / ADIGE VALLEY / ATESINA (ATHESIAN) VOLCANIC COPMPLEX / ORA FORMATION","NORTHERN EXTRA-CALDERA","46.5","46.7","11.15","11.35","SUBAERIAL","","","s NEC [19915]","RHYOLITE [19915]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19915] ","76.73","0.1","","13.35","","","","1.27","0.38","0.25","0.06","","5.71","1.99","0.01","","","","","","","","","","","","","","","","1.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.22","","","","","","","4.5","","32.44","","","","","","283.78","23.8","53.78","110.33","14.11","","","","","","","","","","","","","102.11","23.33","51.9","","","","","","","","","","","","","","","","","","","","","","","23.6","","21","","","","","","","","","","","","","","","","","","","","","","","","","","1014273",
"[19915]","INTRAPLATE VOLCANICS","ALPS_SARDINIA_PALEOZOIC / SOUTHERN ALPS / ADIGE VALLEY / ATESINA (ATHESIAN) VOLCANIC COPMPLEX / ORA FORMATION","SOUTHERN INTRA-CALDERA","46.5","46.7","11.15","11.35","SUBAERIAL","","","s 14 LOWER [19915]","RHYOLITE [19915]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19915] ","","0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.9","149.9","10.9","","","","","","","","","","","","","","21.2","60.7","4.5","17.5","3.9","0.4","3.7","0.6","3.9","0.8","2.4","0.4","2.7","0.4","4.3","1.6","","","","","","","","","","","19.7","3.8","","","","","","","","","","","","","","","","","","","","","","","","","1014274",
"[19915]","INTRAPLATE VOLCANICS","ALPS_SARDINIA_PALEOZOIC / SOUTHERN ALPS / ADIGE VALLEY / ATESINA (ATHESIAN) VOLCANIC COPMPLEX / ORA FORMATION","SOUTHERN INTRA-CALDERA","46.5","46.7","11.15","11.35","SUBAERIAL","","","s 14 UPPER [19915]","RHYOLITE [19915]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19915] ","","0.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.3","180.2","11.8","","","","","","","","","","","","","","30.8","64.4","6.4","24.9","5","0.7","4.4","0.7","4.2","0.8","2.2","0.4","2.4","0.4","4.7","1.4","","","","","","","","","","","17.9","4.1","","","","","","","","","","","","","","","","","","","","","","","","","1014275",
"[19915]","INTRAPLATE VOLCANICS","ALPS_SARDINIA_PALEOZOIC / SOUTHERN ALPS / ADIGE VALLEY / ATESINA (ATHESIAN) VOLCANIC COPMPLEX / ORA FORMATION","SOUTHERN INTRA-CALDERA","46.5","46.7","11.15","11.35","SUBAERIAL","","","s 13 UPPER [19915]","RHYOLITE [19915]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19915] ","","0.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.7","198.8","12.2","","","","","","","","","","","","","","37.1","94.3","7.9","27.3","5.2","0.9","4.3","0.7","3.9","0.7","2.1","0.3","2.1","0.3","5.3","1.2","","","","","","","","","","","18.2","3.3","","","","","","","","","","","","","","","","","","","","","","","","","1014276",
"[19915]","INTRAPLATE VOLCANICS","ALPS_SARDINIA_PALEOZOIC / SOUTHERN ALPS / ADIGE VALLEY / ATESINA (ATHESIAN) VOLCANIC COPMPLEX / ORA FORMATION","NORTHERN INTRA-CALDERA","46.5","46.7","11.15","11.35","SUBAERIAL","","","s 2 LOWER [19915]","RHYOLITE [19915]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19915] ","","0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.6","135.7","11.1","","","","","","","","","","","","","","35.5","72","7.5","28.1","5.5","0.3","4.9","0.8","5.1","1","2.9","0.5","3.1","0.5","4.1","1.2","","","","","","","","","","","17.8","3.9","","","","","","","","","","","","","","","","","","","","","","","","","1014277",
"[19915]","INTRAPLATE VOLCANICS","ALPS_SARDINIA_PALEOZOIC / SOUTHERN ALPS / ADIGE VALLEY / ATESINA (ATHESIAN) VOLCANIC COPMPLEX / ORA FORMATION","NORTHERN INTRA-CALDERA","46.5","46.7","11.15","11.35","SUBAERIAL","","","s 2 UPPER [19915]","RHYOLITE [19915]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19915] ","","0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","186.9","10.9","","","","","","","","","","","","","","48.2","92.2","9.5","35.7","6.5","0.6","5.3","0.8","4.5","0.9","2.4","0.4","2.4","0.4","5","1.1","","","","","","","","","","","21.1","3.9","","","","","","","","","","","","","","","","","","","","","","","","","1014278",
"[19915]","INTRAPLATE VOLCANICS","ALPS_SARDINIA_PALEOZOIC / SOUTHERN ALPS / ADIGE VALLEY / ATESINA (ATHESIAN) VOLCANIC COPMPLEX / ORA FORMATION","NORTHERN INTRA-CALDERA","46.5","46.7","11.15","11.35","SUBAERIAL","","","s 3 UPPER [19915]","RHYOLITE [19915]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19915] ","","0.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","208.3","10.6","","","","","","","","","","","","","","42.7","80.2","7.5","27","4.4","0.5","3.6","0.5","3.3","0.7","2","0.3","2.1","0.3","5.5","0.9","","","","","","","","","","","19.8","2.1","","","","","","","","","","","","","","","","","","","","","","","","","1014279",
"[19915]","INTRAPLATE VOLCANICS","ALPS_SARDINIA_PALEOZOIC / SOUTHERN ALPS / ADIGE VALLEY / ATESINA (ATHESIAN) VOLCANIC COPMPLEX / ORA FORMATION","NORTHERN EXTRA-CALDERA","46.5","46.7","11.15","11.35","SUBAERIAL","","","s 5 MIDDLE [19915]","RHYOLITE [19915]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19915] ","","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.9","67","12.9","","","","","","","","","","","","","","15.6","35","4.1","16.3","4.8","0.1","5.2","1.1","7.1","1.4","4.2","0.7","4.5","0.7","2.6","2.2","","","","","","","","","","","13.1","2.6","","","","","","","","","","","","","","","","","","","","","","","","","1014280",
"[19915]","INTRAPLATE VOLCANICS","ALPS_SARDINIA_PALEOZOIC / SOUTHERN ALPS / ADIGE VALLEY / ATESINA (ATHESIAN) VOLCANIC COPMPLEX / ORA FORMATION","NORTHERN EXTRA-CALDERA","46.5","46.7","11.15","11.35","SUBAERIAL","","","s 7C UPPER [19915]","RHYOLITE [19915]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19915] ","","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.2","101","11.6","","","","","","","","","","","","","","29.6","61.5","7.3","29.9","6.6","0.2","5.7","0.9","5.8","1.2","3.2","0.5","3.3","0.5","3.9","1.5","","","","","","","","","","","20.5","1.6","","","","","","","","","","","","","","","","","","","","","","","","","1014281",
"[19915]","INTRAPLATE VOLCANICS","ALPS_SARDINIA_PALEOZOIC / SOUTHERN ALPS / ADIGE VALLEY / ATESINA (ATHESIAN) VOLCANIC COPMPLEX / ORA FORMATION","NORTHERN EXTRA-CALDERA","46.5","46.7","11.15","11.35","SUBAERIAL","","","s 12 LOWER [19915]","RHYOLITE [19915]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19915] ","","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.5","87","14.4","","","","","","","","","","","","","","24.5","51.7","7","29.5","7.4","0.2","6.6","1.1","6.6","1.3","3.6","0.6","3.9","0.6","3.6","1.8","","","","","","","","","","","23.9","2.4","","","","","","","","","","","","","","","","","","","","","","","","","1014282",
"[11170]","INTRAPLATE VOLCANICS","ALPS_SARDINIA_PALEOZOIC / SOUTHERN ALPS / TIONE BASIN - VAL RENDENA","","46","46","11","11","SUBAERIAL","","","s B8 [11170]","TRACHYDACITE [11170]","","","","PERMIAN [11170]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [11170] ","65.8","0.54","","16.44","","","","4.16","1.49","0.94","0.14","","4.37","2.87","0.2","","","","","","","","","","","","","","","","2.58","","","","","","","","","","","","","","","","","","","","","","","","60","","","","17","","","19","","","15","6","2","28","20","","","","","223","53","33","194","10","","","","","","","","","","","","","367","","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","890180",
"[11170]","INTRAPLATE VOLCANICS","ALPS_SARDINIA_PALEOZOIC / SOUTHERN ALPS / TIONE BASIN - VAL RENDENA","","46","46","11","11","SUBAERIAL","","","s CD1 [11170]","TRACHYDACITE [11170]","","","","PERMIAN [11170]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [11170] ","65.83","0.58","","16.03","","","","4.22","0.29","2.8","0.07","","3.78","3.78","0.17","","","","","","","","","","","","","","","","1.99","","","","","","","","","","","","","","","","","","","","","","","","21","","","","18","","","23","","","19","6","0","81","18","","","","","186","60","34","200","13","","","","","","","","","","","","","336","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","890181",
"[11170]","INTRAPLATE VOLCANICS","ALPS_SARDINIA_PALEOZOIC / SOUTHERN ALPS / TIONE BASIN - VAL RENDENA","","46","46","11","11","SUBAERIAL","","","s MP1 [11170]","TRACHYANDESITE [11170]","","","","PERMIAN [11170]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [11170] ","57.21","0.72","","16.77","","","","4.5","5.77","2.2","0.11","","3.28","3.72","0.17","","","","","","","","","","","","","","","","5.05","","","","","","","","","","","","","","","","","","","","","","","","33","","","","26","","","17","","","19","9","7","74","18","","","","","161","112","38","218","9","","","","","","","","","","","","","301","","","","","","","","","","","","","","","","","","","","","","","","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","890182",
"[11170]","INTRAPLATE VOLCANICS","ALPS_SARDINIA_PALEOZOIC / SOUTHERN ALPS / TIONE BASIN - VAL RENDENA","","46","46","11","11","SUBAERIAL","","","s TP3 [11170]","TRACHYANDESITE [11170]","","","","PERMIAN [11170]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [11170] ","58.8","0.9","","16.89","","","","7.01","1.04","5.53","0.13","","2.47","3.02","0.16","","","","","","","","","","","","","","","","3.27","","","","","","","","","","","","","","","","","","","","","","","","163","","","","32","","","57","","","32","13","3","118","20","","","","","167","101","31","170","9","","","","","","","","","","","","","412","","","","","","","","","","","","","","","","","","","","","","","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","890183",
"[11170]","INTRAPLATE VOLCANICS","ALPS_SARDINIA_PALEOZOIC / SOUTHERN ALPS / VAL DI SCALE","","46","46","11","11","SUBAERIAL","","","s VR11 [11170]","RHYOLITE [11170]","","","","PERMIAN [11170]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [11170] ","68.2","0.43","","14.6","","","","3.18","1.53","0.59","0.03","","5.1","2.86","0.11","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","206","89","26","155","10","","","","","","","","","","","","","537","34.1","71.3","","31.5","7.1","1.1","6","0.8","5.1","0.99","3.1","0.4","2.9","0.4","","","","","","","","","","","","","14.9","4","","","","","","","","","","","","","","","","","","","","","","","","","890184",
