"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20057]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","AMAZONIA CRATON / CARAJAS MINERAL PROVINCE / CARAJAS TRANSITION ZONE / SELVA GREENSTONE BELT","","-6.5","-6.5","-50","-50","SUBAERIAL","","","s SELVA01 [20057]","KOMATIITE [20057]","","","","ARCHEAN [20057]","","","","SPINIFEX-TEXTURED [20057] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [20057] ","39.76","0.44","","7.8","0.39","","","10.2","7.07","24.27","0.18","","0.03","0.2","0.02","","","","","","","","","","","","","","","","8.04","","","","","","","","","","","","","","1.2","0.12","","","","","","","","60","0","","","","","","175","1740","1160","","98.5","1100","13","72","7.87","0.15","1.4","","","0.2","14.2","25.9","4.8","1","0.1","","","","0","0.02","0.04","0.2","0.06","","","0","0","21.8","8.8","3.8","15","3.1","0.9","4","0.7","4.1","0.8","2.2","0.3","1.8","0.2","0.2","0.08","32","","","","","","","","0","0.01","0","0","","","","","","","","","","","","","","","","","","","","","","","","","1015666",
"[20057]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","AMAZONIA CRATON / CARAJAS MINERAL PROVINCE / CARAJAS TRANSITION ZONE / SELVA GREENSTONE BELT","","-6.5","-6.5","-50","-50","SUBAERIAL","","","s SELVA02 [20057]","KOMATIITE [20057]","","","","ARCHEAN [20057]","","","","SPINIFEX-TEXTURED [20057] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [20057] ","39.31","0.45","","7.93","0.38","","","10.62","6.92","23.67","0.18","","0.03","0.19","0.03","","","","","","","","","","","","","","","","7.71","","","","","","","","","","","","","","1.1","0.21","","","","","","","","30","0","","","","","","184","1760","1170","","101","1120","14","60","8.01","0.16","2.6","","","0.3","13.8","29.9","4.8","1","0.12","","","","0","0.03","0.04","0.3","0.08","","","0","10","28.6","16.4","4.9","19.3","3.7","1","4.9","0.8","4.7","0.9","2.7","0.3","2.1","0.2","0.2","0.08","30","","","","","","","","0","0.01","0","0","","","","","","","","","","","","","","","","","","","","","","","","","1015667",
"[20057]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","AMAZONIA CRATON / CARAJAS MINERAL PROVINCE / CARAJAS TRANSITION ZONE / SELVA GREENSTONE BELT","","-6.5","-6.5","-50","-50","SUBAERIAL","","","s SELVA03 [20057]","KOMATIITE [20057]","","","","ARCHEAN [20057]","","","","SPINIFEX-TEXTURED [20057] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [20057] ","43.14","0.36","","7.21","0.3","","","10.77","7.57","22.02","0.24","","0.05","0.24","0.06","","","","","","","","","","","","","","","","6.86","","","","","","","","","","","","","","2.3","0.13","","","","","","","","140","0","","","","","","141","1350","1640","","162.5","1020","17","110","7.98","0.13","1.2","","","1.2","29.7","10","18.6","1.4","0.1","","","","0","0","0.04","0.3","0.08","","","0.15","10","2.8","4.4","0.9","4.5","1.3","0.3","1.5","0.2","1.8","0.4","1.2","0.1","0.9","0.1","0.7","0.2","335","","","","","","","","0","0.04","0.7","0","","","","","","","","","","","","","","","","","","","","","","","","","1015668",
"[20057]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","AMAZONIA CRATON / CARAJAS MINERAL PROVINCE / CARAJAS TRANSITION ZONE / SELVA GREENSTONE BELT","","-6.5","-6.5","-50","-50","SUBAERIAL","","","s SELVA04 [20057]","KOMATIITE [20057]","","","","ARCHEAN [20057]","","","","CUMULATE [20057] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [20057] ","39.17","0.11","","2.63","0.21","","","8.4","0.02","35.42","0.08","","0.03","0.2","0.01","","","","","","","","","","","","","","","","12.5","","","","","","","","","","","","","","0","0.08","","","","","","","","10","0","","","","","","66","867","515","","79.4","2380","7","77","2.99","0.12","5.5","","","0.4","0.5","3.1","0","0.3","0.19","","","","0","0","0.03","0.2","0.13","","","0","10","0","0.6","0","0","0.1","0","0.2","0","0.4","0.1","0.3","0","0.3","0","0","0","18.5","","","","","","","","0","0.3","0","0","","","","","","","","","","","","","","","","","","","","","","","","","1015669",
"[20057]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","AMAZONIA CRATON / CARAJAS MINERAL PROVINCE / CARAJAS TRANSITION ZONE / SELVA GREENSTONE BELT","","-6.5","-6.5","-50","-50","SUBAERIAL","","","s SELVA05 [20057]","KOMATIITE [20057]","","","","ARCHEAN [20057]","","","","SPINIFEX-TEXTURED [20057] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [20057] ","42.75","0.26","","5.59","0.31","","","10.5","7.41","24.22","0.16","","0.04","0.14","0.01","","","","","","","","","","","","","","","","7.46","","","","","","","","","","","","","","0.4","0.06","","","","","","","","20","0","","","","","","132","1310","1110","","77.6","999","11","45","6.26","0.11","0.6","","","1.2","12.1","8.8","2.9","0.6","0.15","","","","0","0.03","0.02","0","0.08","","","0.12","0","1.6","1.2","0.5","2.8","0.9","0.3","1.1","0.2","1.6","0.3","0.9","0.1","0.8","0.1","0.2","0","15.8","","","","","","","","0","0.14","0","0","","","","","","","","","","","","","","","","","","","","","","","","","1015670",
"[20057]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","AMAZONIA CRATON / CARAJAS MINERAL PROVINCE / CARAJAS TRANSITION ZONE / SELVA GREENSTONE BELT","","-6.5","-6.5","-50","-50","SUBAERIAL","","","s SELVA06 [20057]","KOMATIITE [20057]","","","","ARCHEAN [20057]","","","","SPINIFEX-TEXTURED [20057] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [20057] ","44.85","0.36","","6.03","0.28","","","10.33","8.75","21.3","0.22","","0.02","0.12","0.04","","","","","","","","","","","","","","","","6.27","","","","","","","","","","","","","","3.5","0.09","","","","","","","","160","0","","","","","","128","1320","1560","","83.8","831","12","133","6.6","0.11","0.4","","","0.6","3.9","6","3.8","0.7","0.08","","","","0","0.02","0.02","0","0.09","","","0.1","0","0","0","0","0.6","0.4","0","0.6","0.1","1","0.2","0.6","0","0.5","0","0.2","0.06","44","","","","","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","1015671",
"[20057]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","AMAZONIA CRATON / CARAJAS MINERAL PROVINCE / CARAJAS TRANSITION ZONE / SELVA GREENSTONE BELT","","-6.5","-6.5","-50","-50","SUBAERIAL","","","s SELVA07 [20057]","KOMATIITE [20057]","","","","ARCHEAN [20057]","","","","SPINIFEX-TEXTURED [20057] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [20057] ","42.27","0.37","","7.08","0.32","","","10.31","7.15","23.36","0.24","","0.04","0.31","0.03","","","","","","","","","","","","","","","","7.24","","","","","","","","","","","","","","0.8","0.21","","","","","","","","110","0","","","","","","155","1400","1680","","83.1","1120","12","85","7.33","0.13","1.5","","","0.5","29.5","13.6","15.6","1.2","0.1","","","","0","0.03","0.04","0.2","0.11","","","0.12","0","6.1","10.2","1.9","8.8","1.8","0.4","2.2","0.3","2.4","0.5","1.4","0.2","1.3","0.2","0.6","0.09","45.3","","","","","","","","0","0.04","0.6","0","","","","","","","","","","","","","","","","","","","","","","","","","1015672",
"[20057]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","AMAZONIA CRATON / CARAJAS MINERAL PROVINCE / CARAJAS TRANSITION ZONE / SELVA GREENSTONE BELT","","-6.5","-6.5","-50","-50","SUBAERIAL","","","s SELVA08 [20057]","KOMATIITE [20057]","","","","ARCHEAN [20057]","","","","CUMULATE [20057] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [20057] ","37.42","0.22","","4.25","0.32","","","12.42","2.71","28.69","0.15","","0.02","0.16","0.02","","","","","","","","","","","","","","","","11.8","","","","","","","","","","","","","","0.6","0.06","","","","","","","","70","0","","","","","","105","1420","993","","108.5","2000","18","143","4.76","0.14","4.8","","","0.1","21","4.7","0.6","0.6","0.15","","","","0","0.06","0.02","0.2","0.16","","","0","20","0.6","1","0.1","0.9","0.3","0","0.5","0","0.6","0.1","0.4","0","0.4","0","0.1","0.05","66.2","","","","","","","","0.5","0.66","0","0","","","","","","","","","","","","","","","","","","","","","","","","","1015673",
"[20057]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","AMAZONIA CRATON / CARAJAS MINERAL PROVINCE / CARAJAS TRANSITION ZONE / SELVA GREENSTONE BELT","","-6.5","-6.5","-50","-50","SUBAERIAL","","","s SELVA10 [20057]","KOMATIITE [20057]","","","","ARCHEAN [20057]","","","","SPINIFEX-TEXTURED [20057] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [20057] ","42.55","0.35","","7.89","0.29","","","11.49","7.91","21.98","0.27","","0.03","0.2","0.07","","","","","","","","","","","","","","","","5.41","","","","","","","","","","","","","","3.1","0.19","","","","","","","","210","0","","","","","","157","1290","1950","","101.5","1110","69","161","8.63","0.14","0.8","","","0.4","24.4","11.2","23.3","1.3","0.13","","","","0.02","0.02","0.02","0.2","0.13","","","0.09","0","3.8","3.8","1","4.9","1.3","0.4","1.7","0.3","1.9","0.4","1.1","0.1","0.9","0.1","0.9","0.1","33.3","","","","","","","","0.5","0.04","0.9","0","","","","","","","","","","","","","","","","","","","","","","","","","1015674",
"[20057]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","AMAZONIA CRATON / CARAJAS MINERAL PROVINCE / CARAJAS TRANSITION ZONE / SELVA GREENSTONE BELT","","-6.5","-6.5","-50","-50","SUBAERIAL","","","s SELVA11 [20057]","KOMATIITE [20057]","","","","ARCHEAN [20057]","","","","SPINIFEX-TEXTURED [20057] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [20057] ","40.77","0.49","","8.32","0.31","","","8.71","6.83","24.58","0.22","","0.03","0.23","0.03","","","","","","","","","","","","","","","","8.15","","","","","","","","","","","","","","0.7","0.19","","","","","","","","130","0","","","","","","172","1310","1450","","91.6","1110","16","102","7.9","0.1","2.7","","","0.4","17","13.7","15.9","1.4","0.1","","","","0","0.04","0.03","0.2","0.44","","","0.07","0","3.2","2.4","0.7","3.9","1.1","0.3","1.6","0.3","2","0.4","1.2","0.1","1","0.1","0.6","0.11","57.9","","","","","","","","1","0.04","0.3","0","","","","","","","","","","","","","","","","","","","","","","","","","1015675",
