"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[19975]","INTRAPLATE VOLCANICS","AMAZONIA CRATON_PROTEROZOIC / BRAZIL_PROTEROZOIC / RIO ALTO BLOCK / ALTO TERERE GROUP","","-21","-22","-57","-58","SUBAERIAL","","","s EA-32A1 [19975]","BASALT [19975]","","","","PROTEROZOIC [19975]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19975] ","50.46","1.06","","16","0.02","","","10.55","8.4","6.6","0.17","","0.56","3.02","0.1","","","","","","","","","","","","","","","","1.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","35","","248","164.27","","","46.8","107","77.9","","","","","","","26.2","268.1","27.1","71.7","1.8","","","","","","","","","","","","1","247","14.2","24.7","3.05","12.6","3.34","1.05","4.02","0.66","4.59","0.93","2.81","0.39","2.72","0.4","1.8","0.2","","","","","","","","","1.5","","1.7","0.1","","","","","","","","","","","","","","","","","","","","","","","","","1001391",
"[19975]","INTRAPLATE VOLCANICS","AMAZONIA CRATON_PROTEROZOIC / BRAZIL_PROTEROZOIC / RIO ALTO BLOCK / ALTO TERERE GROUP","","-21","-22","-57","-58","SUBAERIAL","","","s EA-32A2 [19975]","BASALT [19975]","","","","PROTEROZOIC [19975]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19975] ","48.42","1.09","","16.26","0.03","","","11.18","9.03","7.31","0.2","","0.17","2.73","0.07","","","","","","","","","","","","","","","","2.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","35","","252","171.12","","","81.2","98","65.8","","","","","","","2.8","257.3","23.7","67.9","1.6","","","","","","","","","","","","0.1","68","4.8","9","1.52","7.9","2.52","0.93","3.45","0.6","4.05","0.87","2.5","0.37","2.29","0.36","2","0.1","","","","","","","","","0.7","","1.6","0.01","","","","","","","","","","","","","","","","","","","","","","","","","1001392",
"[19975]","INTRAPLATE VOLCANICS","AMAZONIA CRATON_PROTEROZOIC / BRAZIL_PROTEROZOIC / RIO ALTO BLOCK / ALTO TERERE GROUP","","-21","-22","-57","-58","SUBAERIAL","","","s EA-32B [19975]","BASALT [19975]","","","","PROTEROZOIC [19975]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19975] ","47.7","1.01","","17.21","0.02","","","11.27","9.98","7.98","0.18","","0.46","1.86","0.09","","","","","","","","","","","","","","","","0.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","","224","116.36","","","54.6","129","51.5","","","","","","","34.5","263.4","19.5","53.6","0.9","","","","","","","","","","","","1","152","4.7","11.1","1.66","8.8","2.1","0.94","3.26","0.56","3.83","0.82","2.49","0.34","1.91","0.31","0.7","0.09","","","","","","","","","1.2","","0.5","0.09","0.511561","","","","","","","","","","","","","","","","","","","","","","","","1001393",
"[19975]","INTRAPLATE VOLCANICS","AMAZONIA CRATON_PROTEROZOIC / BRAZIL_PROTEROZOIC / RIO ALTO BLOCK / ALTO TERERE GROUP","","-21","-22","-57","-58","SUBAERIAL","","","s EA-32B1 [19975]","BASALT [19975]","","","","PROTEROZOIC [19975]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19975] ","47.13","1.04","","17.26","0.02","","","11.4","10.43","8.01","0.19","","0.2","1.92","0.09","","","","","","","","","","","","","","","","0.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","","249","143.74","","","58.6","158","87.5","","","","","","","10.7","247.3","20.4","58.4","1","","","","","","","","","","","","0.8","102","5.3","11.5","1.62","8.1","2.29","0.98","3.76","0.56","3.43","0.77","2.34","0.32","2.11","0.31","1.6","0.09","","","","","","","","","0.7","","0.6","0.09","","","","","","","","","","","","","","","","","","","","","","","","","1001394",
"[19975]","INTRAPLATE VOLCANICS","AMAZONIA CRATON_PROTEROZOIC / BRAZIL_PROTEROZOIC / RIO ALTO BLOCK / ALTO TERERE GROUP","","-21","-22","-57","-58","SUBAERIAL","","","s EA-52 [19975]","BASALT [19975]","","","","PROTEROZOIC [19975]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19975] ","46.02","0.99","","17.14","0.02","","","11.9","10.84","7.32","0.18","","0.32","1.87","0.11","","","","","","","","","","","","","","","","1.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","","226","130.05","","","58","131","26.5","","","","","","","8.9","308.7","20.2","38.6","0.3","","","","","","","","","","","","0.6","138","4","8.9","1.29","6.2","2.13","0.96","3.25","0.54","3.71","0.78","2.56","0.35","2.19","0.34","0.8","0.09","","","","","","","","","0.6","","0.19","0.09","","","","","","","","","","","","","","","","","","","","","","","","","1001395",
"[19975]","INTRAPLATE VOLCANICS","AMAZONIA CRATON_PROTEROZOIC / BRAZIL_PROTEROZOIC / RIO ALTO BLOCK / ALTO TERERE GROUP","","-21","-22","-57","-58","SUBAERIAL","","","s EA-52A [19975]","BASALT [19975]","","","","PROTEROZOIC [19975]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19975] ","45.32","0.96","","17.38","0.02","","","11.21","10.06","9.36","0.18","","0.11","2.24","0.05","","","","","","","","","","","","","","","","1.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","","228","157.43","","","58.5","175","79.3","","","","","","","2.9","230.1","19.8","53","0.4","","","","","","","","","","","","0.09","90","3.4","8.9","1.17","6","2.14","0.97","3.2","0.54","3.33","0.74","2.23","0.33","1.95","0.29","1.6","0.09","","","","","","","","","0.4","","0.19","0.09","","","","","","","","","","","","","","","","","","","","","","","","","1001396",
"[19975]","INTRAPLATE VOLCANICS","AMAZONIA CRATON_PROTEROZOIC / BRAZIL_PROTEROZOIC / RIO ALTO BLOCK / ALTO TERERE GROUP","","-21","-22","-57","-58","SUBAERIAL","","","s CC-5A [19975]","BASALT [19975]","","","","PROTEROZOIC [19975]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19975] ","48.24","1.06","","17.02","0.01","","","10.57","8.8","7.24","0.17","","0.82","2.63","0.1","","","","","","","","","","","","","","","","2.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","238","95.82","","","51.1","62.6","38.3","","","","","","","51.3","382.8","25.7","67.3","2.5","","","","","","","","","","","","0.7","218.7","5.2","12.9","1.92","8.2","3.1","0.93","3.57","0.7","4","0.94","2.64","0.44","2.5","0.37","2.1","0.2","","","","","","","","","1.5","","2","0.3","","","","","","","","","","","","","","","","","","","","","","","","","1001397",
"[19975]","INTRAPLATE VOLCANICS","AMAZONIA CRATON_PROTEROZOIC / BRAZIL_PROTEROZOIC / RIO ALTO BLOCK / ALTO TERERE GROUP","","-21","-22","-57","-58","SUBAERIAL","","","s CC-5B [19975]","BASALT [19975]","","","","PROTEROZOIC [19975]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19975] ","48.32","1.04","","17.1","0.02","","","11.09","9.61","7.12","0.18","","0.49","2.05","0.1","","","","","","","","","","","","","","","","1.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","254","109.51","","","53","61.7","54.4","","","","","","","24.8","266.4","25.8","68.2","2.4","","","","","","","","","","","","0.8","162.5","3.3","10.8","1.24","6.6","2.8","0.93","3.35","0.69","4.2","0.96","2.73","0.44","2.57","0.41","2.5","0.2","","","","","","","","","1.9","","2.4","0.3","","","","","","","","","","","","","","","","","","","","","","","","","1001398",
"[19975]","INTRAPLATE VOLCANICS","AMAZONIA CRATON_PROTEROZOIC / BRAZIL_PROTEROZOIC / RIO ALTO BLOCK / ALTO TERERE GROUP","","-21","-22","-57","-58","SUBAERIAL","","","s CC-5D [19975]","BASALT [19975]","","","","PROTEROZOIC [19975]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19975] ","50.65","1.04","","17.27","0.01","","","9.7","9.09","6.43","0.17","","0.63","2.26","0.11","","","","","","","","","","","","","","","","1.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","225","95.82","","","45.6","56.1","38.5","","","","","","","36.6","358.9","25.7","66.6","3","","","","","","","","","","","","0.9","216","5.2","17.8","1.95","7.8","2.9","1.02","3.5","0.73","4.38","0.94","2.74","0.4","2.4","0.39","2.4","0.2","","","","","","","","","2.2","","2","0.4","","","","","","","","","","","","","","","","","","","","","","","","","1001399",
"[19975]","INTRAPLATE VOLCANICS","AMAZONIA CRATON_PROTEROZOIC / BRAZIL_PROTEROZOIC / RIO ALTO BLOCK / ALTO TERERE GROUP","","-21","-22","-57","-58","SUBAERIAL","","","s EA-85 [19975]","BASALT [19975]","","","","PROTEROZOIC [19975]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19975] ","59.41","0.91","","13.99","0.01","","","8.28","7.68","4.34","0.13","","0.26","2.76","0.14","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","","197","95.82","","","35.2","45","108.8","","","","","","","2","242.9","22.2","68.4","2.5","","","","","","","","","","","","0.09","68","3.2","13.3","1.65","8","2.76","1.11","3.46","0.59","4.13","0.8","2.2","0.32","2.12","0.34","2.1","0.2","","","","","","","","","1.3","","1.5","0.4","","","","","","","","","","","","","","","","","","","","","","","","","1001400",
