"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20234]","INTRAPLATE VOLCANICS","AMUR SUPERTERRANE / MONGOL-OKHOTSK BELT / UNERIKAN COMPLEX","","52.7","53","132.8","133.3","SUBAERIAL","","","s B-28 [20234]","RHYODACITE [20234]","","","","MESOZOIC [20234]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20234] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","140","196","","","","","","","","","","","","","","","","","","","","25","4.9","","","","","","","","","","","","","","","","","","","","","","","","0.512379","","","0.710937","","","","","","","","","","","","","","","","","","","","","1034797",
"[20234]","INTRAPLATE VOLCANICS","AMUR SUPERTERRANE / MONGOL-OKHOTSK BELT / AEZOP-YAMALIN VOLCANIC FIELDR","","52","52","134","134","SUBAERIAL","","","s D 154 [20234]","TRACHYRHYOLITE [20234]","","","","MESOZOIC [20234]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20234] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","202","93","","","","","","","","","","","","","","","","","","","","32","7.4","","","","","","","","","","","","","","","","","","","","","","","","0.512411","","","0.717266","","","","","","","","","","","","","","","","","","","","","1034798",
"[20234]","INTRAPLATE VOLCANICS","AMUR SUPERTERRANE / MONGOL-OKHOTSK BELT / AEZOP-YAMALIN VOLCANIC FIELDR","","52","52","134","134","SUBAERIAL","","","s D 155 [20234]","GRANITE [20234]","","","","MESOZOIC [20234]","","","","PORPHYRITIC [20234] ","PLUTONIC ROCK","","","","","WHOLE_ROCK [20234] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99","268","","","","","","","","","","","","","","","","","","","","24","4.8","","","","","","","","","","","","","","","","","","","","","","","","0.512361","","","0.709045","","","","","","","","","","","","","","","","","","","","","1034799",
"[20234]","INTRAPLATE VOLCANICS","AMUR SUPERTERRANE / MONGOL-OKHOTSK BELT / AEZOP-YAMALIN VOLCANIC FIELDR","","52","52","134","134","SUBAERIAL","","","s D 156 [20234]","RHYOLITE [20234]","","","","MESOZOIC [20234]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20234] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96","138","","","","","","","","","","","","","","","","","","","","50","7.6","","","","","","","","","","","","","","","","","","","","","","","","0.512354","","","0.710484","","","","","","","","","","","","","","","","","","","","","1034800",
"[20234]","INTRAPLATE VOLCANICS","AMUR SUPERTERRANE / MONGOL-OKHOTSK BELT / SELITKAN VOLCANIC FIELDR","","53","53","134","134","SUBAERIAL","","","s D 162 [20234]","ANDESITE [20234]","","","","MESOZOIC [20234]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20234] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84","315","","","","","","","","","","","","","","","","","","","","21","4.3","","","","","","","","","","","","","","","","","","","","","","","","0.512488","","","0.708116","","","","","","","","","","","","","","","","","","","","","1034801",
"[13921]","INTRAPLATE VOLCANICS","AMUR SUPERTERRANE / MONGOL-OKHOTSK BELT / SELITKAN VOLCANIC FIELDR / INARAGDA SEQUENCE","","53","54","134","135","SUBAERIAL","","","s S1025-9 [13921]","ANDESITE, BASALTIC [13921]","","","","CRETACEOUS [13921]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [13921] ","55.04","0.67","","15.39","","","","6.73","4.96","7.16","0.14","","2.07","3.31","0.12","","","","","","","","","","","","","","","","3.63","","","","","","","","","","","","","","64.72","","","","","","","","","","","","","","20.62","","144.8","314.9","","","26.45","97.46","","","14.24","","","","","66","252","14.61","85","4.37","","","","","","","","","","","","2.18","372","12.62","25.11","3.47","14.61","2.7","0.8","3.11","0.51","2.78","0.56","1.77","0.28","1.63","0.26","2.47","0.39","","","","","","","","","8.87","","6.54","1.72","","","","","","","","","","","","","","","","","","","","","","","","","509625",
"[13921]","INTRAPLATE VOLCANICS","AMUR SUPERTERRANE / MONGOL-OKHOTSK BELT / SELITKAN VOLCANIC FIELDR / INARAGDA SEQUENCE","","53","54","134","135","SUBAERIAL","","","s A1024-3 [13921]","ANDESITE [13921]","","","","CRETACEOUS [13921]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [13921] ","58.32","0.75","","15.99","","","","5.76","6.33","5.49","0.11","","1.77","3.08","0.15","","","","","","","","","","","","","","","","2.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","144","300","","","26","99","","","","","","","","72","310","18","140","6","","","","","","","","","","","","","344","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","509626",
"[13921]","INTRAPLATE VOLCANICS","AMUR SUPERTERRANE / MONGOL-OKHOTSK BELT / SELITKAN VOLCANIC FIELDR / INARAGDA SEQUENCE","","53","54","134","135","SUBAERIAL","","","s D15 [13921]","ANDESITE [13921]","","","","CRETACEOUS [13921]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [13921] ","58.53","0.61","","15.42","","","","5.42","5.05","3.67","0.09","","2.76","3.2","0.12","","","","","","","","","","","","","","","","2.31","","","","","","","","","","","","","","24.82","","","","","","","","","","","","","","13.28","","89.72","118.21","","","14.22","31.68","","","14.21","","","","","83","160","13.43","123","6.12","0.5","","","","","","","","","","","2.12","307","16.76","37.65","4.2","16.68","3.19","0.66","3.79","0.43","2.55","0.48","1.46","0.17","1.33","0.17","","","","","","","","","","","10.67","","8.44","2.13","","","","","","","","","","","","","","","","","","","","","","","","","509627",
"[13921]","INTRAPLATE VOLCANICS","AMUR SUPERTERRANE / MONGOL-OKHOTSK BELT / SELITKAN VOLCANIC FIELDR / BURGALI SEQUENCE","","53","54","134","135","SUBAERIAL","","","s D8 [13921]","DIORITE, QUARTZ [13921]","","","","CRETACEOUS [13921]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [13921] ","58.96","0.71","","16.75","","","","5.25","5.47","3.6","0.08","","2.28","3.66","0.17","","","","","","","","","","","","","","","","2.06","","","","","","","","","","","","","","20.13","","","","","","","","","","","","","","15.16","","112.38","125.52","","","16.28","29.08","","","16.81","","","","","81","281","15.62","39","6.34","0.61","","","","","","","","","","","3.1","421","18.24","40.48","4.65","19","3.73","0.89","4.39","0.52","3.13","0.57","1.72","0.2","1.47","0.18","","","","","","","","","","","4.11","","7.53","1.37","","","","","","","","","","","","","","","","","","","","","","","","","509628",
"[13921]","INTRAPLATE VOLCANICS","AMUR SUPERTERRANE / MONGOL-OKHOTSK BELT / SELITKAN VOLCANIC FIELDR / INARAGDA SEQUENCE","","53","54","134","135","SUBAERIAL","","","s SL024-5 [13921]","ANDESITE [13921]","","","","CRETACEOUS [13921]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [13921] ","58.98","0.97","","17.97","","","","5.52","6.29","2.64","0.1","","2.38","3.58","0.25","","","","","","","","","","","","","","","","0.68","","","","","","","","","","","","","","11.07","","","","","","","","","","","","","","12.69","","111.14","81.19","","","13.92","21.48","","","16.91","","","","","73","277","17.06","128","6.44","","","","","","","","","","","","6.3","382","16.71","34.02","4.76","19.27","3.94","1.12","3.29","0.67","3.44","0.67","1.94","0.28","1.62","0.26","3.62","0.55","","","","","","","","","12.25","","7.09","1.8","","","","","","","","","","","","","","","","","","","","","","","","","509629",
"[13921]","INTRAPLATE VOLCANICS","AMUR SUPERTERRANE / MONGOL-OKHOTSK BELT / SELITKAN VOLCANIC FIELDR / BURGALI SEQUENCE","","53","54","134","135","SUBAERIAL","","","s D8-L [13921]","DIORITE, QUARTZ [13921]","","","","CRETACEOUS [13921]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [13921] ","59.13","0.65","","16.32","","","","5.14","5.15","3.46","0.09","","2.41","3.31","0.13","","","","","","","","","","","","","","","","2.68","","","","","","","","","","","","","","39.56","","","","","","","","","","","","","","13.69","","98.71","105","","","14.8","36.19","","","15.45","","","","","86","183","14.71","136","5.92","0.27","","","","","","","","","","","2.34","328","17.18","38.26","4.32","17.37","3.44","0.79","4.03","0.48","2.89","0.53","1.64","0.19","1.53","0.2","","","","","","","","","","","9.11","","8.94","2.25","","","","","","","","","","","","","","","","","","","","","","","","","509630",
"[13921]","INTRAPLATE VOLCANICS","AMUR SUPERTERRANE / MONGOL-OKHOTSK BELT / SELITKAN VOLCANIC FIELDR / BURGALI SEQUENCE","","53","54","134","135","SUBAERIAL","","","s A3177-1 [13921]","ANDESITE [13921]","","","","CRETACEOUS [13921]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [13921] ","60.17","0.68","","15.62","","","","5.63","6.77","4.71","0.12","","1.98","2.25","0.12","","","","","","","","","","","","","","","","1.65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","119","184","","","22","38","","","","","","","","65","298","20","141","7","","","","","","","","","","","","","420","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","509631",
"[13921]","INTRAPLATE VOLCANICS","AMUR SUPERTERRANE / MONGOL-OKHOTSK BELT / SELITKAN VOLCANIC FIELDR / INARAGDA SEQUENCE","","53","54","134","135","SUBAERIAL","","","s D18-2 [13921]","ANDESITE [13921]","","","","CRETACEOUS [13921]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [13921] ","60.34","0.64","","15.91","","","","5.18","4.65","3.65","0.1","","2.67","3","0.13","","","","","","","","","","","","","","","","2.43","","","","","","","","","","","","","","8.45","","","","","","","","","","","","","","3.91","","26.6","35.52","","","4.25","9.85","","","4.13","","","","","22","49","4.21","31","1.71","0.18","","","","","","","","","","","0.69","112","4.98","11.09","1.3","5.27","1.03","0.21","1.28","0.14","0.89","0.16","0.49","0.05","0.44","0.05","","","","","","","","","","","2.01","","2.17","0.6","","","","","","","","","","","","","","","","","","","","","","","","","509632",
"[13921]","INTRAPLATE VOLCANICS","AMUR SUPERTERRANE / MONGOL-OKHOTSK BELT / SELITKAN VOLCANIC FIELDR / INARAGDA SEQUENCE","","53","54","134","135","SUBAERIAL","","","s D18-L [13921]","ANDESITE [13921]","","","","CRETACEOUS [13921]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [13921] ","60.9","0.64","","16.09","","","","5.61","4.88","3.33","0.09","","2.63","2.91","0.14","","","","","","","","","","","","","","","","1.66","","","","","","","","","","","","","","8.95","","","","","","","","","","","","","","6.65","","46.39","52.37","","","6.64","14.16","","","7.72","","","","","39","83","7.88","65","3.41","0.26","","","","","","","","","","","2.7","176","9.63","20.98","2.38","9.26","1.76","0.36","2.08","0.23","1.45","0.26","0.8","0.08","0.73","0.07","","","","","","","","","","","5.36","","4.39","1.07","","","","","","","","","","","","","","","","","","","","","","","","","509633",
"[13921]","INTRAPLATE VOLCANICS","AMUR SUPERTERRANE / MONGOL-OKHOTSK BELT / SELITKAN VOLCANIC FIELDR / INARAGDA SEQUENCE","","53","54","134","135","SUBAERIAL","","","s D10 [13921]","ANDESITE [13921]","","","","CRETACEOUS [13921]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [13921] ","60.99","0.63","","15.96","","","","4.91","4.62","3.39","0.09","","3.01","2.98","0.14","","","","","","","","","","","","","","","","1.83","","","","","","","","","","","","","","25.62","","","","","","","","","","","","","","13.26","","92.54","131.22","","","14.6","40.44","","","15.52","","","","","102","212","16.38","131","7.17","0.81","","","","","","","","","","","2.74","408","21","46.23","5.33","21.32","4.05","0.82","4.64","0.56","3.25","0.6","1.81","0.22","1.67","0.22","","","","","","","","","","","11.81","","11.32","2.71","","","","","","","","","","","","","","","","","","","","","","","","","509634",
"[13921]","INTRAPLATE VOLCANICS","AMUR SUPERTERRANE / MONGOL-OKHOTSK BELT / SELITKAN VOLCANIC FIELDR / BURGALI SEQUENCE","","53","54","134","135","SUBAERIAL","","","s D2 [13921]","DIORITE, QUARTZ [13921]","","","","CRETACEOUS [13921]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [13921] ","61.29","0.65","","16.91","","","","4.8","3.95","2.65","0.09","","2.37","3.99","0.13","","","","","","","","","","","","","","","","2.21","","","","","","","","","","","","","","38.53","","","","","","","","","","","","","","12.71","3758","87.23","70.22","","","13.61","15.37","","","16.53","","","","","66.69","224.6","15.53","111.61","5.93","0.39","","","","","","","","","","","0.65","396.4","17.25","38.06","4.3","17.43","3.46","0.81","4.18","0.5","3.07","0.58","1.75","0.21","1.6","0.2","","","","","","","","","","","7.3","","7.64","2.07","","","","","","","","","","","","","","","","","","","","","","","","","509635",
"[13921]","INTRAPLATE VOLCANICS","AMUR SUPERTERRANE / MONGOL-OKHOTSK BELT / SELITKAN VOLCANIC FIELDR / BURGALI SEQUENCE","","53","54","134","135","SUBAERIAL","","","s S1026-14 [13921]","ANDESITE [13921]","","","","CRETACEOUS [13921]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [13921] ","61.58","0.68","","15.92","","","","5","4.63","3.69","0.09","","2.89","3.25","0.14","","","","","","","","","","","","","","","","1.68","","","","","","","","","","","","","","15.89","","","","","","","","","","","","","","12.21","3447","83.58","102.91","","","14.13","35.18","","","14.62","","","","","85.71","186.53","15.66","158.19","6.5","","","","","","","","","","","","1.68","375.86","17.08","36.85","4.75","19.95","3.99","0.9","3.5","0.51","2.97","0.6","2.23","0.3","1.57","0.25","5","0.63","","","","","","","","","9.36","","11.6","2.76","","","","","","","","","","","","","","","","","","","","","","","","","509636",
"[13921]","INTRAPLATE VOLCANICS","AMUR SUPERTERRANE / MONGOL-OKHOTSK BELT / SELITKAN VOLCANIC FIELDR / BURGALI SEQUENCE","","53","54","134","135","SUBAERIAL","","","s S3177-4 [13921]","ANDESITE [13921]","","","","CRETACEOUS [13921]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [13921] ","61.58","0.66","","16.25","","","","5.1","5.44","3.44","0.08","","2.72","2.65","0.12","","","","","","","","","","","","","","","","1.33","","","","","","","","","","","","","","13.99","","","","","","","","","","","","","","14.87","3553","6.45","99.39","","","14.94","25.29","","","15.43","","","","","99.08","198.76","17.5","136.57","6.3","","","","","","","","","","","","10.38","376.03","18.44","41.88","4.81","19.82","4.02","0.83","3.41","0.6","3.69","0.7","2.2","0.31","1.73","0.26","4.28","0.66","","","","","","","","","11.65","","10.71","3.27","","","","","","","","","","","","","","","","","","","","","","","","","509637",
"[13921]","INTRAPLATE VOLCANICS","AMUR SUPERTERRANE / MONGOL-OKHOTSK BELT / SELITKAN VOLCANIC FIELDR / BURGALI SEQUENCE","","53","54","134","135","SUBAERIAL","","","s D7 [13921]","MONZODIORITE [13921]","","","","CRETACEOUS [13921]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [13921] ","62.15","0.72","","16.6","","","","4.32","6.23","4.32","0.11","","3.93","5.32","0.17","","","","","","","","","","","","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","509638",
"[13921]","INTRAPLATE VOLCANICS","AMUR SUPERTERRANE / MONGOL-OKHOTSK BELT / SELITKAN VOLCANIC FIELDR / INARAGDA SEQUENCE","","53","54","134","135","SUBAERIAL","","","s D5 [13921]","ANDESITE [13921]","","","","CRETACEOUS [13921]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [13921] ","62.34","0.63","","15.67","","","","4.8","4.87","3.61","0.08","","2.62","3","0.13","","","","","","","","","","","","","","","","1.42","","","","","","","","","","","","","","27.26","","","","","","","","","","","","","","14.06","4322","95.25","182.67","","","15.22","47.28","","","15.83","","","","","92.53","203.08","16.43","141.98","7.45","0.99","","","","","","","","","","","5.48","407.56","20.38","45.92","5.06","19.97","3.91","0.77","4.64","0.55","3.27","0.61","1.85","0.22","1.69","0.21","","","","","","","","","","","8.37","","10.85","2.83","","","","","","","","","","","","","","","","","","","","","","","","","509639",
"[13921]","INTRAPLATE VOLCANICS","AMUR SUPERTERRANE / MONGOL-OKHOTSK BELT / SELITKAN VOLCANIC FIELDR / BURGALI SEQUENCE","","53","54","134","135","SUBAERIAL","","","s S1028-3 [13921]","TRACHYANDESITE [13921]","","","","CRETACEOUS [13921]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [13921] ","62.44","1.06","","16.02","","","","5.74","3.37","1.09","0.09","","3.34","4.07","0.21","","","","","","","","","","","","","","","","2.03","","","","","","","","","","","","","","13.09","","","","","","","","","","","","","","14.84","5773","126.96","44.52","","","13.25","4.86","","","18.11","","","","","130.39","197.04","22.6","194.92","8.49","","","","","","","","","","","","2.68","479.3","20.33","44.23","6.02","25.1","5.78","1.12","4.57","0.79","4.51","0.88","3.03","0.38","2.32","0.33","6.56","0.73","","","","","","","","","15.16","","10.83","2.95","","","","","","","","","","","","","","","","","","","","","","","","","509640",
