"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20122]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT - MESOZOIC / IRAN / ZAGROS THRUST","HARSIN AREA","34.4011","34.4011","47.7197","47.7197","SUBAERIAL","","","s SAV1 [20122]","GRANITE [20122]","","","UPPER [20122]","CRETACEOUS [20122]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20122] ","74.07","0.29","","12.48","","","","3.92","1.03","0.39","0.04","","0.16","6.44","0.04","","","","","","","","","","","","","","","","0.68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.29","36.6","","","2.61","7.6","8.7","45.3","14.1","","","","","1.4","90.1","44.2","12.2","7.16","","","","","","","","","","","","0.049","76.6","14.1","31","4.31","19.5","4.65","1.15","6.03","1.13","7.77","1.7","5.08","0.719","4.65","0.653","","0.215","","","","","","","","","0.725","","2.98","0.402","0.513039","","","0.70484","","","","","","","","","","","","","","","","","","","","","1021936",
"[20122]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT - MESOZOIC / IRAN / ZAGROS THRUST","HARSIN AREA","34.4017","34.4017","47.72","47.72","SUBAERIAL","","","s SAV2 [20122]","NOT GIVEN [20122]","","","UPPER [20122]","CRETACEOUS [20122]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20122] ","67.63","0.81","","13.9","","","","5.8","1.67","1.17","0.067","","0.53","6.38","0.17","","","","","","","","","","","","","","","","1.21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","33.2","","","4.57","6.77","7.27","47.8","15.9","","","","","3.31","122","40.3","13.1","5.81","","","","","","","","","","","","0.045","90.2","15","31.6","4.19","18.7","4.44","1.28","5.72","1.05","7.11","1.55","4.55","0.653","4.3","0.604","","0.21","","","","","","","","","0.678","","2.26","0.241","0.51305","","","0.705204","","","","","","","","","","","","","","","","","","","","","1021937",
"[20122]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT - MESOZOIC / IRAN / ZAGROS THRUST","HARSIN AREA","34.4011","34.4011","47.7206","47.7206","SUBAERIAL","","","s SAV3 [20122]","GRANITE [20122]","","","UPPER [20122]","CRETACEOUS [20122]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20122] ","73.74","0.3","","13.04","","","","3.28","1.61","0.48","0.047","","0.1","6.18","0.04","","","","","","","","","","","","","","","","0.82","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.7","27.5","","","3.41","6.95","17.9","45.3","15.3","","","","","0.601","134","47.4","12.5","7.82","","","","","","","","","","","","0.021","65.1","22.9","48.2","5.82","23.4","4.63","1.03","5.94","1.14","8.23","1.79","5.45","0.791","5.18","0.745","","0.528","","","","","","","","","0.809","","4.35","0.628","0.513018","","","0.70481","","","","","","","","","","","","","","","","","","","","","1021938",
"[20122]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT - MESOZOIC / IRAN / ZAGROS THRUST","HARSIN AREA","34.4014","34.4014","47.7228","47.7228","SUBAERIAL","","","s SAV4 [20122]","GRANITE [20122]","","","UPPER [20122]","CRETACEOUS [20122]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20122] ","72.39","0.3","","13.94","","","","2.89","1.37","0.41","0.021","","0.03","7.63","0.05","","","","","","","","","","","","","","","","0.64","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.4","23.2","","","4.41","8.5","15.8","41.2","12.2","","","","","0.292","103","25.6","13.6","4.67","","","","","","","","","","","","0.015","12","9.02","18.6","2.37","9.98","1.86","0.633","2.58","0.584","4.21","0.946","2.88","0.42","2.76","0.395","","0.263","","","","","","","","","0.812","","2.27","0.275","0.513031","","","0.704875","","","","","","","","","","","","","","","","","","","","","1021939",
"[20122]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT - MESOZOIC / IRAN / ZAGROS THRUST","HARSIN AREA","34.4017","34.4017","47.72","47.72","SUBAERIAL","","","s SAV5 [20122]","NOT GIVEN [20122]","","","UPPER [20122]","CRETACEOUS [20122]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20122] ","67.23","0.72","","15.05","","","","4.43","2.44","1.31","0.062","","0.56","6.38","0.16","","","","","","","","","","","","","","","","1.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.1","20.6","","","7.19","7.34","11.1","41.8","14.4","","","","","3.176","233","34.6","11.6","6.19","","","","","","","","","","","","0.03","131","11.1","26.1","3.37","13.94","2.63","0.716","3.79","0.792","5.85","1.27","3.81","0.541","3.47","0.47","","0.362","","","","","","","","","0.537","","2.65","0.357","0.513065","","","0.704855","","","","","","","","","","","","","","","","","","","","","1021940",
"[20122]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT - MESOZOIC / IRAN / ZAGROS THRUST","HARSIN AREA","34.4014","34.4014","47.7228","47.7228","SUBAERIAL","","","s SAV6 [20122]","NOT GIVEN [20122]","","","UPPER [20122]","CRETACEOUS [20122]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20122] ","66.43","0.59","","15.12","","","","4.87","2.14","1.4","0.074","","0.53","6.89","0.13","","","","","","","","","","","","","","","","1.26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.8","20.1","","","8.71","7.28","13","109.6","15.8","","","","","6.288","221","34.6","16.8","8.49","","","","","","","","","","","","0.125","149","11.1","26.1","3.37","13.9","2.63","0.716","3.79","0.792","5.85","1.27","3.81","0.541","3.47","0.47","","0.389","","","","","","","","","0.861","","4.23","0.591","0.513004","","","0.70533","","","","","","","","","","","","","","","","","","","","","1021941",
"[20122]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT - MESOZOIC / IRAN / ZAGROS THRUST","HARSIN AREA","34.3911","34.3911","47.7344","47.7344","SUBAERIAL","","","s SAV7 [20122]","NOT GIVEN [20122]","","","UPPER [20122]","CRETACEOUS [20122]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20122] ","69.47","0.58","","13.69","","","","4.51","1.96","1.22","0.085","","0.31","6.25","0.12","","","","","","","","","","","","","","","","1.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.7","17.4","","","7.08","5.14","20.4","51.1","13.6","","","","","1.871","161","37.4","17.4","7.8","","","","","","","","","","","","0.043","69.9","12.8","29","3.75","15.6","3.03","0.904","4.31","0.907","6.52","1.41","4.11","0.568","3.39","0.427","","0.247","","","","","","","","","0.56","","2.16","0.52","0.513041","","","0.704999","","","","","","","","","","","","","","","","","","","","","1021942",
"[20122]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT - MESOZOIC / IRAN / ZAGROS THRUST","HARSIN AREA","34.3919","34.3919","47.7228","47.7228","SUBAERIAL","","","s SAV8 [20122]","NOT GIVEN [20122]","","","UPPER [20122]","CRETACEOUS [20122]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20122] ","60.52","1.11","","17.42","","","","5.01","3.29","1.5","0.1","","0.14","9.12","0.25","","","","","","","","","","","","","","","","0.97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.9","17.7","","","3.32","4.5","11","59.5","18.3","","","","","1.309","137","52.6","26.6","9.04","","","","","","","","","","","","0.034","58.3","20.5","44.4","5.76","25.6","5.59","1.79","7.4","1.39","9.55","2.05","6.01","0.846","5.36","0.749","","0.386","","","","","","","","","1.31","","2.3","0.279","0.513057","","","0.704847","","","","","","","","","","","","","","","","","","","","","1021943",
"[20122]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT - MESOZOIC / IRAN / ZAGROS THRUST","HARSIN AREA","34.3933","34.3933","47.7228","47.7228","SUBAERIAL","","","s SAV9 [20122]","NOT GIVEN [20122]","","","UPPER [20122]","CRETACEOUS [20122]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20122] ","66.36","0.72","","14.77","","","","5.05","2.73","1.38","0.073","","0.04","6.86","0.21","","","","","","","","","","","","","","","","1.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.3","17.1","","","4.67","4.11","3.73","65.2","17.1","","","","","0.379","125","37.6","56.7","4.77","","","","","","","","","","","","0.033","23.9","11.6","27.6","3.77","17.4","4.19","1.42","5.54","1","6.77","1.46","4.14","0.56","3.42","0.438","","0.227","","","","","","","","","2.99","","1.63","0.449","0.51308","","","0.704585","","","","","","","","","","","","","","","","","","","","","1021944",
"[20122]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT - MESOZOIC / IRAN / ZAGROS THRUST","HARSIN AREA","34.4014","34.4014","47.7228","47.7228","SUBAERIAL","","","s SAB-ALK1 [20122]","GRANITE [20122]","","","UPPER [20122]","CRETACEOUS [20122]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20122] ","71.03","0.78","","12.36","","","","1.76","3.49","2.08","0.022","","0.23","5.91","0.13","","","","","","","","","","","","","","","","1.99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.2","20.8","","","4.03","10.4","10","44.8","13.3","","","","","1.277","96","46.5","130","6.57","","","","","","","","","","","","0.015","40.5","11.4","32.1","4.38","19.7","4.78","1.12","6.2","1.15","7.99","1.77","5.46","0.813","5.45","0.78","","0.692","","","","","","","","","0.574","","3.42","0.466","0.513102","","","0.705305","","","","","","","","","","","","","","","","","","","","","1021945",
