"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[15729]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT - PALEOZOIC / IRAN / CENTRAL IRAN","BAYAZEH AREA, YAZD BLOCK","33.17","33.33","54","55","SUBAERIAL","","","s B1 [15729]","BASALT, ALKALINE [15729]","","","","PALEOZOIC [15729]","","","","FINE-GRAINED APHANITIC [15729] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [15729] ","47.37","2.35","","14.1","","","","11.3","6.73","7.93","0.14","","1.12","4.5","0.21","","","","","","","","","","","","","","","","2.99","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","","305","90","","","55","119","122","118","","","","","","20","395","24","164","30","","","","","","","","","","","","0.4","179","28.73","56.4","6.43","26.61","5.59","2.02","5.77","0.83","4.96","0.99","2.28","0.34","1.97","0.31","4","2.11","","","","","","","","","7","","2.97","0.7","","","","","","","","","","","","","","","","","","","","","","","","","566304",
"[15729]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT - PALEOZOIC / IRAN / CENTRAL IRAN","BAYAZEH AREA, YAZD BLOCK","33.17","33.33","54","55","SUBAERIAL","","","s B2 [15729]","BASALT, ALKALINE [15729]","","","","PALEOZOIC [15729]","","","","FINE-GRAINED APHANITIC [15729] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [15729] ","45.96","2.32","","14.82","","","","12.36","7.96","6.97","0.16","","1.93","3.8","0.25","","","","","","","","","","","","","","","","2.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","","252","175","","","40","86","128","90","","","","","","37","410","23","160","27","","","","","","","","","","","","0.59","345","25.65","51.33","5.9","24.57","5.49","1.81","6.02","0.95","5.24","0.98","2.8","0.37","1.85","0.3","4","1.7","","","","","","","","","5","","2.98","0.51","","","","","","","","","","","","","","","","","","","","","","","","","566305",
"[15729]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT - PALEOZOIC / IRAN / CENTRAL IRAN","BAYAZEH AREA, YAZD BLOCK","33.17","33.33","54","55","SUBAERIAL","","","s B3 [15729]","BASALT, ALKALINE [15729]","","","","PALEOZOIC [15729]","","","","FINE-GRAINED APHANITIC [15729] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [15729] ","45.58","2.69","","15.47","","","","11.19","8.34","7.68","0.18","","1.1","3.95","0.27","","","","","","","","","","","","","","","","2.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","","304","85","","","50","111","169","118","","","","","","21","495","25","158","30","","","","","","","","","","","","0.4","181","28.7","60.04","6.69","26.5","5.38","2.15","6.25","0.96","5.17","0.98","2.64","0.35","2.08","0.33","4","2","","","","","","","","","8","","3","0.62","","","","","","","","","","","","","","","","","","","","","","","","","566306",
"[15729]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT - PALEOZOIC / IRAN / CENTRAL IRAN","BAYAZEH AREA, YAZD BLOCK","33.17","33.33","54","55","SUBAERIAL","","","s B4 [15729]","BASALT, ALKALINE [15729]","","","","PALEOZOIC [15729]","","","","FINE-GRAINED APHANITIC [15729] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [15729] ","46.46","2.29","","15.61","","","","13.41","7.07","5.62","0.15","","1.07","4.1","0.28","","","","","","","","","","","","","","","","2.21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","299","70","","","52","78","301","127","","","","","","17","389","23","155","29","","","","","","","","","","","","0.25","194","29.9","59.8","6.79","27.5","5.71","2.11","6.23","0.93","4.92","0.92","2.41","0.3","1.81","0.25","4","1.8","","","","","","","","","8","","2.83","0.65","","","","","","","","","","","","","","","","","","","","","","","","","566307",
"[15729]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT - PALEOZOIC / IRAN / CENTRAL IRAN","BAYAZEH AREA, YAZD BLOCK","33.17","33.33","54","55","SUBAERIAL","","","s B5 [15729]","BASALT, ALKALINE [15729]","","","","PALEOZOIC [15729]","","","","FINE-GRAINED APHANITIC [15729] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [15729] ","43.45","2.43","","14.7","","","","12.15","8.69","9.03","0.18","","0.96","3.55","0.27","","","","","","","","","","","","","","","","3.26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","298","220","","","62","164","158","121","","","","","","17","260","22","154","29","","","","","","","","","","","","0.33","144","24.5","52.4","6.17","25.3","5.62","2","5.93","0.91","4.71","0.89","2.4","0.29","1.74","0.26","4","1.7","","","","","","","","","6","","2.68","0.67","","","","","","","","","","","","","","","","","","","","","","","","","566308",
"[15729]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT - PALEOZOIC / IRAN / CENTRAL IRAN","BAYAZEH AREA, YAZD BLOCK","33.17","33.33","54","55","SUBAERIAL","","","s B6 [15729]","BASALT, ALKALINE [15729]","","","","PALEOZOIC [15729]","","","","FINE-GRAINED APHANITIC [15729] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [15729] ","48.39","1.95","","15.56","","","","10.21","8.51","5.81","0.13","","2.05","4.39","0.26","","","","","","","","","","","","","","","","1.78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","247","70","","","41","83","131","78","","","","","","28","442","20","120","26","","","","","","","","","","","","0.61","353","22.1","45","5.11","20.4","4.28","1.64","4.81","0.78","4.01","0.79","2.15","0.28","1.72","0.26","3","1.6","","","","","","","","","5","","2.66","0.52","","","","","","","","","","","","","","","","","","","","","","","","","566309",
"[15729]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT - PALEOZOIC / IRAN / CENTRAL IRAN","BAYAZEH AREA, YAZD BLOCK","33.17","33.33","54","55","SUBAERIAL","","","s B7 [15729]","BASALT, ALKALINE [15729]","","","","PALEOZOIC [15729]","","","","FINE-GRAINED APHANITIC [15729] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [15729] ","47.29","1.85","","13.61","","","","9.09","9.47","8.8","0.13","","0.1","4.6","0.18","","","","","","","","","","","","","","","","3.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","276","210","","","43","116","86","193","","","","","","3","115","20","125","25","","","","","","","","","","","","0.34","195","22.2","44.8","5.13","20.4","4.42","1.67","4.99","0.79","4.11","0.83","2.18","0.3","1.75","0.25","3","1.6","","","","","","","","","8","","2.62","0.59","","","","","","","","","","","","","","","","","","","","","","","","","566310",
"[15729]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT - PALEOZOIC / IRAN / CENTRAL IRAN","BAYAZEH AREA, YAZD BLOCK","33.17","33.33","54","55","SUBAERIAL","","","s B8 [15729]","BASALT, ALKALINE [15729]","","","","PALEOZOIC [15729]","","","","FINE-GRAINED APHANITIC [15729] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [15729] ","45.8","2.31","","15.97","","","","11.7","8.71","6.66","0.19","","1.02","3.51","0.26","","","","","","","","","","","","","","","","2.54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331","70","","","53","106","166","124","","","","","","19","548","25","153","31","","","","","","","","","","","","0.37","173","27.5","57.1","6.55","26.4","5.49","2.18","6.27","0.99","5.25","1.02","2.73","0.38","2.17","0.33","4","1.9","","","","","","","","","8","","3.09","0.66","","","","","","","","","","","","","","","","","","","","","","","","","566311",
"[15729]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT - PALEOZOIC / IRAN / CENTRAL IRAN","BAYAZEH AREA, YAZD BLOCK","33.17","33.33","54","55","SUBAERIAL","","","s BA-1 [15729]","BASALT, ALKALINE [15729]","","","","PALEOZOIC [15729]","","","","FINE-GRAINED APHANITIC [15729] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [15729] ","47.08","2.24","","14.36","","","","11.67","5.36","8.06","0.18","","1.24","4.32","0.18","","","","","","","","","","","","","","","","3.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","34","","288","63","","","","96","67","129","","","","","","26","73","25","173","31","","","","","","","","","","","","","183","26.6","52.52","6.22","27.16","5.9","1.9","5.64","0.78","5.06","1.08","2.42","0.36","2.27","0.33","4","2.28","","","","","","","","","2","","3.2","0.62","","","","","","","","","","","","","","","","","","","","","","","","","566312",
"[15729]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT - PALEOZOIC / IRAN / CENTRAL IRAN","BAYAZEH AREA, YAZD BLOCK","33.17","33.33","54","55","SUBAERIAL","","","s BA-2 [15729]","BASALT, ALKALINE [15729]","","","","PALEOZOIC [15729]","","","","FINE-GRAINED APHANITIC [15729] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [15729] ","46.6","2.24","","13.41","","","","11.63","8.1","7.69","0.18","","2.05","3.4","0.28","","","","","","","","","","","","","","","","2.76","","","","","","","","","","","","","","","","","","","","","","","","","","","","39","","276","162","","","46","126","","103","","","","","","53","314","27","156","29","","","","","","","","","","","","","377","24.84","48.12","6.02","25.71","5.2","1.89","5.93","1.05","5.53","0.96","3.12","0.41","1.9","0.32","4","1.81","","","","","","","","","6","","4","2","","","","","","","","","","","","","","","","","","","","","","","","","566313",
