"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[8520]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT - PROTEROZOIC / ANATOLIA / WESTERN ANATOLIAN VOLCANIC BELT / GÖGEBAKAN FORMATION","NEAR CELILOGLU VILLAGE AND NE OF TASOLUK VILLAGE, NEAR SANDIKLI","38.46","38.46","30.27","30.27","SUBAERIAL","","","s 33 [8520]","DOLERITE [8520]","","","LOWER [8520]","CAMBRIAN [8520]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [8520] ","49.56","0.98","","13.52","0.094","","","9.07","5.62","10.72","0.24","","0.03","4.71","0.19","","","","","","","","","","","","","","","","4.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","5874.11","231","","","","49.1","158","","193","12.3","","","","","0.8","290","25.3","89.6","12.3","","","","","","","","","","","","","98","11.4","23.7","3.12","13.2","3.3","1.12","3.73","0.63","4.41","0.96","2.82","0.38","2.53","0.38","2.3","0.7","","","","","","","","","","","2.3","0.4","","","","","","","","","","","","","","","","","","","","","","","","","313242",
"[8520]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT - PROTEROZOIC / ANATOLIA / WESTERN ANATOLIAN VOLCANIC BELT / GÖGEBAKAN FORMATION","NEAR CELILOGLU VILLAGE AND NE OF TASOLUK VILLAGE, NEAR SANDIKLI","38.46","38.46","30.27","30.27","SUBAERIAL","","","s 34 [8520]","DOLERITE [8520]","","","LOWER [8520]","CAMBRIAN [8520]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [8520] ","47.58","0.97","","14.5","0.107","","","8.94","6.05","11.27","0.25","","0.04","4.07","0.18","","","","","","","","","","","","","","","","4.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","5814.17","237","","","","53.2","219","","239","14.8","","","","","0.9","252.4","24.9","86.2","11.6","","","","","","","","","","","","","62","12.6","27","3.37","13.8","3.6","1.28","3.67","0.66","4.3","0.91","2.84","0.36","2.54","0.41","2.4","0.6","","","","","","","","","","","2.3","0.4","","","","","","","","","","","","","","","","","","","","","","","","","313243",
"[8520]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT - PROTEROZOIC / ANATOLIA / WESTERN ANATOLIAN VOLCANIC BELT / GÖGEBAKAN FORMATION","NEAR CELILOGLU VILLAGE AND NE OF TASOLUK VILLAGE, NEAR SANDIKLI","38.46","38.46","30.27","30.27","SUBAERIAL","","","s 39 [8520]","DOLERITE [8520]","","","LOWER [8520]","CAMBRIAN [8520]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [8520] ","45.93","1.32","","15.25","0.029","","","11.77","8.6","8.03","0.18","","0.09","3.77","0.13","","","","","","","","","","","","","","","","3.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","47","7912.07","365","","","","56","93","","150","21.3","","","","","1.8","412.8","35.7","95.4","5.5","","","","","","","","","","","","","94","7.9","17","2.45","12.4","3.3","1.59","5.23","0.95","6.32","1.3","4.08","0.52","3.98","0.59","2.6","0.3","","","","","","","","","","","0.7","0.1","","","","","","","","","","","","","","","","","","","","","","","","","313244",
"[8520]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT - PROTEROZOIC / ANATOLIA / WESTERN ANATOLIAN VOLCANIC BELT / GÖGEBAKAN FORMATION","NEAR CELILOGLU VILLAGE AND NE OF TASOLUK VILLAGE, NEAR SANDIKLI","38.46","38.46","30.27","30.27","SUBAERIAL","","","s 401 [8520]","DOLERITE [8520]","","","LOWER [8520]","CAMBRIAN [8520]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [8520] ","45.79","1.26","","15.1","0.038","","","11.82","7.3","9.22","0.35","","0.58","3.75","0.14","","","","","","","","","","","","","","","","3.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","45","7552.43","336","","","","64.4","123","","417","20","","","","","16.3","214.1","31.7","89.2","5.1","","","","","","","","","","","","","438","7.2","15.8","2.35","11","3.3","1.23","4.6","0.87","5.72","1.19","3.74","0.49","3.49","0.5","2.5","0.3","","","","","","","","","","","0.5","0","","","","","","","","","","","","","","","","","","","","","","","","","313245",
"[8520]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT - PROTEROZOIC / ANATOLIA / WESTERN ANATOLIAN VOLCANIC BELT / GÖGEBAKAN FORMATION","NEAR CELILOGLU VILLAGE AND NE OF TASOLUK VILLAGE, NEAR SANDIKLI","38.46","38.46","30.27","30.27","SUBAERIAL","","","s 456A [8520]","DOLERITE [8520]","","","LOWER [8520]","CAMBRIAN [8520]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [8520] ","46.62","1.27","","15.01","0.034","","","11.76","7.88","8.13","0.18","","0.53","3.35","0.14","","","","","","","","","","","","","","","","4.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","7612.37","386","","","","60.2","96","","132","21.2","","","","","16.3","287.3","32","91.8","4.9","","","","","","","","","","","","","168","6.8","15.9","2.3","11","3.3","1.24","4.66","0.83","5.98","1.23","3.7","0.55","3.48","0.54","2.8","0.3","","","","","","","","","","","0.6","0","","","","","","","","","","","","","","","","","","","","","","","","","313246",
"[8520]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT - PROTEROZOIC / ANATOLIA / WESTERN ANATOLIAN VOLCANIC BELT / GÖGEBAKAN FORMATION","NEAR CELILOGLU VILLAGE AND NE OF TASOLUK VILLAGE, NEAR SANDIKLI","38.46","38.46","30.27","30.27","SUBAERIAL","","","s 479 [8520]","DOLERITE [8520]","","","LOWER [8520]","CAMBRIAN [8520]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [8520] ","46.79","0.78","","14.95","0.09","","","9.15","6.67","11.99","0.42","","0.37","3.75","0.09","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","4670.31","226","","","","48.7","259","","230","13.4","","","","","13.8","145.2","16","60.2","3.7","","","","","","","","","","","","","144","3.5","8.2","1.21","5.4","1.7","0.39","2.22","0.41","2.85","0.62","1.96","0.27","1.92","0.31","1.9","0.3","","","","","","","","","","","0.6","0.2","","","","","","","","","","","","","","","","","","","","","","","","","313247",
"[8520]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT - PROTEROZOIC / ANATOLIA / WESTERN ANATOLIAN VOLCANIC BELT / GÖGEBAKAN FORMATION","NEAR CELILOGLU VILLAGE AND NE OF TASOLUK VILLAGE, NEAR SANDIKLI","38.46","38.46","30.27","30.27","SUBAERIAL","","","s 460 [8520]","DOLERITE [8520]","","","LOWER [8520]","CAMBRIAN [8520]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [8520] ","47.2","1.27","","14.88","0.036","","","12.31","5.34","8.23","0.19","","0.05","4.52","0.14","","","","","","","","","","","","","","","","4.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","46","7612.37","296","","","","50.7","111","","154","18.1","","","","","1.1","84.1","29.2","81.6","4.3","","","","","","","","","","","","","44","6.3","14.5","2.06","10.6","2.8","1.25","3.93","0.73","4.98","1.11","3.26","0.45","3.01","0.44","2.2","0","","","","","","","","","","","0.4","0","","","","","","","","","","","","","","","","","","","","","","","","","313248",
"[8520]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT - PROTEROZOIC / ANATOLIA / WESTERN ANATOLIAN VOLCANIC BELT / GÖGEBAKAN FORMATION","NEAR CELILOGLU VILLAGE AND NE OF TASOLUK VILLAGE, NEAR SANDIKLI","38.46","38.46","30.27","30.27","SUBAERIAL","","","s 622 [8520]","DOLERITE [8520]","","","LOWER [8520]","CAMBRIAN [8520]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [8520] ","48.23","0.61","","16.48","0.05","","","8.71","5.77","9.62","0.33","","0.11","4.97","0.04","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","3656.33","195","","","","43.6","158","","612","14","","","","","1.7","249.6","20.5","71.7","2.5","","","","","","","","","","","","","66","6.7","13.7","1.71","7.4","2","0.71","2.81","0.49","3.53","0.77","2.44","0.35","2.44","0.35","2.1","0.2","","","","","","","","","","","1.8","0.4","","","","","","","","","","","","","","","","","","","","","","","","","313249",
"[8520]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT - PROTEROZOIC / ANATOLIA / WESTERN ANATOLIAN VOLCANIC BELT / GÖGEBAKAN FORMATION","NEAR CELILOGLU VILLAGE AND NE OF TASOLUK VILLAGE, NEAR SANDIKLI","38.46","38.46","30.27","30.27","SUBAERIAL","","","s 881 [8520]","DOLERITE [8520]","","","LOWER [8520]","CAMBRIAN [8520]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [8520] ","47.64","0.9","","15.15","0.033","","","10.22","8.69","8.75","0.19","","0.17","3.95","0.07","","","","","","","","","","","","","","","","3.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","5394.59","269","","","","45.2","84","","89","18.6","","","","","5.9","252.3","24.7","50","2.3","","","","","","","","","","","","","63","3.5","7.8","1.27","7.2","2.3","0.94","3.14","0.61","4.26","0.94","2.79","0.38","2.67","0.38","1.5","0.1","","","","","","","","","","","0.6","0.3","","","","","","","","","","","","","","","","","","","","","","","","","313250",
"[8520]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT - PROTEROZOIC / ANATOLIA / WESTERN ANATOLIAN VOLCANIC BELT / GÖGEBAKAN FORMATION","NEAR CELILOGLU VILLAGE AND NE OF TASOLUK VILLAGE, NEAR SANDIKLI","38.46","38.46","30.27","30.27","SUBAERIAL","","","s SGT54 [8520]","DOLERITE [8520]","","","LOWER [8520]","CAMBRIAN [8520]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [8520] ","47.01","0.76","","15.17","0.086","","","9.03","9.22","11.3","0.23","","0.11","3.03","0.09","","","","","","","","","","","","","","","","2.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","4555.43","221","","","","45.9","201","","152","15.4","","","","","3.5","336.8","20.4","54.1","3.1","","","","","","","","","","","","","51","5.2","11.5","1.45","6.8","2","0.84","2.7","0.5","3.38","0.76","2.42","0.33","2.26","0.34","1.8","0.2","","","","","","","","","","","0.8","0.2","","","","","","","","","","","","","","","","","","","","","","","","","313251",
