"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[5181]","INTRAPLATE VOLCANICS","ANDEAN BASINS - MESOZOIC / ARGENTINA / QUEBRADA LAS CONCHAS / CERRO AMARILLO","","-25.93","-25.93","-65.57","-65.57","SUBAERIAL","","","s A-93M [5181]","NOT GIVEN [5181]","","","","","","","","FINE-GRAINED MATRIX [5181] ","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [5181] ","45.9","2.5","","15.8","","10.1","","","7.7","5.7","0.16","","3.6","3.1","0.75","","","","","","","","","","","","","","","","4.21","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","","201","117","","","33","80","39","100","18","","","","","202","687","29","270","75","","","","","","","","","","","","","887","54.7","99.6","11.6","41.4","7.36","2.22","6.58","0.9","4.95","0.92","2.44","0.33","2.09","0.31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","127951",
"[5181]","INTRAPLATE VOLCANICS","ANDEAN BASINS - MESOZOIC / ARGENTINA / QUEBRADA LAS CONCHAS / CERRO AMARILLO","","-25.93","-25.93","-65.57","-65.57","SUBAERIAL","","","s A-93B [5181]","NOT GIVEN [5181]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [5181] ","47","2.5","","15.8","","10.2","","","7.9","5.7","0.17","","3.5","3.3","0.92","","","","","","","","","","","","","","","","4.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","","185","98","","","35","78","23","97","19","","","","","195","697","19","246","68","","","","","","","","","","","","","869","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","127952",
"[5181]","INTRAPLATE VOLCANICS","ANDEAN BASINS - MESOZOIC / ARGENTINA / QUEBRADA LAS CONCHAS / CERRO AMARILLO","","-25.93","-25.93","-65.57","-65.57","SUBAERIAL","","","s A-95 [5181]","NOT GIVEN [5181]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [5181] ","43.8","2.3","","12.6","","13.7","","","9.2","10.8","0.2","","0.6","3.2","0.78","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","","189","444","","","62","338","72","116","22","","","","","18","1160","32","287","86","","","","","","","","","","","","","829","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","127953",
"[5181]","INTRAPLATE VOLCANICS","ANDEAN BASINS - MESOZOIC / ARGENTINA / QUEBRADA LAS CONCHAS / CERRO AMARILLO","","-25.93","-25.93","-65.57","-65.57","SUBAERIAL","","","s A-95 [5181]","NOT GIVEN [5181]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [5181] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.3","1128","29.1","267","","","","","","","","","","","","","24.55","807","67.4","119","13.1","45.6","8.39","2.73","7.95","1.09","5.93","1.09","2.83","0.37","2.28","0.34","5.91","","","","","","","","","","5.26","","11.1","2.48","","","","","","","","","","","","","","","","","","","","","","","","","127954",
"[5181]","INTRAPLATE VOLCANICS","ANDEAN BASINS - MESOZOIC / ARGENTINA / QUEBRADA LAS CONCHAS / CERRO AMARILLO","","-25.93","-25.93","-65.57","-65.57","SUBAERIAL","","","s A-97 [5181]","NOT GIVEN [5181]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [5181] ","43.8","2.3","","12.2","","13.4","","","9","11.5","0.2","","1.5","2.4","0.78","","","","","","","","","","","","","","","","3.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","","176","489","","","62","389","68","106","18","","","","","17","923","29","272","87","","","","","","","","","","","","","792","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","127955",
"[5181]","INTRAPLATE VOLCANICS","ANDEAN BASINS - MESOZOIC / ARGENTINA / QUEBRADA LAS CONCHAS / CERRO AMARILLO","","-25.93","-25.93","-65.57","-65.57","SUBAERIAL","","","s 4/149 [5181]","NOT GIVEN [5181]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [5181] ","43.5","2.2","","12.2","","13.3","","","9","11.2","0.2","","1.4","2.7","0.77","","","","","","","","","","","","","","","","3.29","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","","182","470","","","64","396","71","109","18","","","","","25","952","31","272","86","","","","","","","","","","","","","847","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","127956",
"[5181]","INTRAPLATE VOLCANICS","ANDEAN BASINS - MESOZOIC / ARGENTINA / QUEBRADA LAS CONCHAS / EL SAPO","","-25.87","-25.87","-65.59","-65.59","SUBAERIAL","","","s A-78M [5181]","NOT GIVEN [5181]","","","","","","","","FINE-GRAINED MATRIX [5181] ","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [5181] ","42.9","2.6","","13.7","","12.3","","","11.1","10.1","0.21","","1.4","4.3","0.89","","","","","","","","","","","","","","","","0.73","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","","273","281","","","48","223","69","96","16","","","","","28","875","35","274","90","","","","","","","","","","","","","662","66","117","14","48","8.76","2.8","7.94","1.13","6.32","1.18","3.11","0.43","2.67","0.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","127957",
"[5181]","INTRAPLATE VOLCANICS","ANDEAN BASINS - MESOZOIC / ARGENTINA / QUEBRADA LAS CONCHAS / EL SAPO","","-25.87","-25.87","-65.59","-65.59","SUBAERIAL","","","s A-78B [5181]","NOT GIVEN [5181]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [5181] ","42.7","2.5","","13.1","","12.6","","","11","11.2","0.23","","1.3","4.3","1.05","","","","","","","","","","","","","","","","0.84","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","","244","334","","","65","282","38","94","19","","","","","26","846","31","229","80","","","","","","","","","","","","","657","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","127958",
"[5181]","INTRAPLATE VOLCANICS","ANDEAN BASINS - MESOZOIC / ARGENTINA / QUEBRADA LAS CONCHAS / EL SAPO","","-25.87","-25.87","-65.59","-65.59","SUBAERIAL","","","s A-79 [5181]","NOT GIVEN [5181]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [5181] ","43.3","2.5","","13.5","","12.3","","","10.5","10.8","0.21","","1.2","4.1","0.84","","","","","","","","","","","","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","","250","326","","","64","284","71","88","23","","","","","23","817","34","272","87","","","","","","","","","","","","","637","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","127959",
"[5181]","INTRAPLATE VOLCANICS","ANDEAN BASINS - MESOZOIC / ARGENTINA / QUEBRADA LAS CONCHAS / EL SAPO","","-25.87","-25.87","-65.59","-65.59","SUBAERIAL","","","s A-82 [5181]","NOT GIVEN [5181]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [5181] ","43.3","2.5","","13.3","","12.3","","","10.9","11.1","0.21","","1.6","3.7","0.9","","","","","","","","","","","","","","","","0.84","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","","263","355","","","59","272","55","91","17","","","","","26","889","33","260","87","","","","","","","","","","","","","691","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","127960",
