"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20015]","RIFT VOLCANICS","ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / ROSS SEA RIFT / MOUNT MELBOURNE","CAPE WASHINGTON, VICTORIA LAND, MELBOURNE VOLCANIC PROVINCE, MCMURDO VOLCANIC GROUP","-74.4","-74.4","164.7","164.7","SUBAERIAL","","","s NV-15B [20015]","NOT GIVEN [20015]","","","","CENOZOIC [20015]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20015] ","42.02","3.16","","12.15","","","","11.71","9.84","10.82","0.18","","1.52","3.61","0.76","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","184","227","","","","388","132","93","","","","","","34","817","34","336","80","","","","","","","","","","","","","425","60","103","12.6","51","10.9","3.3","11","1.4","6.6","1.1","2.8","","2.5","0.4","7.9","5.9","","","","","","","","","2.2","","8.2","1.7","0.51297","","","0.70287","","","","","","","","","","","","","","0.28305","","","","","","","1011355",
"[20015]","RIFT VOLCANICS","ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / ROSS SEA RIFT / MOUNT MELBOURNE","CAPE WASHINGTON, VICTORIA LAND, MELBOURNE VOLCANIC PROVINCE, MCMURDO VOLCANIC GROUP","-74.4","-74.4","164.7","164.7","SUBAERIAL","","","s NV-15 [20015]","NOT GIVEN [20015]","","","","CENOZOIC [20015]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20015] ","40.92","3.5","","12.06","","","","12.61","9.86","9.08","0.19","","1.37","3.43","1.29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","187","198","","","","461","111","102","","","","","","24","844","35","319","62","","","","","","","","","","","","","328","51","95","12.6","54","11.6","3.4","11","1.4","7","1.1","2.8","","2.5","0.4","7.7","4.8","","","","","","","","","1.5","","5.6","1.2","0.51293","","","0.7034","","19.817","","15.596","","39.33","","","","","","","","0.28301","","","","","","","1011356",
"[20015]","RIFT VOLCANICS","ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / ROSS SEA RIFT / MOUNT MELBOURNE","OSCAR POINT, VICTORIA LAND, MCMURDO VOLCANIC GROUP","-74.35","-74.35","164.53","164.53","SUBAERIAL","","","s NV-14C [20015]","NOT GIVEN [20015]","","","","CENOZOIC [20015]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20015] ","44.66","2.73","","15.96","","","","10.86","9.57","5.97","0.18","","1.23","3.55","0.66","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","166","75","","","","281","182","84","","","","","","17","846","25","172","44","","","","","","","","","","","","","616","35","65","8.5","37","7.8","3.3","8","1","5","0.8","2.2","","2","0.3","4.1","3.4","","","","","","","","","1.8","","3.8","0.8","0.51296","","","0.7033","","19.563","","15.604","","39.242","","","","","","","","0.28304","","","","","","","1011357",
"[20015]","RIFT VOLCANICS","ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / ROSS SEA RIFT / MOUNT MELBOURNE","OSCAR POINT, VICTORIA LAND, MCMURDO VOLCANIC GROUP","-74.35","-74.35","164.53","164.53","SUBAERIAL","","","s NV-14A [20015]","NOT GIVEN [20015]","","","","CENOZOIC [20015]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20015] ","43.42","3.27","","15.61","","","","11.95","9.61","6.33","0.18","","1.12","3.55","0.79","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","180","85","","","","213","65","85","","","","","","18","839","30","201","52","","","","","","","","","","","","","307","40","74","9.6","41","8.9","2.9","9","1.2","5.7","1","2.6","","2.3","0.3","4.7","3.8","","","","","","","","","1.1","","4.1","0.8","0.5129","","","0.70267","","19.673","","15.603","","39.251","","","","","","","","0.28302","","","","","","","1011358",
"[20015]","RIFT VOLCANICS","ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / ROSS SEA RIFT / MOUNT MELBOURNE","SHIELD NUNATAK, VICTORIA LAND, MCMURDO VOLCANIC GROUP","-74.55","-74.55","164.5","164.5","SUBAERIAL","","","s NV-13A [20015]","NOT GIVEN [20015]","","","","CENOZOIC [20015]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20015] ","43.19","2.91","","13.48","","","","11.48","11.25","8.95","0.17","","0.77","2.66","0.69","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","226","343","","","","193","57","79","","","","","","13","642","23","153","36","","","","","","","","","","","","","244","29","58","7.4","32","6.7","2.4","7","0.9","4.3","0.7","1.9","","1.7","0.2","3.1","2.5","","","","","","","","","1.1","","2.7","0.6","0.51294","","","0.70338","","19.651","","15.638","","39.361","","","","","","","","0.28305","","","","","","","1011359",
"[20015]","RIFT VOLCANICS","ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / ROSS SEA RIFT / MOUNT MELBOURNE","EDMONSON POINT, VICTORIA LAND, MCMURDO VOLCANIC GROUP","-74.4","-74.4","165","165","SUBAERIAL","","","s NV-12A [20015]","NOT GIVEN [20015]","","","","CENOZOIC [20015]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20015] ","56.53","0.94","","15.96","","","","8.31","3.54","1.01","0.22","","3.81","5.8","0.29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","4","","","","162","119","124","","","","","","78","433","53","538","121","","","","","","","","","","","","","1207","83","148","17.8","70","14.6","4.5","14","2","10.2","1.7","4.6","","4.6","0.7","12.4","8.7","","","","","","","","","8.4","","14.3","2.7","","","","","","","","","","","","","","","","","","","","","","","","","1011360",
"[20015]","RIFT VOLCANICS","ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / ROSS SEA RIFT","BAKER ROCKS, VICTORIA LAND, MCMURDO VOLCANIC GROUP","-74.6","-74.6","164.6","164.6","SUBAERIAL","","","s NV-11B [20015]","NOT GIVEN [20015]","","","","CENOZOIC [20015]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20015] ","44.96","2.65","","16.51","","","","10.95","9.71","4.98","0.19","","1.12","3.58","1.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","132","62","","","","282","198","89","","","","","","13","900","28","196","43","","","","","","","","","","","","","647","40","74","9.8","44","9.6","3.9","9","1.1","5.6","0.9","2.4","","2.1","0.3","4","3.3","","","","","","","","","1.7","","4","0.7","0.51288","","","0.70394","","19.229","","15.623","","39.329","","","","","","","","0.283","","","","","","","1011361",
"[20015]","RIFT VOLCANICS","ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / ROSS SEA RIFT / MOUNT MELBOURNE","DOWNSHIRE CLIFFS, VICTORIA LAND","-71.62","-71.62","170.6","170.6","SUBAERIAL","","","s NV-6E [20015]","NOT GIVEN [20015]","","","","CENOZOIC [20015]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20015] ","39.25","3.55","","12.56","","","","11.99","10.09","9.21","0.16","","0.86","3.53","0.68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","235","225","","","","435","226","75","","","","","","21","800","30","225","58","","","","","","","","","","","","","323","43","78","10.3","44","9.7","2.9","9","1.2","5.9","1","2.6","","2.4","0.3","5.6","4.4","","","","","","","","","1.7","","4.6","1","","","","","","","","","","","","","","","","","","","","","","","","","1011362",
"[20015]","RIFT VOLCANICS","ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / ROSS SEA RIFT / MOUNT MELBOURNE","DOWNSHIRE CLIFFS, VICTORIA LAND","-71.62","-71.62","170.6","170.6","SUBAERIAL","","","s VC-21 [20015]","NOT GIVEN [20015]","","","","CENOZOIC [20015]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20015] ","41.46","2.99","","13.43","","","","11.86","10.28","6.52","0.17","","1.42","3.47","0.65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","240","218","","","","373","206","80","","","","","","75","695","30","311","68","","","","","","","","","","","","","419","49","84","10.6","44","9.1","2.8","9","1.2","5.7","1","2.5","","2.4","0.4","5.3","5.1","","","","","","","","","1.9","","6.4","2.3","","","","","","","","","","","","","","","","","","","","","","","","","1011363",
"[20015]","RIFT VOLCANICS","ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / ROSS SEA RIFT","FOYN ISLAND, TRANSANTARCTIC MOUNTAINS, MCMURDO VOLCANIC GROUP","-71.88","-71.88","171.23","171.23","SUBAERIAL","","","s NV-4B [20015]","NOT GIVEN [20015]","","","","CENOZOIC [20015]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20015] ","42.94","2.67","","12.79","","","","11.18","10.38","10.7","0.18","","0.94","2.98","0.54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","209","395","","","","411","101","78","","","","","","16","592","27","203","53","","","","","","","","","","","","","269","39","70","8.8","36","7.6","2.3","7","1","5.1","0.8","2.3","","2.1","0.3","4.6","3.8","","","","","","","","","1","","4.6","0.9","","","","","","","","","","","","","","","","","","","","","","","","","1011364",
