"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[7224]","INTRAPLATE VOLCANICS","ANTARCTICA - PROTEROZOIC / EASTERN ANTARCTICA / ENDERBY LAND","RAYNER GLACIER","-65","-70","-50","-55","SUBAERIAL","","","s 77284758 [7224]","BASALT [7224]","","","","PROTEROZOIC [7224]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [7224] ","55","0.62","","14.09","","","","9.39","8.68","7.6","0.17","","1.14","1.69","0.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3720","197","462","","","","139","","","","","","","","57","109","17","93","5","","","","","","","","","","","","","237","18","30","","13.86","2.923","","","","","","","","","","","","","","","","","","","","","","","","0.510656","","","","","","","","","","","","","","","","","","","","","","","","182818",
"[7224]","INTRAPLATE VOLCANICS","ANTARCTICA - PROTEROZOIC / EASTERN ANTARCTICA / VESTFOLD HILLS","","-70","-70","-80","-80","SUBAERIAL","","","s 65280007 [7224]","BASALT [7224]","","","","PROTEROZOIC [7224]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [7224] ","55.7","0.67","","11.07","","","","10.22","7.05","10.67","0.16","","1.14","1.48","0.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34","4020","182","993","","","","236","","","","","","","","56","111","18","106","6","","","","","","","","","","","","","253","18","33","","15.05","3.22","","","","","","","","","","","","","","","","","","","","","","","","0.510695","","","","","","","","","","","","","","","","","","","","","","","","182819",
"[9961]","INTRAPLATE VOLCANICS","ANTARCTICA - PROTEROZOIC / EASTERN ANTARCTICA / VESTFOLD HILLS","","-70","-70","-80","-80","SUBAERIAL","","","s VHD85A [9961]","LAMPROPHYRE [9961]","1300000000 [9961]","1300000000 [9961]","MESO [9961]","PROTEROZOIC [9961]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [9961] ","39.8","2.29","","5.7","","","","12.2","8.2","18.78","0.18","","2.24","0.53","0.56","","","","","","","","","","","","","","","","7.79","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","","167","637","","","76","790","57","135","","","","","","58","741","23","246","47","","","","","","","","","","","","23","900","65","147","","","","","","","","","","","","","","","","","","","","","","","11","","10","","","","","","","","","","","","","","","","","","","","","","","","","","412109",
"[9961]","INTRAPLATE VOLCANICS","ANTARCTICA - PROTEROZOIC / EASTERN ANTARCTICA / VESTFOLD HILLS","","-70","-70","-80","-80","SUBAERIAL","","","s VHD96A [9961]","LAMPROPHYRE [9961]","1300000000 [9961]","1300000000 [9961]","MESO [9961]","PROTEROZOIC [9961]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [9961] ","39.99","2.64","","5.71","","","","14.09","9.32","21.13","0.2","","1.79","1.77","0.64","","","","","","","","","","","","","","","","1.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","","188","757","","","107","748","68","126","","","","","","60","1019","26","207","52","","","","","","","","","","","","21","1947","81","153","","","","","","","","","","","","","","","","","","","","","","","20","","10","","","","","","","","","","","","","","","","","","","","","","","","","","412110",
"[9961]","INTRAPLATE VOLCANICS","ANTARCTICA - PROTEROZOIC / EASTERN ANTARCTICA / VESTFOLD HILLS","","-70","-70","-80","-80","SUBAERIAL","","","s VHD95B [9961]","LAMPROPHYRE [9961]","1300000000 [9961]","1300000000 [9961]","MESO [9961]","PROTEROZOIC [9961]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [9961] ","41.03","2.82","","8.04","","","","12.78","9.92","14.58","0.18","","2.14","2.02","0.43","","","","","","","","","","","","","","","","4.27","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","","194","613","","","66","472","91","117","","","","","","71","656","20","228","59","","","","","","","","","","","","18","970","46","97","","","","","","","","","","","","","","","","","","","","","","","9","","10","","","","","","","","","","","","","","","","","","","","","","","","","","412111",
"[9961]","INTRAPLATE VOLCANICS","ANTARCTICA - PROTEROZOIC / EASTERN ANTARCTICA / VESTFOLD HILLS","","-70","-70","-80","-80","SUBAERIAL","","","s VHD14 [9961]","LAMPROPHYRE [9961]","1300000000 [9961]","1300000000 [9961]","MESO [9961]","PROTEROZOIC [9961]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [9961] ","41.71","4.48","","7.25","","","","13.84","9.35","13.29","0.16","","2.24","1.74","0.49","","","","","","","","","","","","","","","","3.62","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","","242","561","","","86","514","84","146","","","","","","62","705","23","274","43","","","","","","","","","","","","21","1270","47","94","","","","","","","","","","","","","","","","","","","","","","","4","","5","","","","","","","","","","","","","","","","","","","","","","","","","","412112",
"[9961]","INTRAPLATE VOLCANICS","ANTARCTICA - PROTEROZOIC / EASTERN ANTARCTICA / VESTFOLD HILLS","","-70","-70","-80","-80","SUBAERIAL","","","s VHD85B [9961]","LAMPROPHYRE [9961]","1300000000 [9961]","1300000000 [9961]","MESO [9961]","PROTEROZOIC [9961]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [9961] ","41.92","3.49","","9.08","","","","12.76","9.7","9.57","0.18","","2.55","2.11","0.93","","","","","","","","","","","","","","","","4.56","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","","236","415","","","60","256","125","136","","","","","","78","1220","34","400","80","","","","","","","","","","","","28","1478","111","237","","","","","","","","","","","","","","","","","","","","","","","21","","17","","","","","","","","","","","","","","","","","","","","","","","","","","412113",
"[9961]","INTRAPLATE VOLCANICS","ANTARCTICA - PROTEROZOIC / EASTERN ANTARCTICA / VESTFOLD HILLS","","-70","-70","-80","-80","SUBAERIAL","","","s VHD115 [9961]","LAMPROPHYRE [9961]","1300000000 [9961]","1300000000 [9961]","MESO [9961]","PROTEROZOIC [9961]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [9961] ","45.02","2.54","","9.34","","","","12.26","10.15","13.17","0.16","","1.44","1.94","0.28","","","","","","","","","","","","","","","","0.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","","218","549","","","84","418","80","114","","","","","","50","452","22","170","44","","","","","","","","","","","","16","890","32","72","","","","","","","","","","","","","","","","","","","","","","","6","","3","","","","","","","","","","","","","","","","","","","","","","","","","","412114",
"[9961]","INTRAPLATE VOLCANICS","ANTARCTICA - PROTEROZOIC / EASTERN ANTARCTICA / VESTFOLD HILLS","","-70","-70","-80","-80","SUBAERIAL","","","s VHD83 [9961]","LAMPROPHYRE [9961]","1300000000 [9961]","1300000000 [9961]","MESO [9961]","PROTEROZOIC [9961]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [9961] ","46.33","3.22","","11.81","","","","11.92","7.95","8.47","0.15","","3.02","3.04","0.98","","","","","","","","","","","","","","","","0.93","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","","135","174","","","64","247","67","161","","","","","","89","1529","40","476","86","","","","","","","","","","","","25","1530","136","288","","","","","","","","","","","","","","","","","","","","","","","27","","22","","","","","","","","","","","","","","","","","","","","","","","","","","412115",
"[9961]","INTRAPLATE VOLCANICS","ANTARCTICA - PROTEROZOIC / EASTERN ANTARCTICA / VESTFOLD HILLS","","-70","-70","-80","-80","SUBAERIAL","","","s VHD93 [9961]","THOLEIITE [9961]","1300000000 [9961]","1300000000 [9961]","MESO [9961]","PROTEROZOIC [9961]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [9961] ","48.22","2.12","","13.39","","","","14.01","10.69","6.87","0.23","","0.49","2.12","0.21","","","","","","","","","","","","","","","","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","41","","357","218","","","65","65","84","115","","","","","","26","144","45","132","12","","","","","","","","","","","","15","237","13","29","","","","","","","","","","","","","","","","","","","","","","","5","","7","","","","","","","","","","","","","","","","","","","","","","","","","","412116",
