"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[7258]","INTRAPLATE VOLCANICS","ANTARCTICA/PATAGONIA - MESOZOIC / ANTARCTICA / ANTARCTIC PENINSULA","STANDRING INLET, OSCAR II COAST","-65.9443","-65.9443","-61.0042","-61.0042","SUBAERIAL","","","s R.6642.6A [7258]","BASALT [7258]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [7258] ","53.07","0.73","","15.55","","9.4","","","8.55","6.46","0.15","","2.3","2.75","0.3","","","","","","","","","","","","","","","","1.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","214","148","","","","49","58","71","17.4","","","","","65.4","1061","13.9","99.9","4.5","","","","","","","","","","","","6.2","766","36.8","76.7","9.8","40.7","6.4","1.69","4.4","0.52","2.55","0.48","1.27","0.17","1.2","0.19","2.5","0.3","","","","","","","","","3.7","","7.6","1.84","0.512675","","","0.705105","","","","","","","","","","","","","","","","","","","","","194061",
"[7258]","INTRAPLATE VOLCANICS","ANTARCTICA/PATAGONIA - MESOZOIC / ANTARCTICA / ANTARCTIC PENINSULA","STANDRING INLET, OSCAR II COAST","-65.9443","-65.9443","-61.0042","-61.0042","SUBAERIAL","","","s R.6642.6B [7258]","BASALT [7258]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [7258] ","52.26","0.74","","15.43","","9.37","","","8.64","6.64","0.16","","2.37","2.76","0.3","","","","","","","","","","","","","","","","1.27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","219","150","","","","47","59","72","20","","","","","70.1","1119.6","14.7","102.6","4.8","","","","","","","","","","","","7.2","749","35.1","77","9.8","41","6.4","1.74","4.5","0.55","2.73","0.49","1.32","0.18","1.2","0.21","2.7","0.39","","","","","","","","","6.4","","8.2","1.95","0.512669","","","0.705144","","","","","","","","","","","","","","","","","","","","","194062",
"[7258]","INTRAPLATE VOLCANICS","ANTARCTICA/PATAGONIA - MESOZOIC / ANTARCTICA / ANTARCTIC PENINSULA","STANDRING INLET, OSCAR II COAST","-65.9443","-65.9443","-61.0042","-61.0042","SUBAERIAL","","","s R.6642.7 [7258]","BASALT [7258]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [7258] ","52.74","0.73","","15.45","","9.33","","","8.69","6.32","0.16","","2.34","2.77","0.3","","","","","","","","","","","","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","226","158","","","","50","55","78","18","","","","","71.1","1108.6","13.9","102.7","4.6","","","","","","","","","","","","8.1","790","37.3","79.2","10.1","42.4","6.6","1.78","4.5","0.52","2.68","0.5","1.26","0.17","1.2","0.19","2.6","0.31","","","","","","","","","6.3","","7.8","1.9","0.512678","","","0.705121","","","","","","","","","","","","","","","","","","","","","194063",
"[7258]","INTRAPLATE VOLCANICS","ANTARCTICA/PATAGONIA - MESOZOIC / ANTARCTICA / ANTARCTIC PENINSULA","STANDRING INLET, OSCAR II COAST","-65.9443","-65.9443","-61.0042","-61.0042","SUBAERIAL","","","s R.6642.8 [7258]","BASALT [7258]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [7258] ","54.05","0.88","","16.9","","9.1","","","8.35","4.63","0.14","","1.88","3.04","0.3","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","249","31","","","","10","22","83","20","","","","","44.7","973.7","15","103.2","4.6","","","","","","","","","","","","2.1","681","23.7","58.2","7.5","31.4","5.4","1.49","4.1","0.53","2.72","0.52","1.37","0.2","1.3","0.2","2.7","0.28","","","","","","","","","5.9","","6.3","1.3","0.512565","","","0.705654","","","","","","","","","","","","","","","","","","","","","194064",
"[7258]","INTRAPLATE VOLCANICS","ANTARCTICA/PATAGONIA - MESOZOIC / ANTARCTICA / ANTARCTIC PENINSULA","STANDRING INLET, OSCAR II COAST","-65.9443","-65.9443","-61.0042","-61.0042","SUBAERIAL","","","s R.6642.9 [7258]","BASALT [7258]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [7258] ","54.31","0.88","","16.85","","9.2","","","8.72","4.43","0.18","","1.88","2.74","0.3","","","","","","","","","","","","","","","","0.65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","242","28","","","","10","21","85","20.7","","","","","51.5","1107.2","16.5","107.6","5","","","","","","","","","","","","3","666","26.4","60.5","7.8","33.5","5.8","1.61","4.3","0.57","2.93","0.54","1.52","0.21","1.4","0.23","2.8","0.29","","","","","","","","","11.1","","6.7","1.28","0.512577","","","0.705598","","","","","","","","","","","","","","","","","","","","","194065",
"[7258]","INTRAPLATE VOLCANICS","ANTARCTICA/PATAGONIA - MESOZOIC / ANTARCTICA / ANTARCTIC PENINSULA","STANDRING INLET, OSCAR II COAST","-65.9443","-65.9443","-61.0042","-61.0042","SUBAERIAL","","","s R.6642.10 [7258]","BASALT [7258]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [7258] ","54.6","0.86","","16.66","","9.15","","","7.98","4.35","0.14","","1.98","3.54","0.29","","","","","","","","","","","","","","","","0.94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","236","30","","","","11","32","81","20.3","","","","","53.1","969.9","15.4","106","5.1","","","","","","","","","","","","2.9","662","25.5","58.8","7.6","32.6","5.6","1.55","4.3","0.54","2.78","0.56","1.42","0.21","1.3","0.21","2.8","0.31","","","","","","","","","9.9","","6.8","1.44","0.512559","","","0.705727","","","","","","","","","","","","","","","","","","","","","194066",
"[7258]","INTRAPLATE VOLCANICS","ANTARCTICA/PATAGONIA - MESOZOIC / ANTARCTICA / ANTARCTIC PENINSULA","STRATTON INLET, OSCAR II COAST","-66.1667","-66.1667","-61.5333","-61.5333","SUBAERIAL","","","s R.6585.1 [7258]","BASALT [7258]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [7258] ","48.14","0.93","","14.92","","12.25","","","12.79","7.23","0.2","","0.77","2.63","0.21","","","","","","","","","","","","","","","","0.44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","231","101","","","","38","17","89","16.4","","","","","14.1","539.9","11","61.6","3.1","","","","","","","","","","","","1.4","211","9.4","20","2.8","12","2.5","0.89","2.4","0.34","1.95","0.39","1.05","0.17","1","0.16","1.5","0.18","","","","","","","","","3.2","","1.1","0.3","0.512488","","","0.706095","","","","","","","","","","","","","","","","","","","","","194067",
"[7258]","INTRAPLATE VOLCANICS","ANTARCTICA/PATAGONIA - MESOZOIC / ANTARCTICA / ANTARCTIC PENINSULA","STRATTON INLET, OSCAR II COAST","-66.1667","-66.1667","-61.5333","-61.5333","SUBAERIAL","","","s R.6585.2 [7258]","BASALT [7258]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [7258] ","49.61","0.82","","17.03","","10.86","","","11.15","7.42","0.17","","0.64","2.02","0.23","","","","","","","","","","","","","","","","0.27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","221","116","","","","38","14","82","16.1","","","","","13.8","547.1","10.5","59.5","3","","","","","","","","","","","","2.2","205","9","19.3","2.7","11.7","2.5","0.88","2.3","0.33","1.89","0.38","1.02","0.16","1","0.16","1.5","0.17","","","","","","","","","3","","1","0.27","0.51248","","","0.706073","","","","","","","","","","","","","","","","","","","","","194068",
"[8772]","INTRAPLATE VOLCANICS","ANTARCTICA/PATAGONIA - MESOZOIC / PATAGONIA / ARGENTINA / ANDESITAS ALVAR FORMATION","EAST OF LONCO TRAPIAL GROUP","-42.5","-43","-69.5","-70","SUBAERIAL","","","s SR 1 [8772]","NOT GIVEN [8772]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [8772] ","62.74","0.56","","17.11","","","","4.96","1.87","1.24","0.05","","2.07","7.04","0.21","","","","","","","","","","","","","","","","2.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","240114",
"[8772]","INTRAPLATE VOLCANICS","ANTARCTICA/PATAGONIA - MESOZOIC / PATAGONIA / ARGENTINA / ANDESITAS ALVAR FORMATION","EAST OF LONCO TRAPIAL GROUP","-42.5","-43","-69.5","-70","SUBAERIAL","","","s SR 3 [8772]","NOT GIVEN [8772]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [8772] ","60.97","0.7","","16.45","","","","4.87","4","2.49","0.06","","2.05","4.98","0.22","","","","","","","","","","","","","","","","3.18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","240115",
