"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20000]","RIFT VOLCANICS","APPALACHIANS / NORTHERN APPALACHIANS / DUNNAGE ZONE - NEWFOUNDLAND / MARY MARCH BROOK GROUP","BUCHANS AREA","49","49","-57","-57","SUBAERIAL","","","s RAX05911 [20000]","RHYOLITE [20000]","","","","ORDOVICIAN [20000]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20000] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.84","4.02","","","","","","","","","","","","","","","","","","","","","","","","0.512362","","","","","","","","","","","","","","","","","","","","","","","","1009545",
"[20000]","RIFT VOLCANICS","APPALACHIANS / NORTHERN APPALACHIANS / DUNNAGE ZONE - NEWFOUNDLAND / MARY MARCH BROOK GROUP","BUCHANS AREA","49","49","-57","-57","SUBAERIAL","","","s RAX06A003 [20000]","NOT GIVEN [20000]","","","","ORDOVICIAN [20000]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20000] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.22","4.38","","","","","","","","","","","","","","","","","","","","","","","","0.512679","","","","","","","","","","","","","","","","","","","","","","","","1009546",
"[20000]","RIFT VOLCANICS","APPALACHIANS / NORTHERN APPALACHIANS / DUNNAGE ZONE - NEWFOUNDLAND / MARY MARCH BROOK GROUP","BUCHANS AREA","49","49","-57","-57","SUBAERIAL","","","s RAX06A012 [20000]","RHYOLITE [20000]","","","","ORDOVICIAN [20000]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20000] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.88","3.04","","","","","","","","","","","","","","","","","","","","","","","","0.512411","","","","","","","","","","","","","","","","","","","","","","","","1009547",
"[20000]","RIFT VOLCANICS","APPALACHIANS / NORTHERN APPALACHIANS / DUNNAGE ZONE - NEWFOUNDLAND / MARY MARCH BROOK GROUP","BUCHANS AREA","49","49","-57","-57","SUBAERIAL","","","s RAX06A013 [20000]","NOT GIVEN [20000]","","","","ORDOVICIAN [20000]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20000] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.04","2.06","","","","","","","","","","","","","","","","","","","","","","","","0.512789","","","","","","","","","","","","","","","","","","","","","","","","1009548",
"[20000]","RIFT VOLCANICS","APPALACHIANS / NORTHERN APPALACHIANS / DUNNAGE ZONE - NEWFOUNDLAND / MARY MARCH BROOK GROUP","BUCHANS AREA","49","49","-57","-57","SUBAERIAL","","","s RAX06A029 [20000]","NOT GIVEN [20000]","","","","ORDOVICIAN [20000]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20000] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.01","4.62","","","","","","","","","","","","","","","","","","","","","","","","0.512911","","","","","","","","","","","","","","","","","","","","","","","","1009549",
"[20000]","RIFT VOLCANICS","APPALACHIANS / NORTHERN APPALACHIANS / DUNNAGE ZONE - NEWFOUNDLAND / MARY MARCH BROOK GROUP","BUCHANS AREA","49","49","-57","-57","SUBAERIAL","","","s RAX06A030 [20000]","NOT GIVEN [20000]","","","","ORDOVICIAN [20000]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20000] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.54","1.35","","","","","","","","","","","","","","","","","","","","","","","","0.512968","","","","","","","","","","","","","","","","","","","","","","","","1009550",
"[20000]","RIFT VOLCANICS","APPALACHIANS / NORTHERN APPALACHIANS / DUNNAGE ZONE - NEWFOUNDLAND / MARY MARCH BROOK GROUP","BUCHANS AREA","49","49","-57","-57","SUBAERIAL","","","s RAX06A034 [20000]","NOT GIVEN [20000]","","","","ORDOVICIAN [20000]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20000] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.23","3.13","","","","","","","","","","","","","","","","","","","","","","","","0.512813","","","","","","","","","","","","","","","","","","","","","","","","1009551",
"[20000]","RIFT VOLCANICS","APPALACHIANS / NORTHERN APPALACHIANS / DUNNAGE ZONE - NEWFOUNDLAND / MARY MARCH BROOK GROUP","BUCHANS AREA","49","49","-57","-57","SUBAERIAL","","","s RAX06A083 [20000]","NOT GIVEN [20000]","","","","ORDOVICIAN [20000]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20000] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.89","1.23","","","","","","","","","","","","","","","","","","","","","","","","0.512786","","","","","","","","","","","","","","","","","","","","","","","","1009552",
"[20000]","RIFT VOLCANICS","APPALACHIANS / NORTHERN APPALACHIANS / DUNNAGE ZONE - NEWFOUNDLAND / MARY MARCH BROOK GROUP","BUCHANS AREA","49","49","-57","-57","SUBAERIAL","","","s RAX06A084 [20000]","NOT GIVEN [20000]","","","","ORDOVICIAN [20000]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20000] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.78","2.05","","","","","","","","","","","","","","","","","","","","","","","","0.512721","","","","","","","","","","","","","","","","","","","","","","","","1009553",
"[20000]","RIFT VOLCANICS","APPALACHIANS / NORTHERN APPALACHIANS / DUNNAGE ZONE - NEWFOUNDLAND / MARY MARCH BROOK GROUP","BUCHANS AREA","49","49","-57","-57","SUBAERIAL","","","s RAX06A109 [20000]","NOT GIVEN [20000]","","","","ORDOVICIAN [20000]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20000] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.16","4.04","","","","","","","","","","","","","","","","","","","","","","","","0.51253","","","","","","","","","","","","","","","","","","","","","","","","1009554",
