"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20029]","INTRAPLATE VOLCANICS","ARABIAN-NUBIAN SHIELD - CENOZOIC/QUATERNARY / JORDAN / HARRAT ASH SHAAM (SHAMAH) VOLCANIC FIELD / ABU TARBUSH","","32","32","36","36","SUBAERIAL","","","s ABT5 [20029]","NORITE [20029]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20029] ","48.3","1.9","","15.75","","","","10.35","8.75","5.7","0.21","","0.82","3.27","1.91","","","","","","","","","","","","","","","0.02","1.58","","","","","","","","","","","","","","10","","","","","","","","","","","","","","15","","101","10","","","33","14","63","91","16.6","","","0.8","","5.5","632","21.4","23","12.9","","","","","","","","","","0.01","","0.05","154","15.4","38.6","5.5","26.4","6.26","2.19","5.97","0.82","4.35","0.76","1.78","0.2","1.27","0.18","0.8","0.8","","","","","","","","","0.47","","0.2","0.12","0.512596","","","0.702989","","18.639","","15.594","","38.424","","","","","","","","","","","","","","","1011930",
"[20029]","INTRAPLATE VOLCANICS","ARABIAN-NUBIAN SHIELD - CENOZOIC/QUATERNARY / JORDAN / HARRAT ASH SHAAM (SHAMAH) VOLCANIC FIELD / ABU TARBUSH","","32","32","36","36","SUBAERIAL","","","s ABT6 [20029]","NORITE [20029]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20029] ","47.3","1.88","","17.3","","","","8.59","9.88","4.1","0.16","","0.81","3.81","2.7","","","","","","","","","","","","","","","0.02","1.36","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","","90","10","","","25","12","70","64","18.2","","","1.1","","6","712","28.8","24","13.5","","","","","","","","","","0.02","","","141.5","20.7","54.3","7.89","37.8","8.79","2.88","8.47","1.19","5.77","1.02","2.64","0.3","1.6","0.22","0.8","0.8","","","","","","","","","0.39","","0.27","0.11","0.512597","","","0.702936","","18.828","","15.611","","38.673","","","","","","","","","","","","","","","1011931",
"[20029]","INTRAPLATE VOLCANICS","ARABIAN-NUBIAN SHIELD - CENOZOIC/QUATERNARY / JORDAN / HARRAT ASH SHAAM (SHAMAH) VOLCANIC FIELD / ABU TARBUSH","","32","32","36","36","SUBAERIAL","","","s ABT8 [20029]","GABBRONORITE [20029]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20029] ","47.2","0.2","","19.8","0.01","","","8.11","8.71","11.8","0.1","","0.2","2.71","0.01","","","","","","","","","","","","","","","0.02","1.37","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","38","70","","","63","232","1","48","15.4","","","","","1.6","596","2","10","0.4","","","","","","","","","","0.01","","0.02","72.2","1.4","2.7","0.33","1.5","0.37","0.37","0.36","0.06","0.41","0.07","0.21","0.03","0.14","0.01","0.4","","","","","","","","","","0.45","","","0.04","0.512707","","","0.703062","","18.537","","15.516","","38.143","","","","","","","","","","","","","","","1011932",
"[20029]","INTRAPLATE VOLCANICS","ARABIAN-NUBIAN SHIELD - CENOZOIC/QUATERNARY / JORDAN / HARRAT ASH SHAAM (SHAMAH) VOLCANIC FIELD / ASHAQEF USEFIR","","32","32","36","36","SUBAERIAL","","","s AS9 [20029]","GABBRO [20029]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20029] ","37.4","6.32","","10.15","0.01","","","19.71","12.6","7.82","0.26","","0.38","1.6","0.64","","","","","","","","","","","","","","","0.02","1.85","","","","","","","","","","","","","","10","","","","","","","","","","","","","","45","","484","40","","","67","24","58","128","20","","","0.4","","3.3","540","17.7","54","22.1","","","","","","","","","","0.01","","0.02","65","8.6","23.4","3.55","17.7","4.94","1.72","4.65","0.74","3.89","0.71","1.65","0.2","1.17","0.15","1.9","1.7","3","","","","","","","","2.42","","0.13","0.6","0.512605","","","0.703658","","18.929","","15.543","","38.558","","","","","","","","","","","","","","","1011933",
"[20029]","INTRAPLATE VOLCANICS","ARABIAN-NUBIAN SHIELD - CENOZOIC/QUATERNARY / JORDAN / HARRAT ASH SHAAM (SHAMAH) VOLCANIC FIELD / ASHAQEF USEFIR","","32","32","36","36","SUBAERIAL","","","s AS15 [20029]","GABBRONORITE [20029]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20029] ","50.8","0.81","","17.2","0.03","","","7.72","9.88","7.57","0.13","","0.23","3.06","0.01","","","","","","","","","","","","","","","0.01","0.62","","","","","","","","","","","","","","10","","","","","","","","","","","","","","24","","229","230","","","37","135","24","61","19.9","","","","","0.8","593","10.1","24","0.7","","","","","","","","","","0.02","","0.01","93.4","2.1","5.2","0.85","5.3","1.76","0.76","1.69","0.32","1.95","0.37","1.03","0.16","0.9","0.13","1","","2","","","","","","","","0.68","","","0.01","0.5129","","","0.702627","","18.264","","15.522","","37.864","","","","","","","","","","","","","","","1011934",
"[20029]","INTRAPLATE VOLCANICS","ARABIAN-NUBIAN SHIELD - CENOZOIC/QUATERNARY / JORDAN / HARRAT ASH SHAAM (SHAMAH) VOLCANIC FIELD / ASHAQEF USEFIR","","32","32","36","36","SUBAERIAL","","","s AS23B [20029]","PYROXENITE, GARNET [20029]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20029] ","44.5","0.1","","14.95","0.16","","","5.7","15.8","14.75","0.12","","0.06","0.87","0.02","","","","","","","","","","","","","","","0.01","0.45","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","","174","1320","","","43","277","17","13","9.2","","","","","0.9","40.6","5.3","8","0.6","","","","","","","","","","0.03","","0.15","9.9","0.8","1.8","0.2","1","0.26","0.15","0.54","0.11","0.78","0.18","0.64","0.09","0.64","0.08","0.4","","","","","","","","","","0.14","","0.07","0.02","0.512984","","","0.703323","","18.274","","15.532","","37.903","","","","","","","","","","","","","","","1011935",
"[20029]","INTRAPLATE VOLCANICS","ARABIAN-NUBIAN SHIELD - CENOZOIC/QUATERNARY / JORDAN / HARRAT ASH SHAAM (SHAMAH) VOLCANIC FIELD / ASHAQEF USEFIR","","32","32","36","36","SUBAERIAL","","","s AS 28 [20029]","GABBRONORITE [20029]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20029] ","45.7","0.65","","19","0.02","","","8.61","11.25","8.33","0.12","","0.58","2.31","0.05","","","","","","","","","","","","","","","0.01","1.93","","","","","","","","","","","","","","10","","","","","","","","","","","","","","13","","116","150","","","55","178","15","64","18","","","0.2","","3.9","799","5.3","29","3.9","","","","","","","","","","0.02","","0.06","123","6.2","10.9","1.24","4.9","1.14","0.72","1.09","0.17","1.04","0.21","0.65","0.08","0.43","0.06","1.1","0.2","2","","","","","","","","1.31","","0.18","0.08","0.512561","","","0.703528","","18.739","","15.549","","38.407","","","","","","","","","","","","","","","1011936",
"[20037]","INTRAPLATE VOLCANICS","ARABIAN-NUBIAN SHIELD - CENOZOIC/QUATERNARY / SAUDI ARABIA / HARRAT AL KISHB","","22.8","22.8","41.38","41.38","SUBAERIAL","","","s XN2 [20037]","PERIDOTITE, XENOLITH [20037]","","","","","","","","PROTOGRANULAR [20037] ","MANTLE XENOLITH","","","FRESH","","WHOLE_ROCK [20037] ","45.16","0.1","","1.56","0.38","","","8.79","0.97","44.47","0.13","","0.02","0.1","0.01","","","","","","","","","","","","","","","","0.44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51","","","","","","","","1.1","","","","","0.5","10.9","1","3.4","0.5","","","","","","","","","","","","","7","0.5","1.1","0.11","0.5","0.09","0.04","0.12","0.02","0.19","0.03","0.11","0.02","0.13","0.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1014383",
"[20037]","INTRAPLATE VOLCANICS","ARABIAN-NUBIAN SHIELD - CENOZOIC/QUATERNARY / SAUDI ARABIA / HARRAT AL KISHB","","22.8","22.8","41.38","41.38","SUBAERIAL","","","s XN4 [20037]","PERIDOTITE, XENOLITH [20037]","","","","","","","","PROTOGRANULAR [20037] ","MANTLE XENOLITH","","","FRESH","","WHOLE_ROCK [20037] ","45.97","0.19","","2.94","0.54","","","8.9","2.83","39.89","0.13","","0.04","0.17","0.02","","","","","","","","","","","","","","","","0.36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87","","","","","","","","2.3","","","","","0.7","33.4","1.8","7.4","1.3","","","","","","","","","","","","","12","1.1","2","0.25","1.1","0.24","0.1","0.32","0.05","0.36","0.09","0.23","0.03","0.23","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1014384",
"[20037]","INTRAPLATE VOLCANICS","ARABIAN-NUBIAN SHIELD - CENOZOIC/QUATERNARY / SAUDI ARABIA / HARRAT AL KISHB","","22.8","22.8","41.38","41.38","SUBAERIAL","","","s XN5 [20037]","PERIDOTITE, XENOLITH [20037]","","","","","","","","PROTOGRANULAR [20037] ","MANTLE XENOLITH","","","FRESH","","WHOLE_ROCK [20037] ","46.91","0.11","","3.62","0.54","","","8.23","2.73","39.55","0.13","","0.01","0.14","0.01","","","","","","","","","","","","","","","","0.38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81","","","","","","","","2.5","","","","","0.3","2.2","2.2","0.8","0.2","","","","","","","","","","","","","2","0.2","0.2","0.02","0.3","0.05","0.04","0.16","0.04","0.31","0.07","0.26","0.04","0.29","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1014385",
