"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[18293]","INTRAPLATE VOLCANICS","ARABIAN-NUBIAN SHIELD - MESOZOIC / EGYPT / EASTERN DESERT / MANSOURI RING COMPLEX","","22.05","22.05","33.617","33.617","SUBAERIAL","","","s T4 [18293]","TRACHYTE [18293]","","","","MESOZOIC [18293]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [18293] ","60.31","0.26","","17.96","","","","6.75","1.52","0.31","0.21","","4.27","6.76","0.08","","","","","","","","","","","","","","","","2.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","70","46","1011","77","","","","","","","","","","","","","450","","139","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1067647",
"[18293]","INTRAPLATE VOLCANICS","ARABIAN-NUBIAN SHIELD - MESOZOIC / EGYPT / EASTERN DESERT / MANSOURI RING COMPLEX","","22.05","22.05","33.617","33.617","SUBAERIAL","","","s T9 [18293]","TRACHYTE [18293]","","","","MESOZOIC [18293]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [18293] ","60.85","0.14","","17.61","","","","4.49","1.46","0.12","0.21","","5.31","6.72","0.06","","","","","","","","","","","","","","","","2.81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","119","46","0","490","95","","","","","","","","","","","","","230","","282","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1067648",
"[18293]","INTRAPLATE VOLCANICS","ARABIAN-NUBIAN SHIELD - MESOZOIC / EGYPT / EASTERN DESERT / MANSOURI RING COMPLEX","","22.05","22.05","33.617","33.617","SUBAERIAL","","","s T3 [18293]","TRACHYTE [18293]","","","","MESOZOIC [18293]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [18293] ","61.62","0.29","","17.51","","","","6.91","1.42","0.21","0.22","","5.09","6.71","0.09","","","","","","","","","","","","","","","","0.97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76","264","49","1262","89","","","","","","","","","","","","","196","","233","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1067649",
"[18293]","INTRAPLATE VOLCANICS","ARABIAN-NUBIAN SHIELD - MESOZOIC / EGYPT / EASTERN DESERT / MANSOURI RING COMPLEX","","22.05","22.05","33.617","33.617","SUBAERIAL","","","s T10 [18293]","TRACHYTE [18293]","","","","MESOZOIC [18293]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [18293] ","62.49","0.14","","17.69","","","","4.5","0.76","0.14","0.19","","5.51","7.11","0.07","","","","","","","","","","","","","","","","1.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","151","67","22","740","119","","","","","","","","","","","","","176","","239","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1067650",
"[18293]","INTRAPLATE VOLCANICS","ARABIAN-NUBIAN SHIELD - MESOZOIC / EGYPT / EASTERN DESERT / MANSOURI RING COMPLEX","","22.05","22.05","33.617","33.617","SUBAERIAL","","","s 2 [18293]","SYENITE [18293]","","","","MESOZOIC [18293]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18293] ","58","1.29","","15.73","","","","9.05","3.25","2.3","0.11","","3.9","5.6","0.19","","","","","","","","","","","","","","","","0.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","640","30","170","87","","","","","","","","","","","","","730","","60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1067651",
"[18293]","INTRAPLATE VOLCANICS","ARABIAN-NUBIAN SHIELD - MESOZOIC / EGYPT / EASTERN DESERT / MANSOURI RING COMPLEX","","22.05","22.05","33.617","33.617","SUBAERIAL","","","s 7 [18293]","SYENITE [18293]","","","","MESOZOIC [18293]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18293] ","60.3","0.31","","16.24","","","","8.37","1.09","0.32","0.38","","5.1","7.26","0.12","","","","","","","","","","","","","","","","0.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80","590","25","160","140","","","","","","","","","","","","","890","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1067652",
"[18293]","INTRAPLATE VOLCANICS","ARABIAN-NUBIAN SHIELD - MESOZOIC / EGYPT / EASTERN DESERT / MANSOURI RING COMPLEX","","22.05","22.05","33.617","33.617","SUBAERIAL","","","s 3 [18293]","SYENITE [18293]","","","","MESOZOIC [18293]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18293] ","60.6","0.6","","16.54","","","","7.68","1.47","0.7","0.9","","4.46","5.6","0.14","","","","","","","","","","","","","","","","1.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55","670","30","160","70","","","","","","","","","","","","","840","","55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1067653",
"[18293]","INTRAPLATE VOLCANICS","ARABIAN-NUBIAN SHIELD - MESOZOIC / EGYPT / EASTERN DESERT / MANSOURI RING COMPLEX","","22.05","22.05","33.617","33.617","SUBAERIAL","","","s 12 [18293]","SYENITE [18293]","","","","MESOZOIC [18293]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18293] ","62.08","0.28","","14.7","","","","8.04","1.7","0.46","0.39","","4.5","5.65","0.1","","","","","","","","","","","","","","","","1.49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","470","30","167","68","","","","","","","","","","","","","750","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1067654",
"[18293]","INTRAPLATE VOLCANICS","ARABIAN-NUBIAN SHIELD - MESOZOIC / EGYPT / EASTERN DESERT / MANSOURI RING COMPLEX","","22.05","22.05","33.617","33.617","SUBAERIAL","","","s 5 [18293]","SYENITE [18293]","","","","MESOZOIC [18293]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18293] ","62.54","0.66","","14.64","","","","7.63","1.49","0.77","0.9","","4.68","5.5","0.08","","","","","","","","","","","","","","","","1.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60","517","20","110","120","","","","","","","","","","","","","670","","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1067655",
"[18293]","INTRAPLATE VOLCANICS","ARABIAN-NUBIAN SHIELD - MESOZOIC / EGYPT / EASTERN DESERT / MANSOURI RING COMPLEX","","22.05","22.05","33.617","33.617","SUBAERIAL","","","s 8 [18293]","SYENITE [18293]","","","","MESOZOIC [18293]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18293] ","62.88","0.4","","18.2","","","","5.92","1.29","0.8","0.2","","4.67","6.78","0.05","","","","","","","","","","","","","","","","0.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","740","30","150","78","","","","","","","","","","","","","460","","42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1067656",
