"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[19837]","INTRAPLATE VOLCANICS","ARABIAN-NUBIAN SHIELD - PROTEROZOIC / ETHIOPIA / ASMARA TERRANE","","15","15","39","39.75","SUBAERIAL","","","s MZ03A/98 [19837]","BASALT [19837]","","","NEO [19837]","PROTEROZOIC [19837]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19837] ","48.06","0.52","","14.64","","","","9.2","11.32","11.36","0.18","","0.11","1.47","0.04","","","","","","","","","","","","","","","","1.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","44","","242","874","","","57","249","77","77","14","","","","","1","279","18.8","18","1.9","","","","","","","","","","","","","34","","1.68","0.34","2","1.08","0.5","1.74","0.37","2.84","0.66","1.95","0.33","2.18","0.34","","","","","","","","","","","","","","","0.513672","","","","","","","","","","","","","","","","","","","","","","","","1017035",
"[19837]","INTRAPLATE VOLCANICS","ARABIAN-NUBIAN SHIELD - PROTEROZOIC / ETHIOPIA / ASMARA TERRANE","","15","15","39","39.75","SUBAERIAL","","","s MZ02/98 [19837]","BASALT [19837]","","","NEO [19837]","PROTEROZOIC [19837]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19837] ","48.69","0.52","","16.05","","","","8.77","12.98","8.99","0.16","","0.11","1.25","0.05","","","","","","","","","","","","","","","","1.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","45","","239","472","","","50","130","96","67","14","","","","","2.4","225","16.2","15","1.7","","","","","","","","","","","","","34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1017036",
"[19837]","INTRAPLATE VOLCANICS","ARABIAN-NUBIAN SHIELD - PROTEROZOIC / ETHIOPIA / ASMARA TERRANE","","15","15","39","39.75","SUBAERIAL","","","s MZ01/98 [19837]","BASALT [19837]","","","NEO [19837]","PROTEROZOIC [19837]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19837] ","48.88","0.69","","16.05","","","","11.93","10.76","5.05","0.2","","0.03","0.99","0.18","","","","","","","","","","","","","","","","3.79","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","","432","174","","","41","28","186","107","17","","","","","1.4","468","15.8","36","2.2","","","","","","","","","","","","","33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1017037",
"[19837]","INTRAPLATE VOLCANICS","ARABIAN-NUBIAN SHIELD - PROTEROZOIC / ETHIOPIA / ASMARA TERRANE","","15","15","39","39.75","SUBAERIAL","","","s MZ04A/98 [19837]","BASALT [19837]","","","NEO [19837]","PROTEROZOIC [19837]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19837] ","48.9","0.43","","16.36","","","","10.23","8.42","8.14","0.21","","0.4","3.96","0.07","","","","","","","","","","","","","","","","1.21","","","","","","","","","","","","","","","","","","","","","","","","","","","","52","","349","190","","","50","48","55","86","12","","","","","4.3","173","8.4","16","1.3","","","","","","","","","","","","","133","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1017038",
"[19837]","INTRAPLATE VOLCANICS","ARABIAN-NUBIAN SHIELD - PROTEROZOIC / ETHIOPIA / ASMARA TERRANE","","15","15","39","39.75","SUBAERIAL","","","s MZ03B/98 [19837]","BASALT [19837]","","","NEO [19837]","PROTEROZOIC [19837]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19837] ","49.9","0.52","","14.79","","","","8.51","10.77","9.78","0.18","","0.08","2.63","0.05","","","","","","","","","","","","","","","","1.39","","","","","","","","","","","","","","","","","","","","","","","","","","","","44","","220","596","","","50","159","61","67","13","","","","","1.5","123","20.4","21","1","","","","","","","","","","","","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1017039",
"[19837]","INTRAPLATE VOLCANICS","ARABIAN-NUBIAN SHIELD - PROTEROZOIC / ETHIOPIA / ASMARA TERRANE","","15","15","39","39.75","SUBAERIAL","","","s MZ10/98 [19837]","DACITE [19837]","","","NEO [19837]","PROTEROZOIC [19837]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19837] ","68.59","0.21","","13.15","","","","3.19","3.33","1.63","0.09","","2.54","2.13","0.06","","","","","","","","","","","","","","","","4.38","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","","36","137","","","6","4","2","37","13","","","","","42.6","52","14","77","4.3","","","","","","","","","","","","","360","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1017040",
"[19837]","INTRAPLATE VOLCANICS","ARABIAN-NUBIAN SHIELD - PROTEROZOIC / ETHIOPIA / ASMARA TERRANE","","15","15","39","39.75","SUBAERIAL","","","s MZ12/98 [19837]","DACITE [19837]","","","NEO [19837]","PROTEROZOIC [19837]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19837] ","70.8","0.35","","11.52","","","","6.34","0.21","4.68","0.12","","1.75","0.07","0.07","","","","","","","","","","","","","","","","3.49","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","","13","128","","","10","5","7","56","13","","","","","26.3","11","48.1","121","4.2","","","","","","","","","","","","","1020","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1017041",
"[19837]","INTRAPLATE VOLCANICS","ARABIAN-NUBIAN SHIELD - PROTEROZOIC / ETHIOPIA / ASMARA TERRANE","","15","15","39","39.75","SUBAERIAL","","","s MZ08A/98 [19837]","DACITE [19837]","","","NEO [19837]","PROTEROZOIC [19837]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19837] ","71.26","0.23","","14.49","","","","3.01","4.41","0.77","0.06","","0.34","3.74","0.07","","","","","","","","","","","","","","","","1.35","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","","42","151","","","4","5","2","26","13","","","","","4.6","227","11.8","73","3.5","","","","","","","","","","","","","156","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1017042",
"[19837]","INTRAPLATE VOLCANICS","ARABIAN-NUBIAN SHIELD - PROTEROZOIC / ETHIOPIA / ASMARA TERRANE","","15","15","39","39.75","SUBAERIAL","","","s MZ09/98 [19837]","RHYOLITE [19837]","","","NEO [19837]","PROTEROZOIC [19837]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19837] ","73.51","0.32","","12.1","","","","3.93","1.39","0.85","0.09","","0.79","4.86","0.07","","","","","","","","","","","","","","","","1.58","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","","17","121","","","3","4","3","61","12","","","","","12.7","86","45.5","118","2.5","","","","","","","","","","","","","241","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.512934","","","","","","","","","","","","","","","","","","","","","","","","1017043",
"[19837]","INTRAPLATE VOLCANICS","ARABIAN-NUBIAN SHIELD - PROTEROZOIC / ETHIOPIA / ASMARA TERRANE","","15","15","39","39.75","SUBAERIAL","","","s MZ04B/98 [19837]","RHYOLITE [19837]","","","NEO [19837]","PROTEROZOIC [19837]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19837] ","75.21","0.17","","12.5","","","","3.1","2.65","0.26","0.03","","0.09","5.06","0.03","","","","","","","","","","","","","","","","0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","","33","290","","","3","7","15","10","16","","","","","0.6","123","65.9","141","3.2","","","","","","","","","","","","","53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1017044",
