"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[12553]","INTRAPLATE VOLCANICS","ARGENTINA_PALEOZOIC / SIERRAS PAMPEANAS / SUYA TACO COMPLEX","SIERRAS PAMPEANAS, NORTHERN SIERRAS DE COMECHINGONES, SUYA TACO COMPLEX","-31.93","-31.98","-64.7","-64.73","SUBAERIAL","","","s ST 139 [12553]","NOT GIVEN [12553]","","","","CAMBRIAN [12553]","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [12553] ","49.88","3.31","","15.29","","","","10.55","8.19","4.84","0.19","","1.36","3.59","0.52","","","","","","","","","","","","","","","","0.43","","","","","","","","","","","","","","24.47","1.92","","","","","","","","","","","","","26.26","","181.54","47.8","","","35.19","24.35","34.7","73.2","31","","","","","37.68","468.13","24.68","100.72","46.96","","","","","","","","","","","","1.33","337.08","18.89","40.34","6.02","26.3","6.24","2.24","6.36","1.01","5.59","1.13","2.9","0.45","2.42","0.42","","","","","","","","","","","9.51","","0.99","0.92","","","","","","","","","","","","","","","","","","","","","","","","","380693",
"[12553]","INTRAPLATE VOLCANICS","ARGENTINA_PALEOZOIC / SIERRAS PAMPEANAS / SUYA TACO COMPLEX","SIERRAS PAMPEANAS, NORTHERN SIERRAS DE COMECHINGONES, SUYA TACO COMPLEX","-31.93","-31.98","-64.7","-64.73","SUBAERIAL","","","s ST 40 [12553]","NOT GIVEN [12553]","","","","CAMBRIAN [12553]","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [12553] ","49.07","2.75","","17.17","","","","10.41","7.69","6.43","0.18","","1.96","1.32","0.56","","","","","","","","","","","","","","","","1.31","","","","","","","","","","","","","","","2","","","","","","","","","","","","","19.9","","193.19","61","","","46.57","51.15","123.75","67.58","18.66","","","","","54.98","671.72","26.53","257","40.66","","","","","","","","","","","","1.99","347","35.79","74.11","8.84","34.84","7.31","2.38","6.2","0.91","4.8","0.94","2.65","0.34","2.15","0.31","5.75","3.36","","","","","","","","","","","4.61","1.42","","","","","","","","","","","","","","","","","","","","","","","","","380694",
"[12553]","INTRAPLATE VOLCANICS","ARGENTINA_PALEOZOIC / SIERRAS PAMPEANAS / SUYA TACO COMPLEX","SIERRAS PAMPEANAS, NORTHERN SIERRAS DE COMECHINGONES, SUYA TACO COMPLEX","-31.93","-31.98","-64.7","-64.73","SUBAERIAL","","","s STJ 3 [12553]","NOT GIVEN [12553]","","","","CAMBRIAN [12553]","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [12553] ","50.88","3.44","","15.02","","","","10.81","7.06","5.14","0.21","","1.5","3.31","0.8","","","","","","","","","","","","","","","","0.63","","","","","","","","","","","","","","","3","","","","","","","","","","","","","23","","271","45","","","38.4","16","","","20","1.1","","","","36.24","530","34","209","55.65","","","","","","","","","","","","0.83","603","35.98","79.51","8.86","41.82","8.7","2.52","8.1","1.28","6.78","1.1","3.63","0.51","2.86","0.43","5.37","4.05","","","","","","","","","","","0.55","0.29","","","","","","","","","","","","","","","","","","","","","","","","","380695",
"[12553]","INTRAPLATE VOLCANICS","ARGENTINA_PALEOZOIC / SIERRAS PAMPEANAS / SUYA TACO COMPLEX","SIERRAS PAMPEANAS, NORTHERN SIERRAS DE COMECHINGONES, SUYA TACO COMPLEX","-31.93","-31.98","-64.7","-64.73","SUBAERIAL","","","s ST 39A [12553]","NOT GIVEN [12553]","","","","CAMBRIAN [12553]","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [12553] ","48.01","2.23","","15.63","","","","10.08","9.79","6.8","0.17","","0.77","3.68","0.26","","","","","","","","","","","","","","","","1.48","","","","","","","","","","","","","","","2","","","","","","","","","","","","","26.4","","246","146","","","56.6","68","65","82","21","1.2","","","","6","432","24","161","18","","","","","","","","","","","","0.01","178","18.8","39","4.97","21.9","5.32","1.85","5.65","0.84","4.6","0.9","2.57","0.33","2.03","0.27","4.3","1.7","","","","","","","","","7","","2.36","0.6","","","","","","","","","","","","","","","","","","","","","","","","","380696",
"[12553]","INTRAPLATE VOLCANICS","ARGENTINA_PALEOZOIC / SIERRAS PAMPEANAS / SUYA TACO COMPLEX","SIERRAS PAMPEANAS, NORTHERN SIERRAS DE COMECHINGONES, SUYA TACO COMPLEX","-31.93","-31.98","-64.7","-64.73","SUBAERIAL","","","s ST J4GG [12553]","NOT GIVEN [12553]","","","","CAMBRIAN [12553]","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [12553] ","46.91","1.54","","18.67","","","","10.08","11.39","7.63","0.12","","0.75","3.03","0.2","","","","","","","","","","","","","","","","1.46","","","","","","","","","","","","","","","1","","","","","","","","","","","","","26","","170","173","","","39.8","106","","","18","10.46","","","","721","14","94","17.39","0.5","","","","","","","","","","","","139","12.56","26.86","3.05","14.76","3.41","1.32","3.12","0.5","2.72","0.42","1.43","0.2","1.11","0.15","1.65","","","","","","","","","","","1.26","","0.4","2.76","","","","","","","","","","","","","","","","","","","","","","","","","380697",
"[12553]","INTRAPLATE VOLCANICS","ARGENTINA_PALEOZOIC / SIERRAS PAMPEANAS / SOL DE MAYO COMPLEX","SIERRAS PAMPEANAS, NORTHERN SIERRAS DE COMECHINGONES","-31.93","-31.98","-64.7","-64.73","SUBAERIAL","","","s SM 24 [12553]","NOT GIVEN [12553]","","","","CAMBRIAN [12553]","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [12553] ","44.68","4.06","","16.54","","","","12.62","8.42","6.86","0.2","","0.93","1.09","0.74","","","","","","","","","","","","","","","","0.81","","","","","","","","","","","","","","","3","","","","","","","","","","","","","20","","284","","","","45.6","36","","","25","1.2","","","","20.67","815","29","250","60.46","","","","","","","","1.08","","","","0.35","257","36.29","82.4","9.42","44.72","9.73","3.22","8.54","1.29","6.49","0.96","2.93","0.42","2.23","0.32","6.98","4.31","","","","","","","","","","","1.06","0.51","","","","","","","","","","","","","","","","","","","","","","","","","380698",
"[12553]","INTRAPLATE VOLCANICS","ARGENTINA_PALEOZOIC / SIERRAS PAMPEANAS / SOL DE MAYO COMPLEX","SIERRAS PAMPEANAS, NORTHERN SIERRAS DE COMECHINGONES","-31.93","-31.98","-64.7","-64.73","SUBAERIAL","","","s SM 21 [12553]","NOT GIVEN [12553]","","","","CAMBRIAN [12553]","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [12553] ","42.86","5.04","","17.17","","","","11.63","8.76","6.25","0.16","","1.19","3.6","0.21","","","","","","","","","","","","","","","","1.3","","","","","","","","","","","","","","","2","","","","","","","","","","","","","18","","290","12","","","48.6","51","","","21","1.2","","","","11.49","1449","27","131","53.53","","","","","","","","1.3","","","","1.09","2.64","17.51","45.81","6.03","33.17","8.61","3.25","7.85","1.25","6.01","0.9","2.73","0.34","1.89","0.28","4.2","4.22","","","","","","","","","","","0.74","0.2","","","","","","","","","","","","","","","","","","","","","","","","","380699",
"[12553]","INTRAPLATE VOLCANICS","ARGENTINA_PALEOZOIC / SIERRAS PAMPEANAS / SOL DE MAYO COMPLEX","SIERRAS PAMPEANAS, NORTHERN SIERRAS DE COMECHINGONES","-31.93","-31.98","-64.7","-64.73","SUBAERIAL","","","s SM 20 [12553]","NOT GIVEN [12553]","","","","CAMBRIAN [12553]","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [12553] ","44.24","3.79","","15.61","","","","10.86","8.1","6.63","0.18","","1.61","3.67","0.6","","","","","","","","","","","","","","","","1.1","","","","","","","","","","","","","","","3","","","","","","","","","","","","","19","","263","","","","39.2","55","","","24","1.3","","","","22.62","815","27","228","51.78","","","","","","","","2.4","","","","0.63","2.97","36.21","78.93","8.83","39.88","8.68","2.87","7.68","1.14","5.8","0.87","2.61","0.36","1.9","0.3","6.12","4","","","","","","","","","","","2.19","0.67","","","","","","","","","","","","","","","","","","","","","","","","","380700",
"[12553]","INTRAPLATE VOLCANICS","ARGENTINA_PALEOZOIC / SIERRAS PAMPEANAS / SOL DE MAYO COMPLEX","SIERRAS PAMPEANAS, NORTHERN SIERRAS DE COMECHINGONES","-31.93","-31.98","-64.7","-64.73","SUBAERIAL","","","s SM 48 [12553]","NOT GIVEN [12553]","","","","CAMBRIAN [12553]","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [12553] ","45.38","2.46","","10.53","","","","11.46","10.65","13.47","0.19","","1.01","1.95","0.35","","","","","","","","","","","","","","","","0.74","","","","","","","","","","","","","","4.43","0.37","","","","","","","","","","","","","34.67","","198.46","172.8","","","51.98","168.63","28","40.54","19.42","1.23","","","","14.65","662.79","19.23","167.25","25.1","","","","","","","","0","","","","0.03","166.93","17.28","39.08","5.41","24.29","5.57","1.73","5.44","0.7","4.49","0.74","2","0.18","1.55","0.13","","5.59","","","","","","","","","2.56","","1.94","0","","","","","","","","","","","","","","","","","","","","","","","","","380701",
"[15022]","INTRAPLATE VOLCANICS","ARGENTINA_PALEOZOIC / PRECORDILLERA / SIERRA DEL TORO NEGRO / CERROS PABELLONES","500 M TO THE EAST OF THE PUESTO RAMBLONES SECTION","-28.1272","-28.1272","-68.1767","-68.1767","SUBAERIAL","","","s FLPDAT [15022]","RHYOLITE [15022]","","","LOWER [15022]","CARBONIFEROUS [15022]","","","","FINE-GRAINED, POORLY PORPHYRITIC [15022] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [15022] ","73.55","0.26","","13.54","","","","1.13","0.41","0.35","0.037","","4.83","4.15","0.11","","","","","","","","","","","","","","","","0.72","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","","","","","","","150","198","53","305","23","","","","","","","","","","","","","1175","","","","57.93","10.61","","","","","","","","","","","","","","","","","","","","","","19","1","0.512295","","","0.72511","","","","","","","","","","","","","","","","","","","","","505850",
