"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[181]","OCEAN ISLAND","ASCENSION / ASCENSION / ATLANTIC OCEAN","","-7.93","-7.93","-14.37","-14.37","SUBAERIAL","","","s A-15220 [181]","TRACHYTE [181]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [181] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.12","14.4","","","","","","","","","","","","","","","","","","","","","","","","0.51305","","","","","","","","","","","","","","","","","","","","","","","","10195",
"[829]","OCEAN ISLAND","ASCENSION / ASCENSION / ATLANTIC OCEAN","GRAZING VALLEY","-7.93","-7.93","-14.37","-14.37","SUBAERIAL","","","s AI-107 [829]","BASALT [829]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [829] ","48.55","3","","15.28","","","","12.13","9.46","5.33","0.16","","0.94","3.34","0.46","","","0.42","","","","","","","","","","","","","0.18","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.5","","304","28","","","","39","","93","26","","","","","18","436","40","188","33","","","","","","","","","","","","","201","23.3","53.4","","31.4","7.36","2.44","","1.08","","","","","2.9","0.36","4.88","2.27","","","","","","","","","","","2.33","","","","","","","","","","","","","","","","","","","","","","","","","","13267",
"[829]","OCEAN ISLAND","ASCENSION / ASCENSION / ATLANTIC OCEAN","CRICKET VALLEY","-7.93","-7.93","-14.37","-14.37","SUBAERIAL","","","s AI-64 [829]","BASALT [829]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [829] ","50.58","2.52","","15.61","","","","10.78","8.56","5.23","0.17","","1.29","3.61","0.45","","","0.31","","","","","","","","","","","","","-0.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.9","","201","27","","","","34","","87","26","","","","","28","414","41","244","41","","","","","","","","","","","","","289","29.9","65.5","","32.7","8.13","2.67","","1.23","","","","","3.16","0.47","5.96","3.03","","","","","","","","","","","3.69","","","","","","","","","","","","","","","","","","","","","","","","","","13268",
"[829]","OCEAN ISLAND","ASCENSION / ASCENSION / ATLANTIC OCEAN","COTAR HILL","-7.93","-7.93","-14.37","-14.37","SUBAERIAL","","","s AI-60 [829]","HAWAIITE [829]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [829] ","47.94","3.64","","14.67","","","","12.03","9.12","4.9","0.21","","1.41","3.72","1.02","","","0.41","","","","","","","","","","","","","0.54","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.9","","294","2.6","","","","12","","132","24","","","","","27","551","40","235","58","","","","","","","","","","","","","379","35.3","75.2","","39.3","8.98","3.12","","1.3","","","","","2.88","0.38","5.36","3.85","","","","","","","","","","","4.06","","","","","","","","","","","","","","","","","","","","","","","","","","13269",
"[3356]","OCEAN ISLAND","ASCENSION / ASCENSION / ATLANTIC OCEAN","SOUTHWEST BAY","-7.93","-7.93","-14.37","-14.37","SUBAERIAL","","","s AI-157 [3356]","HAWAIITE [3356]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [3356] ","47.69","3.83","","15.54","","","","12.45","8.32","3.88","0.2","","1.65","3.96","1.09","","","0.7","","","","","","","","","","","","","0.61","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.8","","287","1.8","","","","13","","140","24","","","","","32","533","47","256","63","","","","","","","","","","","","","395","37.3","83.1","","46","10.6","3.54","","1.5","","","","","3.38","0.45","5.67","4.06","","","","","","","","","2","","4.67","","","","","","","","","","","","","","","","","","","","","","","","","","13270",
"[829]","OCEAN ISLAND","ASCENSION / ASCENSION / ATLANTIC OCEAN","COMMAND HILL","-7.93","-7.93","-14.37","-14.37","SUBAERIAL","","","s AI-100 [829]","BASALT [829]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [829] ","47.53","2.67","","15.8","","","","11.5","10.35","6.65","0.17","","0.65","2.81","0.59","","","0.33","","","","","","","","","","","","","-0.44","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","","248","156","","","","97","","92","23","","","","","11","385","31","145","27","","","","","","","","","","","","","144","17.5","42.9","","24","5.95","2.2","","1.09","","","","","2.43","0.29","3.51","2.02","","","","","","","","","","","1.7","","","","","","","","","","","","","","","","","","","","","","","","","","13271",
"[829]","OCEAN ISLAND","ASCENSION / ASCENSION / ATLANTIC OCEAN","SISTERS PEAK","-7.93","-7.93","-14.37","-14.37","SUBAERIAL","","","s AI-161 [829]","HAWAIITE [829]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [829] ","49.58","3.21","","15.42","","","","11.36","8.16","4.43","0.21","","1.5","3.88","0.99","","","0.34","","","","","","","","","","","","","-0.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.6","","214","6.7","","","","12","","119","24","","","","","30","498","48","306","62","","","","","","","","","","","","","343","36.3","87.1","","42.8","10.8","3.56","","1.41","","","","","3.49","0.44","6.61","3.91","","","","","","","","","","","4.14","","","","","","","","","","","","","","","","","","","","","","","","","","13272",
"[829]","OCEAN ISLAND","ASCENSION / ASCENSION / ATLANTIC OCEAN","ENGLISH BAY ROAD","-7.93","-7.93","-14.37","-14.37","SUBAERIAL","","","s AI-171 [829]","MUGEARITE [829]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [829] ","53.39","2.19","","15.41","","","","9.71","7.44","3.27","0.24","","1.66","4.31","1.3","","","1.16","","","","","","","","","","","","","0.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.6","","83","2","","","","8","","147","27","","","","","32","479","64","364","69","","","","","","","","","","","","","374","44","104","","56.8","13.3","4.62","","1.84","","","","","4.65","0.59","7.87","4.27","","","","","","","","","","","4.58","","","","","","","","","","","","","","","","","","","","","","","","","","13273",
"[829]","OCEAN ISLAND","ASCENSION / ASCENSION / ATLANTIC OCEAN","LETTERBOX","-7.93","-7.93","-14.37","-14.37","SUBAERIAL","","","s AI-176 [829]","BENMOREITE [829]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [829] ","57.3","1.52","","16.64","","","","7.48","4.85","2.3","0.23","","2.56","5.55","0.74","","","0.17","","","","","","","","","","","","","0.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.7","","44","2","","","","5","","139","28","","","","","56","431","63","530","97","","","","","","","","","","","","","584","56.4","118","","62.7","13.6","4.3","","2.04","","","","","4.84","0.66","11.3","5.77","","","","","","","","","2","","6.56","","","","","","","","","","","","","","","","","","","","","","","","","","13274",
"[829]","OCEAN ISLAND","ASCENSION / ASCENSION / ATLANTIC OCEAN","SOUTHEAST RIM OF DARK SLOPE CRATER","-7.93","-7.93","-14.37","-14.37","SUBAERIAL","","","s AI-4 [829]","HAWAIITE [829]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [829] ","48.49","2.89","","16.22","","","","11.9","8.47","4.21","0.18","","1.62","3.74","0.95","","","0.7","","","","","","","","","","","","","0.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.5","","245","41","","","","50","","142","27","","","","","34","721","43","320","64","","","","","","","","","","","","","449","43.4","92.3","","51.7","10.7","3.76","","1.6","","","","","2.95","0.38","6.92","3.95","","","","","","","","","3","","4.67","","","","","","","","","","","","","","","","","","","","","","","","","","13275",
"[829]","OCEAN ISLAND","ASCENSION / ASCENSION / ATLANTIC OCEAN","SOUTHEAST FLANK OF DARK SLOPE CRATER","-7.93","-7.93","-14.37","-14.37","SUBAERIAL","","","s AI-6 [829]","MUGEARITE [829]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [829] ","52.12","1.83","","16.71","","","","9.39","6.15","3.43","0.18","","2.69","5.2","1.25","","","0.53","","","","","","","","","","","","","0.28","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.1","","90","12","","","","31","","154","30","","","","","66","1105","46","558","110","","","","","","","","","","","","","720","73.2","158","","67","14.3","4.75","","1.9","","","","","3.23","0.38","11.6","7.35","","","","","","","","","","","8.93","","","","","","","","","","","","","","","","","","","","","","","","","","13276",
