"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20219]","INTRAPLATE VOLCANICS","ATLAS MOUNTAINS / ATLAS MOUNTAINS / MIDDLE ATLAS","DHAR LAHMAR, SOUTHERN AZROU-KHENIFRA BASIN","33","33","-6","-6","SUBAERIAL","","","s SDLM-2 [20219]","BASALT [20219]","","","LOWER [20219]","CARBONIFEROUS [20219]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20219] ","48.23","1.91","","16.42","","","","12.49","2.54","6.43","0.15","","0.32","4","0.21","","","","","","","","","","","","","","","","5.85","","","","","","","","","","","","","","","","","","","","","","","","","","","","39","","357","57","","","35","26","52","111","20","","","","","7","120","30","126","7","","","","","","","","6","","","","","75","","","","15","6","","","","","","","","6","","7","6","6","","","","","","","","14","","5","15","","","","","","","","","","","","","","","","","","","","","","","","","1031819",
"[20219]","INTRAPLATE VOLCANICS","ATLAS MOUNTAINS / ATLAS MOUNTAINS / MIDDLE ATLAS","DHAR LAHMAR, SOUTHERN AZROU-KHENIFRA BASIN","33","33","-6","-6","SUBAERIAL","","","s AH19 [20219]","BASALT [20219]","","","LOWER [20219]","CARBONIFEROUS [20219]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20219] ","49.01","1.57","","15.82","","","","11.69","2.81","7.6","0.12","","0.44","3.58","0.16","","","","","","","","","","","","","","","","5.73","","","","","","","","","","","","","","","","","","","","","","","","","","","","38","","291","79","","","37","39","63","93","18","","","","","5","170","26","108","3.11","","","","","","","","6","","","","","102","5.17","13.2","2.15","10.7","3.5","1.28","4.58","0.78","5.23","1.05","3.05","0.46","3.06","0.44","1.47","0.19","6","","","","","","","","6","","1.06","0.52","","","","","","","","","","","","","","","","","","","","","","","","","1031820",
"[20219]","INTRAPLATE VOLCANICS","ATLAS MOUNTAINS / ATLAS MOUNTAINS / MIDDLE ATLAS","DHAR LAHMAR, SOUTHERN AZROU-KHENIFRA BASIN","33","33","-6","-6","SUBAERIAL","","","s AH20 [20219]","BASALT [20219]","","","LOWER [20219]","CARBONIFEROUS [20219]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20219] ","50.6","1.65","","16.84","","","","11.69","3.37","4.9","0.14","","0.15","5.21","0.16","","","","","","","","","","","","","","","","3.77","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","","268","30","","","34","19","48","102","18","","","","","3","87","26","114","3.39","","","","","","","","6","","","","","24","7.34","17.9","2.7","12.6","3.75","1.08","4.43","0.75","5.01","1.03","2.98","0.46","2.98","0.42","1.28","0.19","10","","","","","","","","190","","1.39","0.86","","","","","","","","","","","","","","","","","","","","","","","","","1031821",
"[20219]","INTRAPLATE VOLCANICS","ATLAS MOUNTAINS / ATLAS MOUNTAINS / MIDDLE ATLAS","DHAR LAHMAR, SOUTHERN AZROU-KHENIFRA BASIN","33","33","-6","-6","SUBAERIAL","","","s AH18 [20219]","BASALT [20219]","","","LOWER [20219]","CARBONIFEROUS [20219]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20219] ","51.02","1.53","","15.7","","","","12.38","3.06","6.32","0.15","","0.52","4.03","0.17","","","","","","","","","","","","","","","","3.56","","","","","","","","","","","","","","","","","","","","","","","","","","","","34","","318","27","","","38","22","81","101","17","","","","","6","121","26","109","3.25","","","","","","","","6","","","","","88","5.71","14.4","2.2","10.3","3.11","0.88","3.89","0.68","4.68","0.99","2.89","0.43","2.89","0.44","1.05","0.19","8","","","","","","","","6","","1.33","0.68","","","","","","","","","","","","","","","","","","","","","","","","","1031822",
"[20219]","INTRAPLATE VOLCANICS","ATLAS MOUNTAINS / ATLAS MOUNTAINS / MIDDLE ATLAS","DHAR LAHMAR, SOUTHERN AZROU-KHENIFRA BASIN","33","33","-6","-6","SUBAERIAL","","","s SDLM-4 [20219]","BASALT [20219]","","","LOWER [20219]","CARBONIFEROUS [20219]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20219] ","52.02","1.44","","13.56","","","","9.34","7.22","4.44","0.2","","1.01","2.26","0.17","","","","","","","","","","","","","","","","6.69","","","","","","","","","","","","","","","","","","","","","","","","","","","","39","","246","25","","","29","23","16","81","16","","","","","17","334","36","151","7","","","","","","","","6","","","","","190","","","","22","6","","","","","","","","6","","7","6","6","","","","","","","","10","","5","16","","","","","","","","","","","","","","","","","","","","","","","","","1031823",
"[20219]","INTRAPLATE VOLCANICS","ATLAS MOUNTAINS / ATLAS MOUNTAINS / MIDDLE ATLAS","DHAR LAHMAR, SOUTHERN AZROU-KHENIFRA BASIN","33","33","-6","-6","SUBAERIAL","","","s SDLM-5 [20219]","BASALT [20219]","","","LOWER [20219]","CARBONIFEROUS [20219]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20219] ","51.02","1.41","","15.67","","","","10.88","6.2","5.74","0.12","","0.18","3.91","0.15","","","","","","","","","","","","","","","","3.41","","","","","","","","","","","","","","","","","","","","","","","","","","","","35","","291","37","","","40","24","98","82","18","","","","","4","139","26","103","5","","","","","","","","6","","","","","60","","","","14","6","","","","","","","","6","","7","6","6","","","","","","","","11","","5","15","","","","","","","","","","","","","","","","","","","","","","","","","1031824",
"[20219]","INTRAPLATE VOLCANICS","ATLAS MOUNTAINS / ATLAS MOUNTAINS / MIDDLE ATLAS","DHAR LAHMAR, SOUTHERN AZROU-KHENIFRA BASIN","33","33","-6","-6","SUBAERIAL","","","s SDLM-3 [20219]","BASALT [20219]","","","LOWER [20219]","CARBONIFEROUS [20219]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20219] ","51.38","0.86","","17.94","","","","9.41","2.3","5.24","0.14","","3.44","3.3","0.13","","","","","","","","","","","","","","","","4.64","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","","198","115","","","33","39","11","88","17","","","","","45","449","20","69","5","","","","","","","","6","","","","","401","","","","12","6","","","","","","","","6","","7","6","6","","","","","","","","9","","5","15","","","","","","","","","","","","","","","","","","","","","","","","","1031825",
"[20219]","INTRAPLATE VOLCANICS","ATLAS MOUNTAINS / ATLAS MOUNTAINS / MIDDLE ATLAS","DHAR LAHMAR, SOUTHERN AZROU-KHENIFRA BASIN","33","33","-6","-6","SUBAERIAL","","","s AH21 [20219]","BASALT [20219]","","","LOWER [20219]","CARBONIFEROUS [20219]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20219] ","51.07","1.82","","13.29","","","","10.67","7.56","6.64","0.18","","0.81","3.65","0.17","","","","","","","","","","","","","","","","2.79","","","","","","","","","","","","","","","","","","","","","","","","","","","","34","","252","21","","","37","31","77","74","17","","","","","10","88","32","125","4.01","","","","","","","","6","","","","","113","6.65","17.3","2.67","13.1","4.14","1.22","5.11","0.84","5.64","1.14","3.25","0.47","3.23","0.47","1.18","0.19","9","","","","","","","","1408","","0.82","0.33","","","","","","","","","","","","","","","","","","","","","","","","","1031826",
"[20219]","INTRAPLATE VOLCANICS","ATLAS MOUNTAINS / ATLAS MOUNTAINS / MIDDLE ATLAS","DHAR LAHMAR, SOUTHERN AZROU-KHENIFRA BASIN","33","33","-6","-6","SUBAERIAL","","","s AH14 [20219]","ANDESITE, BASALTIC [20219]","","","LOWER [20219]","CARBONIFEROUS [20219]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20219] ","52.59","0.86","","19.14","","","","8.25","3","4.49","0.13","","2.31","4.8","0.15","","","","","","","","","","","","","","","","3.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","","151","28","","","24","11","11","84","18","","","","","29","523","21","74","2.74","","","","","","","","6","","","","","330","8.93","17.9","2.6","11.3","2.92","1.03","3.27","0.52","3.41","0.7","2.01","0.31","2.04","0.31","0.21","0.19","9","","","","","","","","6","","1.37","0.83","","","","","","","","","","","","","","","","","","","","","","","","","1031827",
"[20219]","INTRAPLATE VOLCANICS","ATLAS MOUNTAINS / ATLAS MOUNTAINS / MIDDLE ATLAS","KEF EL ASRI, SOUTHERN AZROU-KHENIFRA BASIN","33","33","-6","-6","SUBAERIAL","","","s AH11 [20219]","ANDESITE, BASALTIC [20219]","","","LOWER [20219]","CARBONIFEROUS [20219]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20219] ","54.01","1.78","","15.07","","","","8.16","4.8","3.27","0.09","","1.8","4.5","0.21","","","","","","","","","","","","","","","","5.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","","293","44","","","26","15","42","111","16","","","","","19","108","25","118","4.06","","","","","","","","6","","","","","284","9.47","20.7","3","14","3.72","1.27","4.27","0.67","4.39","0.92","2.62","0.39","2.55","0.38","1.19","0.19","12","","","","","","","","41","","1.38","0.73","","","","","","","","","","","","","","","","","","","","","","","","","1031828",
