"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[19965]","OCEAN ISLAND","AZORES / SAO MIGUEL / ATLANTIC OCEAN","","37.8","37.8","-25.5","-25.5","SUBAERIAL","","","s SP10 [19965]","NOT GIVEN [19965]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19965] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.282902","","","","","","","1001084",
"[18928]","OCEAN ISLAND","AZORES / GRACIOSA / SERRA DAS FONTES / ATLANTIC OCEAN","SW FLANK OF SERRA DAS FONTES MOUNTAIN RANGE","39.05","39.05","-28.05","-28.05","SUBAERIAL","","","s GRZF8 [18928]","NOT GIVEN [18928]","","","","","","","","MICROPORPHYRITIC [18928] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [18928] ","48.09","3.99","","15.57","","","","11.43","9.5","4.39","0.19","","1.44","3.58","0.64","","","","","","","","","","","","","","","","-0.28","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","","369","20","","","30","20","40","110","","","","","","28","574","35.2","304","65","","","","","","","","","","","","","393","47.2","94.8","11.6","48.1","10.1","3.14","9.23","1.36","7.38","1.36","3.67","0.49","3","0.43","7","","","","","","","","","","","","4.35","1.38","0.512922","","","0.70358","","19.695","","15.603","","39.105","","","","","","","","","","","","","","","101303-GRZF8",
"[18928]","OCEAN ISLAND","AZORES / GRACIOSA / SERRA BRANCA / ATLANTIC OCEAN","","39.05","39.05","-28.05","-28.05","SUBAERIAL","","","s GRZF20 [18928]","NOT GIVEN [18928]","","","","","","","","TRACHYTIC [18928] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [18928] ","64.7","0.55","","16.72","","","","4.31","0.57","0.36","0.248","","5.48","5.57","0.112","","","","","","","","","","","","","","","","0.34","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","1","0","","","0","0","0","127","","","","","","119","12","32.4","1133","265","","","","","","","","","","","","","86","122.4","292.2","28.2","95.3","16.3","2","15.4","1.71","9.56","1.22","3.79","0.67","4.56","0.67","29.8","","","","","","","","","","6.4","","19.91","5.26","0.512883","","","0.7039","","19.419","","15.623","","39.165","","","","","","","","","","","","","","","101304-GRZF20",
"[18928]","OCEAN ISLAND","AZORES / GRACIOSA / VITORIA UNIT / ATLANTIC OCEAN","","39.05","39.05","-28.05","-28.05","SUBAERIAL","","","s GRZF22 [18928]","NOT GIVEN [18928]","","","","","","","","PORPHYRITIC [18928] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [18928] ","46.98","2.71","","16.09","","","","10.03","10.13","8.22","0.161","","1.09","2.15","0.562","","","","","","","","","","","","","","","","0.31","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","","188","196","","","43","126","46","80","","","","","","24","607","27.6","197","49","","","","","","","","","","","","","299","31.2","70.5","8.6","37","7.8","2.66","7.74","0.97","5.62","0.83","2.38","0.37","2.38","0.35","5.7","","","","0.0000099","","","","","","1.4","","3.52","0.94","0.512945","","","0.70338","","19.633","","15.592","","39.131","","","","","0.1325","","","","","","","","","","101305-GRZF22",
"[18928]","OCEAN ISLAND","AZORES / GRACIOSA / VITORIA UNIT / ATLANTIC OCEAN","","39.05","39.05","-28.05","-28.05","SUBAERIAL","","","s GRZF27 [18928]","NOT GIVEN [18928]","","","","","","","","PORPHYRITIC [18928] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [18928] ","45.85","2.8","","15.98","","","","10.28","11","9.46","0.16","","0.64","1.67","0.437","","","","","","","","","","","","","","","","0.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","","317","322","","","51","171","46","77","","","","","","8","616","25.2","173","44","","","","","","","","","","","","","270","26.3","58.9","7.6","32.2","7.1","2.44","7.07","0.88","5.26","0.79","2.2","0.35","2.17","0.31","5.5","","","","0.000011","","","","","","1.2","","3","0.64","0.512944","","","0.7034","","19.601","","15.596","","39.124","","","","","0.1551","","","","","","","","","","101305-GRZF27",
"[18928]","OCEAN ISLAND","AZORES / GRACIOSA / VITORIA UNIT / ATLANTIC OCEAN","","39.05","39.05","-28.05","-28.05","SUBAERIAL","","","s GRZF3 [18928]","NOT GIVEN [18928]","","","","","","","","MICROPORPHYRITIC [18928] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [18928] ","48.84","2.61","","15.81","","","","9.49","9.55","6.66","0.16","","1.33","3.53","0.66","","","","","","","","","","","","","","","","-0.55","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","","261","170","","","31","60","30","90","","","","","","33","491","25.8","236","55","","","","","","","","","","","","","401","37.4","76","8.8","36.5","7.7","2.45","6.93","1.05","5.72","1.06","2.83","0.39","2.4","0.36","5.4","","","","0.0000065","","","","","","","","4.12","1.26","0.512954","","","0.70336","","19.479","","15.588","","39.038","","","","","0.1334","","","","","","","","","","101305-GRZF3",
"[18928]","OCEAN ISLAND","AZORES / GRACIOSA / VULCAO CENTRAL / ATLANTIC OCEAN","BAIA DO FOLGA","39.05","39.05","-28.05","-28.05","SUBAERIAL","","","s GRZF1 [18928]","NOT GIVEN [18928]","","","","","","","","PORPHYRITIC [18928] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [18928] ","51.06","2.77","","17.12","","","","9.55","8.14","4.17","0.17","","1.61","4.22","0.55","","","","","","","","","","","","","","","","-0.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","","253","0","","","23","0","20","100","","","","","","31","542","28.9","272","52","","","","","","","","","","","","","452","37.8","78.1","9.1","38.8","8.3","2.7","7.61","1.15","6.37","1.18","3.14","0.43","2.76","0.43","6.3","","","","","","","","","","","","3.82","1.08","0.5129262","","","0.70343","","20.096","","15.659","","39.52","","","","","","","","","","","","","","","101306-GRZF1",
"[20129]","OCEAN ISLAND","AZORES / TERCEIRA / MISTERIOS NEGROS DOMES / ATLANTIC OCEAN","","38.72","38.72","-27.22","-27.22","SUBAERIAL","","","s TERS45 [20129]","TRACHYTE, COMENDITIC [20129]","","","","","","","","PORPHYRITIC [20129] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [20129] ","65.53","0.52","","14.76","","3.06","2.07","","0.99","0.31","0.22","","3.8","6.86","0.08","","","","","","","","","","","","","","","","0.39","","","","","","","","","","","","","","","5","","","","","","","","","","","","","5","","0","0","","","0","0","0","160","28","2","0","","","75","27","63","689","143","7","","","","3.8","","0","5","0","","","0.7","1430","82.7","163","18.2","71.1","14.6","4.09","13.5","2.3","12.2","2.3","7.1","1.01","6","0.87","17.4","7.8","5","","","","","","","0.1","0","0","11.8","4.3","","","","","","","","","","","","","","","","","","","","","","","","","1022287",
"[20129]","OCEAN ISLAND","AZORES / TERCEIRA / MISTERIOS NEGROS DOMES / ATLANTIC OCEAN","","38.72","38.72","-27.22","-27.22","SUBAERIAL","","","s TERS47 [20129]","TRACHYTE, COMENDITIC [20129]","","","","","","","","PORPHYRITIC [20129] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [20129] ","66.1","0.39","","14.23","","3.41","1.59","","0.75","0.18","0.22","","4.37","6.95","0.04","","","","","","","","","","","","","","","","0.36","","","","","","","","","","","","","","","6","","","","","","","","","","","","","3","","0","0","","","0","0","0","190","30","2","7","","","97","12","77","897","167","9","","","","6.9","","0","11","0","","","1","715","103.7","201","22.2","85.4","17.7","3.42","15.9","2.8","15.2","2.9","8.9","1.32","7.8","1.11","22.7","9.9","2","","","","","","","0.1","9","0","15.8","5.5","","","","","","","","","","","","","","","","","","","","","","","","","1022288",
"[696][18464][11112]","OCEAN ISLAND","AZORES / FAIAL / ATLANTIC OCEAN","","38.55","38.55","-28.73","-28.73","SUBAERIAL","","","s F/CA-6 [696]","BASALT, ALKALINE [696]","","","","","","","1200","","VOLCANIC ROCK","","","","","WHOLE_ROCK [696] ","47.2","2.55","","15.2","","","","9.65","10.76","9.73","0.15","","1.01","2.96","0.39","","","","","","","","","","","","","","","","-0.47","","","","","","","","","","","","","","4.9","","","","","","","","","","","","","","29","","252","431","","","44","170","40","82","","","","","","21","538","23","186","35","","","","","","","","","","","","0.23","296","25.5","53","","28.4","6","2.01","","0.9","","","","","1.89","0.3","4.18","2.1","","","","","","","","0.051","2","","2.452","0.755","0.51293","","","0.70377","","19.117","","15.611","","38.885","","","","","","","","","","","","","","","102543-F/CA-6",
