"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[12792]","INTRAPLATE VOLCANICS","BAIKAL-PATOM REGION_PROTEROZOIC / NORTH BAIKAL VOLCANOPLUTONIC BELT / SOUTHERN NORTH BAIKAL VOLCANOPLUTONIC BELT / AKITKAN GROUP","ZAVOROTNY AREA","54.32","54.32","108.42","108.42","SUBAERIAL","","","s 01021 [12792]","RHYOLITE [12792]","","","PALEO [12792]","PROTEROZOIC [12792]","","","","PORPHYRITIC [12792] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [12792] ","73.77","0.39","","12.3","","1.03","2.76","","0.84","0.17","0.06","","4.88","2.9","0.07","0.03","","","","0.18","","","","","","","","","","","0.96","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.2","","7.1","96","","","3.2","6.4","","","","","","","","171","104","48","290","17","","","","","","","","","","","","","1656","78.96","149.92","18.06","67.15","11.95","1.65","9.18","1.36","8.89","1.81","5.15","0.72","4.57","0.78","8.33","1.23","","","","","","","","","","","20.53","5.46","","","","","","","","","","","","","","","","","","","","","","","","","512839",
"[12792]","INTRAPLATE VOLCANICS","BAIKAL-PATOM REGION_PROTEROZOIC / NORTH BAIKAL VOLCANOPLUTONIC BELT / SOUTHERN NORTH BAIKAL VOLCANOPLUTONIC BELT / AKITKAN GROUP","ZAVOROTNY AREA","54.32","54.32","108.42","108.42","SUBAERIAL","","","s 01022 [12792]","RHYOLITE [12792]","","","PALEO [12792]","PROTEROZOIC [12792]","","","","PORPHYRITIC [12792] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [12792] ","69.86","0.41","","14.75","","0.5","3.34","","0.84","0.2","0.06","","3.2","4.98","0.06","0.02","","","","0.5","","","","","","","","","","","0.87","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.4","","7.8","0","","","2.5","3.6","","","","","","","","106","86","88","524","38","","","","","","","","","","","","","1707","119.95","249.3","30.73","96.298","16.967","3.19","13","2.04","11.75","2.39","7.2","1.02","6.33","1.11","14.58","3.24","","","","","","","","","","","17.21","4.56","0.511218","","","","","","","","","","","","","","","","","","","","","","","","512840",
"[12792]","INTRAPLATE VOLCANICS","BAIKAL-PATOM REGION_PROTEROZOIC / NORTH BAIKAL VOLCANOPLUTONIC BELT / SOUTHERN NORTH BAIKAL VOLCANOPLUTONIC BELT / AKITKAN GROUP","ZAVOROTNY AREA","54.32","54.32","108.42","108.42","SUBAERIAL","","","s 01025 [12792]","RHYOLITE [12792]","","","PALEO [12792]","PROTEROZOIC [12792]","","","","PORPHYRITIC [12792] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [12792] ","71.18","0.55","","12.5","","1.18","3.3","","1.54","0.3","0.07","","4.74","2.62","0.13","0.1","","","","0.23","","","","","","","","","","","1.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.7","","45","20","","","6.1","5.1","","","","","","","","172","133","45","283","17","","","","","","","","","","","","","1577","80.18","152.83","18.22","65.77","10.88","1.69","8.9","1.4","8.56","1.81","5.24","0.67","4.63","0.63","8.2","1.25","","","","","","","","","","","20.24","5.15","","","","","","","","","","","","","","","","","","","","","","","","","512841",
"[12792]","INTRAPLATE VOLCANICS","BAIKAL-PATOM REGION_PROTEROZOIC / NORTH BAIKAL VOLCANOPLUTONIC BELT / SOUTHERN NORTH BAIKAL VOLCANOPLUTONIC BELT / AKITKAN GROUP","ZAVOROTNY AREA","54.32","54.32","108.42","108.42","SUBAERIAL","","","s 01042 [12792]","RHYOLITE [12792]","","","PALEO [12792]","PROTEROZOIC [12792]","","","","PORPHYRITIC [12792] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [12792] ","70.84","0.55","","12.85","","1.71","3.29","","1.5","0.61","0.08","","4.65","2.31","0.08","0.25","","","","0.26","","","","","","","","","","","1.38","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.3","","13","8","","","3.1","9.4","","","","","","","","144","105","78","446","29","","","","","","","","","","","","","2398","140.41","258.1","32.71","120.85","20.18","4.01","17.15","2.46","13.82","2.83","9.03","1.16","7.41","1.24","12.19","2.31","","","","","","","","","","","17.94","4.28","","","","","","","","","","","","","","","","","","","","","","","","","512842",
"[12792]","INTRAPLATE VOLCANICS","BAIKAL-PATOM REGION_PROTEROZOIC / NORTH BAIKAL VOLCANOPLUTONIC BELT / SOUTHERN NORTH BAIKAL VOLCANOPLUTONIC BELT / AKITKAN GROUP","ZAVOROTNY AREA","54.32","54.32","108.42","108.42","SUBAERIAL","","","s 01047 [12792]","RHYOLITE [12792]","","","PALEO [12792]","PROTEROZOIC [12792]","","","","PORPHYRITIC [12792] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [12792] ","71.74","0.39","","12.85","","0.72","3.1","","0.8","0.67","0.06","","5.26","2.53","0.05","0.07","","","","0.33","","","","","","","","","","","1.39","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.5","","9.1","13","","","3.1","3.5","","","","","","","","156","67","74","409","22","","","","","","","","","","","","","2095","113.86","217.4","26.26","98.71","16.75","3.07","13.73","2.25","13.52","2.8","8.06","1.05","6.71","1.12","11.48","1.24","","","","","","","","","","","16.92","4.86","","","","","","","","","","","","","","","","","","","","","","","","","512843",
"[12792]","INTRAPLATE VOLCANICS","BAIKAL-PATOM REGION_PROTEROZOIC / NORTH BAIKAL VOLCANOPLUTONIC BELT / SOUTHERN NORTH BAIKAL VOLCANOPLUTONIC BELT / AKITKAN GROUP","ZAVOROTNY AREA","54.32","54.32","108.42","108.42","SUBAERIAL","","","s 01028 [12792]","RHYOLITE [12792]","","","PALEO [12792]","PROTEROZOIC [12792]","","","","PORPHYRITIC [12792] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [12792] ","71.76","0.4","","12.36","","0.73","3.54","","1.4","0.2","0.08","","4.36","3.01","0.07","0","","","","0.45","","","","","","","","","","","1.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.8","","5.7","0","","","2.8","5.7","","","","","","","","122","66","91","564","31","","","","","","","","","","","","","1596","115.92","240.25","31.56","109.7","22.02","3.01","13.37","2.22","12.17","2.72","8.15","1.15","6.82","1.22","14.6","1.51","","","","","","","","","","","18.75","5.14","","","","","","","","","","","","","","","","","","","","","","","","","512844",
"[12792]","INTRAPLATE VOLCANICS","BAIKAL-PATOM REGION_PROTEROZOIC / NORTH BAIKAL VOLCANOPLUTONIC BELT / SOUTHERN NORTH BAIKAL VOLCANOPLUTONIC BELT / AKITKAN GROUP","ZAVOROTNY AREA","54.32","54.32","108.42","108.42","SUBAERIAL","","","s 01036 [12792]","RHYOLITE [12792]","","","PALEO [12792]","PROTEROZOIC [12792]","","","","PORPHYRITIC [12792] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [12792] ","72.2","0.48","","12.58","","1.4","2.87","","1.4","0.4","0.08","","5.03","2.42","0.1","0.02","","","","0.12","","","","","","","","","","","1.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","","36","9.2","","","4","4.6","","","","","","","","173","123","47","375","17","","","","","","","","","","","","","1652","82.72","157.86","19.32","67.18","11.11","1.82","9.86","1.58","8.71","1.85","5.83","0.79","5.31","0.78","11.66","1.38","","","","","","","","","","","25.78","6.61","","","","","","","","","","","","","","","","","","","","","","","","","512845",
"[12792]","INTRAPLATE VOLCANICS","BAIKAL-PATOM REGION_PROTEROZOIC / NORTH BAIKAL VOLCANOPLUTONIC BELT / SOUTHERN NORTH BAIKAL VOLCANOPLUTONIC BELT / AKITKAN GROUP","ZAVOROTNY AREA","54.32","54.32","108.42","108.42","SUBAERIAL","","","s 05035 [12792]","RHYOLITE [12792]","","","PALEO [12792]","PROTEROZOIC [12792]","","","","PORPHYRITIC [12792] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [12792] ","71.76","0.45","","11.8","","1.76","2.69","","1.44","0.42","0.08","","4.71","2.76","0.07","0.2","","","","0.11","","","","","","","","","","","1.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","","8","9.3","","","2.4","8.7","","","","","","","","157","92","39","337","17","","","","","","","","","","","","","1839","78.47","158.71","20.43","68.65","12.26","1.96","9.27","1.25","8.37","1.78","4.92","0.67","4.39","0.85","10.53","2.02","","","","","","","","","","","23.63","7","","","","","","","","","","","","","","","","","","","","","","","","","512846",
"[12792]","INTRAPLATE VOLCANICS","BAIKAL-PATOM REGION_PROTEROZOIC / NORTH BAIKAL VOLCANOPLUTONIC BELT / SOUTHERN NORTH BAIKAL VOLCANOPLUTONIC BELT / AKITKAN GROUP","ZAVOROTNY AREA","54.32","54.32","108.42","108.42","SUBAERIAL","","","s 05033 [12792]","DACITE [12792]","","","PALEO [12792]","PROTEROZOIC [12792]","","","","PORPHYRITIC [12792] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [12792] ","65.47","0.81","","11.73","","3.01","3.81","","3.15","2.08","0.11","","4.35","3.15","0.14","0.28","","","","0.11","","","","","","","","","","","1.88","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","","60","56","","","19","53","","","","","","","","118","173","57","374","19","","","","","","","","","","","","","2126","78.7","155.23","20.11","75.33","12.55","2.53","9.86","1.65","9.39","1.98","6.08","1.08","4.23","0.79","9.97","0.94","","","","","","","","","","","13.08","3.25","","","","","","","","","","","","","","","","","","","","","","","","","512847",
"[12792]","INTRAPLATE VOLCANICS","BAIKAL-PATOM REGION_PROTEROZOIC / NORTH BAIKAL VOLCANOPLUTONIC BELT / SOUTHERN NORTH BAIKAL VOLCANOPLUTONIC BELT / AKITKAN GROUP","SREDNII KEDROVY AREA","55.68","55.68","108.5","108.5","SUBAERIAL","","","s 0376 [12792]","RHYOLITE [12792]","","","PALEO [12792]","PROTEROZOIC [12792]","","","","PORPHYRITIC [12792] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [12792] ","72.36","0.54","","12.6","","1.65","2.58","","1.38","0.46","0.05","","4.41","3.34","0.13","0.27","","","","","","","","","","","","","","","0.71","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","","26","7.8","","","6.2","9.8","","","","","","","","152","164","32","288","12","","","","","","","","","","","","","1813","61.81","114.97","13.43","40.652","6.923","1.57","5.79","0.92","4.56","1.02","3.23","0.31","2.93","0.47","7.4","0.77","","","","","","","","","","","18.2","4.9","0.511027","","","","","","","","","","","","","","","","","","","","","","","","512848",
