"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[17805]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","BALTIC SHIELD - ARCHEAN / KARELIAN PROVINCE - CARBONATITE COMPLEXES / SIILINJÄRVI CARBONATITE","LAKE SÄRKILAMPI","61","61","33","33","SUBAERIAL","","","s 113/KP-67 [17805]","SOVITE [17805]","","","","ARCHEAN [17805]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [17805] ","1.59","0.02","","0.1","","0.7","0.09","","50.95","2.62","0.09","","1.2","1.42","0.35","","0.15","0.06","","41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1002567",
"[17805]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","BALTIC SHIELD - ARCHEAN / KARELIAN PROVINCE - CARBONATITE COMPLEXES / SIILINJÄRVI CARBONATITE","WEST OF LAKE SÄRKILAMPI","61","61","33","33","SUBAERIAL","","","s 2 [17805]","SOVITE [17805]","","","","ARCHEAN [17805]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [17805] ","","0","","0","","0.04","0.83","","52.34","2.26","0.18","","","","0.1","","","","","43.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1002568",
"[17805]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","BALTIC SHIELD - ARCHEAN / KARELIAN PROVINCE - CARBONATITE COMPLEXES / SIILINJÄRVI CARBONATITE","LAKE SÄRKILAMPI","61","61","33","33","SUBAERIAL","","","s FZ-44L [17805]","NOT GIVEN [17805]","","","","ARCHEAN [17805]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [17805] ","14.97","0.12","","1.7","","0.59","","","36.65","5.84","0.01","","3.61","0.81","24.8","","","","","1.3","","1.48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","700","","","100","","","","10","","","","","","","","4000","100","1500","","","","","","","","","","","","","","600","500","","","","","","","","","","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1002569",
"[17805]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","BALTIC SHIELD - ARCHEAN / KARELIAN PROVINCE - CARBONATITE COMPLEXES / SIILINJÄRVI CARBONATITE","NORTH OF LAKE PAHKALAMPI","61","61","33","33","SUBAERIAL","","","s 104/KP-67 [17805]","PERIDOTITE, MICA [17805]","","","","ARCHEAN [17805]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [17805] ","25.72","0.05","","8.16","","7.6","2.58","","15.58","23.31","0.06","","2.5","2.7","0.44","","5.44","0.05","","6.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1002570",
"[17805]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","BALTIC SHIELD - ARCHEAN / KARELIAN PROVINCE - CARBONATITE COMPLEXES / SIILINJÄRVI CARBONATITE","LAKE SÄRKILAMPI","61","61","33","33","SUBAERIAL","","","s OH 735 [17805]","GLIMMERITE [17805]","","","","ARCHEAN [17805]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [17805] ","40.76","0.3","","10.13","","5","3.13","","0.92","24.58","0.29","","10.2","0.3","0.75","","2.17","0.12","","","","0.67","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1002571",
"[17805]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","BALTIC SHIELD - ARCHEAN / KARELIAN PROVINCE - CARBONATITE COMPLEXES / SIILINJÄRVI CARBONATITE","LAKE SÄRKILAMPI","61","61","33","33","SUBAERIAL","","","s FZ-44P [17805]","GLIMMERITE [17805]","","","","ARCHEAN [17805]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [17805] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","800","","","","10","","","","","","","","4000","","","","","","","","","","","","","","","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1002572",
"[17805]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","BALTIC SHIELD - ARCHEAN / KARELIAN PROVINCE - CARBONATITE COMPLEXES / SIILINJÄRVI CARBONATITE","LAKE SÄRKILAMPI","61","61","33","33","SUBAERIAL","","","s FZ-44G [17805]","GLIMMERITE [17805]","","","","ARCHEAN [17805]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [17805] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","800","311","","3000","","10","","10","","","","","","","","3000","","300","","","","","","","","","","","","","","200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1002573",
"[17805]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","BALTIC SHIELD - ARCHEAN / KARELIAN PROVINCE - CARBONATITE COMPLEXES / SIILINJÄRVI CARBONATITE","LAKE SÄRKILAMPI","61","61","33","33","SUBAERIAL","","","s FZ-44I [17805]","CARBONATITE, APATITE [17805]","","","","ARCHEAN [17805]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [17805] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1500","50","","700","","10","","20","","","","","","","","2000","","","","","","","","","","","","","","","","200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1002574",
"[17805]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","BALTIC SHIELD - ARCHEAN / KARELIAN PROVINCE - CARBONATITE COMPLEXES / SIILINJÄRVI CARBONATITE","LAKE SÄRKILAMPI","61","61","33","33","SUBAERIAL","","","s FZ-44E [17805]","CARBONATITE, APATITE [17805]","","","","ARCHEAN [17805]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [17805] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80","","300","","","","","","","","","","","","1000","","200","","","","","","","","","","","","","","200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1002575",
"[17805]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","BALTIC SHIELD - ARCHEAN / KARELIAN PROVINCE - CARBONATITE COMPLEXES / SIILINJÄRVI CARBONATITE","LAKE SÄRKILAMPI","61","61","33","33","SUBAERIAL","","","s FZ-44J [17805]","GLIMMERITE, CARBONATE [17805]","","","","ARCHEAN [17805]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [17805] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1500","70","","800","","","","","","5","","","","","","2500","","300","","","","","","","","","","","","","","200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1002576",
