"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[18777]","INTRAPLATE VOLCANICS","BALTIC SHIELD - PALEOZOIC / BELOMORIAN PROVINCE / KANDALAKSHA GRABEN","MOKHNATYE ROGA REGION","67.25","67.25","31.5","31.5","SUBAERIAL","","","s 1 [18777]","SYENITE, NEPHELINE [18777]","","","","PALEOZOIC [18777]","","","","PORPHYRIC [18777] ","PLUTONIC ROCK","","","","","WHOLE_ROCK [18777] ","46.78","3.21","","12.95","","","","15.41","2","1.06","0.53","","3.91","7.12","0.11","","","","","","","","","","","","","","","","3.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1093030",
"[18777]","INTRAPLATE VOLCANICS","BALTIC SHIELD - PALEOZOIC / BELOMORIAN PROVINCE / KANDALAKSHA GRABEN","MOKHNATYE ROGA REGION","67.25","67.25","31.5","31.5","SUBAERIAL","","","s 2 [18777]","SYENITE, NEPHELINE [18777]","","","","PALEOZOIC [18777]","","","","PORPHYRIC [18777] ","PLUTONIC ROCK","","","","","WHOLE_ROCK [18777] ","49.4","3.56","","10.34","","","","14.18","2","1.86","0.32","","5.94","4.57","0.26","","","","","","","","","","","","","","","","4.21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1093031",
"[18777]","INTRAPLATE VOLCANICS","BALTIC SHIELD - PALEOZOIC / BELOMORIAN PROVINCE / KANDALAKSHA GRABEN","MOKHNATYE ROGA REGION","67.25","67.25","31.5","31.5","SUBAERIAL","","","s 3 [18777]","SYENITE, NEPHELINE [18777]","","","","PALEOZOIC [18777]","","","","PORPHYRIC [18777] ","PLUTONIC ROCK","","","","","WHOLE_ROCK [18777] ","45.83","3.27","","11.63","","","","15.53","2.2","1.91","0.58","","3.96","5.77","0.04","","","","","","","","","","","","","","","","5.59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1093032",
"[18777]","INTRAPLATE VOLCANICS","BALTIC SHIELD - PALEOZOIC / BELOMORIAN PROVINCE / KANDALAKSHA GRABEN","MOKHNATYE ROGA REGION","67.25","67.25","31.5","31.5","SUBAERIAL","","","s 4 [18777]","SYENITE, NEPHELINE [18777]","","","","PALEOZOIC [18777]","","","","PORPHYRIC [18777] ","PLUTONIC ROCK","","","","","WHOLE_ROCK [18777] ","47.35","2.93","","12.62","","","","11.18","1.59","3.36","0.4","","4.41","6.32","0.06","","","","","","","","","","","","","","","","5.77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1093033",
"[18777]","INTRAPLATE VOLCANICS","BALTIC SHIELD - PALEOZOIC / BELOMORIAN PROVINCE / KANDALAKSHA GRABEN","MOKHNATYE ROGA REGION","67.25","67.25","31.5","31.5","SUBAERIAL","","","s 5 [18777]","SYENITE, NEPHELINE [18777]","","","","PALEOZOIC [18777]","","","","PORPHYRIC [18777] ","PLUTONIC ROCK","","","","","WHOLE_ROCK [18777] ","44.82","3.66","","11.38","","","","16.31","2.43","1.68","0.56","","3.39","5.71","0.06","","","","","","","","","","","","","","","","6.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1093034",
"[18777]","INTRAPLATE VOLCANICS","BALTIC SHIELD - PALEOZOIC / BELOMORIAN PROVINCE / KANDALAKSHA GRABEN","MOKHNATYE ROGA REGION","67.25","67.25","31.5","31.5","SUBAERIAL","","","s 6 [18777]","SYENITE, NEPHELINE [18777]","","","","PALEOZOIC [18777]","","","","PORPHYRIC [18777] ","PLUTONIC ROCK","","","","","WHOLE_ROCK [18777] ","45.4","3.57","","10.65","","","","15.88","2.83","2","0.58","","2.61","5.54","0.37","","","","","","","","","","","","","","","","6.82","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1093035",
"[18798]","INTRAPLATE VOLCANICS","BALTIC SHIELD - PALEOZOIC / SVECOFENNIAN PROVINCE / SWEDEN / ALNO COMPLEX","","62.5","62.5","17.5","17.5","SUBAERIAL","","","s PKD-1 [18798]","PHONOLITE [18798]","","","","PROTEROZOIC [18798]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [18798] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","171","885","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.70854","","","","","","","","","","","","","","","","","","","","","1093364",
"[18798]","INTRAPLATE VOLCANICS","BALTIC SHIELD - PALEOZOIC / SVECOFENNIAN PROVINCE / SWEDEN / ALNO COMPLEX","","62.5","62.5","17.5","17.5","SUBAERIAL","","","s PKD-2 [18798]","PHONOLITE [18798]","","","","PROTEROZOIC [18798]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [18798] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","177","751","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.70948","","","","","","","","","","","","","","","","","","","","","1093365",
"[18798]","INTRAPLATE VOLCANICS","BALTIC SHIELD - PALEOZOIC / SVECOFENNIAN PROVINCE / SWEDEN / ALNO COMPLEX","","62.5","62.5","17.5","17.5","SUBAERIAL","","","s PKD-3 [18798]","PHONOLITE [18798]","","","","PROTEROZOIC [18798]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [18798] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","151","770","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.70864","","","","","","","","","","","","","","","","","","","","","1093366",
"[18798]","INTRAPLATE VOLCANICS","BALTIC SHIELD - PALEOZOIC / SVECOFENNIAN PROVINCE / SWEDEN / ALNO COMPLEX","","62.5","62.5","17.5","17.5","SUBAERIAL","","","s PKD-4 [18798]","PHONOLITE [18798]","","","","PROTEROZOIC [18798]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [18798] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","186","800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.70976","","","","","","","","","","","","","","","","","","","","","1093367",
