"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[19967]","INTRAPLATE VOLCANICS","BALTIC SHIELD - PROTEROZOIC / SVECONORWEGIAN PROVINCE / NORWAY","ROAD 12, VALLE MASSIF","59","59","7.5","7.5","SUBAERIAL","","","s VA1 [19967]","GRANODIORITE [19967]","","","","PROTEROZOIC [19967]","","","","PORPHYRITIC [19967] ","PLUTONIC ROCK","","","","","WHOLE_ROCK [19967] ","64.9","1.31","","13.86","","3.75","2.23","","3.35","1.32","0.11","","4.83","3.75","0.39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3119","","","","","","","","","11.6","","65","21","","","9.2","3","","139","28","","","","","141","814","63","644","22","","","","","","","","","","","","0.86","2598","190","382","53.7","199","33.1","6.1","19.3","2.45","13.91","2.91","6.7","1.02","5.72","0.82","17.7","1.8","","","","","","","","","37","","13.8","2.6","0.511852","","","0.710835","","","","","","","","","","","","","","","","","","","","","1001144",
"[19967]","INTRAPLATE VOLCANICS","BALTIC SHIELD - PROTEROZOIC / SVECONORWEGIAN PROVINCE / NORWAY","ROAD 12, VALLE MASSIF","59","59","7.5","7.5","SUBAERIAL","","","s VA2 [19967]","GRANITE [19967]","","","","PROTEROZOIC [19967]","","","","PORPHYRITIC [19967] ","PLUTONIC ROCK","","","","","WHOLE_ROCK [19967] ","68.8","1.15","","14.28","","2.69","1.06","","2.17","0.2","0.19","","5.41","4.08","0.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1368","","","","","","","","","4.1","","29","","","","3.6","2","","80","25","","","","","244","397","35","442","18","","","","","","","","","","","","0.68","1394","220","395","49.7","160","24.1","3.3","11.8","1.53","8.11","1.54","3.63","0.54","2.79","0.38","11.6","1.4","","","","","","","","","42","","14.1","2.9","0.511743","","","0.728681","","","","","","","","","","","","","","","","","","","","","1001145",
"[19967]","INTRAPLATE VOLCANICS","BALTIC SHIELD - PROTEROZOIC / SVECONORWEGIAN PROVINCE / NORWAY","S ÖYGARDEN, VERHUSKJERRINGI MASSIF","60","60","7.5","7.5","SUBAERIAL","","","s S1 [19967]","GRANITE [19967]","","","","PROTEROZOIC [19967]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [19967] ","67.28","0.95","","13.36","","3.64","1.78","","3.44","0.84","0.12","","4.48","3.18","0.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009","","","","","","","","","10.8","","37","19.5","","","6.6","2.1","","131","25","","","","","188","471","68","516","26","","","","","","","","","","","","3.49","1203","97","207","25.9","100","17.8","4","15.2","2.3","12.38","2.76","7.16","1.07","7.24","1.03","15.6","2.2","","","","","","","","","29","","16.5","4.6","0.51206","","","0.719226","","","","","","","","","","","","","","","","","","","","","1001146",
"[19967]","INTRAPLATE VOLCANICS","BALTIC SHIELD - PROTEROZOIC / SVECONORWEGIAN PROVINCE / NORWAY","S ÖYGARDEN, VERHUSKJERRINGI MASSIF","60","60","7.5","7.5","SUBAERIAL","","","s S2 [19967]","GRANITE [19967]","","","","PROTEROZOIC [19967]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [19967] ","55.14","2.5","","9.88","","","15.14","","5.02","2.63","0.33","","4.06","1.5","1.69","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.6","","","22","","","23.1","2.4","","","26","","","","","201","283","171","918","59","","","","","","","","","","","","5.16","1123","218","468","61","246","46.3","6.2","37","5","30.3","6.3","15.8","2.3","14.8","2.3","45.8","4.1","","","","","","","","","22","","23.4","6.4","","","","","","","","","","","","","","","","","","","","","","","","","1001147",
"[19967]","INTRAPLATE VOLCANICS","BALTIC SHIELD - PROTEROZOIC / SVECONORWEGIAN PROVINCE / NORWAY","ROAD 38 TO DALEN, BESSEFJELLET MASSIF","60","60","7.5","7.5","SUBAERIAL","","","s BE3 [19967]","LEUCOGRANITE [19967]","","","","PROTEROZOIC [19967]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [19967] ","73.93","0.01","","13.78","","0.54","0.26","","1.15","0.22","0.07","","6.81","3.18","0.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6532","","","","","","","","","2.4","","","","","","0.6","","","","25","","","","","527","95","11","72","7","","","","","","","","","","","","3.88","128","15","28","2.6","8","1.2","0.5","1.1","","1","","0.7","0.14","1.1","0.2","6","0.8","","","","","","","","","77","","9.9","9.8","","","","","","","","","","","","","","","","","","","","","","","","","1001148",
"[19967]","INTRAPLATE VOLCANICS","BALTIC SHIELD - PROTEROZOIC / SVECONORWEGIAN PROVINCE / NORWAY","SKUGGENUT, BESSEFJELLET MASSIF","60","60","7.5","7.5","SUBAERIAL","","","s BE5 [19967]","LEUCOGRANITE [19967]","","","","PROTEROZOIC [19967]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [19967] ","76.23","0.01","","13.2","","0.43","0.39","","0.32","0.14","0.11","","4.95","3.49","0.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5665","","","","","","","","","10.8","","","3.1","","","0.2","","","35","24","","","","","714","34","29","58","46","","","","","","","","","","","","3.43","104","31","57","6","17","3.7","0.2","2.8","0.59","3.77","0.88","2.6","0.59","5.05","0.89","4.3","4","","","","","","","","","41","","18.9","4.3","0.511908","","","1.612856","","","","","","","","","","","","","","","","","","","","","1001149",
"[19967]","INTRAPLATE VOLCANICS","BALTIC SHIELD - PROTEROZOIC / SVECONORWEGIAN PROVINCE / NORWAY","VIDSYNNUT, BESSEFJELLET MASSIF","60","60","7.5","7.5","SUBAERIAL","","","s BE6 [19967]","LEUCOGRANITE [19967]","","","","PROTEROZOIC [19967]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [19967] ","75.75","0.01","","14.14","","0.37","0.32","","0.09","0.15","0.07","","4.25","3.93","0.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4845","","","","","","","","","13.4","","","4.4","","","","","","46","40","","","","","843","28","27","30","48","","","","","","","","","","","","4.56","44","19","40","4.2","13","3.4","0.2","3.3","","3.7","1","2.9","0.6","5.2","1.2","3.3","5.8","","","","","","","","","39","","14","6.7","","","","","","","","","","","","","","","","","","","","","","","","","1001150",
"[19967]","INTRAPLATE VOLCANICS","BALTIC SHIELD - PROTEROZOIC / SVECONORWEGIAN PROVINCE / NORWAY","STOREHAUG, BESSEFJELLET MASSIF","60","60","7.5","7.5","SUBAERIAL","","","s BE4 [19967]","LEUCOGRANITE [19967]","","","","PROTEROZOIC [19967]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [19967] ","76.58","0.05","","13.45","","0.74","0.24","","0.19","0.06","0.04","","5.01","4","0.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5111","","","","","","","","","11.8","","","9","","","0.4","","","91","30","","","","","746","38","36","134","43","","","","","","","","","","","","4.57","103","76","136","12.8","35","5.6","0.4","4.1","0.74","4.58","1.04","3.2","0.66","5.05","0.86","5.4","2.7","","","","","","","","","39","","48.4","16.3","0.51183","","","1.576833","","","","","","","","","","","","","","","","","","","","","1001151",
"[19967]","INTRAPLATE VOLCANICS","BALTIC SHIELD - PROTEROZOIC / SVECONORWEGIAN PROVINCE / NORWAY","S LJOSLAND, SVÖTFJELLMASSIF","58","58","7","7","SUBAERIAL","","","s 84-43 [19967]","GRANITE [19967]","","","","PROTEROZOIC [19967]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [19967] ","62.45","1.03","","15.25","","3.76","2.64","","4.56","1.6","0.1","","3.84","3.19","0.53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56","","","","","","","178","29","","","","","125","670","75","603","26","","","","","","","","","","","","2.68","1666","82","203","24.1","98","18.4","4.5","16.6","2.6","14.8","3.11","7.54","1.09","7.25","1.07","16.2","","","","","","","","","","27","","8.3","2.7","","","","0.71184","","","","","","","","","","","","","","","","","","","","","1001152",
"[19967]","INTRAPLATE VOLCANICS","BALTIC SHIELD - PROTEROZOIC / SVECONORWEGIAN PROVINCE / NORWAY","KVERNEVATNET, SVÖTFJELLMASSIF","58","58","7","7","SUBAERIAL","","","s 84-47 [19967]","APLITE [19967]","","","","PROTEROZOIC [19967]","","","","","VEIN","","","","","WHOLE_ROCK [19967] ","74.56","0.16","","13.26","","1.33","0.57","","0.46","0.38","0","","6.34","2.31","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","","","","","","","63","22","","","","","282","226","72","266","23","","","","","","","","","","","","1.65","677","50","135","11.7","43","9.6","1","9.6","1.9","11","2.71","6.76","1.1","7.26","0.96","11.8","2.1","","","","","","","","","42","","62.4","5.7","","","","0.752138","","","","","","","","","","","","","","","","","","","","","1001153",
