"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[3085]","CONVERGENT MARGIN","BANDA ARC / BANDA ARC / KISU / KISU / INDIAN OCEAN","","-8.38","-8.38","124.41","124.41","SUBAERIAL","","","s BUA [3085]","NOT GIVEN [3085]","","","","","","","","","VOLCANIC ROCK","","","","HE(CCMSTP/G) from OLIVINE/CLINOPYROXENE [3085], HE3_HE4(R/R(A)) from OLIVINE/CLINOPYROXENE [3085]","MINERAL / COMPONENT (INCL. GROUNDMASS) [3085] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0000017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.57","","","","","104872",
"[3085]","CONVERGENT MARGIN","BANDA ARC / BANDA ARC / ROMANG / PACIFIC OCEAN","","-7.55","-7.55","127.42","127.42","SUBAERIAL","","","s RO7B [3085]","NOT GIVEN [3085]","","","","","","","","","VOLCANIC ROCK","","","","HE(CCMSTP/G) from OLIVINE/CLINOPYROXENE [3085], HE3_HE4(R/R(A)) from OLIVINE/CLINOPYROXENE [3085]","MINERAL / COMPONENT (INCL. GROUNDMASS) [3085] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00000365","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.99","","","","","104873",
"[3085]","CONVERGENT MARGIN","BANDA ARC / BANDA ARC / BANDA / PACIFIC OCEAN","","-4.52","-4.52","129.87","129.87","SUBAERIAL","","","s BA113A [3085]","NOT GIVEN [3085]","","","","","","","","","VOLCANIC ROCK","","","","HE(CCMSTP/G) from OLIVINE [3085], HE3_HE4(R/R(A)) from OLIVINE [3085]","MINERAL / COMPONENT (INCL. GROUNDMASS) [3085] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0000024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.01","","","","","104874",
"[3910]","CONVERGENT MARGIN","BANDA ARC / BANDA ARC / TERNATE / TERNATE / PACIFIC OCEAN","","0.8","0.8","127.33","127.33","SUBAERIAL","","","s T7 [3910]","NOT GIVEN [3910]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [3910] ","53.72","0.98","","18.66","","","","9.01","8.78","4.54","","","1.11","2.92","0.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9178","","","","256.4","16.6","","","","16.5","125.2","79.5","","","","","","24.91","356.7","26","97.7","5.1","","","","","","","","","","","","1.69","210.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.70415","","18.5","","15.604","","38.629","","","","","","","","","","","","","","","11648-T7",
"[5178]","CONVERGENT MARGIN","BANDA ARC / BANDA ARC / TREWEG / PACIFIC OCEAN","","-8","-8","124","124","SUBAERIAL","","","s TR1.2.1 [5178]","ANDESITE, BASALTIC [5178]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [5178] ","55.66","0.82","","17.99","","","","7.94","8.28","3.37","0.2","","1.15","3.43","0.28","","","","","","","","","","","","","","","","0.21","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.4","","167","","","","","","37","51","17","","","","","37","664","27","83","4.5","","","","","","","","","","","","","737","25.6","46.9","","25","5.2","1.55","","0.73","","","","","2.45","0.36","2.1","","","","","","","","","","22","","5.5","1.8","0.512628","","","0.705449","","19.358","","15.718","","39.677","","","","","","","","","","","","","","","120443",
"[5178]","CONVERGENT MARGIN","BANDA ARC / BANDA ARC / TREWEG / PACIFIC OCEAN","","-8","-8","124","124","SUBAERIAL","","","s TR1.2.2 [5178]","ANDESITE, BASALTIC [5178]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [5178] ","56.24","0.86","","17.68","","","","7.72","8.19","3.5","0.18","","1.29","3.27","0.22","","","","","","","","","","","","","","","","0.83","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","","171","","","","","4","21","55","16","","","","","40","690","24","71","4.6","","","","","","","","","","","","","598","25","50","","25","","","","","","","","","","","","","","","","","","","","","14","","7","3","0.512624","","","0.705474","","19.325","","15.697","","39.574","","","","","","","","","","","","","","","120444",
"[5178]","CONVERGENT MARGIN","BANDA ARC / BANDA ARC / TREWEG / PACIFIC OCEAN","","-8","-8","124","124","SUBAERIAL","","","s TR5.1.3 [5178]","ANDESITE [5178]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [5178] ","57.62","0.81","","17.39","","","","7.34","7.54","3.35","0.18","","1.41","3.3","0.22","","","","","","","","","","","","","","","","0.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","","148","1.8","","","","4","19","52","17","","","","","43","684","24","76","4.2","","","","","","","","","","","","4.3","626","22.4","43.7","5.5","22.1","4.6","1.4","4.27","0.66","3.64","0.75","2.19","0.32","2.04","0.31","2.7","","","","","","","","","","15.2","","5.3","1.6","0.512543","","","0.705488","","19.327","","15.698","","39.572","","","","","","","","","","","","","","","120445",
"[5178]","CONVERGENT MARGIN","BANDA ARC / BANDA ARC / BESAR / BESAR / PACIFIC OCEAN","","-8","-8","124","124","SUBAERIAL","","","s PB2.2 [5178]","ANDESITE, BASALTIC [5178]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [5178] ","55.63","0.78","","17.21","","","","8.15","8.01","3.69","0.19","","1.96","3.18","0.28","","","","","","","","","","","","","","","","0.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.7","","164","","","","","","9.5","54","15","","","","","52","815","23","110","7","","","","","","","","","","","","","1112","45.5","81","","30.9","6","1.65","","0.74","","","","","2.2","0.37","2.7","","","","","","","","","","14","","14.9","2.9","0.512654","","","0.705304","","19.351","","15.72","","39.714","","","","","","","","","","","","","","","120446",
"[5178]","CONVERGENT MARGIN","BANDA ARC / BANDA ARC / PURA BESAR / PACIFIC OCEAN","","-8","-8","124","124","SUBAERIAL","","","s ME99AL19 [5178]","ANDESITE, BASALTIC [5178]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [5178] ","55.81","0.87","","17.31","","","","8.21","7.54","3.79","0.19","","1.82","3.3","0.24","","","","","","","","","","","","","","","","0.58","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","","174","1.1","","","","5","25","54","15","","","","","50","794","24","105","6","","","","","","","","","","","","2.6","1041","37.8","68.1","7.7","29.1","5.4","1.56","4.96","0.72","3.81","0.77","2.28","0.34","2.16","0.33","3.1","","","","","","","","","","15.5","","11.7","2.4","0.51264","","","0.705304","","19.281","","15.673","","39.51","","","","","","","","","","","","","","","120447",
"[5178]","CONVERGENT MARGIN","BANDA ARC / BANDA ARC / PURA BESAR / PACIFIC OCEAN","","-8","-8","124","124","SUBAERIAL","","","s ME99AL23 [5178]","ANDESITE [5178]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [5178] ","60.09","0.64","","17.12","","","","6.03","6.29","2.73","0.16","","2.67","3.32","0.27","","","","","","","","","","","","","","","","0.77","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","119","4.1","","","","5","23","58","17","","","","","65","768","22","132","7.1","","","","","","","","","","","","2","1504","56.5","96.4","10.1","34.2","5.7","1.68","4.98","0.67","3.53","0.7","2.05","1.92","2.08","0.31","3.5","","","","","","","","","","19.5","","18.1","3.5","0.512616","","","0.705438","","19.295","","15.695","","39.569","","","","","","","","","","","","","","","120448",
