"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[9499]","INTRAPLATE VOLCANICS","BANGWEULU BLOCK_IRUMIDE BELT / IRUMIDE BELT / ZAMBIA / KAPIRI MPOSHI GRANITE","","-11","-15","27","32","SUBAERIAL","","","s KMP1 [9499]","GRANITE [9499]","","","","PROTEROZOIC [9499]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [9499] ","71.8","0.37","","15.5","","","","2.16","2.2","0.76","","","1.76","4.07","0.13","","","","","","","","","","","","","","","","0.01","","","","","","","","","","","","","","40.8","1.23","","","","","","","","","","","","","4.91","","40.5","13.1","292","","84.4","5.17","3.49","45.5","19.3","0.97","","","","81.1","233","9.65","182","9.1","0.21","","","","","0.03","","0.85","0.04","","","1.57","398","27.8","54.6","4.86","16.9","3.03","0.5","2.1","0.35","1.95","0.23","0.61","0.1","0.5","0.12","3.36","2.93","53.5","","","","","","","0.47","10.1","0.02","9.93","0.74","","","","","","","","","","","","","","","","","","","","","","","","","931243",
"[9499]","INTRAPLATE VOLCANICS","BANGWEULU BLOCK_IRUMIDE BELT / IRUMIDE BELT / ZAMBIA / MKUSHI GRANITE","","-11","-15","27","32","SUBAERIAL","","","s MK12 [9499]","GNEISS [9499]","","","","PROTEROZOIC [9499]","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [9499] ","70.1","0.37","","17.4","","","","1.64","1.31","0.61","","","3.52","3.57","0.13","","","","","","","","","","","","","","","","0.01","","","","","","","","","","","","","","21.8","1.9","","","","","","","","","","","","","2.98","","31.4","12","354","","46.5","4.14","6.99","70","20.2","0.71","","","","159","196","6.84","227","10.3","0.12","","","","","0.02","","1.09","0.06","","","2.08","1024","35.5","71","6.27","20.7","3.81","0.79","2.21","0.37","1.27","0.18","0.47","0.08","0.48","0.07","5.1","2.28","30.2","","","","","","","0.88","19.8","0.1","15.6","1.4","","","","","","","","","","","","","","","","","","","","","","","","","931244",
"[9499]","INTRAPLATE VOLCANICS","BANGWEULU BLOCK_IRUMIDE BELT / IRUMIDE BELT / ZAMBIA / MKUSHI GRANITE","","-11","-15","27","32","SUBAERIAL","","","s KN1 [9499]","GNEISS [9499]","","","","PROTEROZOIC [9499]","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [9499] ","69.2","0.67","","14.6","","","","3.38","3.76","1.22","","","2.48","2.96","0.07","","","","","","","","","","","","","","","","0.01","","","","","","","","","","","","","","41.4","2.46","","","","","","","","","","","","","11.3","","83.8","29.8","1223","","21.9","13.2","4.74","80.7","18.3","18.3","","","","147","82.4","32.2","111","6.09","0.26","","","","","0.05","","1.24","0.04","","","6.06","789","34","91.7","7.72","27.4","6.45","1.22","5.41","1.07","5.6","0.97","2.93","0.61","3.56","0.63","3.06","0.37","5.23","","","","","","","0.91","18.2","0.22","10.6","2.11","","","","","","","","","","","","","","","","","","","","","","","","","931245",
"[9499]","INTRAPLATE VOLCANICS","BANGWEULU BLOCK_IRUMIDE BELT / IRUMIDE BELT / ZAMBIA / MKUSHI GRANITE","","-11","-15","27","32","SUBAERIAL","","","s MK3 [9499]","GNEISS [9499]","","","","PROTEROZOIC [9499]","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [9499] ","70.8","0.66","","15.5","","","","3.64","1.66","0.61","","","4.87","2.86","0.13","","","","","","","","","","","","","","","","0.01","","","","","","","","","","","","","","70","2.77","","","","","","","","","","","","","14.7","","108","31.1","972","","63.3","12.8","5.29","76.5","17.6","1.02","","","","143","165","20","78.2","5.74","0.49","","","","","0.03","","1.89","0.07","","","6.02","1112","33.7","72","6.66","25","5.3","1.36","3.92","0.74","3.59","0.59","1.63","0.26","1.73","0.3","1.62","1.28","27.1","","","","","","","0.72","9.71","0.07","5.61","1.81","0.51125","","","0.760874","","","","","","","","","","","","","","","","","","","","","931246",
"[9499]","INTRAPLATE VOLCANICS","BANGWEULU BLOCK_IRUMIDE BELT / IRUMIDE BELT / ZAMBIA / MKUSHI GRANITE","","-11","-15","27","32","SUBAERIAL","","","s MK5 [9499]","GNEISS [9499]","","","","PROTEROZOIC [9499]","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [9499] ","75.5","0.28","","12.5","","","","1.34","0.82","0.5","","","4.63","2.15","0.06","","","","","","","","","","","","","","","","0.01","","","","","","","","","","","","","","33.8","1.84","","","","","","","","","","","","","5.7","","30.3","13.3","462","","82.1","5.2","5.75","35.5","14.1","14.1","","","","291","103","39.9","99.1","17.7","0.41","","","","","0.02","","1.96","0.09","","","5.29","676","51.7","112","12.1","43.4","10.3","1.15","8.13","1.83","8.1","1.39","3.59","0.54","2.97","0.52","3.08","3.93","51","","","","","","","1.27","31.9","0.08","33.2","2.64","","","","","","","","","","","","","","","","","","","","","","","","","931247",
"[9499]","INTRAPLATE VOLCANICS","BANGWEULU BLOCK_IRUMIDE BELT / IRUMIDE BELT / ZAMBIA / LUWALIZI GRANITE GNEISS","","-11","-15","27","32","SUBAERIAL","","","s ISK1 [9499]","GNEISS, GRANITE [9499]","","","","PROTEROZOIC [9499]","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [9499] ","67.8","1.24","","13.8","","","","5.37","2.54","1.61","","","3.36","1.81","0.08","","","","","","","","","","","","","","","","0.01","","","","","","","","","","","","","","36.8","2.79","","","","","","","","","","","","","25.7","","192","49","1402","","60.4","22.1","26.5","164","28.2","3.6","","","","261","165","43","201","17.7","0.73","","","","","0.05","","0.91","0.1","","","1.69","1163","71.1","158","16.6","63.5","14.2","2.88","11.4","1.8","8.49","1.36","3.64","0.52","3.35","0.5","4.93","1.5","22.9","","","","","","","1.15","29.4","0.06","18.6","0.95","0.511458","","","0.806734","","","","","","","","","","","","","","","","","","","","","931248",
"[9499]","INTRAPLATE VOLCANICS","BANGWEULU BLOCK_IRUMIDE BELT / IRUMIDE BELT / ZAMBIA / LUWALIZI GRANITE GNEISS","","-11","-15","27","32","SUBAERIAL","","","s ISK2 [9499]","GNEISS, GRANITE [9499]","","","","PROTEROZOIC [9499]","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [9499] ","73.6","0.43","","13.5","","","","2.08","0.81","0.76","","","4.84","2.06","0.11","","","","","","","","","","","","","","","","0.01","","","","","","","","","","","","","","39.4","2.99","","","","","","","","","","","","","8.27","","43","23.1","430","","52.6","12.2","13.5","69.1","19.3","19.3","","","","293","112","22.4","228","18.4","0.14","","","","","0.07","","1.09","1.18","","","2.48","675","81.3","197","21.1","78.5","17.9","1.4","11.1","1.59","5.51","0.76","1.92","0.3","1.57","0.29","6.34","2.72","35.6","","","","","","","1.26","51.9","0.06","68.8","2.97","","","","","","","","","","","","","","","","","","","","","","","","","931249",
"[9499]","INTRAPLATE VOLCANICS","BANGWEULU BLOCK_IRUMIDE BELT / IRUMIDE BELT / ZAMBIA","","-11","-15","27","32","SUBAERIAL","","","s KN6 [9499]","NOT GIVEN [9499]","","","","PROTEROZOIC [9499]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [9499] ","73.9","0.14","","14.2","","","","0.92","0.77","0.2","","","4.96","3.06","0.06","","","","","","","","","","","","","","","","0.01","","","","","","","","","","","","","","47.2","4.47","","","","","","","","","","","","","2.68","","11.7","7.22","172","","9.3","3.76","3.88","25","16.4","16.4","","","","262","59.8","37.1","107","18.1","0.4","","","","","0.02","","3.26","0.06","","","3.09","473","101","114","21.4","79.7","16.4","1.85","12.8","1.89","7.76","1.03","2.72","0.37","2.14","0.44","3.36","0.86","7.2","","","","","","","1.25","81.2","0.16","12.7","3.47","","","","","","","","","","","","","","","","","","","","","","","","","931250",
"[9499]","INTRAPLATE VOLCANICS","BANGWEULU BLOCK_IRUMIDE BELT / IRUMIDE BELT / ZAMBIA","","-11","-15","27","32","SUBAERIAL","","","s CC10 [9499]","GNEISS, GRANITE [9499]","","","","PROTEROZOIC [9499]","","","","PORPHYRITIC [9499] ","METAMORPHIC ROCK","","","","","WHOLE_ROCK [9499] ","74","0.33","","13.8","","","","2.08","1.51","0.43","","","4.04","2.97","0.05","","","","","","","","","","","","","","","","0.01","","","","","","","","","","","","","","39.9","4.05","","","","","","","","","","","","","5.34","","32.6","15.1","352","","12.3","6.17","2.87","46.7","21.7","21.7","","","","231","174","31.3","180","42.8","0.15","","","","","0.02","","1.9","0.07","","","2.54","1256","91.5","157","16.2","56.7","9.66","1.62","6.92","1.3","5.39","0.84","2.44","0.35","2.21","0.34","5.02","1.61","7.98","","","","","","","0.93","22.7","0.06","30.1","2.2","","","","","","","","","","","","","","","","","","","","","","","","","931251",
"[9499]","INTRAPLATE VOLCANICS","BANGWEULU BLOCK_IRUMIDE BELT / BANGWEULU BLOCK / ZAMBIA","MANSA AREA","-11","-15","27","32","SUBAERIAL","","","s MA1 [9499]","GRANITE [9499]","","","","PROTEROZOIC [9499]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [9499] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.7","2.32","","","","","","","","","","","","","10.7","","83.7","19.2","744","","51","12.9","28.6","60.5","17.4","1.61","","","","225","251","40.9","200","22.3","1.57","","","","","0.02","","1.72","0.17","","","3.74","991","58.4","122","11.6","40.9","8.52","1.5","6.35","1.23","5.63","1.06","2.99","0.48","2.99","0.52","4.68","1.97","26.6","","","","","","","0.74","18.3","0.08","30.1","3.93","0.511457","","","0.762539","","","","","","","","","","","","","","","","","","","","","931252",
