"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[17971]","INTRAPLATE VOLCANICS","BASTAR CRATON_PROTEROZOIC / NORTHEASTERN BASTAR CRATON / TOKAPAL KIMBERLITE FIELD","","19.02","19.03","81.87","81.9","SUBAERIAL","","","s TK2/3 [17971]","KIMBERLITE [17971]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [17971] ","50.84","1.45","","1.68","","","","1.12","11.34","31.87","0.12","","0.01","0.06","0.32","","","","","","","","","","","","","","","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.01","","248.03","891.62","","","48.6","364.07","19.85","153.95","11.87","","","","","2.18","15.37","17.81","164.02","109.07","","","","","","","","","","","","2.1","32.59","53.22","116.35","12.34","47.17","8.67","2.17","7.33","0.74","3.61","0.54","1.39","0.17","1.14","0.16","3.95","7.22","","","","","","","","","10.99","","30.89","4","","","","","","","","","","","","","","","","","","","","","","","","","1013448",
"[17971]","INTRAPLATE VOLCANICS","BASTAR CRATON_PROTEROZOIC / NORTHEASTERN BASTAR CRATON / TOKAPAL KIMBERLITE FIELD","","19.02","19.03","81.87","81.9","SUBAERIAL","","","s TK2/4 [17971]","KIMBERLITE [17971]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [17971] ","48.28","2.16","","2.45","","","","6.08","1.74","36.4","0.06","","0.01","0.07","0.48","","","","","","","","","","","","","","","0.19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.91","","112.16","988.54","","","61.2","537.04","22.11","174.19","8.83","","","","","2.3","20.72","17","151.83","105.12","","","","","","","","","","","","1.8","43.55","92.47","161.89","15.27","55.82","9.34","1.96","8.06","0.74","3.6","0.51","1.37","0.16","1.04","0.14","3.49","1.11","","","","","","","","","8.51","","27.99","2.84","","","","","","","","","","","","","","","","","","","","","","","","","1013449",
"[17971]","INTRAPLATE VOLCANICS","BASTAR CRATON_PROTEROZOIC / NORTHEASTERN BASTAR CRATON / TOKAPAL KIMBERLITE FIELD","","19.02","19.03","81.87","81.9","SUBAERIAL","","","s TK2/6 [17971]","KIMBERLITE [17971]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [17971] ","45.96","2.45","","3.2","","","","6.24","0.96","38.74","0.08","","0.01","0.07","0.44","","","","","","","","","","","","","","","0.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.97","","82.12","1030.72","","","69.41","446.79","18.29","170.13","9.4","","","","","3.01","16.77","17.62","177.93","115.36","","","","","","","","","","","","2.45","41.46","108.68","187.34","17.51","63.43","10.05","1.73","8.72","0.81","3.88","0.56","1.44","0.16","1.06","0.13","4.34","4.01","","","","","","","","","6.36","","31.1","3.25","","","","","","","","","","","","","","","","","","","","","","","","","1013450",
"[20199]","INTRAPLATE VOLCANICS","BASTAR CRATON_PROTEROZOIC / NORTHEASTERN BASTAR CRATON / TOKAPAL KIMBERLITE FIELD / SAKRI LAMPROITE","","20.9896","20.9896","82.774","82.774","SUBAERIAL","","","s SR/1 [20199]","LAMPROITE [20199]","","","","PROTEROZOIC [20199]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20199] ","36.27","5.6","","7.27","","","","15.53","12.15","7.25","0.19","","2.6","0.83","0.99","","","","","","","","","","","","","","","","7.78","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","","373","270","","","71","170","210","190","","","","","","63.91","456.23","29","418","109","","","","","","","","","","","","6.4","1803","108","224","24.8","66.47","11.95","5.33","13.3","1.7","7.7","1.3","3","0.34","1.8","0.26","10.7","7.2","","","","","","","","","12","","9.3","1.6","0.511831","","","0.71239","","","","","","","","","","","","","","","","","","","","","1028702",
"[20199]","INTRAPLATE VOLCANICS","BASTAR CRATON_PROTEROZOIC / NORTHEASTERN BASTAR CRATON / TOKAPAL KIMBERLITE FIELD / SAKRI LAMPROITE","","20.9896","20.9896","82.774","82.774","SUBAERIAL","","","s SR/2 [20199]","LAMPROITE [20199]","","","","PROTEROZOIC [20199]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20199] ","33.9","5.16","","6.81","","","","15.1","13.76","6.99","0.21","","2.46","0.67","0.98","","","","","","","","","","","","","","","","10.64","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","","344","250","","","65","170","200","150","","","","","","66.5","671.87","30","395","93","","","","","","","","","","","","5.2","1403","108","224","25.1","87.16","15.64","5.3","13","1.7","8.1","1.4","3.1","0.37","2.1","0.3","10.1","6.7","","","","","","","","","10","","9.4","2.5","0.511824","","","0.711339","","","","","","","","","","","","","","","","","","","","","1028703",
"[20199]","INTRAPLATE VOLCANICS","BASTAR CRATON_PROTEROZOIC / NORTHEASTERN BASTAR CRATON / TOKAPAL KIMBERLITE FIELD / SAKRI LAMPROITE","","20.9896","20.9896","82.774","82.774","SUBAERIAL","","","s SR/3 [20199]","LAMPROITE [20199]","","","","PROTEROZOIC [20199]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20199] ","36.56","5.27","","7.79","","","","14.79","12.91","5.81","0.2","","3.07","1.29","1.02","","","","","","","","","","","","","","","","8.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","","361","140","","","59","110","230","180","","","","","","98.11","790.44","31","507","119","","","","","","","","","","","","5.8","2382","113","232","25.9","95.82","17.04","5.42","13","1.8","8.4","1.4","3.2","0.39","2.1","0.31","13.6","7.5","","","","","","","","","14","","10.3","1.4","0.511808","","","0.712244","","","","","","","","","","","","","","","","","","","","","1028704",
"[20199]","INTRAPLATE VOLCANICS","BASTAR CRATON_PROTEROZOIC / NORTHEASTERN BASTAR CRATON / TOKAPAL KIMBERLITE FIELD / SAKRI LAMPROITE","","20.9896","20.9896","82.774","82.774","SUBAERIAL","","","s SR/4 [20199]","LAMPROITE [20199]","","","","PROTEROZOIC [20199]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20199] ","33.53","5.15","","6.88","","","","14.71","12.36","7.01","0.22","","3.85","0.47","0.93","","","","","","","","","","","","","","","","12.19","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","","334","210","","","62","150","210","170","","","","","","87.52","739.62","31","351","102","","","","","","","","","","","","4.1","1454","105","218","24.2","82.06","14.6","5.28","13.2","1.6","7.6","1.3","2.9","0.36","2","0.28","11.1","6.5","","","","","","","","","13","","9.3","1.6","0.511824","","","0.711193","","","","","","","","","","","","","","","","","","","","","1028705",
"[20199]","INTRAPLATE VOLCANICS","BASTAR CRATON_PROTEROZOIC / NORTHEASTERN BASTAR CRATON / TOKAPAL KIMBERLITE FIELD / SAKRI LAMPROITE","","20.9896","20.9896","82.774","82.774","SUBAERIAL","","","s SR/5 [20199]","LAMPROITE [20199]","","","","PROTEROZOIC [20199]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20199] ","36.17","5.74","","7.02","","","","17.5","9.36","6.27","0.26","","2.92","0.86","0.93","","","","","","","","","","","","","","","","9.48","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","","374","260","","","77","200","250","160","","","","","","56.89","315.8","26","402","104","","","","","","","","","","","","4.9","1466","100","211","23.8","58.7","10.48","5.12","12.4","1.6","7.8","1.2","2.9","0.32","1.8","0.24","10.6","6.9","","","","","","","","","9","","7.3","0.6","0.511826","","","0.714364","","","","","","","","","","","","","","","","","","","","","1028706",
"[20199]","INTRAPLATE VOLCANICS","BASTAR CRATON_PROTEROZOIC / NORTHEASTERN BASTAR CRATON / TOKAPAL KIMBERLITE FIELD / SAKRI LAMPROITE","","20.9896","20.9896","82.774","82.774","SUBAERIAL","","","s SR/6 [20199]","LAMPROITE [20199]","","","","PROTEROZOIC [20199]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20199] ","33.51","5.09","","6.4","","","","14.85","11.97","7.56","0.21","","2.35","0.84","0.89","","","","","","","","","","","","","","","","13.29","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","","335","230","","","60","150","200","150","","","","","","22.81","436.8","27","381","91","","","","","","","","","","","","4.4","1651","99.2","202","22.9","43.91","7.76","4.86","11.9","1.6","7.1","1.2","2.8","0.33","1.7","0.24","9.2","6","","","","","","","","","14","","8.1","1.5","0.511883","","","0.711278","","","","","","","","","","","","","","","","","","","","","1028707",
"[20199]","INTRAPLATE VOLCANICS","BASTAR CRATON_PROTEROZOIC / NORTHEASTERN BASTAR CRATON / TOKAPAL KIMBERLITE FIELD / SAKRI LAMPROITE","","20.9896","20.9896","82.774","82.774","SUBAERIAL","","","s SR/8 [20199]","LAMPROITE [20199]","","","","PROTEROZOIC [20199]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20199] ","33.94","5.42","","7.03","","","","14.79","13.34","7.01","0.21","","2.58","1.03","0.87","","","","","","","","","","","","","","","","11.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","","346","190","","","62","130","220","150","","","","","","85.32","733.97","30","492","109","","","","","","","","","","","","6.9","1685","99.2","208","23.6","85.23","15.37","5.08","12.4","1.6","7.3","1.2","2.8","0.32","1.9","0.27","13","7","","","","","","","","","9","","7.4","0.8","0.511836","","","0.710883","","","","","","","","","","","","","","","","","","","","","1028708",
