"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[16383]","INTRAPLATE VOLCANICS","BERING SEA BASALT PROVINCE - CENOZOIC / RUSSIA / DREDGE 10","","58.3367","58.3367","-174.8617","-174.8617","SUBAQUATIC","-1450","-1800","s 10-2 [16383]","BASALT [16383]","","","","EOCENE [16383]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [16383] ","52.3","1.82","","16.8","","6.73","4.59","","7.92","4.36","0.23","","0.05","4.89","0.24","","4.13","1.57","","0.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","119","","","37","","","","","","","42","","2","132","25","78","5","","","","","","","","","","","","","80","6","17","","9","4.4","1.3","","0.87","","","","","3","0.51","2.3","0","","","","","","","","","","","0.4","","","","","","","","","","","","","","","","","","","","","","","","","","1001634",
"[16383]","INTRAPLATE VOLCANICS","BERING SEA BASALT PROVINCE - CENOZOIC / RUSSIA / DREDGE 10","","58.3367","58.3367","-174.8617","-174.8617","SUBAQUATIC","-1450","-1800","s 10-3 [16383]","BASALT [16383]","","","","EOCENE [16383]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [16383] ","51.7","1.79","","16.5","","6.68","4.58","","8.53","4.61","0.21","","0.03","5.17","0.22","","2.7","1.64","","0.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","132","","","35","","","","","","","44","","2","120","28","76","0","","","","","","","","","","","","","104","6","16","","11","4","1.3","","0.81","","","","","2.9","0.45","2.3","0","","","","","","","","","","","0.6","","","","","","","","","","","","","","","","","","","","","","","","","","1001635",
"[16383]","INTRAPLATE VOLCANICS","BERING SEA BASALT PROVINCE - CENOZOIC / RUSSIA / DREDGE 15","","58.4583","58.4583","-176.865","-176.865","SUBAQUATIC","-950","-1100","s 15-3 [16383]","ANDESITE, BASALTIC [16383]","","","","EOCENE [16383]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [16383] ","34.8","1.12","","18.8","","4.51","3.52","","8.39","2.34","0.09","","2.51","3.33","0.46","","0.82","1.32","","0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","","","20","","","","","","","23","","50","524","26","107","0","","","","","","","","","","","","","556","14","32","","22","5","1.4","","0.7","","","","","2.5","0.39","3.1","0.31","","","","","","","","","","","2.8","","","","","","","","","","","","","","","","","","","","","","","","","","1001636",
"[16383]","INTRAPLATE VOLCANICS","BERING SEA BASALT PROVINCE - CENOZOIC / RUSSIA / DREDGE 15","","58.4583","58.4583","-176.865","-176.865","SUBAQUATIC","-950","-1100","s 15-5 [16383]","BASALT [16383]","","","","EOCENE [16383]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [16383] ","51.8","0.96","","17.5","","3.66","4.27","","10.5","6.37","0.11","","1.04","3.46","0.23","","0.75","1.76","","0.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","223","","","30","","","","","","","33","","22","325","21","63","0","","","","","","","","","","","","","230","6.5","16","","11","2.9","0.9","","0.45","","","","","1.9","0.29","2","0.37","","","","","","","","","","","1.3","","","","","","","","","","","","","","","","","","","","","","","","","","1001637",
"[16383]","INTRAPLATE VOLCANICS","BERING SEA BASALT PROVINCE - CENOZOIC / RUSSIA / DREDGE 15","","58.4583","58.4583","-176.865","-176.865","SUBAQUATIC","-950","-1100","s 15-6 [16383]","BASALT [16383]","","","","EOCENE [16383]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [16383] ","52.7","1.02","","18.6","","3.68","2.81","","10.7","4.95","0.14","","1.35","3.76","0.31","","0.64","1.3","","0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","228","","","37","","","","","","","35","","29","354","21","80","27","","","","","","","","","","","","","236","7.5","18","","12","3.5","1","","0.55","","","","","2.1","0.33","2.1","0.38","","","","","","","","","","","1.3","","","","","","","","","","","","","","","","","","","","","","","","","","1001638",
"[16383]","INTRAPLATE VOLCANICS","BERING SEA BASALT PROVINCE - CENOZOIC / RUSSIA / DREDGE 15","","58.4583","58.4583","-176.865","-176.865","SUBAQUATIC","-950","-1100","s 15-7 [16383]","BASALT [16383]","","","","EOCENE [16383]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [16383] ","52.7","0.84","","17.4","","4.64","5.51","","9.34","4.73","0.14","","1.08","3.3","0.4","","0.91","2.13","","0.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35","","","28","","","","","","","30","","20","396","25","67","32","","","","","","","","","","","","","416","12.5","25","","16","4.4","1.1","","0.73","","","","","2.5","0.36","2.2","0.26","","","","","","","","","","","1.5","","","","","","","","","","","","","","","","","","","","","","","","","","1001639",
"[16383]","INTRAPLATE VOLCANICS","BERING SEA BASALT PROVINCE - CENOZOIC / RUSSIA / DREDGE 22","","59.615","59.615","-178.82","-178.82","SUBAQUATIC","-1500","-2200","s 22-10 [16383]","RHYODACITE [16383]","","","","EOCENE [16383]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [16383] ","71.5","0.2","","16.1","","0.44","0.82","","2.48","0.94","0.02","","1.32","6.11","0.07","","0.42","0.1","","0.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","","","3.4","","","","","","","2.2","","16","827","5","78","0","","","","","","","","","","","","","269","5","11","","6","1.5","0.4","","0.15","","","","","0.3","0.04","2.2","0.15","","","","","","","","","","","1.3","","","","","","","","","","","","","","","","","","","","","","","","","","1001640",
"[16383]","INTRAPLATE VOLCANICS","BERING SEA BASALT PROVINCE - CENOZOIC / RUSSIA / DREDGE 22","","59.615","59.615","-178.82","-178.82","SUBAQUATIC","-1500","-2200","s 22-11 [16383]","RHYODACITE [16383]","","","","EOCENE [16383]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [16383] ","71.1","0.2","","15.8","","0.61","1.16","","2.47","1.08","0.02","","1.37","6.03","0.07","","1.25","0.14","","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","","","3.3","","","","","","","1.5","","20","832","5","79","0","","","","","","","","","","","","","280","4","10","","6","1.4","0.4","","0.12","","","","","0.2","0.03","2.3","0.16","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","1001641",
"[16383]","INTRAPLATE VOLCANICS","BERING SEA BASALT PROVINCE - CENOZOIC / RUSSIA / DREDGE 40","","58.6017","58.6017","-177.3483","-177.3483","SUBAQUATIC","-800","-1950","s 40-5 [16383]","ANDESITE [16383]","","","","EOCENE [16383]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [16383] ","62.7","0.47","","16.9","","","","4.4","5.31","3.39","0.05","","1.57","4.45","0.43","","","","","","","","","","","","","","","","3.74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67","","","17","","","","","","","11","","33","566","15","134","7","","","","","","","","","","","","","237","9.64","20.9","","11","2.47","0.79","","0.33","","","","","0.81","0.12","3.1","0.16","","","","","","","","","","","1.54","","","","","","","","","","","","","","","","","","","","","","","","","","1001642",
"[16383]","INTRAPLATE VOLCANICS","BERING SEA BASALT PROVINCE - CENOZOIC / RUSSIA / DREDGE 40","","58.6017","58.6017","-177.3483","-177.3483","SUBAQUATIC","-800","-1950","s 40-8 [16383]","BASALT [16383]","","","","EOCENE [16383]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [16383] ","52.3","0.67","","14.2","","","","8.5","12.2","8.06","0.14","","1.07","2.25","0.2","","","","","","","","","","","","","","","","3.42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","446","","","43","","","","","","","50","","22","353","17","51","5","","","","","","","","","","","","","1360","5.01","10.8","","9.43","2.66","0.82","","0.46","","","","","1.45","0.22","1.2","0.07","","","","","","","","","","","0.74","","","","","","","","","","","","","","","","","","","","","","","","","","1001643",
