"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[6422]","OCEANIC PLATEAU","BERMUDA RISE / BERMUDA RISE / SITE 417 / ATLANTIC OCEAN","HOLE 417A","25.112","25.112","-68.047","-68.047","SUBAQUATIC","-5478","-5478","s 51-417A-24-1-2,55-57 [6422]","BASALT [6422]","109000000 [6422]","109000000 [6422]","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [6422] ","51.7","1.68","","19","","7.33","0.64","","1.71","2.48","0.09","","5.79","1.6","0.15","","5.2","0.34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70","158","","","","","","51","94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","143735",
"[6422]","OCEANIC PLATEAU","BERMUDA RISE / BERMUDA RISE / SITE 417 / ATLANTIC OCEAN","HOLE 417A","25.112","25.112","-68.047","-68.047","SUBAQUATIC","-5478","-5478","s 51-417A-24-1-6,75-80 [6422]","BASALT [6422]","109000000 [6422]","109000000 [6422]","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [6422] ","46.78","1.69","","16.11","","13.34","1.29","","3.46","3.82","0.18","","4.83","1.53","0.15","","4.76","0.64","","2.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","103","","135","","","","","","58","102","28","109","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","143736",
"[6422]","OCEANIC PLATEAU","BERMUDA RISE / BERMUDA RISE / SITE 417 / ATLANTIC OCEAN","HOLE 417A","25.112","25.112","-68.047","-68.047","SUBAQUATIC","-5478","-5478","s 51-417A-24-1-7,75-80 [6422]","BASALT [6422]","109000000 [6422]","109000000 [6422]","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [6422] ","50.71","1.63","","18.5","","8.26","0.69","","2.5","2.92","0.14","","6.39","1.62","0.18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92","","99","","","","","","56","126","32","90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","143737",
"[6422]","OCEANIC PLATEAU","BERMUDA RISE / BERMUDA RISE / SITE 417 / ATLANTIC OCEAN","HOLE 417A","25.112","25.112","-68.047","-68.047","SUBAQUATIC","-5478","-5478","s 51-417A-24-2-1,94-100 [6422]","BASALT [6422]","109000000 [6422]","109000000 [6422]","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [6422] ","47","2.02","","17","","13.41","0.32","","1.58","2.78","0.14","","5.66","1.06","0.19","","5.17","0.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","116","145","","","","","","63","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","143738",
"[6422]","OCEANIC PLATEAU","BERMUDA RISE / BERMUDA RISE / SITE 417 / ATLANTIC OCEAN","HOLE 417A","25.112","25.112","-68.047","-68.047","SUBAQUATIC","-5478","-5478","s 51-417A-24-2-3,94-100 [6422]","BASALT [6422]","109000000 [6422]","109000000 [6422]","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [6422] ","48.2","1.77","","18.65","","11.77","0.8","","3.5","2.83","0.14","","4.83","1.88","0.44","","4.37","0.17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","154","155","","","","","","56","120","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","143739",
"[6422]","OCEANIC PLATEAU","BERMUDA RISE / BERMUDA RISE / SITE 417 / ATLANTIC OCEAN","HOLE 417A","25.112","25.112","-68.047","-68.047","SUBAQUATIC","-5478","-5478","s 51-417A-24-4-1,126-136 [6422]","BASALT [6422]","109000000 [6422]","109000000 [6422]","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [6422] ","49.2","1.39","","15.9","","10.39","0.4","","3.53","4.28","0.05","","2.91","1.19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","144","210","","","","","","58","55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","143740",
"[6422]","OCEANIC PLATEAU","BERMUDA RISE / BERMUDA RISE / SITE 417 / ATLANTIC OCEAN","HOLE 417A","25.112","25.112","-68.047","-68.047","SUBAQUATIC","-5478","-5478","s 51-417A-27-1-1,22-27 [6422]","BASALT [6422]","109000000 [6422]","109000000 [6422]","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [6422] ","47.4","1.7","","18.1","","9.91","2.08","","6.6","4.35","0.13","","2.53","2.24","0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","120","155","","","","","","22","135","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","143741",
"[6422]","OCEANIC PLATEAU","BERMUDA RISE / BERMUDA RISE / SITE 417 / ATLANTIC OCEAN","HOLE 417A","25.112","25.112","-68.047","-68.047","SUBAQUATIC","-5478","-5478","s 51-417A-27-1-2,42-45 [6422]","BASALT [6422]","109000000 [6422]","109000000 [6422]","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [6422] ","46.9","1.35","","18.5","","6.69","3.36","","13.5","4.94","0.15","","1.61","2.28","0.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85","105","","","","","","22","120","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","143742",
"[6422]","OCEANIC PLATEAU","BERMUDA RISE / BERMUDA RISE / SITE 417 / ATLANTIC OCEAN","HOLE 417A","25.112","25.112","-68.047","-68.047","SUBAQUATIC","-5478","-5478","s 51-417A-27-1-3,81-88 [6422]","BASALT [6422]","109000000 [6422]","109000000 [6422]","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [6422] ","46.4","1.58","","17.75","","6.31","2.88","","9.75","4.8","0.14","","1.83","2.6","0.26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85","115","","","","","","18","129","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","143743",
"[6422]","OCEANIC PLATEAU","BERMUDA RISE / BERMUDA RISE / SITE 417 / ATLANTIC OCEAN","HOLE 417A","25.112","25.112","-68.047","-68.047","SUBAQUATIC","-5478","-5478","s 51-417A-28-1-2,106-123 [6422]","BASALT [6422]","109000000 [6422]","109000000 [6422]","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [6422] ","46.91","1.43","","16.7","","8.17","3.57","","9.81","5.72","0.15","","1.18","1.97","0.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","","85","","","","","","25","118","36","93","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","143744",
"[6422]","OCEANIC PLATEAU","BERMUDA RISE / BERMUDA RISE / SITE 417 / ATLANTIC OCEAN","HOLE 417A","25.112","25.112","-68.047","-68.047","SUBAQUATIC","-5478","-5478","s 51-417A-28-1-1,106-123 [6422]","BASALT [6422]","109000000 [6422]","109000000 [6422]","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [6422] ","47.52","1.53","","16.33","","8.08","3.27","","8.98","5.89","0.15","","1.72","2.04","0.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","","86","","","","","","30","128","41","104","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","143745",
"[6422]","OCEANIC PLATEAU","BERMUDA RISE / BERMUDA RISE / SITE 417 / ATLANTIC OCEAN","HOLE 417A","25.112","25.112","-68.047","-68.047","SUBAQUATIC","-5478","-5478","s 51-417A-28-1-3,106-123 [6422]","BASALT [6422]","109000000 [6422]","109000000 [6422]","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [6422] ","46.3","1.56","","17.33","","9.36","2.39","","8.17","4.85","0.13","","2.21","2","0.17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54","","117","","","","","","24","143","36","117","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","143746",
"[6422]","OCEANIC PLATEAU","BERMUDA RISE / BERMUDA RISE / SITE 417 / ATLANTIC OCEAN","HOLE 417A","25.112","25.112","-68.047","-68.047","SUBAQUATIC","-5478","-5478","s 51-417A-28-1-4,106-123 [6422]","BASALT [6422]","109000000 [6422]","109000000 [6422]","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [6422] ","48.52","1.59","","18.31","","6.28","1.56","","7.52","4.16","0.1","","3.71","2","0.18","","2.83","0.79","","1.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43","","84","","","","","","29","178","31","101","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","143747",
"[6422]","OCEANIC PLATEAU","BERMUDA RISE / BERMUDA RISE / SITE 417 / ATLANTIC OCEAN","HOLE 417A","25.112","25.112","-68.047","-68.047","SUBAQUATIC","-5478","-5478","s 51-417A-28-3-1,80-95 [6422]","BASALT [6422]","109000000 [6422]","109000000 [6422]","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [6422] ","46.81","1.41","","16.79","","7.63","3.6","","10.51","4.92","0.12","","1.35","2.24","0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","","91","","","","","","24","124","42","93","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","143748",
"[6422]","OCEANIC PLATEAU","BERMUDA RISE / BERMUDA RISE / SITE 417 / ATLANTIC OCEAN","HOLE 417A","25.112","25.112","-68.047","-68.047","SUBAQUATIC","-5478","-5478","s 51-417A-28-3-2,80-95 [6422]","BASALT [6422]","109000000 [6422]","109000000 [6422]","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [6422] ","47.81","1.44","","17.18","","4.77","3.78","","11.03","6.28","0.15","","0.82","2.1","0.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76","","76","","","","","","9","123","32","93","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","143749",
"[6422]","OCEANIC PLATEAU","BERMUDA RISE / BERMUDA RISE / SITE 417 / ATLANTIC OCEAN","HOLE 417A","25.112","25.112","-68.047","-68.047","SUBAQUATIC","-5478","-5478","s 51-417A-28-5-1,117-135 [6422]","BASALT [6422]","109000000 [6422]","109000000 [6422]","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [6422] ","45.5","1.98","","16.4","","11.88","2.24","","5.04","4.65","0.14","","3.6","2.37","0.18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","178","153","","","","","","32","175","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","143750",
"[6422]","OCEANIC PLATEAU","BERMUDA RISE / BERMUDA RISE / SITE 417 / ATLANTIC OCEAN","HOLE 417A","25.112","25.112","-68.047","-68.047","SUBAQUATIC","-5478","-5478","s 51-417A-28-5-2,117-135 [6422]","BASALT [6422]","109000000 [6422]","109000000 [6422]","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [6422] ","44.4","1.43","","18.05","","6.59","2.56","","9.3","3.72","0.13","","2.34","2.3","0.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82","156","","","","","","18","143","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","143751",
"[6422]","OCEANIC PLATEAU","BERMUDA RISE / BERMUDA RISE / SITE 417 / ATLANTIC OCEAN","HOLE 417A","25.112","25.112","-68.047","-68.047","SUBAQUATIC","-5478","-5478","s 51-417A-29-1-1,57-65 [6422]","BASALT [6422]","109000000 [6422]","109000000 [6422]","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [6422] ","47.2","1.4","","16.38","","6.98","3.52","","9.9","5.55","0.15","","1.21","2.6","0.17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","127","","","","","","17","109","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","143752",
"[6422]","OCEANIC PLATEAU","BERMUDA RISE / BERMUDA RISE / SITE 417 / ATLANTIC OCEAN","HOLE 417A","25.112","25.112","-68.047","-68.047","SUBAQUATIC","-5478","-5478","s 51-417A-29-1-2,92-95 [6422]","BASALT [6422]","109000000 [6422]","109000000 [6422]","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [6422] ","44.3","1.5","","18.4","","3.26","4.4","","14.14","6.98","0.16","","0.46","2.32","0.17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84","","","","","","","","126","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","143753",
"[6422]","OCEANIC PLATEAU","BERMUDA RISE / BERMUDA RISE / SITE 417 / ATLANTIC OCEAN","HOLE 417A","25.112","25.112","-68.047","-68.047","SUBAQUATIC","-5478","-5478","s 51-417A-29-3-2,20-25 [6422]","BASALT [6422]","109000000 [6422]","109000000 [6422]","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [6422] ","47.3","1.27","","18.75","","2.99","2.72","","11.29","5.78","0.13","","0.9","2.16","0.11","","2.14","1.31","","1.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","150","120","","","","","","6","104","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","143754",
"[6422]","OCEANIC PLATEAU","BERMUDA RISE / BERMUDA RISE / SITE 417 / ATLANTIC OCEAN","HOLE 417A","25.112","25.112","-68.047","-68.047","SUBAQUATIC","-5478","-5478","s 51-417A-29-3-6,69-78 [6422]","BASALT [6422]","109000000 [6422]","109000000 [6422]","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [6422] ","45","1.53","","17.1","","7.01","3.6","","10.15","5.79","0.14","","1.56","2.26","0.17","","2.61","0.49","","1.29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75","142","","","","","","17","142","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","143755",
"[6422]","OCEANIC PLATEAU","BERMUDA RISE / BERMUDA RISE / SITE 417 / ATLANTIC OCEAN","HOLE 417A","25.112","25.112","-68.047","-68.047","SUBAQUATIC","-5478","-5478","s 51-417A-29-3-7,69-78 [6422]","BASALT [6422]","109000000 [6422]","109000000 [6422]","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [6422] ","45","1.93","","14.5","","9.71","4","","8.13","5.55","0.16","","3.12","2.3","0.19","","2.85","0.47","","1.53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","141","158","","","","","","22","189","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","143756",
"[6422]","OCEANIC PLATEAU","BERMUDA RISE / BERMUDA RISE / SITE 417 / ATLANTIC OCEAN","HOLE 417A","25.112","25.112","-68.047","-68.047","SUBAQUATIC","-5478","-5478","s 51-417A-29-3-8,69-78 [6422]","BASALT [6422]","109000000 [6422]","109000000 [6422]","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [6422] ","48.1","1.57","","17.73","","8.36","1.55","","3.25","2.51","0.07","","2.66","5.02","0.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","","58","","","","","","27","135","26","99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","143757",
"[6422]","OCEANIC PLATEAU","BERMUDA RISE / BERMUDA RISE / SITE 417 / ATLANTIC OCEAN","HOLE 417A","25.112","25.112","-68.047","-68.047","SUBAQUATIC","-5478","-5478","s 51-417A-30-3-1,41-43 [6422]","BASALT [6422]","109000000 [6422]","109000000 [6422]","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [6422] ","44.4","1.3","","16.85","","4.15","3.68","","12.64","4.65","0.13","","0.85","1.95","0.29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85","","","","","","","101","41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","143758",
