"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[18511]","CONVERGENT MARGIN","BETIC-RIF OROGENIC BELT (GIBRALTAR ARC) / BETIC CORDILLERA / NEOGENE ALBORAN VOLCANIC PROVINCE","NIJAR, CABO DE GATA","37.4","37.4","-1.6","-1.6","SUBAERIAL","","","s CG 10 (75-137) [18511]","GRANITE [18511]","","","","MIOCENE [18511]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18511] ","71.1","0.28","","14.2","","","","3.33","2.93","0.48","0.03","","2.29","3.72","0.09","","","","","","","","","","","","","","","","0.67","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.6","","9.2","1","","","2.7","0.9","","","","","","","","154","168","40.7","109","6.2","","","","","","","","","","","","","243","17.5","32.4","","16","3.7","0.9","4.9","","5.5","","4.1","","4.3","","","","","","","","","","","","","","12.1","","","","","","","","","","","","","","","","","","","","","","","","","","102734-75-137",
"[18617]","CONVERGENT MARGIN","BETIC-RIF OROGENIC BELT (GIBRALTAR ARC) / ALBORAN RIDGE / ALBORAN ISLAND","ISLA DE LA NUBE","35.93","35.93","-3.03","-3.03","SUBAERIAL","","","s I [18617]","ANDESITE, HYPERSTHENE [18617]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [18617] ","53.13","","","15.61","","2.33","8.23","","11.75","5.8","","","1.78","1.86","","0.73","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1066758",
"[18617]","CONVERGENT MARGIN","BETIC-RIF OROGENIC BELT (GIBRALTAR ARC) / ALBORAN RIDGE / ALBORAN ISLAND","","35.93","35.93","-3.03","-3.03","SUBAERIAL","","","s II [18617]","ANDESITE, HYPERSTHENE [18617]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [18617] ","54.26","","","15.93","","6.8","5.53","","11.32","3.35","0.27","","1.1","1.94","","0.99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1066759",
"[18617]","CONVERGENT MARGIN","BETIC-RIF OROGENIC BELT (GIBRALTAR ARC) / ALBORAN RIDGE / ALBORAN ISLAND","","35.93","35.93","-3.03","-3.03","SUBAERIAL","","","s III [18617]","ANDESITE, HYPERSTHENE [18617]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [18617] ","55.01","","","15.69","","4.78","5.79","","11.21","6.2","","","1.55","1.19","","0.65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1066760",
"[9858]","CONVERGENT MARGIN","BETIC-RIF OROGENIC BELT (GIBRALTAR ARC) / BETIC CORDILLERA / NEOGENE ALBORAN VOLCANIC PROVINCE / CALDEAR VOLCANIC GROUP / HERNANDEZ FORMATION","LAS NEGRAS AREA","36.88","36.88","-2","-2","SUBAERIAL","","","s 96Z51 [9858]","ANDESITE, PYROXENE [9858]","5000000 [9858]","17000000 [9858]","","NEOGENE [9858]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [9858] ","56.17","0.63","","16.7","","2.24","5.27","","8.9","5.35","0.14","","0.96","2.26","0.11","","","","","","","","","","","","","","","","1.31","","","","","","","","","","","","","","","","","","","","","","","","","","","","34","","258","52","","","63","18","50","81","22","","","","","41.87","226.7","19","70","4","","","","","","","","","","","","","200","11","27","","10.88","2.91","","","","","","","","","","","","","","","","","","","","12","","3","","0.512435","","","0.709691","","","","","","","","","","","","","","","","","","","","","278650",
"[9858]","CONVERGENT MARGIN","BETIC-RIF OROGENIC BELT (GIBRALTAR ARC) / BETIC CORDILLERA / NEOGENE ALBORAN VOLCANIC PROVINCE / CALDEAR VOLCANIC GROUP / HERNANDEZ FORMATION","LAS NEGRAS AREA","36.88","36.88","-2","-2","SUBAERIAL","","","s 96Z52 [9858]","ANDESITE, PYROXENE [9858]","5000000 [9858]","17000000 [9858]","","NEOGENE [9858]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [9858] ","56.11","0.62","","16.81","","2.86","4.48","","8.54","4.73","0.13","","1.08","2.42","0.1","","","","","","","","","","","","","","","","1.81","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","","227","37","","","49","15","27","60","17","","","","","47.08","248.7","22","76","5","","","","","","","","","","","","","150","12","22","","11.59","3","","","","","","","","","","","","","","","","","","","","10","","4","","0.512438","","","0.709764","","","","","","","","","","","","","","","","","","","","","278651",
"[9858]","CONVERGENT MARGIN","BETIC-RIF OROGENIC BELT (GIBRALTAR ARC) / BETIC CORDILLERA / NEOGENE ALBORAN VOLCANIC PROVINCE / CALDEAR VOLCANIC GROUP / HERNANDEZ FORMATION","LAS NEGRAS AREA","36.88","36.88","-2","-2","SUBAERIAL","","","s 96Z53 [9858]","ANDESITE, PYROXENE [9858]","5000000 [9858]","17000000 [9858]","","NEOGENE [9858]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [9858] ","57.49","0.6","","15.25","","1.08","6.15","","8.73","6.02","0.13","","1.01","1.91","0.09","","","","","","","","","","","","","","","","0.98","","","","","","","","","","","","","","","","","","","","","","","","","","","","38","","240","144","","","61","23","43","80","17","","","","","48.91","172.4","18","76","5","","","","","","","","","","","","","135","10","24","","12.06","2.99","","","","","","","","","","","","","","","","","","","","7","","3","","0.512322","","","0.711592","","","","","","","","","","","","","","","","","","","","","278652",
"[9858]","CONVERGENT MARGIN","BETIC-RIF OROGENIC BELT (GIBRALTAR ARC) / BETIC CORDILLERA / NEOGENE ALBORAN VOLCANIC PROVINCE / CALDEAR VOLCANIC GROUP / HERNANDEZ FORMATION","LAS NEGRAS AREA","36.88","36.88","-2","-2","SUBAERIAL","","","s 96Z54 [9858]","ANDESITE, PYROXENE [9858]","5000000 [9858]","17000000 [9858]","","NEOGENE [9858]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [9858] ","59.12","0.67","","18","","1.47","4.78","","8.35","3.02","0.11","","1.21","2.32","0.12","","","","","","","","","","","","","","","","0.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","","187","43","","","42","11","37","84","23","","","","","66.62","206","20","103","6","","","","","","","","","","","","","173","15","33","","14.9","3.54","","","","","","","","","","","","","","","","","","","","14","","7","","0.512302","","","0.712423","","","","","","","","","","","","","","","","","","","","","278653",
"[9858]","CONVERGENT MARGIN","BETIC-RIF OROGENIC BELT (GIBRALTAR ARC) / BETIC CORDILLERA / NEOGENE ALBORAN VOLCANIC PROVINCE / CALDEAR VOLCANIC GROUP / HERNANDEZ FORMATION","LAS NEGRAS AREA","36.88","36.88","-2","-2","SUBAERIAL","","","s 96Z56 [9858]","ANDESITE, PYROXENE [9858]","5000000 [9858]","17000000 [9858]","","NEOGENE [9858]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [9858] ","58.91","0.67","","17.82","","1.39","4.77","","8.21","3.03","0.12","","1.15","2.36","0.1","","","","","","","","","","","","","","","","1.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","","173","41","","","45","9","33","97","24","","","","","66.93","200","23","104","6","","","","","","","","","","","","","180","30","171","","14.66","3.52","","","","","","","","","","","","","","","","","","","","14","","7","","0.512297","","","0.712456","","","","","","","","","","","","","","","","","","","","","278655",
"[9858]","CONVERGENT MARGIN","BETIC-RIF OROGENIC BELT (GIBRALTAR ARC) / BETIC CORDILLERA / NEOGENE ALBORAN VOLCANIC PROVINCE / CALDEAR VOLCANIC GROUP / HERNANDEZ FORMATION","LAS NEGRAS AREA","36.88","36.88","-2","-2","SUBAERIAL","","","s 96Z58 [9858]","ANDESITE, PYROXENE [9858]","5000000 [9858]","17000000 [9858]","","NEOGENE [9858]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [9858] ","57.25","0.68","","16.06","","2.33","4.68","","8.72","5.43","0.13","","1.09","2.39","0.13","","","","","","","","","","","","","","","","0.73","","","","","","","","","","","","","","","","","","","","","","","","","","","","34","","222","72","","","53","17","35","70","18","","","","","48.67","213.4","20","78","5","","","","","","","","","","","","","157","11","30","","12.76","3.33","","","","","","","","","","","","","","","","","","","","6","","2","","0.512405","","","0.710061","","","","","","","","","","","","","","","","","","","","","278657",
