"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[1240]","OCEAN ISLAND","CAMEROON LINE / PAGALU (ANNOBON) / ATLANTIC OCEAN","","-1.26","-1.26","5.37","5.37","SUBAERIAL","","","s AN3 [1240]","BASALT [1240]","4800000 [1240]","4800000 [1240]","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [1240] ","45.99","3.44","","12.55","","","","13.09","10.58","8.48","0.17","","1.54","2.57","0.64","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","","302","561","","","","256","65","110","","","","","","33.8","713","29","291","52","","","","","","","","","","","","","526","41","87","","57.76","12.23","","","","","","","","","","","","","","","","","","","","2.86","","4","1.16","0.512926","","","0.70334","","18.955","","15.598","","38.8","","","","","","","","","","","","","","","15558",
"[1240]","OCEAN ISLAND","CAMEROON LINE / PAGALU (ANNOBON) / ATLANTIC OCEAN","","-1.26","-1.26","5.37","5.37","SUBAERIAL","","","s AN4 [1240]","BASANITE [1240]","4800000 [1240]","4800000 [1240]","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [1240] ","44.51","3.97","","12.48","","","","13.72","10.94","8.16","0.18","","1.19","2.79","0.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","","311","396","","","","229","52","123","","","","","","41.2","924","34","474","63","","","","","","","","","","","","","725","61","136","","85.11","17.03","","","","","","","","","","","","","","","","","","","","4.41","","6","2.07","0.512858","","","0.70364","","18.98","","15.585","","38.92","","","","","","","","","","","","","","","15559",
"[1240]","OCEAN ISLAND","CAMEROON LINE / PAGALU (ANNOBON) / ATLANTIC OCEAN","","-1.26","-1.26","5.37","5.37","SUBAERIAL","","","s AN8 [1240]","BASALT [1240]","4800000 [1240]","4800000 [1240]","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [1240] ","47.65","3.84","","15.41","","","","12.71","9.06","4.55","0.15","","1.85","3.21","0.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","","321","137","","","","104","41","110","","","","","","35.4","757","36","404","54","","","","","","","","","","","","","579","51","120","","36.4","7.67","","","","","","","","","","","","","","","","","","","","3.32","","5","1.09","0.512935","","","0.70353","","19.272","","15.64","","39.26","","","","","","","","","","","","","","","15561",
"[1240]","OCEAN ISLAND","CAMEROON LINE / PAGALU (ANNOBON) / ATLANTIC OCEAN","","-1.26","-1.26","5.37","5.37","SUBAERIAL","","","s AN11 [1240]","BASALT [1240]","4800000 [1240]","4800000 [1240]","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [1240] ","45.92","3.81","","13.2","","","","12.82","9.96","8.08","0.17","","1.77","2.57","0.85","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","","300","335","","","","225","60","118","","","","","","33.2","937","32","365","52","","","","","","","","","","","","","606","47","109","","69.15","14.43","","","","","","","","","","","","","","","","","","","","2.92","","4","1.15","0.512909","","","0.70338","","19.217","","15.644","","39.18","","","","","","","","","","","","","","","15563",
"[1240]","OCEAN ISLAND","CAMEROON LINE / PAGALU (ANNOBON) / ATLANTIC OCEAN","","-1.26","-1.26","5.37","5.37","SUBAERIAL","","","s AN12 [1240]","BASANITE [1240]","","1000000 [1240]","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [1240] ","43.41","3.07","","11.36","","","","14.15","10.08","12.85","0.18","","1.3","2.1","0.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","","265","514","","","","406","38","142","","","","","","21.4","833","32","305","65","","","","","","","","","","","","","571","50","107","","51.42","10.93","","","","","","","","","","","","","","","","","","","","3.35","","6","1.57","0.512936","","","0.70334","","18.983","","15.61","","38.87","","","","","","","","","","","","","","","15565",
"[1240]","OCEAN ISLAND","CAMEROON LINE / PAGALU (ANNOBON) / ATLANTIC OCEAN","","-1.26","-1.26","5.37","5.37","SUBAERIAL","","","s AN17 [1240]","BASANITE [1240]","","1000000 [1240]","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [1240] ","43.16","3.06","","12.49","","","","14.34","10.98","9.26","0.2","","0.96","2.76","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","","300","376","","","","267","56","136","","","","","","36.7","963","35","322","68","","","","","","","","","","","","","648","61","125","","70.42","14.66","","","","","","","","","","","","","","","","","","","","3.74","","7","1.67","0.512922","","","0.7034","","18.971","","15.616","","38.95","","","","","","","","","","","","","","","15568",
"[1240]","OCEAN ISLAND","CAMEROON LINE / PAGALU (ANNOBON) / ATLANTIC OCEAN","","-1.26","-1.26","5.37","5.37","SUBAERIAL","","","s AN18 [1240]","BASANITE [1240]","","1000000 [1240]","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [1240] ","43","3.06","","12.46","","","","14.46","11.17","9.39","0.2","","0.63","2.91","1.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","","307","379","","","","252","52","137","","","","","","48.7","931","36","311","65","","","","","","","","","","","","","618","62","122","","33.76","7.21","","","","","","","","","","","","","","","","","","","","3.72","","7","1.62","0.512931","","","0.70336","","18.895","","15.618","","38.89","","","","","","","","","","","","","","","15569",
"[1240]","OCEAN ISLAND","CAMEROON LINE / PAGALU (ANNOBON) / ATLANTIC OCEAN","","-1.26","-1.26","5.37","5.37","SUBAERIAL","","","s AN19 [1240]","BASANITE [1240]","","1000000 [1240]","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [1240] ","43.41","2.74","","12.29","","","","13.78","10.53","10.82","0.2","","1.17","3","0.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","","251","345","","","","245","49","142","","","","","","47.6","944","37","312","67","","","","","","","","","","","","","640","67","136","","68.69","14.14","","","","","","","","","","","","","","","","","","","","3.64","","9","1.8","0.512913","","","0.70337","","18.89","","15.629","","38.93","","","","","","","","","","","","","","","15570",
"[1240]","OCEAN ISLAND","CAMEROON LINE / PAGALU (ANNOBON) / ATLANTIC OCEAN","","-1.26","-1.26","5.37","5.37","SUBAERIAL","","","s AN20 [1240]","BASANITE [1240]","","1000000 [1240]","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [1240] ","43.57","2.94","","12.41","","","","14.08","10.66","10.63","0.23","","1.3","2.75","1.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","","275","348","","","","269","60","134","","","","","","29.5","855","35","313","68","","","","","","","","","","","","","665","58","119","","74.3","15.58","","","","","","","","","","","","","","","","","","","","3.72","","7","1.34","0.512922","","","0.7034","","18.909","","15.629","","38.96","","","","","","","","","","","","","","","15571",
"[1197][1194][8037]","OCEAN ISLAND","CAMEROON LINE / SAO TOME / ATLANTIC OCEAN","","0.42","0.42","6.58","6.58","SUBAERIAL","","","s ST106 [1197]","BASALT, ALKALINE [1197]","","","","","","","","OLIVINE-PHYRIC, VERY FINE-GRAINED GROUNDMASS [8037] ","VOLCANIC ROCK","","","FRESH","HE3_HE4(R/R(A)) from OLIVINE [8037]","WHOLE_ROCK [1197] / MINERAL / COMPONENT (INCL. GROUNDMASS) [8037] ","","","","","","","","","","13.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","836","28","273","62","","","","","","","","","","","","","528","56","112","","51","","","","","","","","","","","","","","","","","","","","","","","","","0.512899","","","0.70315","","19.944","","15.653","","39.56","","","","","","","","","","7.14","","","","","1572-ST106",
"[1197][1193]","OCEAN ISLAND","CAMEROON LINE / SAO TOME / ATLANTIC OCEAN","","0.42","0.42","6.58","6.58","SUBAERIAL","","","s ST107 [1197]","BASALT, ALKALINE [1197]","0 [1193]","0 [1193]","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [1197] ","","","","","","","","","","6.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62","1102","32","501","103","","","","","","","","","","","","","750","89","168","","63.2","11.5","","","","","","","","","","","","","","","","","","","","5.86","","","3.28","0.512944","","","0.70307","","20.045","","15.674","","39.7","","","","","","","","","","","","","","","1572-ST107",
"[1197][1194]","OCEAN ISLAND","CAMEROON LINE / SAO TOME / ATLANTIC OCEAN","","0.42","0.42","6.58","6.58","SUBAERIAL","","","s ST109 [1197]","BASANITE [1197]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [1197] ","","","","","","","","","","9.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","824","28","282","60","","","","","","","","","","","","","452","49","98","","44","","","","","","","","","","","","","","","","","","","","","","","","","0.512998","","","0.70299","","19.954","","15.676","","39.57","","","","","","","","","","","","","","","1572-ST109",
"[1197][1194]","OCEAN ISLAND","CAMEROON LINE / SAO TOME / ATLANTIC OCEAN","","0.42","0.42","6.58","6.58","SUBAERIAL","","","s ST93 [1197]","BASALT [1197]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [1197] ","","","","","","","","","","4.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","1174","43","490","114","","","","","","","","","","","","","799","97","196","","87","","","","","","","","","","","","","","","","","","","","","","","","","0.512889","","","0.7032","","20.064","","15.666","","39.79","","","","","","","","","","","","","","","1572-ST93",
"[1197][3061][3112][1194][1474]","OCEAN ISLAND","CAMEROON LINE / BIOKO / ATLANTIC OCEAN","","3.4","3.4","8.7","8.7","SUBAERIAL","","","s FP1 [1197]","BASALT, ALKALINE [1197] / BASALT [3061]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [1197] ","","","","","","","","","","8.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","726","30","288","56","","","","","","0.268","0.089","","","0.0022","","","449","44","100","","45.6","9.67","","","","","","","","","","","","","","","","","","","","2.76","","","1.07","0.512839","","","0.70325","","20.032","","15.652","","39.86","","","","","","","","0.282954","","","","","","","1574-FP1",
"[1197][1194]","OCEAN ISLAND","CAMEROON LINE / BIOKO / ATLANTIC OCEAN","","3.4","3.4","8.7","8.7","SUBAERIAL","","","s FP23 [1197]","BASALT, ALKALINE [1197]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [1197] ","","","","","","","","","","9.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","685","28","298","61","","","","","","","","","","","","","406","60","126","","55","","","","","","","","","","","","","","","","","","","","","","","","","0.512843","","","0.70323","","20.298","","15.691","","40.05","","","","","","","","","","","","","","","1574-FP23",
"[1197][1194]","OCEAN ISLAND","CAMEROON LINE / BIOKO / ATLANTIC OCEAN","","3.4","3.4","8.7","8.7","SUBAERIAL","","","s FP32 [1197]","TEPHRITE [1197]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [1197] ","","","","","","","","","","4.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61","1199","40","393","119","","","","","","","","","","","","","836","99","200","","79","","","","","","","","","","","","","","","","","","","","","","","","","0.512769","","","0.70343","","20.368","","15.667","","40.21","","","","","","","","","","","","","","","1574-FP32",
