"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[18162]","INTRAPLATE VOLCANICS","CANADIAN SHIELD_CENOZOIC / SLAVE PROVINCE_CENOZOIC / LAC DE GRAS KIMBERLITE FIELD","","65","65","-111","-111","SUBAERIAL","","","s 92-C [18162]","KIMBERLITE [18162]","","","","CENOZOIC [18162]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [18162] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.63","862.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.70488","","","","","","","","","","","","","","","","","","","","","1087518",
"[18162]","INTRAPLATE VOLCANICS","CANADIAN SHIELD_CENOZOIC / SLAVE PROVINCE_CENOZOIC / LAC DE GRAS KIMBERLITE FIELD","","65","65","-111","-111","SUBAERIAL","","","s 92-F [18162]","KIMBERLITE [18162]","","","","CENOZOIC [18162]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [18162] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.7","1293.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.70507","","","","","","","","","","","","","","","","","","","","","1087521",
"[12787]","INTRAPLATE VOLCANICS","CANADIAN SHIELD_CENOZOIC / SLAVE PROVINCE_CENOZOIC / LAC DE GRAS KIMBERLITE FIELD / LESLIE KIMBERLITE","EKATI DIAMOND MINE","64.7136","64.7136","-110.6194","-110.6194","SUBAERIAL","","","s LS-1 [12787]","KIMBERLITE [12787]","52700000 [12787]","52700000 [12787]","","EOCENE [12787]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [12787] ","33.59","0.48","","1.63","","8.34","","","6.74","40.07","0.16","","0.3","0.23","0.41","5.57","","","","2","","","","","","","","","","","7.57","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","","74","","","","","1696","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","633994",
"[12787]","INTRAPLATE VOLCANICS","CANADIAN SHIELD_CENOZOIC / SLAVE PROVINCE_CENOZOIC / LAC DE GRAS KIMBERLITE FIELD / LESLIE KIMBERLITE","EKATI DIAMOND MINE","64.7136","64.7136","-110.6194","-110.6194","SUBAERIAL","","","s LS-2 [12787]","KIMBERLITE [12787]","52700000 [12787]","52700000 [12787]","","EOCENE [12787]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [12787] ","33.33","0.49","","1.51","","8.32","","","7.09","40.36","0.16","","0.18","0.2","0.37","4.99","","","","2.35","","","","","","","","","","","7.34","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","","72","","","","","1698","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","633995",
"[12787]","INTRAPLATE VOLCANICS","CANADIAN SHIELD_CENOZOIC / SLAVE PROVINCE_CENOZOIC / LAC DE GRAS KIMBERLITE FIELD / LESLIE KIMBERLITE","EKATI DIAMOND MINE","64.7136","64.7136","-110.6194","-110.6194","SUBAERIAL","","","s LS-3 [12787]","KIMBERLITE [12787]","52700000 [12787]","52700000 [12787]","","EOCENE [12787]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [12787] ","33.43","0.51","","1.53","","8.53","","","8.44","41.18","0.16","","0.07","0.19","0.33","3.73","","","","1.73","","","","","","","","","","","5.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","","85","","","","","1694","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","633996",
"[12787]","INTRAPLATE VOLCANICS","CANADIAN SHIELD_CENOZOIC / SLAVE PROVINCE_CENOZOIC / LAC DE GRAS KIMBERLITE FIELD / LESLIE KIMBERLITE","EKATI DIAMOND MINE","64.7136","64.7136","-110.6194","-110.6194","SUBAERIAL","","","s LS-4 [12787]","KIMBERLITE [12787]","52700000 [12787]","52700000 [12787]","","EOCENE [12787]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [12787] ","33.98","0.45","","1.62","","8.14","","","6.41","39.87","0.15","","0.56","0.25","0.39","5.37","","","","2.61","","","","","","","","","","","7.98","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","","118","","","","","1710","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","633997",
"[12787]","INTRAPLATE VOLCANICS","CANADIAN SHIELD_CENOZOIC / SLAVE PROVINCE_CENOZOIC / LAC DE GRAS KIMBERLITE FIELD / LESLIE KIMBERLITE","EKATI DIAMOND MINE","64.7136","64.7136","-110.6194","-110.6194","SUBAERIAL","","","s LS-5 [12787]","KIMBERLITE [12787]","52700000 [12787]","52700000 [12787]","","EOCENE [12787]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [12787] ","34.04","0.44","","2.53","","7.55","","","5.82","35.77","0.13","","1.76","0.18","0.34","6.99","","","","4.05","","","","","","","","","","","11.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","","72","","","","","1571","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","633998",
"[12787]","INTRAPLATE VOLCANICS","CANADIAN SHIELD_CENOZOIC / SLAVE PROVINCE_CENOZOIC / LAC DE GRAS KIMBERLITE FIELD / AARON KIMBERLITE","EKATI DIAMOND MINE","64.7136","64.7136","-110.6194","-110.6194","SUBAERIAL","","","s AN-1 [12787]","KIMBERLITE [12787]","45200000 [12787]","45200000 [12787]","","EOCENE [12787]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [12787] ","35.62","0.33","","1.71","","8.31","","","4.68","40.87","0.15","","0.25","0.08","0.37","5","","","","2.41","","","","","","","","","","","7.41","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","","73","","","","","1760","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","633999",
"[12787]","INTRAPLATE VOLCANICS","CANADIAN SHIELD_CENOZOIC / SLAVE PROVINCE_CENOZOIC / LAC DE GRAS KIMBERLITE FIELD / AARON KIMBERLITE","EKATI DIAMOND MINE","64.7136","64.7136","-110.6194","-110.6194","SUBAERIAL","","","s AN-2 [12787]","KIMBERLITE [12787]","45200000 [12787]","45200000 [12787]","","EOCENE [12787]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [12787] ","35.3","0.32","","1.65","","8.37","","","5.64","41.37","0.15","","0.51","0.13","0.26","3.49","","","","2.89","","","","","","","","","","","6.38","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","56","","","","","1790","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","634000",
"[12787]","INTRAPLATE VOLCANICS","CANADIAN SHIELD_CENOZOIC / SLAVE PROVINCE_CENOZOIC / LAC DE GRAS KIMBERLITE FIELD / AARON KIMBERLITE","EKATI DIAMOND MINE","64.7136","64.7136","-110.6194","-110.6194","SUBAERIAL","","","s AN-3 [12787]","KIMBERLITE [12787]","45200000 [12787]","45200000 [12787]","","EOCENE [12787]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [12787] ","36.23","0.28","","2.16","","7.4","","","4.48","35.75","0.13","","1.68","0.19","0.34","7.94","","","","3.13","","","","","","","","","","","11.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","","41","","","","","1590","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","634001",
