"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[15312]","INTRAPLATE VOLCANICS","CANADIAN SHIELD_MESOZOIC / SLAVE PROVINCE_MESOZOIC / NORTHERN SLAVE JURASSIC KIMBERLITE CLUSTER / JERICHO KIMBERLITE","","65.9973","65.9973","-117.4832","-117.4832","SUBAERIAL","485.64","485.64","s DJ-99-001 146.46 [15312]","KIMBERLITE [15312]","173100000 [15312]","173100000 [15312]","MIDDLE [15312]","JURASSIC [15312]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [15312] ","40.86","0.78","","1.81","","","","7.75","6.36","42","0.12","","0.13","0","0.1","","","","","","","","","","","","","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","","47","1317","","","103","1530","32","35","0","","","","","16","108","3","23","69","","","","","","","","","","","","","392","","","","","","","","","","","","","","","","","","","","","","","","","0","","5","0","","","","","","","","","","","","","","","","","","","","","","","","","629942",
"[15312]","INTRAPLATE VOLCANICS","CANADIAN SHIELD_MESOZOIC / SLAVE PROVINCE_MESOZOIC / NORTHERN SLAVE JURASSIC KIMBERLITE CLUSTER / JERICHO KIMBERLITE","","65.9973","65.9973","-117.4798","-117.4798","SUBAERIAL","440","440","s 2007-S [15312]","KIMBERLITE [15312]","173000000 [15312]","173000000 [15312]","MIDDLE [15312]","JURASSIC [15312]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [15312] ","39.4","0.79","","1.65","","","","7.94","7.04","42.67","0.16","","0.17","0","0.18","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","","77","1581","","","94","1525","60","34","0","","","","","22","218","5","34","75","","","","","","","","","","","","","528","","","","","","","","","","","","","","","","","","","","","","","","","13","","13","61","","","","","","","","","","","","","","","","","","","","","","","","","629943",
"[15312]","INTRAPLATE VOLCANICS","CANADIAN SHIELD_MESOZOIC / SLAVE PROVINCE_MESOZOIC / NORTHERN SLAVE JURASSIC KIMBERLITE CLUSTER / JERICHO KIMBERLITE","","65.9972","65.9972","-117.48","-117.48","SUBAERIAL","440.2","440.2","s JGG-001 125.80 [15312]","KIMBERLITE [15312]","173000000 [15312]","173000000 [15312]","MIDDLE [15312]","JURASSIC [15312]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [15312] ","39.76","0.77","","1.75","","","","7.76","4.98","44.43","0.13","","0.18","0","0.14","","","","","","","","","","","","","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","","67","1451","","","94","1444","44","29","0","","","","","21","172","4","27","87","","","","","","","","","","","","","691","","","","","","","","","","","","","","","","","","","","","","","","","11","","6","3","","","","","","","","","","","","","","","","","","","","","","","","","629944",
"[15312]","INTRAPLATE VOLCANICS","CANADIAN SHIELD_MESOZOIC / SLAVE PROVINCE_MESOZOIC / NORTHERN SLAVE JURASSIC KIMBERLITE CLUSTER / JERICHO KIMBERLITE","","65.9973","65.9973","-117.4832","-117.4832","SUBAERIAL","485.64","485.64","s DJ-99-001 201.10 [15312]","KIMBERLITE [15312]","173000000 [15312]","173000000 [15312]","MIDDLE [15312]","JURASSIC [15312]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [15312] ","37.75","0.92","","1.76","","","","7.81","9.81","41.01","0.14","","0.43","0","0.2","","","","","","","","","","","","","0.17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","77","1497","","","94","1355","59","35","3","","","","","40","296","4","33","100","","","","","","","","","","","","","963","","","","","","","","","","","","","","","","","","","","","","","","","14","","6","0","","","","","","","","","","","","","","","","","","","","","","","","","629945",
"[15312]","INTRAPLATE VOLCANICS","CANADIAN SHIELD_MESOZOIC / SLAVE PROVINCE_MESOZOIC / NORTHERN SLAVE JURASSIC KIMBERLITE CLUSTER / JERICHO KIMBERLITE","","65.9981","65.9981","-117.4803","-117.4803","SUBAERIAL","459.46","459.46","s 2006-J-10 [15312]","KIMBERLITE [15312]","173000000 [15312]","173000000 [15312]","MIDDLE [15312]","JURASSIC [15312]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [15312] ","45.05","0.64","","3.91","","","","6.96","6.1","35.47","0.12","","1.46","0","0.15","","","","","","","","","","","","","0.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","","47","974","","","83","1334","33","34","6","","","","","63","277","3","35","65","","","","","","","","","","","","","399","","","","","","","","","","","","","","","","","","","","","","","","","11","","3","0","","","","","","","","","","","","","","","","","","","","","","","","","629946",
"[15312]","INTRAPLATE VOLCANICS","CANADIAN SHIELD_MESOZOIC / SLAVE PROVINCE_MESOZOIC / NORTHERN SLAVE JURASSIC KIMBERLITE CLUSTER / JERICHO KIMBERLITE","","65.998","65.998","-117.4802","-117.4802","SUBAERIAL","451.28","451.28","s 2006-J-17 [15312]","KIMBERLITE [15312]","173000000 [15312]","173000000 [15312]","MIDDLE [15312]","JURASSIC [15312]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [15312] ","43.36","0.57","","3.04","","","","6.92","6.25","38.32","0.11","","1.25","0","0.14","","","","","","","","","","","","","0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","","43","933","","","88","1329","40","35","5","","","","","67","252","4","33","60","","","","","","","","","","","","","665","","","","","","","","","","","","","","","","","","","","","","","","","11","","3","0","","","","","","","","","","","","","","","","","","","","","","","","","629947",
"[15312]","INTRAPLATE VOLCANICS","CANADIAN SHIELD_MESOZOIC / SLAVE PROVINCE_MESOZOIC / NORTHERN SLAVE JURASSIC KIMBERLITE CLUSTER / JERICHO KIMBERLITE","","65.9984","65.9984","-117.4803","-117.4803","SUBAERIAL","465","465","s 2006-J-07 [15312]","KIMBERLITE [15312]","173000000 [15312]","173000000 [15312]","MIDDLE [15312]","JURASSIC [15312]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [15312] ","49.72","0.72","","4.25","","","","6.43","6.5","30.52","0.11","","1.28","0.24","0.17","","","","","","","","","","","","","0.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","","47","899","","","80","1207","28","35","4","","","","","57","360","7","46","70","","","","","","","","","","","","","582","","","","","","","","","","","","","","","","","","","","","","","","","10","","7","4","","","","","","","","","","","","","","","","","","","","","","","","","629948",
"[15312]","INTRAPLATE VOLCANICS","CANADIAN SHIELD_MESOZOIC / SLAVE PROVINCE_MESOZOIC / NORTHERN SLAVE JURASSIC KIMBERLITE CLUSTER / JERICHO KIMBERLITE","","65.998","65.998","-117.4808","-117.4808","SUBAERIAL","430","430","s 2007-N [15312]","KIMBERLITE [15312]","173000000 [15312]","173000000 [15312]","MIDDLE [15312]","JURASSIC [15312]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [15312] ","50.23","0.63","","4.27","","","","6.79","7.01","29.23","0.1","","1.46","0","0.19","","","","","","","","","","","","","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","","50","860","","","76","1172","30","36","6","","","","","69","405","5","50","72","","","","","","","","","","","","","496","","","","","","","","","","","","","","","","","","","","","","","","","12","","7","3","","","","","","","","","","","","","","","","","","","","","","","","","629949",
"[15312]","INTRAPLATE VOLCANICS","CANADIAN SHIELD_MESOZOIC / SLAVE PROVINCE_MESOZOIC / NORTHERN SLAVE JURASSIC KIMBERLITE CLUSTER / JERICHO KIMBERLITE","","65.9965","65.9965","-117.4793","-117.4793","SUBAERIAL","456.73","456.73","s 2006-J-12 [15312]","KIMBERLITE [15312]","173000000 [15312]","173000000 [15312]","MIDDLE [15312]","JURASSIC [15312]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [15312] ","42.35","0.69","","3.01","","","","7.45","4.88","40.37","0.12","","0.84","0","0.19","","","","","","","","","","","","","0.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","","57","1105","","","91","1331","42","38","4","","","","","51","87","5","37","81","","","","","","","","","","","","","748","","","","","","","","","","","","","","","","","","","","","","","","","10","","7","3","","","","","","","","","","","","","","","","","","","","","","","","","629950",
"[15312]","INTRAPLATE VOLCANICS","CANADIAN SHIELD_MESOZOIC / SLAVE PROVINCE_MESOZOIC / NORTHERN SLAVE JURASSIC KIMBERLITE CLUSTER / JERICHO KIMBERLITE","","65.9964","65.9964","-117.4796","-117.4796","SUBAERIAL","455.77","455.77","s 2006-J-03 [15312]","KIMBERLITE [15312]","173000000 [15312]","173000000 [15312]","MIDDLE [15312]","JURASSIC [15312]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [15312] ","41.68","0.81","","2.62","","","","7.51","7.46","38.3","0.12","","1.14","0","0.22","","","","","","","","","","","","","0.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","","65","1194","","","88","1289","50","36","5","","","","","62","391","6","37","91","","","","","","","","","","","","","689","","","","","","","","","","","","","","","","","","","","","","","","","14","","6","4","","","","","","","","","","","","","","","","","","","","","","","","","629951",
