"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[12522]","INTRAPLATE VOLCANICS","CANADIAN SHIELD_PALEOZOIC / SLAVE PROVINCE_PALEOZOIC / SNAP LAKE DIKE SYSTEM","TRENCH 1 INTO THE DIKE ON ITS UPPER MARGIN (SUBCROP AREA)","63.575","63.615","-110.79","-110.87","SUBAERIAL","","","s SL-1 [12522]","CARBONATITE [12522]","537000000 [12522]","537000000 [12522]","","CAMBRIAN [12522]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [12522] ","16.99","0.49","","2.15","","","","8.49","16.73","22.57","0.23","","0.62","","0.81","","","","","28.52","","","","","","","","","","","2.23","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.54","","62.05","1236.7","","","55.94","","","","","","","","","55.69","364.3","48.53","505.1","198.9","","","","","","","","","","","","1.25","1699.6","75.9","116.9","12.8","48","10.95","3.48","10.69","1.51","7.48","1.42","3.31","","1.77","0.27","6.26","9.23","","","","","","","","","2.66","","28.26","41.01","","","","","","","","","","","","","","","","","","","","","","","","","634170",
"[12522]","INTRAPLATE VOLCANICS","CANADIAN SHIELD_PALEOZOIC / SLAVE PROVINCE_PALEOZOIC / SNAP LAKE DIKE SYSTEM","TRENCH 1 INTO THE DIKE ON ITS UPPER MARGIN (SUBCROP AREA)","63.575","63.615","-110.79","-110.87","SUBAERIAL","","","s SL-2 [12522]","CARBONATITE [12522]","537000000 [12522]","537000000 [12522]","","CAMBRIAN [12522]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [12522] ","3.74","0.12","","0.95","","","","2.57","31.88","18.86","0.19","","0.24","","4.51","","","","","32.82","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.61","","87.68","216","","","10.65","","","","","","","","","30.49","2034","33.65","672.7","338","","","","","","","","","","","","0.3","626.4","260.2","342.9","33.9","120.2","20.59","5.29","16.23","1.2","3.95","0.64","1.76","","1.34","0.2","5.24","3.82","","","","","","","","","1.94","","24.98","38.55","","","","","","","","","","","","","","","","","","","","","","","","","634171",
"[12522]","INTRAPLATE VOLCANICS","CANADIAN SHIELD_PALEOZOIC / SLAVE PROVINCE_PALEOZOIC / SNAP LAKE DIKE SYSTEM","TRENCH 1 INTO THE DIKE ON ITS UPPER MARGIN (SUBCROP AREA)","63.575","63.615","-110.79","-110.87","SUBAERIAL","","","s SL-3 [12522]","CARBONATITE [12522]","537000000 [12522]","537000000 [12522]","","CAMBRIAN [12522]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [12522] ","10.79","0.4","","2.17","","","","11.89","18.11","19.65","0.43","","0.33","","0.65","","","","","30.61","","","","","","","","","","","4.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.85","","28.47","740.5","","","21.47","","","","","","","","","17.08","115.9","16.28","147.1","154","","","","","","","","","","","","0.44","383.7","55","83.8","9.9","34.9","5.78","1.55","4.58","0.6","3.05","0.59","1.68","","1.75","0.28","2.59","5.58","","","","","","","","","5.33","","24.82","7.03","","","","","","","","","","","","","","","","","","","","","","","","","634172",
"[12522]","INTRAPLATE VOLCANICS","CANADIAN SHIELD_PALEOZOIC / SLAVE PROVINCE_PALEOZOIC / SNAP LAKE DIKE SYSTEM","TRENCH 1 INTO THE DIKE ON ITS UPPER MARGIN (SUBCROP AREA)","63.575","63.615","-110.79","-110.87","SUBAERIAL","","","s SL-4 [12522]","CARBONATITE [12522]","537000000 [12522]","537000000 [12522]","","CAMBRIAN [12522]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [12522] ","10.26","0.41","","1.69","","","","11.65","19.57","19.33","0.42","","0.36","","1.11","","","","","29.3","","","","","","","","","","","5.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.27","","38.6","865.7","","","35.71","","","","","","","","","26.51","651.1","31.11","245","245.3","","","","","","","","","","","","0.49","621.9","228.9","330.6","35.2","114.8","16.21","4.24","11.68","1.33","6.04","1.06","2.75","","2.31","0.36","3.4","7.63","","","","","","","","","11.73","","35.19","12.64","","","","","","","","","","","","","","","","","","","","","","","","","634173",
"[12522]","INTRAPLATE VOLCANICS","CANADIAN SHIELD_PALEOZOIC / SLAVE PROVINCE_PALEOZOIC / SNAP LAKE DIKE SYSTEM","TRENCH 1 INTO THE DIKE ON ITS UPPER MARGIN (SUBCROP AREA)","63.575","63.615","-110.79","-110.87","SUBAERIAL","","","s SL-5 [12522]","KIMBERLITE [12522]","537000000 [12522]","537000000 [12522]","","CAMBRIAN [12522]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [12522] ","36.01","0.73","","2.82","","","","8.47","2.17","34.01","0.16","","0.29","","0.4","","","","","1.77","","","","","","","","","","","12.41","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.63","","36.93","1658.2","","","100.95","","","","","","","","","62.1","367.7","9.17","143.2","284.2","","","","","","","","","","","","2.19","2510.1","323","487.5","43.3","127","14.27","3.17","8.81","0.78","2.69","0.37","0.79","","0.37","0.05","2.97","15.18","","","","","","","","","4.57","","44.05","3.36","","","","","","","","","","","","","","","","","","","","","","","","","634174",
"[12522]","INTRAPLATE VOLCANICS","CANADIAN SHIELD_PALEOZOIC / SLAVE PROVINCE_PALEOZOIC / SNAP LAKE DIKE SYSTEM","TRENCH 1 INTO THE DIKE ON ITS UPPER MARGIN (SUBCROP AREA)","63.575","63.615","-110.79","-110.87","SUBAERIAL","","","s SL-6 [12522]","KIMBERLITE [12522]","537000000 [12522]","537000000 [12522]","","CAMBRIAN [12522]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [12522] ","35.58","0.67","","2.88","","","","7.73","2.87","34.24","0.16","","0.79","","0.32","","","","","","","","","","","","","","","","14.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","634175",
"[12522]","INTRAPLATE VOLCANICS","CANADIAN SHIELD_PALEOZOIC / SLAVE PROVINCE_PALEOZOIC / SNAP LAKE DIKE SYSTEM","TRENCH 1 INTO THE DIKE ON ITS UPPER MARGIN (SUBCROP AREA)","63.575","63.615","-110.79","-110.87","SUBAERIAL","","","s SL-7 [12522]","KIMBERLITE [12522]","537000000 [12522]","537000000 [12522]","","CAMBRIAN [12522]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [12522] ","34.38","0.76","","2.64","","","","8.58","3.3","33.18","0.16","","0.19","","0.34","","","","","","","","","","","","","","","","15.84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","634176",
"[12522]","INTRAPLATE VOLCANICS","CANADIAN SHIELD_PALEOZOIC / SLAVE PROVINCE_PALEOZOIC / SNAP LAKE DIKE SYSTEM","TRENCH 1 INTO THE DIKE ON ITS UPPER MARGIN (SUBCROP AREA)","63.575","63.615","-110.79","-110.87","SUBAERIAL","","","s SL-8 [12522]","KIMBERLITE [12522]","537000000 [12522]","537000000 [12522]","","CAMBRIAN [12522]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [12522] ","35.29","0.78","","2.9","","","","8.16","3.41","33.29","0.16","","0.81","","0.47","","","","","","","","","","","","","","","","14.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","634177",
"[12522]","INTRAPLATE VOLCANICS","CANADIAN SHIELD_PALEOZOIC / SLAVE PROVINCE_PALEOZOIC / SNAP LAKE DIKE SYSTEM","TRENCH 1 INTO THE DIKE ON ITS UPPER MARGIN (SUBCROP AREA)","63.575","63.615","-110.79","-110.87","SUBAERIAL","","","s SL-9 [12522]","KIMBERLITE [12522]","537000000 [12522]","537000000 [12522]","","CAMBRIAN [12522]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [12522] ","32.26","0.71","","2.49","","","","8.25","5.5","32.3","0.17","","0.84","","0.37","","","","","","","","","","","","","","","","16.38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","634178",
"[12522]","INTRAPLATE VOLCANICS","CANADIAN SHIELD_PALEOZOIC / SLAVE PROVINCE_PALEOZOIC / SNAP LAKE DIKE SYSTEM / SNAP LAKE KIMBERLITE","TRENCH 2 INTO THE DIKE ON ITS UPPER MARGIN (SUBCROP AREA)","63.575","63.615","-110.79","-110.87","SUBAERIAL","","","s SL2/1 [12522]","KIMBERLITE [12522]","537000000 [12522]","537000000 [12522]","","CAMBRIAN [12522]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [12522] ","35.58","0.84","","2.79","","","","9.24","2.04","33.49","0.16","","0.67","","0.67","","","","","","","","","","","","","","","","13.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","634179",
"[12522]","INTRAPLATE VOLCANICS","CANADIAN SHIELD_PALEOZOIC / SLAVE PROVINCE_PALEOZOIC / SNAP LAKE DIKE SYSTEM / SNAP LAKE KIMBERLITE","TRENCH 2 INTO THE DIKE ON ITS UPPER MARGIN (SUBCROP AREA)","63.575","63.615","-110.79","-110.87","SUBAERIAL","","","s SL2/2 [12522]","KIMBERLITE [12522]","537000000 [12522]","537000000 [12522]","","CAMBRIAN [12522]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [12522] ","35.24","0.86","","3.21","","","","7.68","3.28","32.22","0.16","","1.26","","0.37","","","","","","","","","","","","","","","","14.44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","634180",
"[12522]","INTRAPLATE VOLCANICS","CANADIAN SHIELD_PALEOZOIC / SLAVE PROVINCE_PALEOZOIC / SNAP LAKE DIKE SYSTEM / SNAP LAKE KIMBERLITE","TRENCH 2 INTO THE DIKE ON ITS UPPER MARGIN (SUBCROP AREA)","63.575","63.615","-110.79","-110.87","SUBAERIAL","","","s SL2/3 [12522]","KIMBERLITE [12522]","537000000 [12522]","537000000 [12522]","","CAMBRIAN [12522]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [12522] ","36.54","0.85","","3.14","","","","8.31","2.01","33.5","0.14","","1.27","","0.34","","","","","","","","","","","","","","","","12.99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","634181",
"[12522]","INTRAPLATE VOLCANICS","CANADIAN SHIELD_PALEOZOIC / SLAVE PROVINCE_PALEOZOIC / SNAP LAKE DIKE SYSTEM / SNAP LAKE KIMBERLITE","TRENCH 2 INTO THE DIKE ON ITS UPPER MARGIN (SUBCROP AREA)","63.575","63.615","-110.79","-110.87","SUBAERIAL","","","s SL2/5 [12522]","KIMBERLITE [12522]","537000000 [12522]","537000000 [12522]","","CAMBRIAN [12522]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [12522] ","36.6","0.92","","3.75","","","","8.62","1.71","32.91","0.14","","1.57","","0.27","","","","","1.64","","","","","","","","","","","10.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.68","","50.82","1991.5","","","92.76","","","","","","","","","84.35","112.5","5.6","146.6","221.1","","","","","","","","","","","","0.85","2130.6","158","275","26.8","82.6","9.17","2","4.99","0.46","1.83","0.25","0.62","","0.37","0.05","2.81","13.63","","","","","","","","","11.17","","37.43","3.23","","","","","","","","","","","","","","","","","","","","","","","","","634182",
"[12522]","INTRAPLATE VOLCANICS","CANADIAN SHIELD_PALEOZOIC / SLAVE PROVINCE_PALEOZOIC / SNAP LAKE DIKE SYSTEM / SNAP LAKE KIMBERLITE","TRENCH 2 INTO THE DIKE ON ITS UPPER MARGIN (SUBCROP AREA)","63.575","63.615","-110.79","-110.87","SUBAERIAL","","","s SL2/6 [12522]","KIMBERLITE [12522]","537000000 [12522]","537000000 [12522]","","CAMBRIAN [12522]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [12522] ","36.3","0.87","","3.2","","","","7.4","2.93","32.71","0.14","","1.47","","0.37","","","","","2.69","","","","","","","","","","","11.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.25","","29.33","1868","","","90.06","","","","","","","","","84.31","177.51","5.98","142.6","187.6","","","","","","","","","","","","0.79","2381.6","158.2","270.1","25.4","76.12","7.538","1.63","4.52","0.4","1.43","0.22","0.49","","0.27","0.04","2.78","13.52","","","","","","","","","14.89","","37.77","2.31","0.512218","","","0.715147","","","","","","","","","","","","","","","","","","","","","634183",
"[12522]","INTRAPLATE VOLCANICS","CANADIAN SHIELD_PALEOZOIC / SLAVE PROVINCE_PALEOZOIC / SNAP LAKE DIKE SYSTEM / SNAP LAKE KIMBERLITE","TRENCH 2 INTO THE DIKE ON ITS UPPER MARGIN (SUBCROP AREA)","63.575","63.615","-110.79","-110.87","SUBAERIAL","","","s SL2/7 [12522]","KIMBERLITE [12522]","537000000 [12522]","537000000 [12522]","","CAMBRIAN [12522]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [12522] ","34.23","0.86","","2.99","","","","8.05","3","33.28","0.15","","1.26","","0.32","","","","","3.99","","","","","","","","","","","10.62","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.05","","50.2","1844.3","","","84.63","","","","","","","","","84.24","178.93","6.38","132.6","210.5","","","","","","","","","","","","0.92","2413.1","72.2","149.2","18.3","66.34","9.279","2.09","4.85","0.54","2.26","0.33","0.76","","0.53","0.07","2.71","13.43","","","","","","","","","15.15","","37.55","3.11","0.512285","","","0.714452","","","","","","","","","","","","","","","","","","","","","634184",
"[12522]","INTRAPLATE VOLCANICS","CANADIAN SHIELD_PALEOZOIC / SLAVE PROVINCE_PALEOZOIC / SNAP LAKE DIKE SYSTEM / SNAP LAKE KIMBERLITE","TRENCH 2 INTO THE DIKE ON ITS UPPER MARGIN (SUBCROP AREA)","63.575","63.615","-110.79","-110.87","SUBAERIAL","","","s SL2/7` [12522]","KIMBERLITE [12522]","537000000 [12522]","537000000 [12522]","","CAMBRIAN [12522]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [12522] ","34.93","0.79","","2.85","","","","8.47","3.67","31.97","0.15","","1.11","","0.38","","","","","","","","","","","","","","","","14.63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","634185",
