"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[17954]","INTRAPLATE VOLCANICS","CANADIAN SHIELD_PROTEROZOIC / SUPERIOR PROVINCE_PROTEROZOIC / WAWA GREENSTONE BELT / BORDEN LAKE CARBONATITE COMPLEX","","47.92","47.92","-83.25","-83.25","SUBAERIAL","","","s 1425 [17954]","SOVITE [17954]","","","","PROTEROZOIC [17954]","","","","FINE-GRAINED, EQUIGRANULAR, MASSIVE, HYPIDIOMORPHIC [17954] ","PLUTONIC ROCK","145.5","146.2","","","WHOLE_ROCK [17954] ","1.83","0.09","","0.49","","1.69","2.58","","45.7","3.27","0.14","","0.39","0.67","3.57","","0","0.28","","38","","","","","","","","","","0.28","","","","","","","","","","","","","","","4","1","","","","","","","","","","","","","0","","40","8","","","14","0","8","40","22","","","","","10","4000","100","200","0","0","","","","12","","","2","","","","","270","250","240","","130","","","","","","","","","4","","","","","","","","","","","","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","1013838",
"[17954]","INTRAPLATE VOLCANICS","CANADIAN SHIELD_PROTEROZOIC / SUPERIOR PROVINCE_PROTEROZOIC / WAWA GREENSTONE BELT / BORDEN LAKE CARBONATITE COMPLEX","","47.92","47.92","-83.25","-83.25","SUBAERIAL","","","s 1426 [17954]","SOVITE [17954]","","","","PROTEROZOIC [17954]","","","","FINE-GRAINED, EQUIGRANULAR, MASSIVE, HYPIDIOMORPHIC [17954] ","PLUTONIC ROCK","290.4","291.4","","","WHOLE_ROCK [17954] ","0.75","0","","0.32","","0.31","1.91","","47","2.54","0.12","","0.15","0.65","3.23","","0","0.45","","42","","","","","","","","","","0.5","","","","","","","","","","","","","","","3","1","","","","","","","","","","","","","0","","0","6","","","16","0","11","18","7","","","","","0","4500","100","8","0","0","","","","1","","","1","","","","","240","250","230","","120","","","","","","","","","5","","","","","","","","","","","","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","1013839",
"[17954]","INTRAPLATE VOLCANICS","CANADIAN SHIELD_PROTEROZOIC / SUPERIOR PROVINCE_PROTEROZOIC / WAWA GREENSTONE BELT / BORDEN LAKE CARBONATITE COMPLEX","","47.92","47.92","-83.25","-83.25","SUBAERIAL","","","s 1427 [17954]","SOVITE [17954]","","","","PROTEROZOIC [17954]","","","","FINE-GRAINED, EQUIGRANULAR, MASSIVE, HYPIDIOMORPHIC [17954] ","PLUTONIC ROCK","357","357.75","","","WHOLE_ROCK [17954] ","1.53","0.09","","0.72","","1.32","2.41","","46.2","2.21","0.11","","0.52","0.63","5.34","","0.1","0.31","","37.2","","","","","","","","","","0.15","","","","","","","","","","","","","","","3","1","","","","","","","","","","","","","0","","60","10","","","9","0","11","34","27","","","","","20","4000","100","25","0","0","","","","6","","","3","","","","","240","250","230","","120","","","","","","","","","5","","","","","","","","","","","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","1013840",
"[17954]","INTRAPLATE VOLCANICS","CANADIAN SHIELD_PROTEROZOIC / SUPERIOR PROVINCE_PROTEROZOIC / WAWA GREENSTONE BELT / BORDEN LAKE CARBONATITE COMPLEX","","47.92","47.92","-83.25","-83.25","SUBAERIAL","","","s 1428 [17954]","SOVITE, OLIVINE-MAGNETITE-BIOTITE-AMPHIBOLE-APATITE [17954]","","","","PROTEROZOIC [17954]","","","","FINE-GRAINED, EQUIGRANULAR, MASSIVE, HYPIDIOMORPHIC [17954] ","PLUTONIC ROCK","390.45","391.75","","","WHOLE_ROCK [17954] ","2.87","0.08","","0.51","","1.54","2.66","","45","3.63","0.13","","0.23","0.74","4.84","","0.11","0.23","","37","","","","","","","","","","0.22","","","","","","","","","","","","","","","0","1","","","","","","","","","","","","","5","","45","5","","","12","0","10","42","16","","","","","10","4500","100","15","0","0","","","","1","","","2","","","","","270","200","230","","120","","","","","","","","","4","","","","","","","","","","","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","1013841",
"[17954]","INTRAPLATE VOLCANICS","CANADIAN SHIELD_PROTEROZOIC / SUPERIOR PROVINCE_PROTEROZOIC / WAWA GREENSTONE BELT / BORDEN LAKE CARBONATITE COMPLEX","","47.92","47.92","-83.25","-83.25","SUBAERIAL","","","s 1430 [17954]","SOVITE, MAGNETITE-APATITE-BIOTITE [17954]","","","","PROTEROZOIC [17954]","","","","FINE-GRAINED, EQUIGRANULAR, MASSIVE, HYPIDIOMORPHIC [17954] ","PLUTONIC ROCK","32.6","37.5","","","WHOLE_ROCK [17954] ","0","0.16","","0.6","","3.5","4.16","","43.7","3.08","0.21","","0.1","0.72","4.68","","0","0.32","","37.9","","","","","","","","","","0.25","","","","","","","","","","","","","","","3","1","","","","","","","","","","","","","6","","150","7","","","11","0","8","53","10","","","","","0","5000","100","600","0","0","","","","1","","","9","","","","","220","200","210","","110","","","","","","","","","5","","","","","","","","","","","","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","1013842",
"[17954]","INTRAPLATE VOLCANICS","CANADIAN SHIELD_PROTEROZOIC / SUPERIOR PROVINCE_PROTEROZOIC / WAWA GREENSTONE BELT / BORDEN LAKE CARBONATITE COMPLEX","","47.92","47.92","-83.25","-83.25","SUBAERIAL","","","s 1433 [17954]","SOVITE, APATITE [17954]","","","","PROTEROZOIC [17954]","","","","FINE-GRAINED, EQUIGRANULAR, MASSIVE, HYPIDIOMORPHIC [17954] ","PLUTONIC ROCK","381.35","382","","","WHOLE_ROCK [17954] ","0.2","0","","0.26","","0.55","1.5","","47.7","2.94","0.15","","0.07","0.68","6.17","","0.04","0.25","","39.2","","","","","","","","","","0.09","","","","","","","","","","","","","","","0","1","","","","","","","","","","","","","0","","20","8","","","7","0","8","20","5","","","","","0","5000","100","0","0","0","","","","1","","","3","","","","","240","200","210","","120","","","","","","","","","4","","","","","","","","","","","","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","1013843",
"[17954]","INTRAPLATE VOLCANICS","CANADIAN SHIELD_PROTEROZOIC / SUPERIOR PROVINCE_PROTEROZOIC / WAWA GREENSTONE BELT / BORDEN LAKE CARBONATITE COMPLEX","","47.92","47.92","-83.25","-83.25","SUBAERIAL","","","s 1437 [17954]","SOVITE, AMPHIBOLE-APATITE [17954]","","","","PROTEROZOIC [17954]","","","","FINE-GRAINED, EQUIGRANULAR, MASSIVE, HYPIDIOMORPHIC [17954] ","PLUTONIC ROCK","558","558.8","","","WHOLE_ROCK [17954] ","0","0","","0.19","","0","1.16","","49.2","2.62","0.2","","0.03","0.65","1.17","","0","0.21","","49.9","","","","","","","","","","0.06","","","","","","","","","","","","","","","0","1","","","","","","","","","","","","","0","","0","6","","","0","0","6","24","2","","","","","0","6000","100","25","0","0","","","","1","","","3","","","","","250","150","180","","90","","","","","","","","","7","","","","","","","","","","","","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","1013844",
"[17954]","INTRAPLATE VOLCANICS","CANADIAN SHIELD_PROTEROZOIC / SUPERIOR PROVINCE_PROTEROZOIC / WAWA GREENSTONE BELT / BORDEN LAKE CARBONATITE COMPLEX","","47.92","47.92","-83.25","-83.25","SUBAERIAL","","","s 1439 [17954]","SOVITE, AMPHIBOLE-APATITE-BIOTITE [17954]","","","","PROTEROZOIC [17954]","","","","FINE-GRAINED, EQUIGRANULAR, MASSIVE, HYPIDIOMORPHIC [17954] ","PLUTONIC ROCK","727","727.65","","","WHOLE_ROCK [17954] ","2.02","0.14","","0.46","","2.82","3","","43.7","4.05","0.17","","0.29","0.64","5.75","","0.43","0.1","","35.1","","","","","","","","","","0.27","","","","","","","","","","","","","","","0","1","","","","","","","","","","","","","5","","70","8","","","17","0","8","44","20","","","","","10","4500","100","10","0","0","","","","1","","","39","","","","","240","200","220","","120","","","","","","","","","6","","","","","","","","","","","","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","1013845",
"[17954]","INTRAPLATE VOLCANICS","CANADIAN SHIELD_PROTEROZOIC / SUPERIOR PROVINCE_PROTEROZOIC / WAWA GREENSTONE BELT / BORDEN LAKE CARBONATITE COMPLEX","","47.92","47.92","-83.25","-83.25","SUBAERIAL","","","s 1418 [17954]","SOVITE [17954]","","","","PROTEROZOIC [17954]","","","","FINE-GRAINED, MASSIVE, ALLOTRIOMORPHIC [17954] ","PLUTONIC ROCK","454.8","455.6","","","WHOLE_ROCK [17954] ","0","0","","0.45","","0","1.66","","48","2.35","0.32","","0","0.68","0.05","","0","0.33","","45.3","","","","","","","","","","0.11","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","7","","0","6","","","5","0","10","11","","","","","","0","4500","100","0","0","0","","","","","","","","","","","","310","150","210","","120","","","","","","","","","6","","","","","","","","","","","","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","1013846",
"[17954]","INTRAPLATE VOLCANICS","CANADIAN SHIELD_PROTEROZOIC / SUPERIOR PROVINCE_PROTEROZOIC / WAWA GREENSTONE BELT / BORDEN LAKE CARBONATITE COMPLEX","","47.92","47.92","-83.25","-83.25","SUBAERIAL","","","s 1450 [17954]","SOVITE, BIOTITE-APATITE-AMPHIBOLE-MAGNETITE [17954]","","","","PROTEROZOIC [17954]","","","","FINE-GRAINED, MASSIVE, HYPIDIOMORPHIC [17954] ","PLUTONIC ROCK","329","329.6","","","WHOLE_ROCK [17954] ","3.48","0.05","","0.81","","2.65","2.41","","41.1","5.38","0.24","","0.27","0.86","5.36","","0.01","0.31","","36.5","","","","","","","","","","0.16","","","","","","","","","","","","","","","4","1","","","","","","","","","","","","","0","","35","11","","","12","0","6","24","14","","","","","10","7000","90","10","0","0","","","","1","","","8","","","","","280","200","210","","120","","","","","","","","","5","","","","","","","","","","","","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","1013847",
