"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[4750]","OCEAN ISLAND","CANARY ISLANDS / GRAN CANARIA / SITE 956 / ATLANTIC OCEAN","HOLE 956B","27.6149","27.6149","-16.1633","-16.1633","SUBAQUATIC","-3453.4","-3453.4","s 157-956B-44R-4,G1 [4750]","BASALT [4750]","","","","MIOCENE [4750]","","","","","VOLCANIC ROCK","","","","","VOLCANIC GLASS [4750] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.007","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100107",
"[4750]","OCEAN ISLAND","CANARY ISLANDS / GRAN CANARIA / SITE 956 / ATLANTIC OCEAN","HOLE 956B","27.6149","27.6149","-16.1633","-16.1633","SUBAQUATIC","-3453.4","-3453.4","s 157-956B-44R-4,G3 [4750]","BASALT [4750]","","","","MIOCENE [4750]","","","","","VOLCANIC ROCK","","","","","VOLCANIC GLASS [4750] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100110",
"[4750]","OCEAN ISLAND","CANARY ISLANDS / GRAN CANARIA / SITE 956 / ATLANTIC OCEAN","HOLE 956B","27.6149","27.6149","-16.1633","-16.1633","SUBAQUATIC","-3453.4","-3453.4","s 157-956B-44R-5,G4 [4750]","BASALT [4750]","","","","MIOCENE [4750]","","","","","VOLCANIC ROCK","","","","","VOLCANIC GLASS [4750] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100113",
"[19988]","OCEAN ISLAND","CANARY ISLANDS / TENERIFE / SIETE FUENTES / ATLANTIC OCEAN","","28.3","28.3","-16.6","-16.6","SUBAERIAL","","","s 1704 [19988]","TEPHRITE [19988]","","","","","","12","1704","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19988] ","44.4","3.65","","15.16","","","","12.1","10.67","7.5","0.19","","1.59","3.87","0.76","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.6","","309","195","","","","103","60.2","117","20.1","","","","","33.3","953","26.7","284","71.3","","","","","","","","","","","","","500","51.7","104","","52","","","","","","","","","","","","","","","","","","","","","3.9","","7.5","2.2","","","","","","","","","","","","","","","","","","","","","","","","","1002844",
"[19988]","OCEAN ISLAND","CANARY ISLANDS / TENERIFE / FASNIA / ATLANTIC OCEAN","","28.3","28.3","-16.6","-16.6","SUBAERIAL","","","s 1705 [19988]","TEPHRITE [19988]","","","","","","1","1705","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19988] ","44.4","3.7","","14.99","","","","12.1","10.67","7.7","0.19","","1.54","3.82","0.76","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.3","","308","206","","","","111","58.2","119","20.8","","","","","32.7","949","26.8","283","70.8","","","","","","","","","","","","","493","54.5","102","","52.8","","","","","","","","","","","","","","","","","","","","","2.3","","5","1.9","","","","","","","","","","","","","","","","","","","","","","","","","1002845",
"[19988]","OCEAN ISLAND","CANARY ISLANDS / TENERIFE / ARAFO / ATLANTIC OCEAN","","28.3","28.3","-16.6","-16.6","SUBAERIAL","","","s 1705 [19988]","TEPHRITE [19988]","","","","","","2","1705","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19988] ","44","3.56","","14.1","","","","12.39","10.58","9.4","0.19","","1.42","3.57","0.72","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.2","","302","331","","","","180","60.9","116","20","","","","","30","883","24.8","264","65.3","","","","","","","","","","","","","457","53.3","99","","46.2","","","","","","","","","","","","","","","","","","","","","3.6","","5.2","3.8","","","","","","","","","","","","","","","","","","","","","","","","","1002846",
"[19991]","OCEAN ISLAND","CANARY ISLANDS / TENERIFE / LAS CANADAS CALDERA / ENRAMADA UNIT / ATLANTIC OCEAN","","28.3","28.3","-16.6","-16.6","SUBAERIAL","","","s 001 [19991]","PHONOLITE [19991]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19991] ","62.45","0.8","","17.34","","","","2.86","0.78","0.63","0.16","","5.35","7.58","0.17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","27","3","","","4","6","20","83","","","","","","64","10","30","320","86","","","","","","","","","","","","","351","75","","","","","","","","","","","","","","","","","","","","","","","","","","4","0","","","","","","","","","","","","","","","","","","","","","","","","","1006931",
"[19991]","OCEAN ISLAND","CANARY ISLANDS / TENERIFE / LAS CANADAS CALDERA / ENRAMADA UNIT / ATLANTIC OCEAN","","28.3","28.3","-16.6","-16.6","SUBAERIAL","","","s 002 [19991]","PHONOLITE [19991]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19991] ","62.87","0.82","","17.38","","","","2.96","1.49","0.6","0.17","","5.43","7.62","0.17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","32","3","","","4","8","6","92","","","","","","71","11","35","371","98","","","","","","","","","","","","","222","85","","","","","","","","","","","","","","14","","","","","","","","","","","","8","1","","","","","","","","","","","","","","","","","","","","","","","","","1006932",
"[19991]","OCEAN ISLAND","CANARY ISLANDS / TENERIFE / LAS CANADAS CALDERA / ENRAMADA UNIT / ATLANTIC OCEAN","","28.3","28.3","-16.6","-16.6","SUBAERIAL","","","s 007 [19991]","PHONOLITE [19991]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19991] ","63.58","0.82","","17.73","","","","2.9","0.8","0.58","0.16","","5.37","7.78","0.17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","32","1","","","2","5","1","87","","","","","","68","9","32","335","90","","","","","","","","","","","","","388","83","","","","","","","","","","","","","","12","","","","","","","","","","","","8","0","","","","","","","","","","","","","","","","","","","","","","","","","1006933",
"[19991]","OCEAN ISLAND","CANARY ISLANDS / TENERIFE / LAS CANADAS CALDERA / ADEJE UNIT / ATLANTIC OCEAN","","28.3","28.3","-16.6","-16.6","SUBAERIAL","","","s 009 [19991]","PHONOLITE [19991]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19991] ","62","0.92","","17.96","","","","3.33","1.57","0.98","0.18","","4.19","7.95","0.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","29","0","","","4","16","18","105","","","","","","71","239","37","446","108","","","","","","","","","","","","","1558","80","","","","","","","","","","","","","","","","","","","","","","","","","","9","1","","","","","","","","","","","","","","","","","","","","","","","","","1006934",
