"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20286]","OCEAN ISLAND","CAPE VERDE ISLANDS / BRAVA / ATLANTIC OCEAN","","14.83","14.83","-24.68","-24.68","SUBAERIAL","","","s B 79 [20286]","CLINOPYROXENITE [20286]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20286] ","39.896","4.188","","7.524","","","","11.93","19.455","10.662","0.169","","0.334","1.178","0.163","","","","","1.41","","0.096","0","","","","","0","","","","","","","","","","","","","","","","","","2.16752323323841","","","","","","","","","","","","","51.9950438279368","","280.762716786364","0","","","34.6724531191608","24.2636362681909","8.52518999837551","60.992337478633","","","","","","3.93172798019113","354.861421870327","17.4793502578749","316.697623204498","13.568835212584","1.30533089598674","","","","","","","","","","","6.23256838585369E-02","135.715019902084","14.5840417244032","33.5284368133655","4.74833192605972","23.56718334095","6.06451382282332","1.88577979044826","5.51592710848709","0.727543482351838","4.16347400262034","0.703342222293935","1.47323341374523","0.154053476774797","1.41436743136216","0.167405155970013","11.3715358181414","0.903588366529499","0","","","","","","","","0.333711591259684","","0.363733675402924","0.234168843029138","","","","","","","","","","","","","","","","","","","","","","","","","1043017",
"[20286]","OCEAN ISLAND","CAPE VERDE ISLANDS / BRAVA / ATLANTIC OCEAN","","14.83","14.83","-24.68","-24.68","SUBAERIAL","","","s B 80 [20286]","CLINOPYROXENITE [20286]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20286] ","37.132","5.294","","7.584","","","","17.74","16.549","10.224","0.206","","0.363","1.03","0.141","","","","","1.316","","0.198","0","","","","","0.193","","","","","","","","","","","","","","","","","","3.99715572385903","","","","","","","","","","","","","40.7339594185139","","372.745118156135","0","","","39.4762957002673","31.596759874606","64.3727676612443","62.7344896260693","","","","","","3.21238382525398","341.656069813541","16.6869231207345","281.494383296802","18.8078916838539","0.97740334413408","","","","","","","","","","","0.053678390820743","130.504153921694","15.0973449509673","42.3210685654508","6.45393841271757","31.6176161030367","7.2149218426514","2.00569199857923","8.01426434915961","0.762579432895402","4.48733251709404","0.617654740933136","1.81629462311435","0.097568188841471","1.00044037125919","9.83877221162544E-02","9.99613764797482","1.3132127532314","0.765483528582726","","","","","","","","0","","0.772592812237982","6.96007708230214E-02","","","","","","","","","","","","","","","","","","","","","","","","","1043018",
"[20286]","OCEAN ISLAND","CAPE VERDE ISLANDS / BRAVA / ATLANTIC OCEAN","","14.83","14.83","-24.68","-24.68","SUBAERIAL","","","s B 76 [20286]","CLINOPYROXENITE [20286]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20286] ","37.439","3.286","","10.426","","","","11.22","17.614","7.524","0.161","","0.667","4.106","1.47","","","","","0.908686370826742","","0.132","0.006","","","","","1.24","","","","","","","","","","","","","","","","","","17.5655752149864","","","","","","","","","","","","","2.77509160028778","","318.409324077615","31.8878760241041","","","9.11359637555452","0","6.52783250315989","401.46387047626","","","","","","85.04587667788","7451.54489871298","87.0642981911754","2288.20494944285","261.35977433819","4.23090313289966","","","","","","","","","","","5.91997576040725","5011.35931438676","286.886346416599","441.170727159208","40.1796719883397","131.526970457901","18.1379017100101","5.92772525782326","16.3823014917281","2.44262941484463","12.5286096211824","2.56337986676701","7.95718617133869","1.26420210754732","7.8198922834743","1.04743762754928","29.4434894631533","3.11489604145","1.76993268979933","","","","","","","","36.6036234860454","","28.6119520880839","17.3865989676994","","","","","","","","","","","","","","","","","","","","","","","","","1043019",
"[20286]","OCEAN ISLAND","CAPE VERDE ISLANDS / BRAVA / ATLANTIC OCEAN","","14.83","14.83","-24.68","-24.68","SUBAERIAL","","","s X15-16 [20286]","CLINOPYROXENITE [20286]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20286] ","38.274","5.049","","7.957","","","","14.96","18.477","10.819","0.161","","0.394","1.117","0.071","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.10523666666667","","","","","","","","","","","","","30.08918831277","","170.54363617082","4.24883333333333","","","23.7165766444442","17.4635385308072","6.97387901217247","33.7797487602587","","","","","","2.64274984211898","210.717428815425","9.66146177446906","149.308223310874","8.17973014572792","2.01561338363772","","","","","","","","","","","1.63733333333333E-02","59.5861893529179","12.5398247615995","30.4011541450314","4.27533276583015","19.8466694893222","4.47369464318635","1.23363659324619","3.7285990213046","0.49195448235616","2.55231749529278","0.408065521852243","1.02123708372046","7.64042088243857E-02","0.650694230606265","0.101037165665846","5.60790592794786","0.744406000031987","0.193100561067722","","","","","","","","0.469655271415804","","0.691969370753265","0.167969416111461","","","","","","","","","","","","","","","","","","","","","","","","","1043020",
"[20286]","OCEAN ISLAND","CAPE VERDE ISLANDS / BRAVA / ATLANTIC OCEAN","","14.83","14.83","-24.68","-24.68","SUBAERIAL","","","s X15-15 [20286]","CLINOPYROXENITE [20286]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20286] ","38.54","4.876","","7.771","","","","14.78","18.176","10.782","0.171","","0.454","1.221","0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.14038406324713","","","","","","","","","","","","","33.6546398711538","","177.477801207373","4.68403333333333","","","24.0094120345117","23.2501072784046","6.07306931045336","39.0912464939919","","","","","","2.73073168740696","235.400380629419","10.3029543173155","151.11501090234","14.0013284733077","1.00414882673797","","","","","","","","","","","0.0125221","85.1546159702731","17.5473034354834","37.7781513913312","4.88448694950213","21.7422117651462","4.43962800630507","1.36791982762596","4.04172798980598","0.529475217937024","2.50519893319344","0.433138545061858","1.03598144484197","9.29513107284535E-02","0.71803621425107","0.108346093998091","5.31626391678585","0.998193853546274","0.185742950951291","","","","","","","","0.528998755726194","","0.852246194930939","0.296619444828982","","","","","","","","","","","","","","","","","","","","","","","","","1043021",
"[20286]","OCEAN ISLAND","CAPE VERDE ISLANDS / BRAVA / ATLANTIC OCEAN","","14.83","14.83","-24.68","-24.68","SUBAERIAL","","","s B 42 [20286]","NOT GIVEN [20286]","","","","","","","","PORPHYRIC [20286] ","PLUTONIC ROCK","","","","","WHOLE_ROCK [20286] ","36.519","4.56","","11.257","","","","13.32","13.342","9.287","0.147","","1.61","2.381","0.359","","","","","3.94619040879194","","0.188","0","","","","","0.195","","","","","","","","","","","","","","","","","","5.28278115966852","","","","","","","","","","","","","33.3482826771608","","399.430197040507","261.433781224532","","","59.7685150963215","117.858661220867","93.3713024386922","77.5205220130796","","","","","","48.8796025000971","772.461124908159","16.1844004104182","189.853027526752","48.0435741579358","0.99385801892083","","","","","","","","","","","0.575023878209238","453.500719025458","26.3827957817294","58.4797352729572","7.36938896311875","33.0388734452209","5.99817194431747","1.91856449869375","5.7806214987941","0.655320486307722","3.84840477347128","0.646214121535635","1.45442619031715","0.167092574408778","1.14189700742376","0.138035345386993","4.84288990007987","2.82904146293018","0.635732950134935","","","","","","","","1.47978778644748","","2.17731701829106","0.648879403851377","","","","","","","","","","","","","","","","","","","","","","","","","1043022",
"[20286]","OCEAN ISLAND","CAPE VERDE ISLANDS / BRAVA / ATLANTIC OCEAN","","14.83","14.83","-24.68","-24.68","SUBAERIAL","","","s B 43 [20286]","NOT GIVEN [20286]","","","","","","","","PORPHYRIC [20286] ","PLUTONIC ROCK","","","","","WHOLE_ROCK [20286] ","36.703","4.683","","11.057","","","","13.33","13.567","9.634","0.133","","1.566","2.111","0.315","","","","","5.035","","0.174","0","","","","","0.071","","","","","","","","","","","","","","","","","","4.46984126159241","","","","","","","","","","","","","38.7662546656069","","404.92444526884","164.823071600962","","","57.535896200434","116.599492885382","75.6434201171904","30.9693070338966","","","","","","42.2472182845048","679.74244220643","16.7817677245524","185.707718886899","38.8328226382591","1.11802514794193","","","","","","","","","","","0.474476844672479","500.631562024792","22.7769688821171","51.8220119037096","6.78248641144285","31.099972008777","6.92010461206208","1.8944436806907","5.96730995514596","0.691064257118287","4.10791184938166","0.704705386997213","1.48090487008637","7.74169605969364E-02","0.987899688661873","8.30955266223642E-02","5.24056283193672","2.31669051363109","0.265262985475941","","","","","","","","0","","1.81652217494942","0.251264448976549","","","","","","","","","","","","","","","","","","","","","","","","","1043023",
"[20286]","OCEAN ISLAND","CAPE VERDE ISLANDS / BRAVA / ATLANTIC OCEAN","","14.83","14.83","-24.68","-24.68","SUBAERIAL","","","s X15-14 [20286]","NOT GIVEN [20286]","","","","","","","","PORPHYRIC [20286] ","PLUTONIC ROCK","","","","","WHOLE_ROCK [20286] ","37.514","4.227","","10.246","","","","13.39","13.849","9.563","0.177","","1.053","1.936","0.531","","","","","","","0.018","","","","","","0.419","","","","","","","","","","","","","","","","","","1.3036","","","","","","","","","","","","","18.5062638351839","","211.476399974494","73.2217221516301","","","28.8798282334139","60.4535757750858","34.7917490143969","46.5704045407272","","","","","","12.7765926578594","556.809998614014","14.0437390571069","119.000956930614","26.086701869","2.5363166609502","","","","","","","","","","","0.316538351428435","205.505954274832","19.8431890523578","43.9023228900966","5.60079379217493","24.0085575693303","4.87256912481725","1.45345725691093","4.27975034395333","0.570179761274174","3.03300081898023","0.537755664506668","1.38056378888113","0.136960953624874","1.01993051334925","0.14189828232012","3.18676136084359","1.57766069616564","0.267713799586878","","","","","","","","1.65965154088134","","1.37289432154152","0.414260288786423","","","","","","","","","","","","","","","","","","","","","","","","","1043024",
"[20286]","OCEAN ISLAND","CAPE VERDE ISLANDS / BRAVA / ATLANTIC OCEAN","","14.83","14.83","-24.68","-24.68","SUBAERIAL","","","s X15-11 [20286]","NOT GIVEN [20286]","","","","","","","","PORPHYRIC [20286] ","PLUTONIC ROCK","","","","","WHOLE_ROCK [20286] ","39.059","3.897","","12.284","","","","11.23","11.621","11.347","0.172","","2.838","2.958","0.608","","","","","","","0.113","","","","","","0.187","","","","","","","","","","","","","","","","","","1.83130168937815","","","","","","","","","","","","","16.0868031567934","","184.997095887979","125.940254659241","","","24.9343947001719","72.5135333922847","19.9208647454884","32.6886253213138","","","","","","27.6535552499187","623.62463756996","11.2584787046074","107.616716024809","27.9145271644469","2.48764691229532","","","","","","","","","","","0.210236013569355","474.247692650475","22.0289479079762","45.1941422590567","5.61066180863476","23.014280165952","4.37344247496177","1.25147372238825","3.80524662000997","0.487432679891777","2.53710755518478","0.436762665393755","1.07898369840399","9.98615254408352E-02","0.811932495340753","0.105415761066489","2.85942850647514","1.65687776826316","8.79074265834602E-02","","","","","","","","1.79063468708799","","1.56824240649799","0.432008080969119","","","","","","","","","","","","","","","","","","","","","","","","","1043025",
"[20286]","OCEAN ISLAND","CAPE VERDE ISLANDS / BRAVA / ATLANTIC OCEAN","","14.83","14.83","-24.68","-24.68","SUBAERIAL","","","s B 29 [20286]","IJOLITE [20286]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [20286] ","40.258","2.465","","15.18","","","","8.61","10.561","3.897","0.29","","1.761","6.526","1.044","","","","","2.33400491216385","","0.148","0.024","","","","","0.999","","","","","","","","","","","","","","","","","","6.04045329804661","","","","","","","","","","","","","3.9015487811561","","197.624384863151","10.9945044163013","","","12.4047601710791","8.5001173314948","5.35559415849597","118.008147318325","","","","","","52.3736011257467","4357.00145406331","44.5181401423174","468.020376429328","118.162227822262","2.84502330211271","","","","","","","","","","","2.80289189899987","1973.90163055326","119.335717686586","217.068188098035","23.7628624329613","91.2630020536814","15.1692431391981","4.26725383496999","13.1035675744796","1.5065134876801","8.94779793386072","1.54906202953746","4.41063927709027","0.516538809295968","3.12274700944412","0.467338599674925","9.46164041145889","6.44530941017452","0.712211122137396","","","","","","","","6.79252710103984","","7.60986515898077","2.73573877523572","","","","","","","","","","","","","","","","","","","","","","","","","1043026",
