"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[1701]","OCEANIC PLATEAU","CARIBBEAN-COLOMBIAN PLATEAU / COLOMBIAN BASIN / SITE 151 / ATLANTIC OCEAN","","15.017","15.017","-73.4097","-73.7097","SUBAQUATIC","","","s 15-1-2_LEACHED2 [1701]","BASALT [1701]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [1701] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.703567","","","","","","","","","","","","","","","","","","","","","112213",
"[1701]","OCEANIC PLATEAU","CARIBBEAN-COLOMBIAN PLATEAU / COLOMBIAN BASIN / SITE 152 / ATLANTIC OCEAN","","15.8787","15.8787","-74.6078","-74.6078","SUBAQUATIC","","","s LEG15-2-1_LEACHED2 [1701]","BASALT [1701]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [1701] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.703859","","","","","","","","","","","","","","","","","","","","","112214",
"[1701]","OCEANIC PLATEAU","CARIBBEAN-COLOMBIAN PLATEAU / COLOMBIAN BASIN / SITE 151 / ATLANTIC OCEAN","","15.017","15.017","-73.4097","-73.7097","SUBAQUATIC","","","s 15-1-2_UNLEACHED [1701]","BASALT [1701]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [1701] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.703876","","","","","","","","","","","","","","","","","","","","","112216",
"[2918][6567]","OCEANIC PLATEAU","CARIBBEAN-COLOMBIAN PLATEAU / COSTA RICA / NICOYA COMPLEX / PACIFIC OCEAN","PLAYA POTRERO, MATAPALO","10.5","11.5","-85","-86","SUBAERIAL","","","s AN2 [2918]","GABBRO [2918]","","90000000 [2918]","","CRETACEOUS [2918]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [2918] ","49.29","2.06","","15.96","","9.76","","","11.41","7.04","0.17","","0.23","3.16","0.08","1.88","","","","0.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","273","129","","","","57","","","","","","","","3.35","211","44.8","125","7.23","","","","","","","","","","","","","83","7.12","17.8","2.7","13.36","4.38","1.58","5.6","0.99","6.26","1.31","3.77","0.55","3.6","0.54","2.22","0.49","","","","","","","","","0.112","","0.456","0.142","0.513015","","","0.7033","","19.903","","15.623","","39.673","","","","","","","","0.283104","","","","","","","11767-AN 2",
"[2918][6567]","OCEANIC PLATEAU","CARIBBEAN-COLOMBIAN PLATEAU / COSTA RICA / NICOYA COMPLEX / PACIFIC OCEAN","PUNTA CIRIAL","10.5","11.5","-85","-86","SUBAERIAL","","","s AN14 [2918]","GRANITE, PLAGIOCLASE [2918]","","90000000 [2918]","","CRETACEOUS [2918]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [2918] ","70.47","0.54","","11.16","","7.07","","","4.21","0.36","0.13","","0.25","5.46","0.11","0.84","","","","0.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","0","","","","","","","","3.78","120","143.8","561","21.15","","","","","","","","","","","","","84","16.77","47.26","7.53","38.07","12.59","3.63","15.89","2.95","19.58","4.2","12.72","1.97","14.42","2.28","1.36","1.45","","","","","","","","","0.218","","0.993","0.232","0.513021","","","0.704264","","19.853","","15.588","","39.847","","","","","","","","0.283351","","","","","","","11769-AN 14",
"[2918][6567]","OCEANIC PLATEAU","CARIBBEAN-COLOMBIAN PLATEAU / COSTA RICA / NICOYA COMPLEX / PACIFIC OCEAN","NE ISLA LOROS, MATAPALO/ PUNTA GORDA","10.5","11.5","-85","-86","SUBAERIAL","","","s AN18 [2918]","BASALT [2918]","","90000000 [2918]","","CRETACEOUS [2918]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [2918] ","48.73","0.76","","13.22","","9.73","","","12.92","10.96","0.16","","0.13","1.65","0.05","2.01","","","","0.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","274","890","","","","213","","","","","","","","3.41","71","16.6","38","2.09","","","","","","","","","","","","","35","1.81","4.72","0.74","3.99","1.43","0.55","1.95","0.36","2.39","0.53","1.57","0.23","1.5","0.23","0.93","0.14","","","","","","","","","0.217","","0.131","0.043","0.513022","","","0.703558","","18.993","","15.564","","38.655","","","","","","","","0.283126","","","","","","","11770-AN 18",
"[2918][6567]","OCEANIC PLATEAU","CARIBBEAN-COLOMBIAN PLATEAU / COSTA RICA / NICOYA COMPLEX / PACIFIC OCEAN","CERRO AZUL, PUERTO CARILLO","10.5","11.5","-85","-86","SUBAERIAL","","","s AN46 [2918]","BASALT [2918]","","90000000 [2918]","","CRETACEOUS [2918]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [2918] ","48.89","1.8","","15.01","","11.77","","","10.12","6.87","0.2","","0.13","3.25","0.14","1.02","","","","0.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","424.5","144","","","","101","","","","","","","","1.44","109","44.8","99.5","5.81","","","","","","","","","","","","","36","6.28","17.09","2.69","13.5","4.54","1.61","5.8","1.05","6.64","1.4","4.05","0.58","3.87","0.56","3.36","0.39","","","","","","","","","0.376","","0.414","0.18","0.51302","","","0.70328","","19.15","","15.553","","38.682","","","","","","","","0.283127","","","","","","","11773-AN 46",
"[2918][6567]","OCEANIC PLATEAU","CARIBBEAN-COLOMBIAN PLATEAU / COSTA RICA / NICOYA COMPLEX / PACIFIC OCEAN","1.6 KM SSW MONTEZUMA, CABUYA","10.5","11.5","-85","-86","SUBAERIAL","","","s AN72 [2918]","BASALT [2918]","","90000000 [2918]","","CRETACEOUS [2918]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [2918] ","49.46","0.96","","14.31","","10.76","","","11.52","8.23","0.19","","0.31","2.29","0.07","1.8","","","","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","302","276","","","","125","","","","","","","","3.82","126","20","54","3.29","","","","","","","","","","","","","16","2.48","6.71","1.07","5.44","1.87","0.71","2.57","0.47","3.12","0.68","2.07","0.29","1.97","0.3","1.39","0.23","","","","","","","","","0.3","","0.233","0.081","0.512999","","","0.705779","","19.123","","15.566","","38.83","","","","","","","","0.283117","","","","","","","11779-AN 72",
"[2918][6567]","OCEANIC PLATEAU","CARIBBEAN-COLOMBIAN PLATEAU / COSTA RICA / NICOYA COMPLEX / PACIFIC OCEAN","0.3 KM NW PIEDRA AMARILLA, RIO ARIO","10.5","11.5","-85","-86","SUBAERIAL","","","s AN81 [2918]","BASALT [2918]","","90000000 [2918]","","CRETACEOUS [2918]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [2918] ","48.89","0.96","","13.95","","11.42","","","11.93","8.96","0.22","","0.16","2.14","0.07","1.38","","","","0.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","314.5","291","","","","132","","","","","","","","1.4","95","21.1","52.5","2.88","","","","","","","","","","","","","7","2.44","6.41","1.01","5.2","1.86","0.7","2.54","0.46","3.12","0.67","2.01","0.29","1.97","0.3","1.23","0.2","","","","","","","","","0.213","","0.199","0.068","0.51302","","","0.704906","","19.12","","15.557","","38.815","","","","","","","","0.283128","","","","","","","11783-AN 81",
"[2918][6567]","OCEANIC PLATEAU","CARIBBEAN-COLOMBIAN PLATEAU / COSTA RICA / NICOYA COMPLEX / PACIFIC OCEAN","1.4 KM WEST TAMBOR, RIO ARIO","10.5","11.5","-85","-86","SUBAERIAL","","","s AN86 [2918]","BASALT [2918]","","90000000 [2918]","","CRETACEOUS [2918]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [2918] ","49.48","2.42","","13.12","","15.27","","","8.86","5.63","0.23","","0.14","2.68","0.22","1.35","","","","0.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","544","76","","","","68","","","","","","","","1.55","102","55.6","146.5","9.06","","","","","","","","","","","","","35","6.78","19.31","3","15.16","5.12","1.72","6.65","1.18","7.7","1.66","4.96","0.72","4.82","0.73","3.95","0.62","","","","","","","","","0.705","","0.635","0.196","0.513012","","","0.703484","","19.213","","15.564","","38.787","","","","","","","","0.283136","","","","","","","11793-AN 86",
