"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[17972]","INTRAPLATE VOLCANICS","CARPATHIAN BELT AND PANNONIAN BASIN / EASTERN ALPINE-WESTERN CARPATHIAN-NORTHERN PANNONIAN (ALCAPA) TERRAIN / BAKONY-BALATON HIGHLANDS / BONDOROHEGY","FÜZES-TO SCORIA CONE","47","47","17.5","17.5","SUBAERIAL","","","s FT-9 [17972]","BASALT, ALKALINE [17972]","2600000 [17972]","2600000 [17972]","","NEOGENE [17972]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [17972] ","45.4","1.67","","13.6","","","","8.54","8.01","13.41","0.16","","1.03","3.81","0.72","","","","","","","","","","","","","","","","2.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","","154","595","","","45.8","513","","","","","","","","54.2","864.3","23.3","230.1","73.1","","","","","","","","","","","","1.9","679","45.2","85.4","10.1","39.2","6.65","2.01","5.47","0.67","3.96","0.76","1.95","","1.71","0.27","5.3","4.4","","","","","","","","","1","","7.2","1.9","","","","","","","","","","","","","","","","","","","","","","","","","1013374",
"[17972]","INTRAPLATE VOLCANICS","CARPATHIAN BELT AND PANNONIAN BASIN / EASTERN ALPINE-WESTERN CARPATHIAN-NORTHERN PANNONIAN (ALCAPA) TERRAIN / BAKONY-BALATON HIGHLANDS / BONDOROHEGY","FÜZES-TO SCORIA CONE","47","47","17.5","17.5","SUBAERIAL","","","s FT-10 [17972]","BASALT, ALKALINE [17972]","2600000 [17972]","2600000 [17972]","","NEOGENE [17972]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [17972] ","43.84","1.59","","13.13","","","","8.47","8.89","14.21","0.16","","1.87","3.46","0.67","","","","","","","","","","","","","","","","2.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","","152","657","","","47.1","564","","","","","","","","42.2","819.4","20.9","222.2","71.7","","","","","","","","","","","","0.8","697","44.8","82.4","9.59","40.7","6.41","1.88","5.15","0.65","4.26","0.74","1.94","","1.63","0.25","5.4","4.1","","","","","","","","","1.1","","6.8","2.2","","","","","","","","","","","","","","","","","","","","","","","","","1013375",
"[20124]","INTRAPLATE VOLCANICS","CARPATHIAN BELT AND PANNONIAN BASIN / EASTERN ALPINE-WESTERN CARPATHIAN-NORTHERN PANNONIAN (ALCAPA) TERRAIN / PIENINY MOUNTAINS","","49.4539","49.4539","20.3197","20.3197","SUBAERIAL","","","s PBA 1/10 [20124]","ANDESITE, BASALTIC [20124]","","","","MIOCENE [20124]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20124] ","55.21","0.74","","18.1","","","","6.38","7.75","3.02","0.14","","1.73","3.69","0.25","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","","157","","","","15.7","3.3","37.9","56","18.5","","","","","55.4","740.2","17.6","131.2","12.2","0.4","","","","","","","","","","","1.4","659","28.4","49.5","5.72","21.022","4.064","1.21","3.77","0.57","3.38","0.66","1.98","0.28","1.73","0.271","3.205","0.7","3","","","","","","","","4.3","","6","1.1","0.51224","","","","","","","","","","","","","","","","","0.282462","","","","","","","1022203",
"[20124]","INTRAPLATE VOLCANICS","CARPATHIAN BELT AND PANNONIAN BASIN / EASTERN ALPINE-WESTERN CARPATHIAN-NORTHERN PANNONIAN (ALCAPA) TERRAIN / PIENINY MOUNTAINS","","49.4558","49.4558","20.3189","20.3189","SUBAERIAL","","","s PBA 2/10 [20124]","ANDESITE, BASALTIC [20124]","","","","MIOCENE [20124]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20124] ","52.98","0.84","","17.8","","","","6.89","8.44","4.03","0.14","","1.55","3.81","0.23","","","","","","","","","","","","","","","","2.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","","213","","","","21.8","6.2","67.9","51","19","","","","","46.2","692.9","17.4","112.8","11.7","0.8","","","","","","","","","","","2.4","621","25.7","44.4","5.23","18.764","3.812","1.13","3.74","0.56","3.12","0.6","1.81","0.26","1.68","0.246","2.128","0.6","4.6","","","","","","","","3.1","","5","1.3","0.512252","","","","","","","","","","","","","","","","","0.282506","","","","","","","1022204",
"[20124]","INTRAPLATE VOLCANICS","CARPATHIAN BELT AND PANNONIAN BASIN / EASTERN ALPINE-WESTERN CARPATHIAN-NORTHERN PANNONIAN (ALCAPA) TERRAIN / PIENINY MOUNTAINS","","49.4156","49.4156","20.5125","20.5125","SUBAERIAL","","","s PA 3/10 [20124]","ANDESITE [20124]","","","","MIOCENE [20124]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20124] ","58.1","0.5","","18.2","","","","4.12","6.96","1.02","0.13","","1.4","4.04","0.19","","","","","","","","","","","","","","","","4.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","49","","","","6.9","1.9","6.8","73","18.5","","","","","57.1","1017.9","13.4","147.7","13.2","0.4","","","","","","","","","","","2.5","743","28.4","49.2","5.45","20.499","3.696","1.25","3.15","0.45","2.6","0.47","1.33","0.2","1.35","0.162","1.171","0.7","5.5","","","","","","","","2.9","","5.3","1.7","0.512101","","","","","","","","","","","","","","","","","0.282255","","","","","","","1022205",
"[20124]","INTRAPLATE VOLCANICS","CARPATHIAN BELT AND PANNONIAN BASIN / EASTERN ALPINE-WESTERN CARPATHIAN-NORTHERN PANNONIAN (ALCAPA) TERRAIN / PIENINY MOUNTAINS","","49.4161","49.4161","20.5125","20.5125","SUBAERIAL","","","s PA 4/10 [20124]","ANDESITE [20124]","","","","MIOCENE [20124]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20124] ","59.47","0.55","","18.27","","","","4.72","6.62","1.18","0.14","","1.44","4.19","0.17","","","","","","","","","","","","","","","","2.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","52","","","","6.9","1.4","4.9","42","19.9","","","","","53.4","934.5","14.8","154.7","13.7","0.1","","","","","","","","","","","1.1","830","32.3","57.6","6.39","23.97","4.279","1.31","3.43","0.51","2.8","0.49","1.44","0.21","1.46","0.176","1.446","0.7","5","","","","","","","","0.9","","5.8","1.8","0.512108","","","","","","","","","","","","","","","","","0.282249","","","","","","","1022206",
"[20124]","INTRAPLATE VOLCANICS","CARPATHIAN BELT AND PANNONIAN BASIN / EASTERN ALPINE-WESTERN CARPATHIAN-NORTHERN PANNONIAN (ALCAPA) TERRAIN / PIENINY MOUNTAINS","","49.4017","49.4017","20.5422","20.5422","SUBAERIAL","","","s PA 5/10 [20124]","ANDESITE [20124]","","","","MIOCENE [20124]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20124] ","60.84","0.5","","19.08","","","","4.27","5.74","0.9","0.13","","1.45","4.34","0.18","","","","","","","","","","","","","","","","1.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","43","","","","6.3","1.6","4.9","62","20","","","","","55.4","999.5","12.8","156.5","12.5","0.1","","","","","","","","","","","1.4","944","33.9","58.2","6.24","22.566","3.861","1.24","3.17","0.45","2.42","0.47","1.28","0.19","1.23","0.153","1.314","0.7","4.7","","","","","","","","1.2","","5.4","1.9","0.512088","","","","","","","","","","","","","","","","","0.282228","","","","","","","1022207",
"[20124]","INTRAPLATE VOLCANICS","CARPATHIAN BELT AND PANNONIAN BASIN / EASTERN ALPINE-WESTERN CARPATHIAN-NORTHERN PANNONIAN (ALCAPA) TERRAIN / PIENINY MOUNTAINS","","49.4458","49.4458","20.4375","20.4375","SUBAERIAL","","","s PBA 6/10 [20124]","ANDESITE [20124]","","","","MIOCENE [20124]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20124] ","50.95","0.78","","19.22","","","","7","9.99","3.21","0.16","","1.41","3.11","0.3","","","","","","","","","","","","","","","","2.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","","212","","","","20.1","2.5","58.2","63","19","","","","","37.7","877.5","17.6","92.3","5.9","0.1","","","","","","","","","","","1.2","507","18","34.6","4.18","17.414","3.883","1.15","3.71","0.57","3.16","0.64","1.87","0.26","1.7","0.246","2.504","0.4","1.9","","","","","","","","2.6","","3.9","1.1","0.512369","","","","","","","","","","","","","","","","","0.282633","","","","","","","1022208",
"[20124]","INTRAPLATE VOLCANICS","CARPATHIAN BELT AND PANNONIAN BASIN / EASTERN ALPINE-WESTERN CARPATHIAN-NORTHERN PANNONIAN (ALCAPA) TERRAIN / PIENINY MOUNTAINS","","49.4328","49.4328","20.4756","20.4756","SUBAERIAL","","","s PA 7/10 [20124]","ANDESITE [20124]","","","","MIOCENE [20124]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20124] ","58.82","0.51","","18.33","","","","4.48","5.92","1.47","0.11","","1.5","4.05","0.21","","","","","","","","","","","","","","","","3.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","71","","","","8.7","4.8","21","64","18.9","","","","","54.1","975.3","12.8","161.8","11.1","0.1","","","","","","","","","","","2.5","779","28.3","49","5.4","19.712","3.395","1.07","2.78","0.43","2.25","0.42","1.23","0.19","1.37","0.154","1.748","0.5","4.9","","","","","","","","1.7","","5.2","1.9","0.512105","","","","","","","","","","","","","","","","","0.282253","","","","","","","1022209",
"[20124]","INTRAPLATE VOLCANICS","CARPATHIAN BELT AND PANNONIAN BASIN / EASTERN ALPINE-WESTERN CARPATHIAN-NORTHERN PANNONIAN (ALCAPA) TERRAIN / PIENINY MOUNTAINS","","49.4156","49.4156","20.5125","20.5125","SUBAERIAL","","","s PA 8/10 [20124]","ANDESITE [20124]","","","","MIOCENE [20124]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20124] ","59.45","0.53","","18.36","","","","4.51","6.51","1.16","0.14","","1.44","4.24","0.18","","","","","","","","","","","","","","","","2.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","49","","","","6.7","1.7","5.9","42","20.8","","","","","54.3","952.6","14.2","162.5","13.3","0.2","","","","","","","","","","","1.3","886","33.2","56.8","6.32","24.322","4.299","1.3","3.6","0.49","2.77","0.52","1.54","0.2","1.48","0.173","1.433","0.8","5.8","","","","","","","","1.2","","5.8","2","0.512098","","","","","","","","","","","","","","","","","0.282256","","","","","","","1022210",
