"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[4684]","CONVERGENT MARGIN","CASCADES / HIGH CASCADES / CALIFORNIA / MOUNT SHASTA / PACIFIC OCEAN","STRATOCONE LAVA, SARGENTS RIDGE","41.4216","41.4216","-122.346","-122.346","SUBAERIAL","","","s 97-3 [4684]","ANDESITE [4684]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [4684] ","59.27","0.79","","15.9","","4.85","","","6.7","4.84","0.08","","1.79","3.69","0.41","","","","","","","","","","","","","","","","1.39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.51285","","","0.70357","","","","","","","","","","","","","","","","","","","","","100003",
"[4684]","CONVERGENT MARGIN","CASCADES / HIGH CASCADES / CALIFORNIA / MOUNT SHASTA / PACIFIC OCEAN","HOTLUM","41.4065","41.4065","-122.1368","-122.1368","SUBAERIAL","","","s 83-44 [4684]","ANDESITE [4684]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [4684] ","62.26","0.61","","16.93","","1.92","2.64","","5.99","3.49","0.08","","1.23","4.6","0.16","","","","","","","","","","","","","","","","0.55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","104","68","","","","40","","73","","","","","","26","714","11","110","","","","","","","","","","","","","","354","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.512881","","","0.703245","","","","","","","","","","","","","","","","","","","","","100006",
"[4684]","CONVERGENT MARGIN","CASCADES / HIGH CASCADES / CALIFORNIA / MOUNT SHASTA / PACIFIC OCEAN","HOTLUM","41.419","41.419","-122.162","-122.162","SUBAERIAL","","","s 83-46 [4684]","ANDESITE [4684]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [4684] ","62.88","0.63","","17.25","","1.56","2.98","","5.61","2.84","0.09","","1.26","4.77","0.16","","","","","","","","","","","","","","","","0.44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82","33","","","","23","","73","","","","","","29","557","12","105","","","","","","","","","","","","","","385","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.51283","","","0.703681","","","","","","","","","","","","","","","","","","","","","100007",
"[4684]","CONVERGENT MARGIN","CASCADES / HIGH CASCADES / CALIFORNIA / MOUNT SHASTA / PACIFIC OCEAN","HOTLUM","41.4105","41.4105","-122.1918","-122.1918","SUBAERIAL","","","s 83-54 [4684]","DACITE [4684]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [4684] ","63.8","0.59","","16.14","","2.68","1.69","","5.31","3.11","0.08","","1.57","4.59","0.13","","","","","","","","","","","","","","","","0.77","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","116","67","","","30","18","19","58","","","","","","49","626","13","113","5","","","","","","","","","","","","3.6","398","12","24.8","3.16","11.8","2.47","0.84","2.39","0.36","2.11","0.42","1.17","0.18","1.22","0.19","3.11","","","","","","","","","","2.8","","3.76","1.71","0.512865","","","0.703327","","18.922","","15.588","","38.527","","","","","","","","","","","","","","","100008",
"[4684]","CONVERGENT MARGIN","CASCADES / HIGH CASCADES / CALIFORNIA / MOUNT SHASTA / PACIFIC OCEAN","HOTLUM","41.4106","41.4106","-122.1935","-122.1935","SUBAERIAL","","","s 83-55 [4684]","ANDESITE [4684]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [4684] ","62.44","0.63","","16.36","","2.11","2.58","","5.89","3.52","0.08","","1.41","4.32","0.14","","","","","","","","","","","","","","","","0.61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","103","63","","","","18","","72","","","","","","36","668","11","115","","","","","","","","","","","","","","392","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.512873","","","0.703281","","","","","","","","","","","","","","","","","","","","","100009",
"[4684]","CONVERGENT MARGIN","CASCADES / HIGH CASCADES / CALIFORNIA / MOUNT SHASTA / PACIFIC OCEAN","HOTLUM","41.4238","41.4238","-122.1736","-122.1736","SUBAERIAL","","","s 97-5 [4684]","ANDESITE [4684]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [4684] ","61.85","0.64","","16.94","","4.58","","","6.02","3.46","0.07","","1.24","4.14","0.23","","","","","","","","","","","","","","","","0.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.512878","","","0.703127","","","","","","","","","","","","","","","","","","","","","100010",
"[19246][18091]","CONVERGENT MARGIN","CASCADES / HIGH CASCADES / WASHINGTON / MOUNT BAKER / PACIFIC OCEAN","TARN PLATEAU, ABOUT 7 KM S OF MOUNT BAKER SUMMIT","48.7154","48.7154","-121.8465","-121.8465","SUBAERIAL","","","s 02-MB-5 [19246]","BASALT, CALC-ALKALINE [19246] / ANDESITE, BASALTIC [18091]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19246] ","53.37","0.92","","16.47","0.03","","","7.09","9.51","7.61","0.131","","0.87","2.91","0.19","","","","","","","","","","","","","","","","0.35","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.4137077348763","","181.1","214.1","","","","61.2","37","68.6","18","","","","","8.77069214960756","860.117795432724","17.8019595291973","103.974899785622","3.57131017750891","","","","","","","","","","","","0.191077384914889","334.988929511009","12.7117455149744","28.2628941430878","3.91255282185036","16.342548127883","3.65700178690798","1.16517591344912","3.56442542448578","0.560814256411411","3.44793108792946","0.700740869409626","1.82670250629521","0.28","1.66168231141138","0.259864366902644","2.88662328809483","0.23415503708586","","","","","","","","","3.45554510797865","","2.14678609504918","0.670617024946371","0.513001473121867","","","0.703109","","18.7975269490143","","15.5505184816616","","38.2494673126764","","","","","","","","0.283099807240762","","","","","","","100804-02-MB-5",
"[19246][18091]","CONVERGENT MARGIN","CASCADES / HIGH CASCADES / WASHINGTON / MOUNT BAKER / PACIFIC OCEAN","PARK BUTTE, 7 KM SSW OF MOUNT BAKER SUMMIT","48.7151","48.7151","-121.852","-121.852","SUBAERIAL","","","s 06-MB-82 [19246]","THOLEIITE, OLIVINE [19246] / BASALT [18091]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19246] ","50.05","1.04","","17.57","0.04","","","9.31","9.25","8.13","0.158","","0.42","3.23","0.15","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.6746180305727","","183.9","250.9","","","","70.8764150943396","18","79.7","17","","","","","4.95207231537909","502.266652843525","20.3914878237566","69.7977613379083","2.55869307886883","","","","","","","","","","","","5.10717318958646E-02","198.864068572447","7.64965882933102","17.4377125109363","2.51615780203527","11.3179097252289","2.90855204266465","1.14138981010858","3.38001285951014","0.591558985493206","3.84231704123324","0.806131372995724","2.18760867204163","0.33","1.97833853090067","0.327507874894361","1.88799805743033","0.161351878176916","","","","","","","","","1.54078459625498","","0.596637575851176","0.220451441163002","0.51298675687771","","","0.703156","","18.8347999672727","","15.5526481809359","","38.2716748488503","","","","","","","","","","","","","","","100805-06-MB-82",
"[19246][18091]","CONVERGENT MARGIN","CASCADES / HIGH CASCADES / WASHINGTON / MOUNT BAKER / PACIFIC OCEAN","HOGBACK CAMP, ABOUT 5 KM NNW OF MOUNT BAKER SUMMIT","48.7795","48.7795","-121.883","-121.883","SUBAERIAL","","","s 06-MB-97 [19246]","BASALT, CALC-ALKALINE [19246] / ANDESITE, BASALTIC [18091]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19246] ","54.44879","1.59693","","17.88034","","","","8.15","8.15886","3.73762","0.15412","","0.93657","4.23589","0.36878","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.2318892919934","","218.4","25.2","","","","13.0207547169811","42","91.7","19","","","","","11.5764241209653","712.18091811203","32.2207478012292","183.425767984204","7.30038471239193","","","","","","","","","","","","0.227729185214069","401.697715838869","18.6056556483759","43.8078093189478","6.02809645166096","25.2967611253039","5.99641520124054","1.92344974145763","6.07664008878723","1.02786535239752","6.23916272064048","1.29261275626448","3.48072264791717","0.507651892777853","3.09869616587554","0.495080902815574","4.59102136523572","0.462425216750811","","","","","","","","","3.68513163505093","","1.81718721572555","0.67462670427339","0.512993102895902","","","0.703173","","18.835563064992","","15.5528789819343","","38.2597321691409","","","","","","","","","","","","","","","100806-06-MB-97",
"[19246][18091]","CONVERGENT MARGIN","CASCADES / HIGH CASCADES / WASHINGTON / MOUNT BAKER / PACIFIC OCEAN","SULPHUR CREEK, 8 KM S OF SUMMIT OF MOUNT BAKER, SCHREIBERS MEADOW CINDER CONE","48.6604","48.6604","-121.7028","-121.7028","SUBAERIAL","","","s 07-MB-112 [19246]","BASALT, CALC-ALKALINE [19246] / ANDESITE, BASALTIC [18091]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19246] ","52.14","1.63","","17.73","0.01","","","8.64","8.25","5.49","0.161","","0.89","4.46","0.44","","","","","","","","","","","","","","","","-0.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.014721278975","","199.8","90.3","","","","39.5301886792453","34","83.4","18","","","","","9.99215189682776","563.35893781125","31.9579096818922","199.694842046826","7.39602097417585","","","","","","","","","","","","0.272572198069021","279.387507926944","16.1774947112345","38.6083169174417","5.30721590950256","23.0242263502109","5.68748400755486","1.92035356579935","5.93021114106095","0.997042125244049","6.26597035878252","1.25904832451872","3.40168364488521","0.49","3.03373389526012","0.486237218037955","4.2700884552668","0.476362135297504","","","","","","","","","3.25592147804051","","1.35326214575321","0.560466918128885","0.513033353345186","","","0.70324","","18.8385083172424","","15.5575305684898","","38.3076691032415","","","","","","","","0.283113906449255","","","","","","","100807-07-MB-112",
