"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20313]","COMPLEX VOLCANIC SETTINGS","CEARA-MIRIM DIKES","","-6","-6","-35","-39","SUBAERIAL","","","s DCO-125 [20313]","THOLEIITE, OLIVINE [20313]","","","","MESOZOIC [20313]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20313] ","47.5","1.54","","14.78","","","","11.67","9.55","10.23","0.18","","0.54","3.07","0.23","","","","","","","","","","","","","","","","0.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","197","400","","","64","220","76","81","","","","","","6.6","366","17.2","91","11.6","","","","","","","","","","","","0.1","146","9.9","23.5","3.01","13.5","3.45","1.33","3.9","0.61","","","","","","","2.8","0.7","","","","","","","","","0.6","","0.7","0.2","0.512646","","","0.70348","","18.406","","15.548","","38.16","","","","","","","","","","","","","","","1049774",
"[20313]","COMPLEX VOLCANIC SETTINGS","CEARA-MIRIM DIKES","","-6","-6","-35","-39","SUBAERIAL","","","s DCO-136 [20313]","THOLEIITE, OLIVINE [20313]","","","","MESOZOIC [20313]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20313] ","49.9","1.56","","14.83","","","","10.7","8.99","8.35","0.15","","0.57","3.36","0.21","","","","","","","","","","","","","","","","0.53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","162","230","","","138","154","74","66","","","","","","7.2","310","16.1","84","12.1","","","","","","","","","","","","0.2","95","8.5","17.3","2.37","11.4","3.12","1.21","3.44","0.58","","","","","","","2.7","1.2","","","","","","","","","0.3","","1","0.2","0.512837","","","0.70365","","19.1","","15.645","","38.873","","","","","","","","","","","","","","","1049775",
"[20313]","COMPLEX VOLCANIC SETTINGS","CEARA-MIRIM DIKES","","-6","-6","-35","-39","SUBAERIAL","","","s DCO-137 [20313]","THOLEIITE, OLIVINE [20313]","","","","MESOZOIC [20313]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20313] ","50.5","1.97","","14.82","","","","10.28","8.31","7.33","0.14","","0.76","3.65","0.26","","","","","","","","","","","","","","","","0.85","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","159","200","","","148","124","65","68","","","","","","10.6","354","15.8","100","15.1","","","","","","","","","","","","0.4","126","10.2","21.6","2.81","13.1","3.46","1.36","3.97","0.64","","","","","","","3.4","1.4","","","","","","","","","0.8","","1.4","0.5","0.512769","","","0.70377","","19.954","","15.821","","39.904","","","","","","","","","","","","","","","1049776",
"[20313]","COMPLEX VOLCANIC SETTINGS","CEARA-MIRIM DIKES","","-6","-6","-35","-39","SUBAERIAL","","","s DKTT-01 [20313]","THOLEIITE, OLIVINE [20313]","","","","MESOZOIC [20313]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20313] ","51.2","1.95","","14.95","","","","10.45","8.34","7.49","0.14","","0.74","3.63","0.24","","","","","","","","","","","","","","","","0.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","154","224","","","48","145","70","68","","","","","","11","382","16","98","14.8","","","","","","","","","","","","0.4","134","10.9","22.4","2.82","11.4","3.49","1.37","3.93","0.6","","","","","","","2.3","0.8","","","","","","","","","0.6","","1.4","0.4","0.512105","","","0.70388","","20.128","","15.846","","39.934","","","","","","","","","","","","","","","1049777",
"[20313]","COMPLEX VOLCANIC SETTINGS","CEARA-MIRIM DIKES","","-6","-6","-35","-39","SUBAERIAL","","","s DKLN-01 [20313]","THOLEIITE, OLIVINE [20313]","","","","MESOZOIC [20313]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20313] ","49.2","1.58","","14.94","","","","11","7.69","7.62","0.15","","0.73","3.52","0.22","","","","","","","","","","","","","","","","2.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","158","250","","","51","163","74","41","","","","","","10.1","396","17","94","8.5","","","","","","","","","","","","0.5","258","11.6","24.2","3.19","13.8","3.92","1.35","4.01","0.63","","","","","","","2.1","0.5","","","","","","","","","0.8","","1.3","0.2","","","","","","","","","","","","","","","","","","","","","","","","","1049778",
"[20313]","COMPLEX VOLCANIC SETTINGS","CEARA-MIRIM DIKES","","-6","-6","-35","-39","SUBAERIAL","","","s HD-34 [20313]","THOLEIITE, OLIVINE [20313]","","","","MESOZOIC [20313]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20313] ","48.7","2.21","","13.92","","","","9.92","7.67","7.66","0.14","","1.37","3.29","0.37","","","","","","","","","","","","","","","","3.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","146","340","","","44","97","29","66","","","","","","20.2","766","17.2","131","20.7","","","","","","","","","","","","0.5","261","13.4","32","4.34","20.6","5.72","1.93","5.35","0.76","","","","","","","3.2","1.3","","","","","","","","","3","","1.2","0.3","","","","","","","","","","","","","","","","","","","","","","","","","1049779",
"[20313]","COMPLEX VOLCANIC SETTINGS","CEARA-MIRIM DIKES","","-6","-6","-35","-39","SUBAERIAL","","","s CM-01 [20313]","THOLEIITE [20313]","","","","MESOZOIC [20313]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20313] ","49.2","3.25","","12.64","","","","14.03","8.35","4.98","0.2","","1.41","2.57","0.41","","","","","","","","","","","","","","","","1.77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","467","62","","","45","32","135","93","","","","","","31","587","32.3","228","18.7","","","","","","","","","","","","0.5","443","33.5","75","8.86","39.1","8.51","2.6","7.84","1.19","","","","","","","5.5","1.3","","","","","","","","","2.3","","3.7","0.9","","","","","","","","","","","","","","","","","","","","","","","","","1049780",
"[20313]","COMPLEX VOLCANIC SETTINGS","CEARA-MIRIM DIKES","","-6","-6","-35","-39","SUBAERIAL","","","s CM-02 [20313]","THOLEIITE [20313]","","","","MESOZOIC [20313]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20313] ","49.9","3.89","","12.35","","","","14.1","7.81","4.5","0.21","","1.52","2.65","0.45","","","","","","","","","","","","","","","","1.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","432","27","","","41","28","220","88","","","","","","33.7","540","35.6","270","24.1","","","","","","","","","","","","0.6","450","36.4","80.8","9.63","41.7","9.69","2.72","8.77","1.31","","","","","","","6.6","1.6","","","","","","","","","2.4","","3.6","0.9","","","","","","","","","","","","","","","","","","","","","","","","","1049781",
"[20313]","COMPLEX VOLCANIC SETTINGS","CEARA-MIRIM DIKES","","-6","-6","-35","-39","SUBAERIAL","","","s CM-03 [20313]","THOLEIITE [20313]","","","","MESOZOIC [20313]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20313] ","49.3","3.76","","12.64","","","","13.43","7.64","4.78","0.2","","1.82","3.05","0.52","","","","","","","","","","","","","","","","1.62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","433","14","","","43","37","152","77","","","","","","43.6","635","33.7","251","23.6","","","","","","","","","","","","3.4","468","39","89.7","10.37","45.2","9.73","2.95","8.42","1.27","","","","","","","6.2","1.4","","","","","","","","","2","","4.1","1","","","","","","","","","","","","","","","","","","","","","","","","","1049782",
"[20313]","COMPLEX VOLCANIC SETTINGS","CEARA-MIRIM DIKES","","-6","-6","-35","-39","SUBAERIAL","","","s CM-04 [20313]","THOLEIITE [20313]","","","","MESOZOIC [20313]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20313] ","50.6","3.14","","12.55","","","","13.7","6.89","4.55","0.21","","1.82","3.37","0.5","","","","","","","","","","","","","","","","1.54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","401","20","","","43","34","120","80","","","","","","40.1","520","38.4","269","23.3","","","","","","","","","","","","0.7","584","39.3","86.9","10.69","46.9","9.75","3","9.14","1.38","","","","","","","7.1","1.4","","","","","","","","","2.9","","4.6","0.9","","","","","","","","","","","","","","","","","","","","","","","","","1049783",
