"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[19133]","COMPLEX VOLCANIC SETTINGS","CENTRAL-NEW YORK KIMBERLITES / GLENWOOD CREEK DIKE","","42.5","43","-76","-77","SUBAQUATIC","","","s GL-1 [19133]","KIMBERLITE [19133]","","","","MESOZOIC [19133]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19133] ","32.56","2.79","","3.98","","","","9.52","10.77","24.22","0.16","","2.7","0.12","0.35","","","","","","","","","","","","","","","","12.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.9","","237","1652","","","","897","50","71","13","","","","","79.9","750","9.9","144","115.01","","","","","","","","","","","","1.97","617","82.69","150.79","16.38","57.31","8.47","2.33","5.59","0.65","2.89","0.42","0.85","0.1","0.48","0.06","3.69","8.11","","","","","","","","","4.35","","11.25","2.2","","","","","","","","","","","","","","","","","","","","","","","","","875422",
"[19133]","COMPLEX VOLCANIC SETTINGS","CENTRAL-NEW YORK KIMBERLITES / POYER DIKE","","42.5","43","-76","-77","SUBAQUATIC","","","s PO-1 [19133]","KIMBERLITE [19133]","","","","MESOZOIC [19133]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19133] ","40.29","3.25","","3.6","","","","8.93","9.45","20.8","0.14","","2.31","0.15","0.36","","","","","","","","","","","","","","","","10.47","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.7","","270","1420","","","","734","87","93","11","","","","","142.6","872","10.15","177","116.45","","","","","","","","","","","","3.92","1045","71.58","130.78","14.24","49.9","7.52","2.09","5.07","0.59","2.68","0.42","0.87","0.1","0.52","0.07","4.51","8.45","","","","","","","","","21.2","","9.84","2.05","","","","","","","","","","","","","","","","","","","","","","","","","875423",
"[19133]","COMPLEX VOLCANIC SETTINGS","CENTRAL-NEW YORK KIMBERLITES / POYER DIKE","","42.5","43","-76","-77","SUBAQUATIC","","","s PO-3 [19133]","KIMBERLITE [19133]","","","","MESOZOIC [19133]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19133] ","39.75","3.36","","2.81","","","","8.79","9.18","22.58","0.15","","1.2","0.1","0.3","","","","","","","","","","","","","","","","11.72","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.1","","224","1568","","","","789","72","86","10","","","","","75.9","719","9.38","123","119.12","","","","","","","","","","","","3.67","737","82.6","152.91","16.72","58.64","8.75","2.4","5.65","0.65","2.87","0.42","0.83","0.09","0.45","0.06","3.26","9.74","","","","","","","","","16.06","","11.18","1.9","","","","","","","","","","","","","","","","","","","","","","","","","875424",
"[19133]","COMPLEX VOLCANIC SETTINGS","CENTRAL-NEW YORK KIMBERLITES / WILLIAMS BROOK DIKE","","42.5","43","-76","-77","SUBAQUATIC","","","s W1 [19133]","KIMBERLITE [19133]","","","","MESOZOIC [19133]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19133] ","35.63","2.73","","4.16","","","","10.51","6.55","27.54","0.2","","2.4","0.06","0.65","","","","","","","","","","","","","","","","9.43","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.36","","320","1788","","","","1004","87","79","13","","","","","125","557","14.12","280.61","141.5","","","","","","","","","","","","2.72","2231","84.41","152.69","16.58","57.11","8.56","2.37","5.88","0.71","3.45","0.55","1.24","0.14","0.77","0.11","7.32","7.73","","","","","","","","","7.02","","11.87","3.26","","","","","","","","","","","","","","","","","","","","","","","","","875425",
"[19133]","COMPLEX VOLCANIC SETTINGS","CENTRAL-NEW YORK KIMBERLITES / WILLIAMS BROOK DIKE","","42.5","43","-76","-77","SUBAQUATIC","","","s W2 [19133]","KIMBERLITE [19133]","","","","MESOZOIC [19133]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19133] ","32.05","2.42","","3.09","","","","9.14","9.81","26.38","0.17","","1.94","0.11","0.41","","","","","","","","","","","","","","","","12.73","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.6","","227","1875","","","","1013","63","66","8","","","","","76.8","509","10.06","132","114.96","","","","","","","","","","","","2.69","853","84.53","156.04","16.85","58.62","8.45","2.31","5.49","0.62","2.82","0.42","0.85","0.1","0.52","0.07","3.49","7.94","","","","","","","","","5.67","","12.32","2.24","","0.512624","","","0.704452","","","","","","","","","","","","","","","","","","","","875426",
"[19133]","COMPLEX VOLCANIC SETTINGS","CENTRAL-NEW YORK KIMBERLITES / WILLIAMS BROOK DIKE","","42.5","43","-76","-77","SUBAQUATIC","","","s W2R [19133]","KIMBERLITE [19133]","","","","MESOZOIC [19133]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19133] ","32.65","2.41","","3.17","","","","9.28","10","26.48","0.17","","2","0.09","0.4","","","","","","","","","","","","","","","","12.85","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.3","","215","1769","","","","998","65","73","10","","","","","76.1","487","9.76","135","110.5","","","","","","","","","","","","2.49","834","80.95","148.37","16.14","56.16","8.25","2.24","5.42","0.61","2.75","0.41","0.83","0.1","0.5","0.07","3.44","8.41","","","","","","","","","4.36","","11.03","2.06","","","","","","","","","","","","","","","","","","","","","","","","","875427",
"[19133]","COMPLEX VOLCANIC SETTINGS","CENTRAL-NEW YORK KIMBERLITES / FRONTENAC (FRONTENECK) DIKE","","42.5","43","-76","-77","SUBAQUATIC","","","s FC-1 [19133]","KIMBERLITE [19133]","","","","MESOZOIC [19133]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19133] ","26.97","1.78","","4.58","","","","6.88","20.34","13.97","0.29","","1.48","0.12","1.29","","","","","","","","","","","","","","","","19.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.1","","302","1556","","","","819","92","88","10","","","","","61.1","1816","26.79","286","209.75","","","","","","","","","","","","3.25","1568","140.99","240.3","24.6","84.09","12.99","3.48","9.37","1.22","6.12","1.04","2.38","0.31","1.72","0.25","6.09","10.83","","","","","","","","","17.44","","21.38","5.06","","","","","","","","","","","","","","","","","","","","","","","","","875428",
"[19133]","COMPLEX VOLCANIC SETTINGS","CENTRAL-NEW YORK KIMBERLITES / FRONTENAC (FRONTENECK) DIKE","","42.5","43","-76","-77","SUBAQUATIC","","","s FC-2 [19133]","KIMBERLITE [19133]","","","","MESOZOIC [19133]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19133] ","34.6","1.89","","3.82","","","","8.77","6.53","28.71","0.2","","0.44","0.05","1.21","","","","","","","","","","","","","","","","14.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.5","","232","1747","","","","987","66","45","10","","","","","19.4","470","25.26","277","221.57","","","","","","","","","","","","0.79","1212","178.03","329.52","35.13","121.83","18.11","5.11","11.78","1.41","6.52","1.03","2.13","0.26","1.36","0.18","6.07","12.14","","","","","","","","","3.1","","24.72","4.97","","","","","","","","","","","","","","","","","","","","","","","","","875429",
"[19133]","COMPLEX VOLCANIC SETTINGS","CENTRAL-NEW YORK KIMBERLITES / TAUGHAN(NOCK) CREEK DIKE","","42.5","43","-76","-77","SUBAQUATIC","","","s T1 [19133]","KIMBERLITE [19133]","","","","MESOZOIC [19133]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19133] ","27.34","1.53","","2.89","","","","8.42","15.29","17.81","0.21","","1.37","0.16","1.13","","","","","","","","","","","","","","","","21.28","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.93","","262","1388","","","","988","68","74","9","","","","","49","1496","22.03","278.93","189.59","","","","","","","","","","","","2.58","1458","162.28","298.48","32.66","114.85","17.12","4.28","11.22","1.3","5.85","0.89","1.86","0.22","1.14","0.16","6.31","9.59","","","","","","","","","10.83","","20.68","4.53","","0.512637","","","0.704529","","","","","","","","","","","","","","","","","","","","875430",
"[19133]","COMPLEX VOLCANIC SETTINGS","CENTRAL-NEW YORK KIMBERLITES / TAUGHAN(NOCK) CREEK DIKE","","42.5","43","-76","-77","SUBAQUATIC","","","s T1B [19133]","KIMBERLITE [19133]","","","","MESOZOIC [19133]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [19133] ","24.53","1.85","","3.5","","","","6.95","21.12","14.71","0.22","","1.49","0.21","1.41","","","","","","","","","","","","","","","","20.78","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.7","","313","1627","","","","913","91","77","10","","","","","54.9","2186","25.63","335","227.31","","","","","","","","","","","","1.91","2566","229.96","443.34","48.67","171.07","23.86","5.35","14.02","1.54","6.81","1.05","2.17","0.26","1.33","0.19","7.65","11.71","","","","","","","","","14.5","","24.29","5.29","","","","","","","","","","","","","","","","","","","","","","","","","875431",
