"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[18601]","CONVERGENT MARGIN","CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-NORTHWESTERN SEGMENT / NICARAGUA / COSIGÜINA(COSIGUINA) / PACIFIC OCEAN","TIGÜILOTADA","12.96662","12.96662","-87.66719","-87.66719","SUBAERIAL","","","s 030211-3 [18601]","ANDESITE, BASALTIC [18601]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [18601] ","53.2","0.86","","18.8","","","","10.14","9.29","4.41","0.19","","0.71","2.33","0.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","","268","15","","","","11","213","97","18","","","","","15","412","21","69","1.3","","","","","","","","","","","","","587","13","14","","","","","","","","","","","","","","","","","","","","","","","4","","2","","","","","","","","","","","","","","","","","","","","","","","","","","1023896",
"[18601]","CONVERGENT MARGIN","CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-NORTHWESTERN SEGMENT / NICARAGUA / COSIGÜINA(COSIGUINA) / PACIFIC OCEAN","1400 AD DIAMICT","13.02497","13.02497","-87.60694","-87.60694","SUBAERIAL","","","s 030129-11 [18601]","ANDESITE, BASALTIC [18601]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [18601] ","55.3","0.75","","19.1","","","","7.97","8.47","3.06","0.18","","1.05","3.88","0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","","198","2","","","","4","110","87","19","","","","","19","456","29","92","1.5","","","","","","","","","","","","","720","12","24","","","","","","","","","","","","","","","","","","","","","","","5","","2","","","","","","","","","","","","","","","","","","","","","","","","","","1023897",
"[18601]","CONVERGENT MARGIN","CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-NORTHWESTERN SEGMENT / NICARAGUA / COSIGÜINA(COSIGUINA) / PACIFIC OCEAN","PRE-1835 SCORIA FALL","12.9324","12.9324","-87.67676","-87.67676","SUBAERIAL","","","s 020205-2 [18601]","ANDESITE, BASALTIC [18601]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [18601] ","56.9","0.7","","19.9","","","","6.55","8.37","2.19","0.16","","1.14","3.69","0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","","134","4","","","","0","75","74","18","","","","","21","455","27","88","2","","","","","","","","","","","","","751","15","27","","","","","","","","","","","","","","","","","","","","","","","1","","0","","","","","","","","","","","","","","","","","","","","","","","","","","1023898",
"[18601]","CONVERGENT MARGIN","CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-NORTHWESTERN SEGMENT / NICARAGUA / COSIGÜINA(COSIGUINA) / PACIFIC OCEAN","PRE-1835 SCORIA FALL","12.96783","12.96783","-87.66702","-87.66702","SUBAERIAL","","","s 030211-4 [18601]","ANDESITE [18601]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [18601] ","57.2","0.71","","19.7","","","","7.03","8.15","2.09","0.17","","1.19","3.59","0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","","126","4","","","","4","97","83","19","","","","","24","459","27","97","1.3","","","","","","","","","","","","","787","11","28","","","","","","","","","","","","","","","","","","","","","","","4","","3","","","","","","","","","","","","","","","","","","","","","","","","","","1023899",
"[18601]","CONVERGENT MARGIN","CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-NORTHWESTERN SEGMENT / NICARAGUA / COSIGÜINA(COSIGUINA) / PACIFIC OCEAN","TIGÜILOTADA","12.9662","12.9662","-87.66988","-87.66988","SUBAERIAL","","","s 030211-1 [18601]","ANDESITE [18601]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [18601] ","57.4","0.9","","17.1","","","","9.23","7.43","2.92","0.19","","1.36","3.2","0.23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","","237","2","","","","2","188","94","18","","","","","28","417","28","107","2.3","","","","","","","","","","","","","891","9","27","","","","","","","","","","","","","","","","","","","","","","","4","","3","","","","","","","","","","","","","","","","","","","","","","","","","","1023900",
"[18601]","CONVERGENT MARGIN","CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-NORTHWESTERN SEGMENT / NICARAGUA / COSIGÜINA(COSIGUINA) / PACIFIC OCEAN","1835 AD ERUPTION","13.03257","13.03257","-87.59927","-87.59927","SUBAERIAL","","","s 030129-8 [18601]","ANDESITE [18601]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [18601] ","57.4","0.74","","19.1","","","","7.09","8.1","2.28","0.16","","1.22","3.67","0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","","147","4","","","","3","66","86","20","","","","","24","447","28","96","1.9","","","","","","","","","","","","","778","9","17","","","","","","","","","","","","","","","","","","","","","","","4","","3","","","","","","","","","","","","","","","","","","","","","","","","","","1023901",
"[18601]","CONVERGENT MARGIN","CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-NORTHWESTERN SEGMENT / NICARAGUA / COSIGÜINA(COSIGUINA) / PACIFIC OCEAN","1835 AD ERUPTION","13.01304","13.01304","-87.61287","-87.61287","SUBAERIAL","","","s 020206-3 [18601]","ANDESITE [18601]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [18601] ","57.5","0.74","","18.9","","","","6.9","8.08","2.22","0.17","","1.23","3.83","0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","","125","1","","","","1","94","81","18","","","","","23","437","29","94","2","","","","","","","","","","","","","812","6","20","","","","","","","","","","","","","","","","","","","","","","","3","","0","","","","","","","","","","","","","","","","","","","","","","","","","","1023902",
"[18601]","CONVERGENT MARGIN","CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-NORTHWESTERN SEGMENT / NICARAGUA / COSIGÜINA(COSIGUINA) / PACIFIC OCEAN","1835 AD ERUPTION","12.90194","12.90194","-87.52463","-87.52463","SUBAERIAL","","","s 030212-3 [18601]","ANDESITE [18601]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [18601] ","57.6","0.73","","18.9","","","","7.28","7.92","2.23","0.16","","1.25","3.73","0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","","139","4","","","","5","98","86","20","","","","","25","440","28","98","1.1","","","","","","","","","","","","","797","6","25","","","","","","","","","","","","","","","","","","","","","","","4","","3","","","","","","","","","","","","","","","","","","","","","","","","","","1023904",
"[18601]","CONVERGENT MARGIN","CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-NORTHWESTERN SEGMENT / NICARAGUA / COSIGÜINA(COSIGUINA) / PACIFIC OCEAN","CALDERA RIM OF 1835 AD ERUPTION","12.96725","12.96725","-87.56715","-87.56715","SUBAERIAL","","","s 030131-1 [18601]","ANDESITE [18601]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [18601] ","58","0.73","","18.8","","","","7.2","7.71","2.2","0.17","","1.29","3.74","0.21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","","135","4","","","","4","97","83","20","","","","","26","437","29","99","1.6","","","","","","","","","","","","","814","7","26","","","","","","","","","","","","","","","","","","","","","","","7","","1","","","","","","","","","","","","","","","","","","","","","","","","","","1023905",
"[18601]","CONVERGENT MARGIN","CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-NORTHWESTERN SEGMENT / NICARAGUA / COSIGÜINA(COSIGUINA) / PACIFIC OCEAN","1835 AD ERUPTION","13.03705","13.03705","-87.58963","-87.58963","SUBAERIAL","","","s 020206-1 [18601]","ANDESITE [18601]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [18601] ","58.5","0.76","","18.4","","","","6.88","7.5","2.2","0.17","","1.32","3.88","0.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","","136","5","","","","2","67","84","19","","","","","26","422","31","100","1.5","","","","","","","","","","","","","855","16","16","","","","","","","","","","","","","","","","","","","","","","","2","","1","","","","","","","","","","","","","","","","","","","","","","","","","","1023908",
