"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[17806]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / LIAONING PROVINCE","XIALIAOHE BASIN","41","41","122","122","SUBAERIAL","","","s D-21 [17806]","BASALT [17806]","","","","PALEOGENE [17806]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [17806] ","49.1","1.97","","17.82","","4.39","6.04","","8.47","6.62","0.31","","2.11","2.64","0.54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.5","166.3","","","","","","","","16.48","694.3","19.32","169.9","34.63","","","","","","","","","","","","0.23","256.7","21.54","40.65","4.99","20.25","4.8","1.63","4.92","0.8","4.25","0.79","2.26","0.33","2.07","0.29","3.87","2.92","","","","","","","","","1.9","","2.49","0.7","0.512833","","","0.7039","","17.643","","15.436","","","","","","","","","","","","","","","","","1002667",
"[17806]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / LIAONING PROVINCE","XIALIAOHE BASIN","41","41","122","122","SUBAERIAL","","","s D-22 [17806]","BASALT [17806]","","","","PALEOGENE [17806]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [17806] ","51.01","2.08","","17.55","","4.39","4.3","","4.8","6.42","0.19","","2.63","6.07","0.55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.4","115.7","","","","","","","","17.73","242","20.46","186.4","38.03","","","","","","","","","","","","0.74","244.6","24.79","45.8","5.65","22.97","5.22","1.66","4.88","0.8","3.97","0.82","2.27","0.35","1.92","0.29","4.2","2.51","","","","","","","","","1.67","","2.86","0.85","0.512907","","","0.7045","","17.625","","15.401","","","","","","","","","","","","","","","","","1002668",
"[17806]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / LIAONING PROVINCE","XIALIAOHE BASIN","41","41","122","122","SUBAERIAL","","","s D-26 [17806]","BASALT [17806]","","","","PALEOGENE [17806]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [17806] ","49.82","2.52","","18.61","","5.49","5.01","","4.87","6.66","0.23","","1.65","4.45","0.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","132.8","","","","","","","","10.45","474.9","18.92","211.9","41.47","","","","","","","","","","","","1.34","214.3","25.65","46.05","5.43","21.05","4.77","1.7","4.65","0.69","3.59","0.8","2.31","0.3","1.55","0.29","4.15","2.71","","","","","","","","","1.84","","2.84","0.95","0.512952","","","0.7041","","17.752","","15.403","","","","","","","","","","","","","","","","","1002669",
"[17806]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / LIAONING PROVINCE","XIALIAOHE BASIN","41","41","122","122","SUBAERIAL","","","s T-10 [17806]","BASALT [17806]","","","","PALEOGENE [17806]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [17806] ","50.08","2.15","","17.61","","3.82","5.16","","6.7","8.35","0.34","","1.3","3.85","0.64","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.9","129.2","","","","","","","","5.05","752.9","20.86","220.6","44.45","","","","","","","","","","","","0.71","355.4","28.3","51.88","6.01","23.71","5.11","1.78","5.4","0.88","4.45","0.91","2.47","0.4","2.22","0.35","4.86","3","","","","","","","","","2.22","","3.61","0.9","0.512925","","","0.7037","","18.35","","16.006","","","","","","","","","","","","","","","","","1002670",
"[17806]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / ANHUI PROVINCE","HEFEI BASIN","32.5","32.7","117","118","SUBAERIAL","","","s DY5 [17806]","BASALT [17806]","","","","PALEOGENE [17806]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [17806] ","54.44","1.08","","14.91","","6.9","4.48","","8.2","6.46","0.16","","0.7","2.47","0.21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.77","198.7","","","","","","","","10.05","282.6","16.49","99.1","7.65","","","","","","","","","","","","0.13","597.4","11.75","26.26","2.84","12.61","3.3","1.5","4.53","0.62","3.51","0.69","1.77","0.22","1.47","0.27","2.29","0.46","","","","","","","","","3.86","","0.93","0.98","0.512098","","","0.7057","","","","","","","","","","","","","","","","","","","","","1002672",
"[17806]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / ANHUI PROVINCE","HEFEI BASIN","32.5","32.7","117","118","SUBAERIAL","","","s DY6 [17806]","BASALT [17806]","","","","PALEOGENE [17806]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [17806] ","49.68","1.46","","15.37","","8.13","2.04","","13.3","5.43","0.11","","1.25","2.88","0.36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.95","97.4","","","","","","","","29.1","475.4","18.53","148","19.82","","","","","","","","","","","","0.6","552.6","18.85","36.94","5.13","18.24","4.97","1.87","4.99","0.77","3.53","0.72","2.04","0.29","1.33","0.14","2.7","1.33","","","","","","","","","3.75","","2.42","0.69","0.51228","","","0.7066","","","","","","","","","","","","","","","","","","","","","1002673",
"[17806]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / JIANGSU PROVINCE","SUBEI BASIN","33.3","33.3","119","119","SUBAERIAL","","","s TD-4 [17806]","BASALT [17806]","","","","PALEOGENE [17806]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [17806] ","48.88","2.47","","17.34","","13.95","0.41","","8.28","5.01","0.17","","1.48","1.44","0.57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.03","246.1","","","","","","","","27.49","583.9","16.19","128.6","36","","","","","","","","","","","","4.23","329","27.6","49.48","5.56","21.41","4.49","1.65","4.64","0.7","3.54","0.69","1.86","0.25","1.42","0.2","3.38","2.51","","","","","","","","","2.66","","4.15","1.96","0.512751","","","0.7081","","18.229","","15.501","","","","","","","","","","","","","","","","","1002674",
"[17806]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / JIANGSU PROVINCE","SUBEI BASIN","33.3","33.3","119","119","SUBAERIAL","","","s DD-1 [17806]","BASALT [17806]","","","","PALEOGENE [17806]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [17806] ","50.98","1.73","","15.11","","5.67","3.43","","12.81","5.29","0.23","","1","3.39","0.37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.87","134","","","","","","","","17.62","567.1","18.82","116.8","21.98","","","","","","","","","","","","0.18","338","19.31","35.82","4.6","19.2","4.99","1.56","4.96","0.74","3.67","0.74","2.03","0.31","1.64","0.27","3.03","1.41","","","","","","","","","1.56","","2.73","1.29","0.512051","","","0.7057","","18.25","","15.49","","","","","","","","","","","","","","","","","1002675",
"[17806]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / JIANGSU PROVINCE","SUBEI BASIN","33.3","33.3","119","119","SUBAERIAL","","","s DD-2 [17806]","BASALT [17806]","","","","PALEOGENE [17806]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [17806] ","50.12","1.62","","14.93","","8.36","2.48","","13.22","4.44","0.25","","0.96","3.29","0.31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.7","191.9","","","","","","","","16.88","570.6","18.24","104.5","21.96","","","","","","","","","","","","0.25","295.8","19.47","36.08","4.32","17.64","4.32","1.56","4.46","0.75","3.44","0.81","1.97","0.3","1.8","0.24","2.88","1.3","","","","","","","","","1.73","","2.44","2.17","0.512694","","","0.7058","","18.23","","15.51","","","","","","","","","","","","","","","","","1002676",
"[17806]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / JIANGSU PROVINCE","SUBEI BASIN","33.3","33.3","119","119","SUBAERIAL","","","s TD-1 [17806]","BASALT [17806]","","","","PALEOGENE [17806]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [17806] ","51.43","1.9","","18.01","","14.82","0.35","","6.85","2.77","0.12","","0.35","3.17","0.23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.73","220.2","","","","","","","","4.33","566.6","16.21","97.2","15.91","","","","","","","","","","","","1.76","185.9","14.46","26.41","3.45","13.91","3.54","1.25","4.03","0.69","3.31","0.68","1.92","0.22","1.55","0.24","2.86","1.06","","","","","","","","","2.5","","2.55","0.9","0.512495","","","0.7062","","17.92","","15.54","","","","","","","","","","","","","","","","","1002677",
