"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[16380]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - PALEOZOIC / CHINA - PALEOZOIC / TIBET","GANGDESE BELT","30","32","85","95","SUBAERIAL","","","s YZ-4 [16380]","BASALT [16380]","","","","CARBONIFEROUS [16380]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [16380] ","48.56","1.59","","14.87","","1.65","5.67","7.16","6.3","2.85","0.098","","4.08","1.74","0.5","","","","","","","","","","","","","","","","11.55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","171","50.1","","","18.5","18.8","","","","","","","","150","210.9","32.5","226","14.6","","","","","","","","","","","","","271","28","59.5","7.6","30.38","6.669","1.92","6.15","1.06","5.79","1.14","3.44","0.46","3.03","0.44","5.7","1.12","","","","","","","","","10.2","","6.13","","0.512505","","","0.716891","","18.7624","","15.7298","","39.4781","","","","","","","","","","","","","","","1001730",
"[16380]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - PALEOZOIC / CHINA - PALEOZOIC / TIBET","GANGDESE BELT","30","32","85","95","SUBAERIAL","","","s YZ-7 [16380]","BASALT [16380]","","","","CARBONIFEROUS [16380]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [16380] ","50.34","1.69","","16.7","","4.54","4.05","8.14","6.24","3.62","0.088","","1.03","4.93","0.42","","","","","","","","","","","","","","","","5.41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","160","47.8","","","28.6","33.3","","","","","","","","35.22","259","32","256","16.5","","","","","","","","","","","","","106","28","59.2","7.53","30.22","6.527","1.74","5.94","1.01","5.52","1.09","3.36","0.45","3.04","0.46","6.34","1.26","","","","","","","","","9.71","","5.39","","0.512625","","","0.706458","","18.8128","","15.7004","","39.4854","","","","","","","","","","","","","","","1001731",
"[16380]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - PALEOZOIC / CHINA - PALEOZOIC / TIBET","GANGDESE BELT","30","32","85","95","SUBAERIAL","","","s YZ-8 [16380]","BASALT [16380]","","","","CARBONIFEROUS [16380]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [16380] ","51.53","1.5","","15.73","","1.65","5.46","6.95","6.9","3.2","0.11","","0.43","5.5","0.4","","","","","","","","","","","","","","","","6.67","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","153","84.1","","","36.8","31","","","","","","","","18.87","217.1","27","189","10.8","","","","","","","","","","","","","76.6","23.1","47.5","6.16","25.36","5.649","1.51","5.05","0.88","4.77","0.94","2.87","0.38","2.54","0.37","4.85","0.83","","","","","","","","","8.22","","4.5","","0.512612","","","0.706334","","18.8135","","15.7033","","39.4471","","","","","","","","","","","","","","","1001732",
"[16380]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - PALEOZOIC / CHINA - PALEOZOIC / TIBET","GANGDESE BELT","30","32","85","95","SUBAERIAL","","","s YZ-9 [16380]","BASALT [16380]","","","","CARBONIFEROUS [16380]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [16380] ","49.02","1.59","","16.19","","3.29","5.56","8.52","6.49","4.02","0.13","","2.78","2.26","0.4","","","","","","","","","","","","","","","","7.42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","202","46","","","30.6","33.7","","","","","","","","131.3","292.6","32","237","14.6","","","","","","","","","","","","","246","28.2","59.8","7.53","29.56","6.446","1.84","6.29","1.03","5.72","1.11","3.38","0.46","3.04","0.45","5.98","1.11","","","","","","","","","13","","4.86","","0.512598","","","0.707743","","18.7776","","15.7078","","39.375","","","","","","","","","","","","","","","1001733",
"[16380]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - PALEOZOIC / CHINA - PALEOZOIC / TIBET","GANGDESE BELT","30","32","85","95","SUBAERIAL","","","s YZ-11 [16380]","BASALT [16380]","","","","CARBONIFEROUS [16380]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [16380] ","51.74","1.5","","16.76","","2.99","5.72","8.41","7.55","4.6","0.14","","0.98","4.14","0.37","","","","","","","","","","","","","","","","3.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","191","89.5","","","31.2","33.9","","","","","","","","31.98","434.2","30","204","12","","","","","","","","","","","","","228","24.1","50.8","6.57","27.25","6.106","1.68","5.6","0.96","5.36","1.04","3.19","0.43","2.77","0.42","5.23","0.95","","","","","","","","","10.2","","4.34","","0.512606","","","0.705967","","18.7818","","15.6927","","39.329","","","","","","","","","","","","","","","1001734",
"[16380]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - PALEOZOIC / CHINA - PALEOZOIC / TIBET","GANGDESE BELT","30","32","85","95","SUBAERIAL","","","s YZ-12 [16380]","BASALT [16380]","","","","CARBONIFEROUS [16380]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [16380] ","53.81","1.38","","14.67","","3.7","4.5","7.83","5","3.31","0.12","","0.65","5.75","0.34","","","","","","","","","","","","","","","","6.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.7","80.9","","","25.7","29.5","","","","","","","","30.4","216.4","27","182","10.6","","","","","","","","","","","","","75.1","23.3","48.2","6.02","23.36","5.263","1.42","4.97","0.86","4.8","0.93","2.83","0.38","2.48","0.37","4.8","0.85","","","","","","","","","9.12","","4.78","","0.512614","","","0.706306","","18.7528","","15.6988","","39.4178","","","","","","","","","","","","","","","1001735",
"[16380]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - PALEOZOIC / CHINA - PALEOZOIC / TIBET","GANGDESE BELT","30","32","85","95","SUBAERIAL","","","s YZ-14 [16380]","BASALT [16380]","","","","CARBONIFEROUS [16380]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [16380] ","49.18","1.56","","15.66","","3.11","5.07","7.87","6.84","3.86","0.14","","1.76","3.97","0.38","","","","","","","","","","","","","","","","7.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","196","86.3","","","29","46","","","","","","","","77.78","170.8","28.7","195","11.6","","","","","","","","","","","","","110","23.1","49","6.34","26.65","6.013","1.58","5.34","0.92","5.16","1.01","3.04","0.41","2.64","0.4","5.05","0.9","","","","","","","","","8.28","","4.56","","0.512619","","","0.707681","","18.8171","","15.6999","","39.4244","","","","","","","","","","","","","","","1001736",
"[16380]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - PALEOZOIC / CHINA - PALEOZOIC / TIBET","GANGDESE BELT","30","32","85","95","SUBAERIAL","","","s CQJ-2 [16380]","BASALT [16380]","","","","CARBONIFEROUS [16380]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [16380] ","48.92","1.35","","14.27","","3.36","5.05","8.07","11.74","3.52","0.38","","0.64","2.12","0.21","","","","","","","","","","","","","","","","5.78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","172","","","","","","","","","","","","31.5","418","22.3","147","8.5","","","","","","","","","","","","","172","15.8","26.8","4.25","18.9","4.71","1.48","4.6","0.8","5.27","1.09","3.03","0.45","2.59","0.37","5.2","0.3","","","","","","","","","21.1","","4.6","","","","","","","","","","","","","","","","","","","","","","","","","","1001737",
"[16380]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - PALEOZOIC / CHINA - PALEOZOIC / TIBET","GANGDESE BELT","30","32","85","95","SUBAERIAL","","","s CQ06-1 [16380]","BASALT [16380]","","","","CARBONIFEROUS [16380]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [16380] ","45.54","1.4572","","17","","5.62","4.33","9.39","9.69","3.62","0.34","","0.66","2.48","0.2723","","","","","","","","","","","","","","","","8.66","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","203","145.9","","","","","","","","","","","","12.91","402","25.31","144","8.2","","","","","","","","","","","","","227","13.35","32.94","4.67","16.96","4.096","1.65","5.1","0.84","5.08","1.05","2.87","0.47","2.75","0.41","3.8","0.6","","","","","","","","","","","1.9","","0.512579","","","0.713982","","18.713","","15.657","","38.9138","","","","","","","","","","","","","","","1001738",
"[16380]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - PALEOZOIC / CHINA - PALEOZOIC / TIBET","GANGDESE BELT","30","32","85","95","SUBAERIAL","","","s QGP5-B1 [16380]","BASALT [16380]","","","","CARBONIFEROUS [16380]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [16380] ","48.1","1.16","","15.39","","1.23","6.37","7.48","8.12","3.93","0.16","","1.16","3.28","0.18","","","","","","","","","","","","","","","","10.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","127","21.6","","","25.8","42.8","","","","","","","","30","265","24.02","171","8.7","","","","","","","","","","","","","111","12.1","28.36","4.05","15.17","3.86","1.31","4.02","0.72","4.11","0.84","2.45","0.39","2.41","0.35","3.7","0.5","","","","","","","","","26.9","","2.8","","","","","","","","","","","","","","","","","","","","","","","","","","1001739",
