"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[19978]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - PROTEROZOIC / CHINA - PROTEROZOIC / LIAONING PROVINCE","LIAODONG PENINSULA","39.0523","39.0523","121.9282","121.9282","SUBAERIAL","","","s 11197-1 [19978]","DIABASE [19978]","","","NEO [19978]","PROTEROZOIC [19978]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [19978] ","48.17","2.56","","13.01","","","5.51","13.02","8.35","5.26","0.21","","0.72","1.88","0.23","","","","","","","","","","","","","","","","5.05","","","","","","","","","","","","","","15","0.85","","","","","","","","","","","","","37.4","","368","117","","","45.2","69.4","53.5","100","19.4","","","","","18.4","357","29.7","130","12.6","","","","","","","","1.34","","","","0.83","188","11.4","28.2","3.95","18.4","5.08","1.79","5.24","0.88","5.58","1.1","2.96","0.44","2.68","0.39","3.38","0.77","","","","","","","","0.06","3.17","","1.85","0.41","","","","","","","","","","","","","","","","","","","","","","","","","1001496",
"[19986]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - PROTEROZOIC / CHINA - PROTEROZOIC / SICHUAN PROVINCE / HUILI GROUP - TIAN BAOSHAN FORMATION","YANGTZE BLOCK","27","27","102","102","SUBAERIAL","","","s HCQ1001 [19986]","GABBRO [19986]","","","","PROTEROZOIC [19986]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [19986] ","49.91","1.7","","13.89","","","","12.22","8.96","5.96","0.19","","0.19","3.56","0.19","","","","","","","","","","","","","","","","1.57","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","","322","95.5","","","42.7","35.9","93.5","87.7","19.4","","","","","2.95","274","34.8","119","5.95","","","","","","","","","","","","0.36","25.6","9.76","23.5","3.38","15.5","4.64","1.51","5.76","0.97","6.18","1.35","3.74","0.53","3.47","0.5","3.74","0.42","","","","","","","","","8.31","","2.18","0.42","","","","","","","","","","","","","","","","","","","","","","","","","1002742",
"[19986]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - PROTEROZOIC / CHINA - PROTEROZOIC / SICHUAN PROVINCE / HUILI GROUP - TIAN BAOSHAN FORMATION","YANGTZE BLOCK","27","27","102","102","SUBAERIAL","","","s HCQ1002 [19986]","GABBRO [19986]","","","","PROTEROZOIC [19986]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [19986] ","48.54","1.88","","14.1","","","","12.63","8.38","6.02","0.2","","0.27","3.83","0.18","","","","","","","","","","","","","","","","1.78","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.1","","328","104","","","39.9","39.4","50.1","100","19","","","","","7.9","230","33.9","104","5.91","","","","","","","","","","","","1.33","45.4","8.49","21.3","3.11","14.6","4.36","1.46","5.57","0.98","6.08","1.39","3.67","0.52","3.31","0.49","3.37","0.41","","","","","","","","","5.5","","1.83","0.36","","","","","","","","","","","","","","","","","","","","","","","","","1002743",
"[19986]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - PROTEROZOIC / CHINA - PROTEROZOIC / SICHUAN PROVINCE / HUILI GROUP - TIAN BAOSHAN FORMATION","YANGTZE BLOCK","26.5144","26.5144","102.1441","102.1441","SUBAERIAL","","","s HCQ1003 [19986]","GABBRO [19986]","","","","PROTEROZOIC [19986]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [19986] ","49.64","1.86","","13.59","","","","12.71","9.01","6.06","0.22","","0.38","3.2","0.18","","","","","","","","","","","","","","","","1.43","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","","331","100","","","40.6","35.7","65.1","91.9","18.3","","","","","11.5","297","32.8","102","5.78","","","","","","","","","","","","1.3","72.3","8.32","20","2.99","13.7","4.27","1.46","5.26","0.94","5.9","1.34","3.65","0.52","3.23","0.5","3.28","0.39","","","","","","","","","6.08","","1.68","0.33","0.512595","","","","","","","","","","","","","","","","","","","","","","","","1002744",
"[19986]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - PROTEROZOIC / CHINA - PROTEROZOIC / SICHUAN PROVINCE / HUILI GROUP - TIAN BAOSHAN FORMATION","YANGTZE BLOCK","27","27","102","102","SUBAERIAL","","","s HCQ1004 [19986]","GABBRO [19986]","","","","PROTEROZOIC [19986]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [19986] ","49.84","1.87","","13.47","","","","12.8","8.71","6.23","0.21","","0.23","3.4","0.19","","","","","","","","","","","","","","","","1.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.7","","336","107","","","45.9","40","55.5","102","18.4","","","","","4.81","310","34.7","113","6.06","","","","","","","","","","","","0.67","41.5","8.77","20.9","3.24","14.8","4.47","1.51","5.45","1","6.21","1.32","3.75","0.54","3.38","0.5","3.5","0.39","","","","","","","","","26.9","","1.94","0.38","","","","","","","","","","","","","","","","","","","","","","","","","1002745",
"[19986]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - PROTEROZOIC / CHINA - PROTEROZOIC / SICHUAN PROVINCE / HUILI GROUP - TIAN BAOSHAN FORMATION","YANGTZE BLOCK","27","27","102","102","SUBAERIAL","","","s HCQ1005 [19986]","GABBRO [19986]","","","","PROTEROZOIC [19986]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [19986] ","49.2","2.07","","13.22","","","","12.98","8.62","5.57","0.24","","0.31","3.74","0.21","","","","","","","","","","","","","","","","1.56","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.1","","345","87.7","","","42.6","31.4","79.1","136","17.9","","","","","9.36","216","36.5","117","6.45","","","","","","","","","","","","1.64","50.1","9.18","23.1","3.38","16","4.77","1.46","5.75","1.05","6.42","1.44","3.97","0.57","3.55","0.53","3.78","0.43","","","","","","","","","13","","1.87","0.4","","","","","","","","","","","","","","","","","","","","","","","","","1002746",
"[19986]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - PROTEROZOIC / CHINA - PROTEROZOIC / SICHUAN PROVINCE / HUILI GROUP - TIAN BAOSHAN FORMATION","YANGTZE BLOCK","27","27","102","102","SUBAERIAL","","","s HCQ1006 [19986]","GABBRO [19986]","","","","PROTEROZOIC [19986]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [19986] ","48.85","2.05","","13.39","","","","13.21","8.97","5.46","0.23","","0.37","3.42","0.21","","","","","","","","","","","","","","","","1.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.1","","350","90","","","46.3","32.6","80.3","113","19.7","","","","","12.7","262","36.6","121","6.44","","","","","","","","","","","","2.09","66.7","10.1","24.1","3.52","16.2","4.76","1.61","5.81","1.03","6.62","1.42","4.05","0.57","3.63","0.54","3.87","0.41","","","","","","","","","11.7","","2.02","0.4","","","","","","","","","","","","","","","","","","","","","","","","","1002747",
"[19986]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - PROTEROZOIC / CHINA - PROTEROZOIC / SICHUAN PROVINCE / HUILI GROUP - TIAN BAOSHAN FORMATION","YANGTZE BLOCK","27","27","102","102","SUBAERIAL","","","s HCQ1007 [19986]","GABBRO [19986]","","","","PROTEROZOIC [19986]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [19986] ","49.86","2.03","","13.18","","","","13.6","8.62","5.67","0.26","","0.45","2.97","0.21","","","","","","","","","","","","","","","","1.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.8","","353","86.7","","","43.1","32.6","67.5","111","20","","","","","11.6","268","37.6","124","6.63","","","","","","","","","","","","0.62","79","9.99","24.4","3.5","16.5","4.88","1.66","6.12","1.08","6.59","1.48","4.08","0.58","3.65","0.53","3.82","0.42","","","","","","","","","12.4","","2","0.4","","","","","","","","","","","","","","","","","","","","","","","","","1002748",
"[19986]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - PROTEROZOIC / CHINA - PROTEROZOIC / SICHUAN PROVINCE / HUILI GROUP - TIAN BAOSHAN FORMATION","YANGTZE BLOCK","27","27","102","102","SUBAERIAL","","","s HCQ1010 [19986]","GABBRO [19986]","","","","PROTEROZOIC [19986]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [19986] ","50.83","2.15","","13.07","","","","13.5","5.59","5.58","0.24","","0.4","3.74","0.21","","","","","","","","","","","","","","","","2.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.2","","341","75.7","","","63.2","26","75.7","126","17.9","","","","","7.29","121","36.4","137","7.11","","","","","","","","","","","","0.21","68.4","10.5","25","3.58","16.7","4.93","1.89","6.03","1.04","6.36","1.4","4","0.58","3.66","0.58","4.21","0.46","","","","","","","","","27.4","","2.28","0.44","","","","","","","","","","","","","","","","","","","","","","","","","1002749",
"[19986]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - PROTEROZOIC / CHINA - PROTEROZOIC / SICHUAN PROVINCE / HUILI GROUP - TIAN BAOSHAN FORMATION","YANGTZE BLOCK","27","27","102","102","SUBAERIAL","","","s HCQ1101 [19986]","GABBRO [19986]","","","","PROTEROZOIC [19986]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [19986] ","47.75","2.24","","12.56","","","","12.43","7.62","5.63","0.24","","0.09","3.51","0.23","","","","","","","","","","","","","","","","5.96","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.7","","348","79.5","","","40.7","27.5","43.4","133","19.4","","","","","1.77","161","39.6","134","7.22","","","","","","","","","","","","0.39","14.6","10.8","26.6","3.73","17.2","5","1.71","6.98","1.11","6.97","1.49","4.19","0.61","3.69","0.56","3.91","0.46","","","","","","","","","19","","2.01","0.44","0.512551","","","","","","","","","","","","","","","","","","","","","","","","1002750",
