"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20054]","CONTINENTAL FLOOD BASALT","CENTRAL ATLANTIC MAGMATIC PROVINCE - CAMP / SICILY","NEAR LEONFORTE VILLAGE, ALONG THE SOUTHERN SLOPE OF MT. ALTESINA","37.6403","37.6403","134.3278","134.3278","SUBAERIAL","","","s VG1 [20054]","BASALT, ALKALINE [20054]","","","","TRIASSIC [20054]","","","","PORPHYRITIC TO EQUIGRANULAR, FINE- TO MEDIUM-GRAINED MATRIX [20054] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [20054] ","45.35","2.42","","12.23","","","","12.1","7.35","10.14","0.17","","0.38","3.02","0.38","","","","","","","","","","","","","","","","5.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","","118","200","","","77","136","58","76","24","","","","","23.1","600","19.9","132","27.7","","","","","","","","","","","","0.5","110","20","42.4","5.39","23.1","6.1","1.86","5.11","0.86","4.84","0.87","2.37","0.28","1.8","0.26","4","2","","","","","","","","","4.6","","2.6","0.76","0.512827","","","0.70604","","","","","","","","","","","","","","","","","","","","","1015617",
"[20054]","CONTINENTAL FLOOD BASALT","CENTRAL ATLANTIC MAGMATIC PROVINCE - CAMP / SICILY","NEAR LEONFORTE VILLAGE, ALONG THE SOUTHERN SLOPE OF MT. ALTESINA","37.6403","37.6403","134.3278","134.3278","SUBAERIAL","","","s VG2 [20054]","BASALT, ALKALINE [20054]","","","","TRIASSIC [20054]","","","","PORPHYRITIC TO EQUIGRANULAR, FINE- TO MEDIUM-GRAINED MATRIX [20054] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [20054] ","46.2","2.62","","12.42","","","","12.48","6.54","9.25","0.18","","0.19","3.46","0.38","","","","","","","","","","","","","","","","4.88","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","136","192","","","80","94","","71","","","","","","4.5","229","22.4","145","32.3","","","","","","","","","","","","","51","","","","","","","","","","","","","","","","","","","","","","","","","9.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","1015618",
"[20054]","CONTINENTAL FLOOD BASALT","CENTRAL ATLANTIC MAGMATIC PROVINCE - CAMP / SICILY","NEAR LEONFORTE VILLAGE, ALONG THE SOUTHERN SLOPE OF MT. ALTESINA","37.6403","37.6403","134.3278","134.3278","SUBAERIAL","","","s VG3 [20054]","BASALT, ALKALINE [20054]","","","","TRIASSIC [20054]","","","","PORPHYRITIC TO EQUIGRANULAR, FINE- TO MEDIUM-GRAINED MATRIX [20054] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [20054] ","46.76","2.17","","13.15","","","","11.67","10.56","8.32","0.14","","0.58","3.5","0.38","","","","","","","","","","","","","","","","1.47","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","","121","199","","","70","84","80","76","26","","","","","10.7","537","20.9","142","29.9","","","","","","","","","","","","0.6","250","20.8","42.6","5.46","22.7","5.4","1.9","5.3","0.87","4.73","0.91","2.24","0.31","1.7","0.36","4","2.1","","","","","","","","","4.7","","2.6","0.83","","","","","","","","","","","","","","","","","","","","","","","","","1015619",
"[20054]","CONTINENTAL FLOOD BASALT","CENTRAL ATLANTIC MAGMATIC PROVINCE - CAMP / SICILY","NEAR LEONFORTE VILLAGE, ALONG THE SOUTHERN SLOPE OF MT. ALTESINA","37.6403","37.6403","134.3278","134.3278","SUBAERIAL","","","s VG4 [20054]","BASALT, ALKALINE [20054]","","","","TRIASSIC [20054]","","","","PORPHYRITIC TO EQUIGRANULAR, FINE- TO MEDIUM-GRAINED MATRIX [20054] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [20054] ","44.61","2.16","","13.58","","","","10.17","11.07","7.54","0.14","","0.06","3.45","0.37","","","","","","","","","","","","","","","","5.72","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","123","162","","","62","78","","57","","","","","","1","222","19.7","129","28.6","","","","","","","","","","","","","54","","","","","","","","","","","","","","","","","","","","","","","","","5.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","1015620",
"[20054]","CONTINENTAL FLOOD BASALT","CENTRAL ATLANTIC MAGMATIC PROVINCE - CAMP / SICILY","NEAR LEONFORTE VILLAGE, ALONG THE SOUTHERN SLOPE OF MT. ALTESINA","37.6403","37.6403","134.3278","134.3278","SUBAERIAL","","","s VG5 [20054]","BASALT, ALKALINE [20054]","","","","TRIASSIC [20054]","","","","PORPHYRITIC TO EQUIGRANULAR, FINE- TO MEDIUM-GRAINED MATRIX [20054] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [20054] ","46.41","2.57","","13.03","","","","12.44","6.75","8.19","0.18","","0.27","3.67","0.38","","","","","","","","","","","","","","","","4.73","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","133","200","","","71","80","","72","","","","","","6.3","404","21.4","147","32","","","","","","","","","","","","","593","","","","","","","","","","","","","","","","","","","","","","","","","7.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","1015621",
"[20054]","CONTINENTAL FLOOD BASALT","CENTRAL ATLANTIC MAGMATIC PROVINCE - CAMP / SICILY","NEAR LEONFORTE VILLAGE, ALONG THE SOUTHERN SLOPE OF MT. ALTESINA","37.6403","37.6403","134.3278","134.3278","SUBAERIAL","","","s VG6 [20054]","BASALT, ALKALINE [20054]","","","","TRIASSIC [20054]","","","","PORPHYRITIC TO EQUIGRANULAR, FINE- TO MEDIUM-GRAINED MATRIX [20054] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [20054] ","42.56","2.21","","12.28","","","","10.32","12.6","6.3","0.13","","0.05","3.65","0.34","","","","","","","","","","","","","","","","8.42","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","","110","175","","","61","64","80","65","27","","","","","2.4","466","21.9","160","31.3","","","","","","","","","","","","0.7","434","24.9","50.4","6.26","26","5.9","2","5.67","0.93","5.23","0.97","2.43","0.3","1.9","0.28","5","2.3","","","","","","","","","4.5","","3.1","0.98","","","","","","","","","","","","","","","","","","","","","","","","","1015622",
"[20054]","CONTINENTAL FLOOD BASALT","CENTRAL ATLANTIC MAGMATIC PROVINCE - CAMP / SICILY","NEAR LEONFORTE VILLAGE, ALONG THE SOUTHERN SLOPE OF MT. ALTESINA","37.6403","37.6403","134.3278","134.3278","SUBAERIAL","","","s VG7 [20054]","BASALT, ALKALINE [20054]","","","","TRIASSIC [20054]","","","","PORPHYRITIC TO EQUIGRANULAR, FINE- TO MEDIUM-GRAINED MATRIX [20054] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [20054] ","48.35","2.23","","13.8","","","","11.35","6.94","6.79","0.16","","0.41","4.27","0.4","","","","","","","","","","","","","","","","4.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","","118","67","","","65","54","81","74","27","","","","","8","450","22.7","148","31.7","","","","","","","","","","","","0.5","133","23.2","47","6.14","25.7","5.8","2.12","5.7","0.89","4.93","0.96","2.47","0.3","1.8","0.37","4","2.1","","","","","","","","","4.4","","2.8","0.83","","","","","","","","","","","","","","","","","","","","","","","","","1015623",
"[20054]","CONTINENTAL FLOOD BASALT","CENTRAL ATLANTIC MAGMATIC PROVINCE - CAMP / SICILY","NEAR LEONFORTE VILLAGE, ALONG THE SOUTHERN SLOPE OF MT. ALTESINA","37.6403","37.6403","134.3278","134.3278","SUBAERIAL","","","s VG8 [20054]","BASALT, ALKALINE [20054]","","","","TRIASSIC [20054]","","","","PORPHYRITIC TO EQUIGRANULAR, FINE- TO MEDIUM-GRAINED MATRIX [20054] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [20054] ","49.32","2.19","","15","","","","10.22","8.16","5.41","0.15","","0.63","4.04","0.39","","","","","","","","","","","","","","","","3.35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","112","103","","","62","61","","71","","","","","","12.9","560","21.1","148","31.7","","","","","","","","","","","","","169","","","","","","","","","","","","","","","","","","","","","","","","","3.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","1015624",
"[20054]","CONTINENTAL FLOOD BASALT","CENTRAL ATLANTIC MAGMATIC PROVINCE - CAMP / SICILY","NEAR LEONFORTE VILLAGE, ALONG THE SOUTHERN SLOPE OF MT. ALTESINA","37.6403","37.6403","134.3278","134.3278","SUBAERIAL","","","s VG9 [20054]","BASALT, ALKALINE [20054]","","","","TRIASSIC [20054]","","","","PORPHYRITIC TO EQUIGRANULAR, FINE- TO MEDIUM-GRAINED MATRIX [20054] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [20054] ","47.91","2.37","","13.97","","","","11.79","7.66","6.49","0.16","","0.48","3.98","0.43","","","","","","","","","","","","","","","","3.45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","116","88","","","65","60","","72","","","","","","11.1","439","21.8","146","31.9","","","","","","","","","","","","","290","","","","","","","","","","","","","","","","","","","","","","","","","3.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","1015625",
"[20054]","CONTINENTAL FLOOD BASALT","CENTRAL ATLANTIC MAGMATIC PROVINCE - CAMP / SICILY","NEAR LEONFORTE VILLAGE, ALONG THE SOUTHERN SLOPE OF MT. ALTESINA","37.6403","37.6403","134.3278","134.3278","SUBAERIAL","","","s VG10 [20054]","BASALT, ALKALINE [20054]","","","","TRIASSIC [20054]","","","","PORPHYRITIC TO EQUIGRANULAR, FINE- TO MEDIUM-GRAINED MATRIX [20054] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [20054] ","47.67","2.12","","14.3","","","","11.14","8.79","5.87","0.15","","0.56","3.87","0.41","","","","","","","","","","","","","","","","3.89","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","108","52","","","63","56","","76","","","","","","15.8","421","21","148","31.2","","","","","","","","","","","","","290","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","1015626",
