"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20674]","INTRAPLATE VOLCANICS","CENTRAL INDIAN TECTONIC ZONE / MAHAKOSHAL SUPRACRUSTAL BELT / JUNGEL VALLEY / LOWER SALEEMANABAD FORMATION","","23.8347","23.8347","80.2514","80.2514","SUBAERIAL","","","s M1 [20674]","METABASALT [20674]","","2200000000 [20674]","","PROTEROZOIC [20674]","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [20674] ","46.95","1.04","","11.8","","","","13.37","13.5","7.69","0.2","","0.3","2.3","0.11","","","","","","","","","","","","","","","","1.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","","230","98","","","43","92","","","","","","","","3.1","88","20.3","581","3.2","","","","","","","","","","","","1.3","175","5.8","12.5","1.8","7.7","2.2","0.75","2.4","0.45","2.9","0.56","1.9","0.31","1.8","0.3","11.1","0.23","","","","","","","","","","","1.4","0.55","","","","","","","","","","","","","","","","","","","","","","","","","1108472",
"[20674]","INTRAPLATE VOLCANICS","CENTRAL INDIAN TECTONIC ZONE / MAHAKOSHAL SUPRACRUSTAL BELT / JUNGEL VALLEY / LOWER SALEEMANABAD FORMATION","","23.8347","23.8347","80.2514","80.2514","SUBAERIAL","","","s M2 [20674]","METABASALT [20674]","","2200000000 [20674]","","PROTEROZOIC [20674]","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [20674] ","47.2","0.93","","11.6","","","","13.48","12.35","7.42","0.2","","0.38","2.5","0.11","","","","","","","","","","","","","","","","1.48","","","","","","","","","","","","","","","","","","","","","","","","","","","","34","","240","91","","","47","89","","","","","","","","2.8","98","19.6","538","2.4","","","","","","","","","","","","1.1","179","5.9","12.7","1.7","7.6","2.4","0.77","2.5","0.45","2.8","0.57","2.1","0.31","1.8","0.3","11","0.2","","","","","","","","","","","1.4","0.57","","","","","","","","","","","","","","","","","","","","","","","","","1108473",
"[20674]","INTRAPLATE VOLCANICS","CENTRAL INDIAN TECTONIC ZONE / MAHAKOSHAL SUPRACRUSTAL BELT / JUNGEL VALLEY / LOWER SALEEMANABAD FORMATION","","23.8347","23.8347","80.2514","80.2514","SUBAERIAL","","","s M3 [20674]","METABASALT [20674]","","2200000000 [20674]","","PROTEROZOIC [20674]","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [20674] ","48.67","0.97","","11.28","","","","14.22","11.15","7.5","0.24","","0.34","1.98","0.11","","","","","","","","","","","","","","","","1.38","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","","227","100","","","45","92","","","","","","","","2.9","78","19.2","543","2.8","","","","","","","","","","","","1.2","183","6.2","12.3","1.9","7.9","2","0.81","2.8","0.44","3.1","0.55","1.6","0.32","1.9","0.3","11","0.2","","","","","","","","","","","1.4","0.5","","","","","","","","","","","","","","","","","","","","","","","","","1108474",
"[20674]","INTRAPLATE VOLCANICS","CENTRAL INDIAN TECTONIC ZONE / MAHAKOSHAL SUPRACRUSTAL BELT / JUNGEL VALLEY / LOWER SALEEMANABAD FORMATION","","23.8347","23.8347","80.2514","80.2514","SUBAERIAL","","","s M-8 [20674]","METABASALT [20674]","","2200000000 [20674]","","PROTEROZOIC [20674]","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [20674] ","47.79","1.02","","11.08","","","","13.22","12.6","7.42","0.2","","0.31","2.41","0.11","","","","","","","","","","","","","","","","1.43","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","","225","94","","","44","87","","","","","","","","2.7","71.9","19.1","629","3","","","","","","","","","","","","1.2","187.2","5.9","12.4","1.7","7.6","2","0.75","2.4","0.44","2.8","0.55","1.8","0.31","1.8","0.29","11.1","0.2","","","","","","","","","","","1.4","0.54","","","","","","","","","","","","","","","","","","","","","","","","","1108475",
"[20674]","INTRAPLATE VOLCANICS","CENTRAL INDIAN TECTONIC ZONE / MAHAKOSHAL SUPRACRUSTAL BELT / JUNGEL VALLEY / LOWER SALEEMANABAD FORMATION","","23.8347","23.8347","80.2514","80.2514","SUBAERIAL","","","s M-9 [20674]","METABASALT [20674]","","2200000000 [20674]","","PROTEROZOIC [20674]","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [20674] ","48.82","0.93","","11.3","","","","13.62","11.2","7.63","0.19","","0.32","1.84","0.11","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","","244.1","104.9","","","47.6","91.7","","","","","","","","2.9","120.4","20.1","510","2.6","","","","","","","","","","","","1.1","172.1","6.2","13.8","1.9","8.2","2.3","0.82","2.7","0.48","3.1","0.58","2","0.33","1.9","0.3","11.1","0.23","","","","","","","","","","","1.4","0.57","","","","","","","","","","","","","","","","","","","","","","","","","1108476",
"[20674]","INTRAPLATE VOLCANICS","CENTRAL INDIAN TECTONIC ZONE / MAHAKOSHAL SUPRACRUSTAL BELT / JUNGEL VALLEY / LOWER SALEEMANABAD FORMATION","","23.8347","23.8347","80.2514","80.2514","SUBAERIAL","","","s M10 [20674]","METABASALT [20674]","","2200000000 [20674]","","PROTEROZOIC [20674]","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [20674] ","53.88","1.43","","15.24","","","","11.97","3.86","5.75","0.23","","4.16","0.42","0.11","","","","","","","","","","","","","","","","1.23","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","","147","145","","","32","73","","","","","","","","83","52","10.4","556","6.7","","","","","","","","","","","","5.7","279","27.6","48","6","21.5","4.3","1.2","4.1","0.46","2.2","0.34","1.3","0.22","1.5","0.27","13.3","0.57","","","","","","","","","","","6.5","1.4","","","","","","","","","","","","","","","","","","","","","","","","","1108477",
"[20674]","INTRAPLATE VOLCANICS","CENTRAL INDIAN TECTONIC ZONE / MAHAKOSHAL SUPRACRUSTAL BELT / JUNGEL VALLEY / LOWER SALEEMANABAD FORMATION","","23.8347","23.8347","80.2514","80.2514","SUBAERIAL","","","s M11 [20674]","METABASALT [20674]","","2200000000 [20674]","","PROTEROZOIC [20674]","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [20674] ","53.45","1.39","","16.34","","","","11.6","4.2","5.81","0.23","","3.98","0.39","0.11","","","","","","","","","","","","","","","","1.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","","151","151","","","33","79","","","","","","","","79","59","11.3","603","6.3","","","","","","","","","","","","5.5","283","25","47.3","7.2","21.6","4.1","1.1","3.9","0.52","2","0.33","1.3","0.22","1.4","0.26","13.4","0.5","","","","","","","","","","","6.4","1.5","","","","","","","","","","","","","","","","","","","","","","","","","1108478",
"[20674]","INTRAPLATE VOLCANICS","CENTRAL INDIAN TECTONIC ZONE / MAHAKOSHAL SUPRACRUSTAL BELT / JUNGEL VALLEY / LOWER SALEEMANABAD FORMATION","","23.8347","23.8347","80.2514","80.2514","SUBAERIAL","","","s M-13 [20674]","METABASALT [20674]","","2200000000 [20674]","","PROTEROZOIC [20674]","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [20674] ","54.53","1.48","","15.15","","","","11.96","3.12","5.88","0.25","","4.12","0.38","0.11","","","","","","","","","","","","","","","","0.96","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.2","","150.5","119.3","","","32.3","78.9","","","","","","","","82.5","48.2","11.8","610","7.7","","","","","","","","","","","","5.7","289.5","28.7","48.5","6.5","23.6","4.5","1.1","4.2","0.51","2.1","0.35","1.2","0.22","1.5","0.27","13.6","0.55","","","","","","","","","","","6.5","1.5","","","","","","","","","","","","","","","","","","","","","","","","","1108479",
"[20674]","INTRAPLATE VOLCANICS","CENTRAL INDIAN TECTONIC ZONE / MAHAKOSHAL SUPRACRUSTAL BELT / JUNGEL VALLEY / LOWER SALEEMANABAD FORMATION","","23.8347","23.8347","80.2514","80.2514","SUBAERIAL","","","s M-14 [20674]","METABASALT [20674]","","2200000000 [20674]","","PROTEROZOIC [20674]","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [20674] ","52.91","1.42","","16.78","","","","11.38","4.21","5.87","0.25","","4.03","0.38","0.11","","","","","","","","","","","","","","","","1.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.2","","149.8","122.2","","","33","80.3","","","","","","","","81.6","61.3","11.3","584","8","","","","","","","","","","","","5.7","291.9","26.6","45.1","6","21.9","4.15","1.1","4","0.48","2","0.34","1.3","0.22","1.5","0.27","13.1","0.6","","","","","","","","","","","6.4","1.5","","","","","","","","","","","","","","","","","","","","","","","","","1108480",
"[20674]","INTRAPLATE VOLCANICS","CENTRAL INDIAN TECTONIC ZONE / MAHAKOSHAL SUPRACRUSTAL BELT / JUNGEL VALLEY / LOWER SALEEMANABAD FORMATION","","23.8347","23.8347","80.2514","80.2514","SUBAERIAL","","","s M-15 [20674]","METABASALT [20674]","","2200000000 [20674]","","PROTEROZOIC [20674]","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [20674] ","52.87","1.37","","16.69","","","","11.72","4.07","5.94","0.21","","3.95","0.4","0.11","","","","","","","","","","","","","","","","1.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.5","","143.3","166.7","","","29.7","71.5","","","","","","","","77.7","70","10.6","543","6.5","","","","","","","","","","","","5.5","269.9","25.5","49.4","6","21.3","4.1","1","3.8","0.46","2","0.31","1.2","0.21","1.4","0.25","12","0.5","","","","","","","","","","","6.3","1.4","","","","","","","","","","","","","","","","","","","","","","","","","1108481",
