"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20085]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","CHURCHILL PROVINCE_ARCHEAN / RAE SUPRACRUSTAL BELT / RANKIN INLET GREENSTONE BELT / ADAMSON RIVER FORMATION","","63","63","-92","-92","SUBAERIAL","","","s DY8 [20085]","NOT GIVEN [20085]","","","","ARCHEAN [20085]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20085] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.12","6.19","","","","","","","","","","","","","","","","","","","","","","","","0.511487","","","","","","","","","","","","","","","","","","","","","","","","1017603",
"[20085]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","CHURCHILL PROVINCE_ARCHEAN / RAE SUPRACRUSTAL BELT / RANKIN INLET GREENSTONE BELT / ADAMSON RIVER FORMATION","","63","63","-92","-92","SUBAERIAL","","","s SS79 [20085]","NOT GIVEN [20085]","","","","ARCHEAN [20085]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20085] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.85","12.79","","","","","","","","","","","","","","","","","","","","","","","","0.511659","","","","","","","","","","","","","","","","","","","","","","","","1017604",
"[20085]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","CHURCHILL PROVINCE_ARCHEAN / RAE SUPRACRUSTAL BELT / RANKIN INLET GREENSTONE BELT / ADAMSON RIVER FORMATION","","63","63","-92","-92","SUBAERIAL","","","s FS1 [20085]","NOT GIVEN [20085]","","","","ARCHEAN [20085]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20085] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.81","17.96","","","","","","","","","","","","","","","","","","","","","","","","0.511462","","","","","","","","","","","","","","","","","","","","","","","","1017605",
"[20085]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","CHURCHILL PROVINCE_ARCHEAN / RAE SUPRACRUSTAL BELT / RANKIN INLET GREENSTONE BELT / ADAMSON RIVER FORMATION","","63","63","-92","-92","SUBAERIAL","","","s FS18 [20085]","NOT GIVEN [20085]","","","","ARCHEAN [20085]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20085] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.62","26.8","","","","","","","","","","","","","","","","","","","","","","","","0.511436","","","","","","","","","","","","","","","","","","","","","","","","1017606",
"[20085]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","CHURCHILL PROVINCE_ARCHEAN / RAE SUPRACRUSTAL BELT / RANKIN INLET GREENSTONE BELT / ADAMSON RIVER FORMATION","","63","63","-92","-92","SUBAERIAL","","","s FW39 [20085]","NOT GIVEN [20085]","","","","ARCHEAN [20085]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20085] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.86","28.56","","","","","","","","","","","","","","","","","","","","","","","","0.511419","","","","","","","","","","","","","","","","","","","","","","","","1017607",
"[20085]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","CHURCHILL PROVINCE_ARCHEAN / RAE SUPRACRUSTAL BELT / RANKIN INLET GREENSTONE BELT / ADAMSON RIVER FORMATION","","63","63","-92","-92","SUBAERIAL","","","s FZ4A [20085]","NOT GIVEN [20085]","","","","ARCHEAN [20085]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20085] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.45","26.17","","","","","","","","","","","","","","","","","","","","","","","","0.511452","","","","","","","","","","","","","","","","","","","","","","","","1017608",
"[20085]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","CHURCHILL PROVINCE_ARCHEAN / RAE SUPRACRUSTAL BELT / RANKIN INLET GREENSTONE BELT / ADAMSON RIVER FORMATION","","63","63","-92","-92","SUBAERIAL","","","s SH19 [20085]","NOT GIVEN [20085]","","","","ARCHEAN [20085]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20085] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.26","39.01","","","","","","","","","","","","","","","","","","","","","","","","0.511057","","","","","","","","","","","","","","","","","","","","","","","","1017609",
"[20085]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","CHURCHILL PROVINCE_ARCHEAN / RAE SUPRACRUSTAL BELT / RANKIN INLET GREENSTONE BELT / ADAMSON RIVER FORMATION","","63","63","-92","-92","SUBAERIAL","","","s 85TXA-177 [20085]","ANDESITE [20085]","","","","ARCHEAN [20085]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20085] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.64","35.82","","","","","","","","","","","","","","","","","","","","","","","","0.511527","","","","","","","","","","","","","","","","","","","","","","","","1017610",
"[20085]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","CHURCHILL PROVINCE_ARCHEAN / RAE SUPRACRUSTAL BELT / RANKIN INLET GREENSTONE BELT / ADAMSON RIVER FORMATION","","63","63","-92","-92","SUBAERIAL","","","s 85TXA-160 [20085]","BASALT, CALC-ALKALINE [20085]","","","","ARCHEAN [20085]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20085] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.08","18.42","","","","","","","","","","","","","","","","","","","","","","","","0.511575","","","","","","","","","","","","","","","","","","","","","","","","1017611",
"[20085]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","CHURCHILL PROVINCE_ARCHEAN / RAE SUPRACRUSTAL BELT / RANKIN INLET GREENSTONE BELT / ADAMSON RIVER FORMATION","","63","63","-92","-92","SUBAERIAL","","","s 85TXA-399A [20085]","BASALT, CALC-ALKALINE [20085]","","","","ARCHEAN [20085]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20085] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.87","20.89","","","","","","","","","","","","","","","","","","","","","","","","0.511602","","","","","","","","","","","","","","","","","","","","","","","","1017612",
