"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20146]","INTRAPLATE VOLCANICS","CIRCUM-PARANA ALKALINE VOLCANIC PROVINCES - CENOZOIC / BRAZIL_CENOZOIC / RIO GRANDE DO NORTE","14 KM NE OF LAJES","-6","-6","-36","-36","SUBAERIAL","","","s A-64 [20146]","TRACHYBASALT [20146]","","","","CRETACEOUS [20146]","","","","PORPHYRITIC [20146] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [20146] ","51","2.37","","13","","6.13","7.34","","7.74","3.94","0.19","","2.25","3.4","0.53","","1.14","0.73","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48","590","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.70646","","","","","","","","","","","","","","","","","","","","","1086231",
"[20146]","INTRAPLATE VOLCANICS","CIRCUM-PARANA ALKALINE VOLCANIC PROVINCES - CENOZOIC / BRAZIL_CENOZOIC / RIO GRANDE DO NORTE","PEDRA PRETA","-6","-6","-36","-36","SUBAERIAL","","","s A-66 [20146]","THOLEIITE [20146]","","","","CRETACEOUS [20146]","","","","COARSE, PORPHYRITIC [20146] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [20146] ","51","2.4","","12.75","","5.09","8.28","","5.96","3.9","0.18","","2.35","3.85","0.98","","1.51","0.54","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56","607","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7066","","","","","","","","","","","","","","","","","","","","","1086232",
"[20146]","INTRAPLATE VOLCANICS","CIRCUM-PARANA ALKALINE VOLCANIC PROVINCES - CENOZOIC / BRAZIL_CENOZOIC / RIO GRANDE DO NORTE","MORCEGO RANCH","-6","-6","-36","-36","SUBAERIAL","","","s JP-404 [20146]","HAWAIITE [20146]","","","","CRETACEOUS [20146]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20146] ","46.3","1.65","","17","","3.17","8.27","","8.4","6.13","0.15","","1.7","4.3","0.73","","1.14","0.28","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","806","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.70412","","","","","","","","","","","","","","","","","","","","","1086233",
"[20146]","INTRAPLATE VOLCANICS","CIRCUM-PARANA ALKALINE VOLCANIC PROVINCES - CENOZOIC / BRAZIL_CENOZOIC / RIO GRANDE DO NORTE","SERRA PRETA","-5","-5","-36","-36","SUBAERIAL","","","s A-83 [20146]","NEPHELINITE [20146]","","","","CRETACEOUS [20146]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20146] ","39","1.95","","9.92","","5.75","5.76","","11.2","16.58","0.19","","1.3","5","0.8","","1.41","0.71","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","1130","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7041","","","","","","","","","","","","","","","","","","","","","1086237",
"[20146]","INTRAPLATE VOLCANICS","CIRCUM-PARANA ALKALINE VOLCANIC PROVINCES - CENOZOIC / BRAZIL_CENOZOIC / RIO GRANDE DO NORTE","PICOTO CABELO DO NEGRO","-5","-5","-36","-36","SUBAERIAL","","","s A-34 [20146]","BASALT, ALKALINE [20146]","","","","CRETACEOUS [20146]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20146] ","43","2.1","","12","","4.58","7.78","","9.53","11.61","0.17","","2","3","0.48","","2.54","0.78","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56","996","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.704","","","","","","","","","","","","","","","","","","","","","1086240",
"[20146]","INTRAPLATE VOLCANICS","CIRCUM-PARANA ALKALINE VOLCANIC PROVINCES - CENOZOIC / BRAZIL_CENOZOIC / RIO GRANDE DO NORTE","SERROTE PRETO","-5","-5","-36","-36","SUBAERIAL","","","s A-42 [20146]","HAWAIITE [20146]","","","","CRETACEOUS [20146]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20146] ","47","1.4","","12.2","","4.92","8.5","","5","10.3","0.2","","1.9","4.2","0.9","","2.3","0.4","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","524","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.70425","","","","","","","","","","","","","","","","","","","","","1086242",
"[20146]","INTRAPLATE VOLCANICS","CIRCUM-PARANA ALKALINE VOLCANIC PROVINCES - CENOZOIC / BRAZIL_CENOZOIC / RIO GRANDE DO NORTE","SERRA PRETA","-5","-5","-36","-36","SUBAERIAL","","","s A-52 [20146]","PICRITE [20146]","","","","CRETACEOUS [20146]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20146] ","43.5","1.7","","11.52","","3.64","7.84","","7.78","14.42","0.16","","1.7","3.75","0.82","","1.64","0.46","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","803","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.70445","","","","","","","","","","","","","","","","","","","","","1086244",
"[8786]","INTRAPLATE VOLCANICS","CIRCUM-PARANA ALKALINE VOLCANIC PROVINCES - CENOZOIC / BRAZIL_CENOZOIC / BOA VISTA BASIN","PARAIBA","-7.27","-7.4","-36.07","-36.27","SUBAERIAL","","","s RV64A [8786]","BASALT [8786]","","","","NEOGENE [8786]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [8786] ","50.3","3.2","","24","","","","6.39","1.7","1.8","0.02","","0.32","1.9","0.13","","","","","","","","","","","","","","","","9.38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","454","","","","","","","","","","","","","0","373","28","249","47","","","","","","","","","","","","","348","34.43","90.66","","48","11.18","2.66","7.96","","4.68","0.74","1.39","","0.85","0.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","455872",
"[8786]","INTRAPLATE VOLCANICS","CIRCUM-PARANA ALKALINE VOLCANIC PROVINCES - CENOZOIC / BRAZIL_CENOZOIC / BOA VISTA BASIN","PARAIBA","-7.27","-7.4","-36.07","-36.27","SUBAERIAL","","","s RV63A [8786]","BASALT [8786]","","","","NEOGENE [8786]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [8786] ","50.4","1.8","","14.1","","","","10.26","9","8.7","0.15","","0.62","3.1","0.31","","","","","","","","","","","","","","","","0.61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","202","","","","","","","","","","","","","5","397","22","129","27","","","","","","","","","","","","","271","16.42","29.03","","12.93","3.11","0.99","2.89","","1.76","0.26","0.54","","0.37","0.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","455873",
"[8786]","INTRAPLATE VOLCANICS","CIRCUM-PARANA ALKALINE VOLCANIC PROVINCES - CENOZOIC / BRAZIL_CENOZOIC / BOA VISTA BASIN","PARAIBA","-7.27","-7.4","-36.07","-36.27","SUBAERIAL","","","s RV5 [8786]","BASALT [8786]","","","","NEOGENE [8786]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [8786] ","51","1.8","","13.9","","","","9.99","8.9","8.4","0.15","","0.69","2.8","0.29","","","","","","","","","","","","","","","","0.33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","215","","","","","","","","","","","","","0","399","21","121","21","","","","","","","","","","","","","540","14.06","28.02","","14.01","3.5","1.19","3.46","","2.49","0.39","0.81","","0.6","0.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","455874",
