"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[18685]","INTRAPLATE VOLCANICS","CIRCUM-PARANA ALKALINE VOLCANIC PROVINCES - MESOZOIC / BRAZIL_MESOZOIC / PONTA GROSSA ALKALINE IGNEOUS PROVINCE / BARRA DO ITAPIRAPUA CARBONATITE","","-24.75","-24.75","-49.2","-49.2","SUBAERIAL","","","s 10D846 [18685]","CARBONATITE [18685]","","","","MESOZOIC [18685]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18685] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96","","","","","","","","","","","","","","","","187","278.1","","107.6","15.9","3.8","10.1","","8.1","1.8","4.8","","2.7","0.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1048383",
"[18685]","INTRAPLATE VOLCANICS","CIRCUM-PARANA ALKALINE VOLCANIC PROVINCES - MESOZOIC / BRAZIL_MESOZOIC / PONTA GROSSA ALKALINE IGNEOUS PROVINCE / BARRA DO ITAPIRAPUA CARBONATITE","","-24.75","-24.75","-49.2","-49.2","SUBAERIAL","","","s 7DB46 [18685]","CARBONATITE [18685]","","","","MESOZOIC [18685]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18685] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","168","","","","","","","","","","","","","","","","935.3","1392","","496.5","79.6","20.2","51.1","","20.4","3.3","6.4","","2","0.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1048384",
"[18685]","INTRAPLATE VOLCANICS","CIRCUM-PARANA ALKALINE VOLCANIC PROVINCES - MESOZOIC / BRAZIL_MESOZOIC / PONTA GROSSA ALKALINE IGNEOUS PROVINCE / BARRA DO ITAPIRAPUA CARBONATITE","","-24.75","-24.75","-49.2","-49.2","SUBAERIAL","","","s P95B [18685]","CARBONATITE [18685]","","","","MESOZOIC [18685]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18685] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","260","","","","","","","","","","","","","","","","333.5","544.9","","218.9","39.8","11.3","30.5","","21.8","4","9.4","","4","0.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1048385",
"[18685]","INTRAPLATE VOLCANICS","CIRCUM-PARANA ALKALINE VOLCANIC PROVINCES - MESOZOIC / BRAZIL_MESOZOIC / PONTA GROSSA ALKALINE IGNEOUS PROVINCE / BARRA DO ITAPIRAPUA CARBONATITE","","-24.75","-24.75","-49.2","-49.2","SUBAERIAL","","","s P26B [18685]","PHONOLITE [18685]","","","","MESOZOIC [18685]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [18685] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","","","","","","","","","","","","","","","","101.5","161.8","","52.3","7.2","2","5.5","","3.6","0.65","2","","1.95","0.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1048386",
"[18685]","INTRAPLATE VOLCANICS","CIRCUM-PARANA ALKALINE VOLCANIC PROVINCES - MESOZOIC / BRAZIL_MESOZOIC / PONTA GROSSA ALKALINE IGNEOUS PROVINCE / BARRA DO ITAPIRAPUA CARBONATITE","","-24.75","-24.75","-49.2","-49.2","SUBAERIAL","","","s SR501 [18685]","SYENITE [18685]","","","","MESOZOIC [18685]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18685] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","154.7","229.5","","75.1","13.2","4.1","11.8","","7.4","1.3","3.7","","1.9","0.21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1048387",
"[18685]","INTRAPLATE VOLCANICS","CIRCUM-PARANA ALKALINE VOLCANIC PROVINCES - MESOZOIC / BRAZIL_MESOZOIC / PONTA GROSSA ALKALINE IGNEOUS PROVINCE / BARRA DO ITAPIRAPUA CARBONATITE","","-24.75","-24.75","-49.2","-49.2","SUBAERIAL","","","s P78 [18685]","SYENITE [18685]","","","","MESOZOIC [18685]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [18685] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.3","141.3","","41.6","7.3","1.9","5.8","","3.4","0.48","1.6","","1.1","0.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1048388",
"[19144]","INTRAPLATE VOLCANICS","CIRCUM-PARANA ALKALINE VOLCANIC PROVINCES - MESOZOIC / BRAZIL_MESOZOIC / PONTA GROSSA ALKALINE IGNEOUS PROVINCE / JUQUIA COMPLEX","","-24.383","-24.383","-47.817","-47.817","SUBAERIAL","","","s S8 [19144]","CLINOPYROXENITE, OLIVINE [19144]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [19144] ","42","3.06","","4.17","","3.15","11.03","","13.59","20.15","0.21","","0.16","0.6","0.25","","","","","","","","","","","","","","","","1.63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331","1880","","","","118","","","","","","","","10","407","18","95","12","","","","","","","","","","","","","133","12.2","47.1","","30.2","7.5","212","","","4.47","","1.83","","1.09","0.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1076231",
"[19144]","INTRAPLATE VOLCANICS","CIRCUM-PARANA ALKALINE VOLCANIC PROVINCES - MESOZOIC / BRAZIL_MESOZOIC / PONTA GROSSA ALKALINE IGNEOUS PROVINCE / JUQUIA COMPLEX","","-24.383","-24.383","-47.817","-47.817","SUBAERIAL","","","s S9 [19144]","CLINOPYROXENITE, OLIVINE [19144]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [19144] ","40.45","3.64","","5.52","","5.33","10.51","","13.42","18.73","0.22","","0.12","0.77","0.13","","","","","","","","","","","","","","","","1.17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","330","1600","","","","633","","","","","","","","9","613","16","117","10","","","","","","","","","","","","","202","15","48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1076232",
"[19144]","INTRAPLATE VOLCANICS","CIRCUM-PARANA ALKALINE VOLCANIC PROVINCES - MESOZOIC / BRAZIL_MESOZOIC / PONTA GROSSA ALKALINE IGNEOUS PROVINCE / JUQUIA COMPLEX","","-24.383","-24.383","-47.817","-47.817","SUBAERIAL","","","s S2 [19144]","CLINOPYROXENITE, OLIVINE [19144]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [19144] ","38.75","1.8","","2.38","","3.66","12.51","","5.42","31.96","0.25","","0.5","0.39","0.17","","","","","","","","","","","","","","","","2.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","177","2660","","","","0.57","","","","","","","","18","206","7","70","10","","","","","","","","","","","","","276","14.6","37.4","","17.5","3.88","1.08","","","1.6","","0.69","","0.45","0.09","","","","","","","","","","","","","","","","","","0.70567","","","","","","","","","","","","","","","","","","","","","1076233",
"[19144]","INTRAPLATE VOLCANICS","CIRCUM-PARANA ALKALINE VOLCANIC PROVINCES - MESOZOIC / BRAZIL_MESOZOIC / PONTA GROSSA ALKALINE IGNEOUS PROVINCE / JUQUIA COMPLEX","","-24.383","-24.383","-47.817","-47.817","SUBAERIAL","","","s S20 [19144]","MELTEIGITE [19144]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [19144] ","36.27","4.3","","8.08","","7.55","9.55","","15.56","9.88","0.24","","2.39","2.57","2.3","","","","","","","","","","","","","","","","1.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","501","99","","","","91","","","","","","","","61","1340","31","277","85","","","","","","","","","","","","","1900","152","347","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1076234",
