"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[4740]","INTRAPLATE VOLCANICS","COLORADO PLATEAU / NAVAJO SECTION / COLORADO / NAVAJO VOLCANIC FIELD","RING DIKE, BUELL PARK","37.3","37.4","-108.5","-109","SUBAERIAL","","","s BP-69 [4740]","MINETTE [4740]","30000000 [4740]","30000000 [4740]","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [4740] ","55.46","0.91","","10.65","","3.68","1.08","","4.34","9.17","0.05","","6.98","1.42","0.63","","2.09","2.71","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101983",
"[4740]","INTRAPLATE VOLCANICS","COLORADO PLATEAU / NAVAJO SECTION / COLORADO / NAVAJO VOLCANIC FIELD","RING DIKE, BUELL PARK","37.3","37.4","-108.5","-109","SUBAERIAL","","","s BP-41 [4740]","MINETTE [4740]","30000000 [4740]","30000000 [4740]","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [4740] ","58.88","0.87","","13.38","","3.77","1.17","","6.12","4.31","0.06","","7.2","2.87","0.74","","0.36","0.08","","0.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101985",
"[20480]","INTRAPLATE VOLCANICS","COLORADO PLATEAU / GRAND CANYON SECTION / ARIZONA / SAN FRANCISCO VOLCANIC FIELD","","35.24028","35.24028","-111.15629","-111.15629","SUBAERIAL","","","s 1B06SR11 [20480]","BASALT [20480]","","6000000 [20480]","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20480] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.9543532002811","","","","","","","","","","","","","","","11.1209346240535","617.198605394564","20.2169393061649","149.093619852836","32.8663471084138","","","","","","","","","","","","0.1637889784506","581.125143772732","30.5719064287843","63.1295643962998","7.88321254437593","32.0984018789787","6.46325066360222","2.03671861288737","5.40073480192003","0.802843103901758","4.46255323628097","0.836114635158848","2.02766992464539","0.273396679502716","1.65016787405437","0.24855148374355","3.58187309705443","2.06171576832724","","","","","","","","","2.88698048362585","","3.44129573822161","0.892293749343188","0.512767","","","","","18.7169338850793","","15.572769759566","","38.3578304536494","","","","","","","","0.2829633","","","","","","","1069322",
"[20480]","INTRAPLATE VOLCANICS","COLORADO PLATEAU / GRAND CANYON SECTION / ARIZONA / SAN FRANCISCO VOLCANIC FIELD","","35.64897","35.64897","-111.60832","-111.60832","SUBAERIAL","","","s 6711SR11 [20480]","BASALT [20480]","","6000000 [20480]","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20480] ","45.58445","2.07609","","13.67231","","","","10.69016","11.4508","11.50725","0.1885","","0.9581","2.8494","0.68311","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.6216838034246","","285.1","592.9","","","","232.1","78.2","92.7","18.1","","","","","12.6617546739337","834.833205629339","22.0297853940114","175.903174422863","49.9729183537622","","","","","","","","","","","","0.269219897467145","791.093523128222","48.4813069590005","94.0494684651891","11.0974260096811","43.0016564019293","8.07398782501245","2.49259963466748","6.57665283392502","0.906039193281797","4.96137694062304","0.90471976416183","2.17908202763705","0.291774241216059","1.71","0.243139874333882","4.09916025982307","2.93147110015014","","","","","","","","","4.899951321624","","6.5237658377325","1.73862860817251","0.512733","","","","","18.7834608666184","","15.5779443407423","","38.5367137075565","","","","","","","","0.282983","","","","","","","1069323",
"[20480]","INTRAPLATE VOLCANICS","COLORADO PLATEAU / GRAND CANYON SECTION / ARIZONA / SAN FRANCISCO VOLCANIC FIELD","","35.2766","35.2766","-111.28975","-111.28975","SUBAERIAL","","","s SFVF2SR11 [20480]","BASALT [20480]","","6000000 [20480]","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20480] ","45.88281","2.11678","","13.887","","","","10.33446","11.32986","10.37436","0.17452","","1.10859","2.67097","0.56797","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.043977218417","","252.7","544.6","","","","198.8","72.3","88.8","19","","","","","15.0036395566862","652.48655265899","21.8110666218724","165.275658529353","38.3759201030974","","","","","","","","","","","","0.23407641336705","576.003965632188","33.236315252785","68.3723601047347","8.51368696999081","34.4420030105611","6.98771299606322","2.17764951319344","5.87490382918954","0.852400776055748","4.83981420237632","0.891723415969831","2.2055370813666","0.29721010292924","1.74620275742821","0.264299409527019","3.91277550694954","2.39721224324894","","","","","","","","","3.0942239996395","","3.79134176992922","1.15061229161239","0.512805","","","","","18.7971859775793","","15.586030142029","","38.4796917484111","","","","","","","","0.282986","","","","","","","1069324",
"[20480]","INTRAPLATE VOLCANICS","COLORADO PLATEAU / GRAND CANYON SECTION / ARIZONA / SAN FRANCISCO VOLCANIC FIELD","","35.34276","35.34276","-112.17558","-112.17558","SUBAERIAL","","","s 3228SR113 [20480]","BASALT [20480]","","6000000 [20480]","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20480] ","47.88845488","1.86217948","","15.09510268","","","","10.26819892","10.23103326","9.56545086","0.1692782","","1.09698834","3.23837248","0.58038666","","","","","","","","","","","","","","","","-0.048030739673279","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.9457221500213","","211.5232","508.928","","","","178.0254","73.7548","87.1738","17.9914","","","","","8.98496538239343","913.533190043642","21.5362883714409","168.308111667054","37.1410498997261","","","","","","","","","","","","0.181309757540108","825.088602208671","41.1431980500683","75.0985497852859","8.6781046496535","33.2021390698326","6.60957355200248","2.1565485133582","5.65756170195248","0.837150526039762","4.74352778248424","0.857418021784146","2.18092701280566","0.29114553018471","1.74576294044934","0.260386058935449","3.80282075460605","2.06634692770229","","","","","","","","","5.69019625196465","","5.12141821508141","1.44389172334478","0.512756","","","","","18.6278585692815","","15.5655923402517","","38.455613770907","","","","","","","","0.2830235","","","","","","","1069325",
"[20480]","INTRAPLATE VOLCANICS","COLORADO PLATEAU / GRAND CANYON SECTION / ARIZONA / SAN FRANCISCO VOLCANIC FIELD","","35.34276","35.34276","-112.17558","-112.17558","SUBAERIAL","","","s 3228SR11 CHIP3 [20480]","BASALT [20480]","","6000000 [20480]","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20480] ","48.11378","1.85557","","15.14671","","","","10.44736","10.14179","9.40183","0.168","","1.09933","3.26248","0.57742","","","","","","","","","","","","","","","","0.296186597556429","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.288710860498","","207","495.8","","","","174.2","73.9","87.3","19.5","","","","","9.40353633532151","911.082012684809","21.5350840695642","169.45718115548","37.235826292168","","","","","","","","","","","","0.174853848364276","828.622964839558","41.2337376797937","75.3888288287658","8.66023172345124","33.0733956746429","6.61383704312855","2.09679866635226","5.67437699272801","0.833111906225949","4.73156188725055","0.864501364940234","2.15637800976862","0.291988873097669","1.72280493762279","0.262511188210717","3.84574536397089","2.0526886496951","","","","","","","","","5.75222024193411","","5.15182570148929","1.43722310846552","","","","","","","","","","","","","","","","","","","","","","","","","1069326",
"[20480]","INTRAPLATE VOLCANICS","COLORADO PLATEAU / GRAND CANYON SECTION / ARIZONA / SAN FRANCISCO VOLCANIC FIELD","","35.53859","35.53859","-111.63385","-111.63385","SUBAERIAL","","","s 5722ASR11 [20480]","BASALT [20480]","","6000000 [20480]","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20480] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.5455374879221","","","","","","","","","","","","","","","12.2521645855703","630.626771845072","16.6946242669977","143.891546038642","39.3507938793121","","","","","","","","","","","","0.372332277070043","636.614603840139","34.2248280698371","68.4111410268286","8.2952518886689","33.2967457687911","6.5138150547342","2.00142895501644","5.38568265644868","0.734745975412931","3.83896771487063","0.689182806165718","1.64405026648408","0.213686815145001","1.21573035229389","0.176693775158884","3.49169971040098","2.4349553170643","","","","","","","","","1.01695763305237","","4.20651999006976","1.1697433773233","0.512744","","","","","18.7248042156436","","15.5735796888037","","38.3770952053627","","","","","","","","0.2829619","","","","","","","1069327",
"[20480]","INTRAPLATE VOLCANICS","COLORADO PLATEAU / GRAND CANYON SECTION / ARIZONA / SAN FRANCISCO VOLCANIC FIELD","","35.4431","35.4431","-112.05464","-112.05464","SUBAERIAL","","","s 4322SR11 [20480]","BASALT [20480]","","6000000 [20480]","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20480] ","46.11936","2.30685","","14.71507","","","","11.50201","11.51735","8.98416","0.19146","","1.28479","3.06027","0.5597","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.5057901673547","","296.6","156.5","","","","115.2","91","98.9","20.2","","","","","14.6532025713155","726.06808148693","23.7764120815087","175.53757578307","54.631724658233","","","","","","","","","","","","0.244039657955289","716.703587077496","42.1660525267351","79.6617273711105","9.33357781864039","36.8280258631104","7.43726131141227","2.34410423920722","6.55598205208813","0.973627931193589","5.30948150120823","0.987965396307183","2.41168599862697","0.320137683178704","1.85018960940122","0.272656361864937","4.17229881870606","3.32043251155089","","","","","","","","","3.45990079719576","","5.39187249429497","1.385882698005","0.512855","","","","","18.6918824061401","","15.5658415805249","","38.4984214938306","","","","","","","","0.28304","","","","","","","1069328",
"[20480]","INTRAPLATE VOLCANICS","COLORADO PLATEAU / GRAND CANYON SECTION / ARIZONA / SAN FRANCISCO VOLCANIC FIELD","","35.178","35.178","-112.07655","-112.07655","SUBAERIAL","","","s 1328SR11 [20480]","BASALT [20480]","","6000000 [20480]","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20480] ","52.61616","1.89737","","12.84003","","","","9.32376","8.36632","8.21486","0.14904","","1.96771","3.702","0.50063","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.6795542637729","","185","392.7","","","","215.5","70.9","98.3","17.9","","","","","33.0634894041526","702.485404709859","20.6886746403928","164.787747859034","51.7098258299713","","","","","","","","","","","","0.516952921677457","1137.74548221543","35.3140135562328","67.9306573814185","8.4607076856809","33.6673612849393","7.08229156380302","2.26369332237882","6.14925686952686","0.909051433225261","4.84564209436033","0.83539173918449","1.94583592526634","0.250648198974361","1.4547900276635","0.208072495186575","4.11372521901155","3.36531541399081","","","","","","","","","11.3046423528295","","4.90395704215224","1.90589039899928","0.512838","","","","","17.9451944147907","","15.505340658323","","37.5580699315712","","","","","","","","0.2829536","","","","","","","1069329",
