"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[103]","OCEAN ISLAND","COMOROS / GRANDE COMORE (NJAZIDJA) / MOUNT KARTHALA / INDIAN OCEAN","","-11.35","-11.35","43.2","43.2","SUBAERIAL","","","s 85KA37 [103]","BASALT [103]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [103] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0000184","","","","","","","","","","","","","","","","","","","","","","","1.235","","","","","","","","","","","10104",
"[174][183][173][459]","OCEAN ISLAND","COMOROS / COMOROS / INDIAN OCEAN","","-12","-12","44","44","SUBAERIAL","","","s AJ-21-9 [174]","BASALT [174]","1500000 [459]","1500000 [459]","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [174] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","155","42.8","","","","","","","","2.08","0.256","","","","","36.5","68.4","9.11","38.1","7.06","2.13","","","","","","","","","4.25","","","0.000446","0.0000355","","","","","","4.24","","","0.864","0.51288","","","0.70319","","20.418","","15.681","","40.072","","","","1.231","","494","","","","","","","","","1359-AJ-21-9",
"[1303][459]","OCEAN ISLAND","COMOROS / GRANDE COMORE (NJAZIDJA) / MOUNT KARTHALA / INDIAN OCEAN","","-11.35","-11.35","43.2","43.2","SUBAERIAL","","","s GC-5 [1303] / s 72-GC-5 [459]","HAWAIITE [1303] / BASALT, ALKALINE [459]","","","","","","","","FINE-GRAINED TO CRYPTOCRYSTALLINE , SLIGHTLY TO HIGHLY VESICULAR, SPARSELY TO COARSELY PORPHYRITIC [1303] ","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [1303] ","46.8","2.65","","14.63","","1.59","10.59","","10.64","6.81","0.18","","1.28","3.78","0.47","","","0.68","","","","","","","","","","","","","0.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","","253","145","","","53","115","94","107","","","","","","31","557","29","224","52","","","","","","","","","","","","","374","42","74.7","9.44","35.7","8.64","2.61","7.91","1.13","6.07","","3.19","","2.75","","","","","0.000283","0.0000377","","","","","","","","5.6","","0.51266","","","0.70393","","19.259","","15.548","","39.31","","","","1.263","","294","","","","","","","","","1405-GC-5",
"[850][13472]","OCEAN ISLAND","COMOROS / GRANDE COMORE (NJAZIDJA) / MOUNT KARTHALA / INDIAN OCEAN","","-11.35","-11.35","43.2","43.2","SUBAERIAL","","","s K10 [850]","BASALT, ALKALINE [850]","","","","","","","","INTERGRANULAR MATRIX [850] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [850] ","46.83","2.56","","13.47","","3.65","7.88","","10.33","9.24","0.18","","1.32","3.16","0.45","0.25","","","","0.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.4","","","428","","","","169","","","","","","","","32","599","27","233","51","","","","","","","","","","","","","384","40.4","76","","38","7.14","2.27","7.1","1.01","","1.2","","0.34","2.04","0.28","5.4","3.09","","0.000234","0.0000758","","","","","","3.416","","4.8","1.103","0.512682","","","0.70388","","19.601","","15.597","","39.639","","","","","0.1566","","14.9","","","","","","","","1405-K10",
"[850][13472]","OCEAN ISLAND","COMOROS / GRANDE COMORE (NJAZIDJA) / MOUNT KARTHALA / INDIAN OCEAN","","-11.35","-11.35","43.2","43.2","SUBAERIAL","","","s K11 [850]","BASALT, ALKALINE [850]","","","","","","","","INTERGRANULAR MATRIX [850] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [850] ","46.75","2.44","","13.22","","2.87","8.85","","10.31","9.5","0.19","","1.29","3.05","0.45","0.4","","","","0.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.2","","","530","","","","185","","","","","","","","32","547","28","232","51","","","","","","","","","","","","","368","40.9","81.7","9.52","36.6","6.83","2.1","6.24","0.89","","0.9","2.44","0.33","2.07","0.3","5.5","2.95","","0.000272","0.0000844","","","","","","3.463","","4.742","1.098","0.512659","","","0.703912","","19.581","","15.599","","39.629","","","","","0.1563","","15.6","","","","","","","","1405-K11",
"[850][7510][13472]","OCEAN ISLAND","COMOROS / GRANDE COMORE (NJAZIDJA) / MOUNT KARTHALA / INDIAN OCEAN","","-11.35","-11.35","43.2","43.2","SUBAERIAL","","","s K13 [850]","BASALT, ALKALINE [850]","","","","","","","","INTERGRANULAR MATRIX [850] ","VOLCANIC ROCK","","","","HE(CCMSTP/G) from OLIVINE [7510], HE3_HE4 from OLIVINE [7510]","WHOLE_ROCK [850] / MINERAL / COMPONENT (INCL. GROUNDMASS) [7510] ","47.25","2.57","","13.62","","2.83","8.76","","10.35","9.3","0.18","","1.33","3.29","0.46","0.18","","","","0","","","","","","","","","","","","","","","","0.000000136","","","","","","","","","","","","","","","","","","","","","","","","","","427","","","","171","","","","","","","","30.3","562","26","236","51.4","","","","","","","","","","","","0.248","371","41.9","84.9","9.77","37.9","7.21","2.34","6.7","0.985","5.3","0.971","2.57","0.332","2.08","0.3","5.59","3.07","","0.00026","0.0000463","","","","","","3.544","","4.861","1.128","0.512694","","","0.703872","","19.594","","15.587","","39.601","","","","","0.1581","","27.2","","5.24","","","","","","1405-K13",
"[850][7510]","OCEAN ISLAND","COMOROS / GRANDE COMORE (NJAZIDJA) / MOUNT KARTHALA / INDIAN OCEAN","","-11.35","-11.35","43.2","43.2","SUBAERIAL","","","s K18 [850]","BASALT, ALKALINE [850]","","","","","","","","INTERGRANULAR MATRIX [850] ","VOLCANIC ROCK","","","","HE(CCMSTP/G) from OLIVINE [7510], HE3_HE4 from CLINOPYROXENE [7510]","WHOLE_ROCK [850] / MINERAL / COMPONENT (INCL. GROUNDMASS) [7510] ","47.73","2.42","","13.66","","4.44","7.52","","10.84","8.22","0.18","","1.02","2.94","0.35","0.14","","","","0.01","","","","","","","","","","","","","","","","0.0000000251","","","","","","","","","","","","","","","","","","","","","","","30.7","","","297","","","","140","","","","","","","","21.67","438.1","27","184","37","","","","","","","","","","","","","303","30.7","63.2","7.55","29.98","6.36","2.01","6.19","0.9","","0.99","2.53","0.34","2.08","0.27","4.8","2.4","","","","","","","","","2.489","","3.389","0.699","0.512671","","","0.703914","","19.47","","15.569","","39.513","","","","","","","","","5.31","","","","","","1405-K18",
"[850][7510][13472]","OCEAN ISLAND","COMOROS / GRANDE COMORE (NJAZIDJA) / MOUNT KARTHALA / INDIAN OCEAN","","-11.35","-11.35","43.2","43.2","SUBAERIAL","","","s K19 [850]","BASALT, ALKALINE [850]","","","","","","","","INTERGRANULAR MATRIX [850] ","VOLCANIC ROCK","","","","HE(CCMSTP/G) from OLIVINE [7510], HE3_HE4 from OLIVINE [7510]","WHOLE_ROCK [850] / MINERAL / COMPONENT (INCL. GROUNDMASS) [7510] ","47.23","2.19","","12.73","","2.88","9.3","","11.68","10.94","0.18","","1.03","2.77","0.34","0.05","","","","0.01","","","","","","","","","","","","","","","","0.0000000124","","","","","","","","","","","","","","","","","","","","","","","34.2","","","434","","","","256","","","","","","","","23","428.4","25","165","40","","","","","","","","","","","","","320","31.8","61","","28.92","5.9","1.98","5.4","0.88","","1.2","","0.36","1.75","0.28","4.4","2.59","","0.000216","0.0000614","","","","","","2.414","","3.524","0.83","0.512717","","","0.703744","","19.469","","15.584","","39.472","","","","","0.1517","","17.2","","5.48","","","","","","1405-K19",
"[850][13472]","OCEAN ISLAND","COMOROS / GRANDE COMORE (NJAZIDJA) / MOUNT KARTHALA / INDIAN OCEAN","","-11.35","-11.35","43.2","43.2","SUBAERIAL","","","s K26 [850]","BASALT, ALKALINE [850]","","","","","","","","INTERGRANULAR MATRIX [850] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [850] ","46.84","2.8","","14.89","","4.98","7.2","","11.28","6.11","0.18","","1.35","3.33","0.46","0.14","","","","0.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.6","","","98","","","","61","","","","","","","","34","575","30","218","55","","","","","","","","","","","","","461","42.1","81","","40","7.6","2.47","6.9","1.12","","1.2","","0.44","2.28","0.29","5.9","3.32","","0.000265","0.0000067","","","","","","3.102","","5.167","1.155","0.512697","","","0.703782","","19.324","","15.549","","39.364","","","","","0.1536","","192","","","","","","","","1405-K26",
"[7510][13472]","OCEAN ISLAND","COMOROS / GRANDE COMORE (NJAZIDJA) / MOUNT KARTHALA / INDIAN OCEAN","","-11.35","-11.35","43.2","43.2","SUBAERIAL","","","s K41 [7510]","BASALT, ALKALINE [7510]","","","","","","","","INTERGRANULAR MATRIX [7510] ","VOLCANIC ROCK","","","","HE(CCMSTP/G) from OLIVINE [7510], HE3_HE4 from OLIVINE [7510]","WHOLE_ROCK [7510] / MINERAL / COMPONENT (INCL. GROUNDMASS) [7510] ","46.34","2.29","","12.34","","","","11.72","10.8","11.47","0.18","","0.97","3.11","0.37","","","0.05","","","","","","","","","","","","","-0.62","","","","","0.0000000597","","","","","","","","","","","","","","","","","","","","","","","30","","247","551","","","58","318","91","97","","","","","","24.2","449","23","192","42.1","","","","","","","","","","","","0.245","301","31","63.8","7.59","30.7","6.17","1.97","5.65","0.824","4.56","0.845","2.23","0.288","1.77","0.251","4.18","2.35","","0.000264","0.0001009","","","","","","2.5","","3.62","0.913","0.512712","","","0.703724","","19.466","","15.581","","39.492","","","","","0.1515","","14.2","","5.77","","","","","","1405-K41",
