"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[103]","OCEAN ISLAND","CROZET ISLANDS / ILE DE L^EST / INDIAN OCEAN","","-47","-47","53","53","SUBAERIAL","","","s ILEDEL^EST [103]","BASALT [103]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [103] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.131","","","","","","","","","","","10101",
"[103]","OCEAN ISLAND","CROZET ISLANDS / ILE DE L^EST / INDIAN OCEAN","","-47","-47","53","53","SUBAERIAL","","","s ILEDEL^EST [103]","BASALT [103]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [103] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000207","0.000144","","","","","","","","","","","","","","","","","","","","","","","1.127","","","","","","","","","","","10102",
"[20510]","OCEAN ISLAND","CROZET ISLANDS / ILE DE L^EST / INDIAN OCEAN","ALBATROS VALLEY","-47","-47","53","53","SUBAERIAL","","","s CE0106 [20510]","BASALT [20510]","9000000 [20510]","9000000 [20510]","","MIOCENE [20510]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20510] ","47.58","3.27","","14.59","","","","11.29","11.68","6.83","0.18","","1.34","2.7","0.49","","","0.12","","","","","","","","","","","","","-0.57","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.2","","","","","","","","","","","","","","","32.2","573","28","273","51","","","","","","","","","","","","0.23","318","43.99","91.64","11.33","45.44","9.65","2.93","8.28","1.21","6.48","1.16","2.73","0.36","2.07","0.29","6.7","3.4","","","","","","","","","2.76","","5.79","1.39","","","","","","","","","","","","","","","","","","","","","","","","","1074257",
"[20510]","OCEAN ISLAND","CROZET ISLANDS / ILE DE L^EST / INDIAN OCEAN","ALBATROS VALLEY","-47","-47","53","53","SUBAERIAL","","","s CE0084 [20510]","BASALT [20510]","9000000 [20510]","9000000 [20510]","","MIOCENE [20510]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20510] ","47","3.18","","12.93","","","","9.94","12.73","9.9","0.15","","1.09","2.19","0.41","","","0.15","","","","","","","","","","","","","-0.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.3","","","","","","","","","","","","","","","19.1","405","23","203","37.2","","","","","","","","","","","","0.46","253","31.32","65.6","8.25","33.95","7.37","2.31","6.57","0.96","5.22","0.95","2.26","0.3","1.68","0.24","5.2","2.5","","","","","","","","","2.19","","4.01","0.97","","","","","","","","","","","","","","","","","","","","","","","","","1074258",
"[20510]","OCEAN ISLAND","CROZET ISLANDS / ILE DE L^EST / INDIAN OCEAN","ALBATROS VALLEY","-47","-47","53","53","SUBAERIAL","","","s CE0061 [20510]","BASALT [20510]","9000000 [20510]","9000000 [20510]","","MIOCENE [20510]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20510] ","46.76","3.12","","14.41","","","","12.65","12.07","6.27","0.19","","1.27","2.6","0.48","","","0.12","","","","","","","","","","","","","-0.58","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.7","","","","","","","","","","","","","","","29.8","567","28","249","48.6","","","","","","","","","","","","0.24","327","41.21","85.45","10.58","42.73","9.04","2.81","7.87","1.17","6.35","1.16","2.75","0.36","2.11","0.3","6.1","3.2","","","","","","","","","2.62","","5.41","1.19","","","","","","","","","","","","","","","","","","","","","","","","","1074259",
"[20510]","OCEAN ISLAND","CROZET ISLANDS / ILE DE L^EST / INDIAN OCEAN","ALBATROS VALLEY","-47","-47","53","53","SUBAERIAL","","","s CE0054 [20510]","BASALT [20510]","9000000 [20510]","9000000 [20510]","","MIOCENE [20510]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20510] ","46.45","3.07","","14.33","","","","12.49","12.14","6.36","0.19","","1.21","2.54","0.46","","","0.14","","","","","","","","","","","","","-0.54","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.9","","","","","","","","","","","","","","","26.6","549","27","242","47.1","","","","","","","","","","","","0.26","319","40.23","83.71","10.38","41.92","8.89","2.75","7.71","1.15","6.22","1.13","2.69","0.36","2.03","0.29","6","3.1","","","","","","","","","2.58","","5.24","1.09","","","","","","","","","","","","","","","","","","","","","","","","","1074260",
"[20510]","OCEAN ISLAND","CROZET ISLANDS / ILE DE L^EST / INDIAN OCEAN","ALBATROS VALLEY","-47","-47","53","53","SUBAERIAL","","","s CE0041 [20510]","BASALT [20510]","9000000 [20510]","9000000 [20510]","","MIOCENE [20510]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20510] ","46.82","3.13","","14.67","","","","12.73","11.92","6","0.2","","1.25","2.77","0.48","","","0.09","","","","","","","","","","","","","-0.65","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","","","","","","","","","","","","","","","29.1","559","28","253","49.6","","","","","","","","","","","","0.15","306","42.04","87.6","10.75","43.21","8.93","2.87","7.83","1.17","6.35","1.15","2.8","0.36","2.11","0.3","6.3","3.3","","","","","","","","","2.8","","5.47","1.04","","","","","","","","","","","","","","","","","","","","","","","","","1074261",
"[20510]","OCEAN ISLAND","CROZET ISLANDS / ILE DE L^EST / INDIAN OCEAN","ALBATROS VALLEY","-47","-47","53","53","SUBAERIAL","","","s CE0031 [20510]","BASALT [20510]","9000000 [20510]","9000000 [20510]","","MIOCENE [20510]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20510] ","46.59","3.03","","14.25","","","","12.54","12.08","6.57","0.2","","1.17","2.56","0.46","","","0.09","","","","","","","","","","","","","-0.59","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.5","","","","","","","","","","","","","","","26.5","543","27","244","47.7","","","","","","","","","","","","0.27","298","40.89","85.42","10.55","42.18","8.78","2.78","7.66","1.14","6.2","1.11","2.72","0.36","2.03","0.3","6","3.2","","","","","","","","","2.74","","5.2","1.12","","","","","","","","","","","","","","","","","","","","","","","","","1074262",
"[20510]","OCEAN ISLAND","CROZET ISLANDS / ILE DE L^EST / INDIAN OCEAN","PIC MARION","-47","-47","53","53","SUBAERIAL","","","s CE0432 [20510]","BASALT [20510]","9000000 [20510]","9000000 [20510]","","MIOCENE [20510]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20510] ","47.18","2.87","","13.42","","","","11.35","12.64","7.67","0.18","","1.2","2.26","0.38","","","0.14","","","","","","","","","","","","","-0.39","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.4","","","","","","","","","","","","","","","29.5","459","26","219","43.2","","","","","","","","","","","","0.18","287","35.64","74.12","9.24","37.37","7.92","2.53","7.04","1.04","5.75","1.04","2.53","0.32","1.92","0.27","5.5","2.9","","","","","","","","","2.41","","4.61","1.12","","","","","","","","","","","","","","","","","","","","","","","","","1074265",
"[20510]","OCEAN ISLAND","CROZET ISLANDS / ILE DE L^EST / INDIAN OCEAN","PIC MARION","-47","-47","53","53","SUBAERIAL","","","s CE0412 [20510]","BASALT [20510]","9000000 [20510]","9000000 [20510]","","MIOCENE [20510]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20510] ","48.24","2.87","","12.94","","","","9.94","13.52","8.5","0.16","","1.09","2.31","0.37","","","0.08","","","","","","","","","","","","","-0.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.3","","","","","","","","","","","","","","","23.3","410","23","203","37.5","","","","","","","","","","","","0.12","233","31.78","67.01","8.38","34.01","7.27","2.3","6.52","0.97","5.22","0.95","2.34","0.3","1.75","0.25","5","2.5","","","","","","","","","2.09","","4.16","0.91","","","","","","","","","","","","","","","","","","","","","","","","","1074266",
