"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[1677]","INTRAPLATE VOLCANICS","DAMARA BELT / CRETACEOUS DAMARALAND PROVINCE / MESSUM COMPLEX","","-21.53","-21.53","14.1","14.1","SUBAERIAL","","","s ME6 [1677]","GABBRO [1677]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [1677] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58","232","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.70618","","","","","","","","","","","","","","","","","","","","","101370",
"[1677]","INTRAPLATE VOLCANICS","DAMARA BELT / CRETACEOUS DAMARALAND PROVINCE / MESSUM COMPLEX","","-21.53","-21.53","14.1","14.1","SUBAERIAL","","","s ME6 [1677]","GABBRO [1677]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [1677] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.22","423","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.70495","","","","","","","","","","","","","","","","","","","","","101371",
"[1677]","INTRAPLATE VOLCANICS","DAMARA BELT / CRETACEOUS DAMARALAND PROVINCE / MESSUM COMPLEX","","-21.53","-21.53","14.1","14.1","SUBAERIAL","","","s ME6 [1677]","GABBRO [1677]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [1677] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","302","83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.72519","","","","","","","","","","","","","","","","","","","","","101372",
"[1677]","INTRAPLATE VOLCANICS","DAMARA BELT / CRETACEOUS DAMARALAND PROVINCE / MESSUM COMPLEX","","-21.53","-21.53","14.1","14.1","SUBAERIAL","","","s ME7 [1677]","GABBRO [1677]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [1677] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","196","67.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.72056","","","","","","","","","","","","","","","","","","","","","101373",
"[1677]","INTRAPLATE VOLCANICS","DAMARA BELT / CRETACEOUS DAMARALAND PROVINCE / MESSUM COMPLEX","","-21.53","-21.53","14.1","14.1","SUBAERIAL","","","s ME8 [1677]","GABBRO [1677]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [1677] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","145","58.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.71799","","","","","","","","","","","","","","","","","","","","","101374",
"[17865]","INTRAPLATE VOLCANICS","DAMARA BELT / CRETACEOUS DAMARALAND PROVINCE / KALKFELD IGNEOUS COMPLEX","","-20.57","-20.57","16","16","SUBAERIAL","","","s N15 [17865]","CARBONATITE [17865]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [17865] ","0.79","0","","0.13","","","","3.35","51.82","0.21","0.91","","0","0.07","2.22","","","","","37.44","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","26","","25","13","","","19","16","49","86","54","","","","","1","8064","333","37","189","","","","","","","","","","","","","434","2967","5193","","2897.8","334.65","75.8","212","","113","","47.6","","23.9","3.9","","","","","","","","","","","","","252","","0.512575","","","0.703669","","","","","","","","","","","","","","","","","","","","","1047141",
"[17865]","INTRAPLATE VOLCANICS","DAMARA BELT / CRETACEOUS DAMARALAND PROVINCE / KALKFELD IGNEOUS COMPLEX","","-20.57","-20.57","16","16","SUBAERIAL","","","s N33 [17865]","CARBONATITE [17865]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [17865] ","25.67","2.38","","9.31","","","","8.74","21.2","5.75","0.56","","3.47","0.61","1.2","","","","","13.93","","","","","","","","","","","","","","","","","","","","","","","","","","8","","","","","","","","","","","","","32","","148","362","","","31","86","53","127","16","","","","","66","5844","86","275","170","","","","","","","","","","","","","0","183","285","","180.06","35.74","9.7","23.7","","13.2","","7.1","","6.1","1.1","","","","","","","","","","","","","301","","0.51258","","","0.703918","","","","","","","","","","","","","","","","","","","","","1047142",
"[4639]","INTRAPLATE VOLCANICS","DAMARA BELT / CRETACEOUS DAMARALAND PROVINCE / MESSUM COMPLEX","","-21.53","-21.53","14.1","14.1","SUBAERIAL","","","s SMG094D [4639]","NOT GIVEN [4639]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [4639] ","79.36","0.22","","11.67","","","","2.41","0.38","0.23","0.03","","4.56","4.13","0.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","3","4.3","","","1","1.2","7","38","","","","","","206.8","35.7","130","602","79","","","","","","","","","","","","","322","81.5","167","","87.5","17.9","1.4","19.1","3.2","","4.3","","","11.2","1.5","15.6","5.9","","","","","","","","","8.2","","22.6","4.3","0.512555","","","0.740388","","19.825","","15.682","","39.564","","","","","","","","","","","","","","","114789",
"[4639]","INTRAPLATE VOLCANICS","DAMARA BELT / CRETACEOUS DAMARALAND PROVINCE / MESSUM COMPLEX","","-21.53","-21.53","14.1","14.1","SUBAERIAL","","","s SMG094F [4639]","NOT GIVEN [4639]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [4639] ","63.45","0.62","","16.75","","","","6.35","1.85","0.57","0.1","","4.52","5.67","0.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","","3","3.7","","","","","12","72","","","","","","152","159","104","804","152","","","","","","","","","","","","","1381","76.5","161","","75.5","14.5","3.6","15.7","2.6","","3.4","","","10.4","1.5","16.3","7.7","","","","","","","","","8.6","","17.3","3.7","0.512655","","","0.711318","","19.139","","15.651","","39.18","","","","","","","","","","","","","","","114790",
"[4761]","INTRAPLATE VOLCANICS","DAMARA BELT / SOUTHERN ETENDEKA PROVINCE - NAMIBIA / ETANENO COMPLEX","","-20.5","-20.5","16","16","SUBAERIAL","","","s ET1 [4761]","SYENITE, NEPHELINE [4761]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [4761] ","55.38","0.87","","18.78","","2.15","4.14","","2.33","0.87","0.25","","5.33","8.2","0.29","","0.6","0.36","","0.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","980","","","","","","2192","","","","","","","","","","","","","","","","","","250","179","63","783","342","","","","","","","","","","","","","1554","288","475","","149","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","119789",
