"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[7624]","INTRAPLATE VOLCANICS","DARFUR DOME VOLCANIC PROVINCE SUDAN / MEIDOB HILLS","","15.23","15.23","26.5","26.5","SUBAERIAL","","","s GU107 [7624]","BASALT [7624]","","6800000 [7624]","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [7624] ","45.6","3","","15.53","","","","12.29","9.77","7.39","0.19","","1.73","3.2","0.61","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","","297","164","","","","92","","","","","","","","31","702","26","262","62","","","","","","","","","","","","","471","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","328644",
"[7624]","INTRAPLATE VOLCANICS","DARFUR DOME VOLCANIC PROVINCE SUDAN / MEIDOB HILLS","","15.23","15.23","26.5","26.5","SUBAERIAL","","","s DP76A [7624]","BASALT [7624]","","6800000 [7624]","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [7624] ","46.63","2.22","","14.86","","","","11.18","8.99","8.37","0.19","","1.79","2.72","0.62","","","","","","","","","","","","","","","","0.44","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","","202","235","","","","182","","","","","","","","50","666","24","274","75","","","","","","","","","","","","","567","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","328646",
"[7624]","INTRAPLATE VOLCANICS","DARFUR DOME VOLCANIC PROVINCE SUDAN / MEIDOB HILLS","","15.23","15.23","26.5","26.5","SUBAERIAL","","","s GU107 [7624]","BASALT [7624]","","6800000 [7624]","","","","","","","VOLCANIC ROCK","","","","HE3_HE4(R/R(A)) from OLIVINE [7624]","MINERAL / COMPONENT (INCL. GROUNDMASS) [7624] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","","","","","328651",
"[7624]","INTRAPLATE VOLCANICS","DARFUR DOME VOLCANIC PROVINCE SUDAN / MEIDOB HILLS","","15.23","15.23","26.5","26.5","SUBAERIAL","","","s GU108 [7624]","NOT GIVEN [7624]","","6800000 [7624]","","","","","","","VOLCANIC ROCK","","","","HE3_HE4(R/R(A)) from OLIVINE [7624]","MINERAL / COMPONENT (INCL. GROUNDMASS) [7624] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.1","","","","","328652",
"[7624]","INTRAPLATE VOLCANICS","DARFUR DOME VOLCANIC PROVINCE SUDAN / MEIDOB HILLS","","15.23","15.23","26.5","26.5","SUBAERIAL","","","s DP76A [7624]","BASALT [7624]","","6800000 [7624]","","","","","","","VOLCANIC ROCK","","","","HE3_HE4(R/R(A)) from OLIVINE [7624]","MINERAL / COMPONENT (INCL. GROUNDMASS) [7624] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.2","","","","","328654",
"[8189]","INTRAPLATE VOLCANICS","DARFUR DOME VOLCANIC PROVINCE SUDAN / JEBEL MARRA","SW OF GULDO","13.75","13.75","24.5","24.5","SUBAERIAL","","","s X36 [8189]","GRANITE [8189]","1100000000 [8189]","1100000000 [8189]","","PROTEROZOIC [8189]","","","","FOLIATED [8189] ","PLUTONIC ROCK","","","","","WHOLE_ROCK [8189] ","72.04","0.03","","13.07","","","","0.4","0.67","0.02","0.09","","4.41","4.38","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","147","69","26","35","18","","","","","","","","","","","","","208","20.2","36.44","","18.5","5.69","0.65","6.05","","9.14","","5.36","","5.36","","","","","","","","","","","","48","","10","2.21","0.511398","","","0.764478","","18.598","","16.026","","39.746","","","","","","","","","","","","","","","328665",
"[8189]","INTRAPLATE VOLCANICS","DARFUR DOME VOLCANIC PROVINCE SUDAN / JEBEL MARRA","KAS","13.75","13.75","24.5","24.5","SUBAERIAL","","","s X137 [8189]","GRANITE [8189]","1100000000 [8189]","1100000000 [8189]","","PROTEROZOIC [8189]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [8189] ","70.09","0.31","","14.98","","","","1.89","1.97","0.63","0.06","","3.69","4.86","0.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","69","814","6","156","10","","","","","","","","","","","","","2468","48.35","79.98","","29.94","4.43","1.31","2.82","","1.49","","0.64","","0.54","","","","","","","","","","","","30","","11","1.27","0.51127","","","0.709028","","16.926","","15.622","","37.804","","","","","","","","","","","","","","","328666",
"[8189]","INTRAPLATE VOLCANICS","DARFUR DOME VOLCANIC PROVINCE SUDAN / JEBEL MARRA","SW OF GULDO","13.75","13.75","24.5","24.5","SUBAERIAL","","","s X37 [8189]","GRANITE [8189]","1100000000 [8189]","1100000000 [8189]","","PROTEROZOIC [8189]","","","","FINE-GRAINED [8189] ","PLUTONIC ROCK","","","","","WHOLE_ROCK [8189] ","67.18","0.46","","15.28","","","","2.52","2.58","1.2","0.05","","2.99","5.08","0.19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","","","","","","","","55","678","5","217","7","","","","","","","","","","","","","2043","61.83","95.79","","34.19","4.47","1.27","2.46","","1.27","","0.52","","0.41","","","","","","","","","","","","14","","16","2.21","0.511368","","","0.70863","","17.625","","15.672","","38.661","","","","","","","","","","","","","","","328667",
"[8189]","INTRAPLATE VOLCANICS","DARFUR DOME VOLCANIC PROVINCE SUDAN / JEBEL MARRA","KALOKITTING","13.75","13.75","24.5","24.5","SUBAERIAL","","","s X135 [8189]","GNEISS, BIOTITE [8189]","1100000000 [8189]","1100000000 [8189]","","PROTEROZOIC [8189]","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [8189] ","74.04","0.3","","14.73","","","","2.28","2.23","0.77","0.07","","3.82","4.09","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","104","350","7","140","5","","","","","","","","","","","","","1075","27.6","42.7","","17.36","2.51","0.63","1.77","","0.64","","0.27","","0.21","","","","","","","","","","","","23","","29","1.48","0.510747","","","0.73063","","17.472","","15.811","","41.358","","","","","","","","","","","","","","","328668",
"[8189]","INTRAPLATE VOLCANICS","DARFUR DOME VOLCANIC PROVINCE SUDAN / JEBEL MARRA","NYALA","13.75","13.75","24.5","24.5","SUBAERIAL","","","s X139 [8189]","GNEISS [8189]","1100000000 [8189]","1100000000 [8189]","","PROTEROZOIC [8189]","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [8189] ","72.22","0.16","","14.1","","","","0.9","1.15","0.26","0.05","","4.81","3.92","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","198","220","11","93","8","","","","","","","","","","","","","888","43.38","67.08","","21.38","3.66","0.59","2.69","","2.1","","1.09","","1","","","","","","","","","","","","67","","34","5.46","0.512052","","","0.727068","","19.035","","15.709","","38.954","","","","","","","","","","","","","","","328669",
