"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[4695]","CONTINENTAL FLOOD BASALT","DECCAN / SOUTHERN DECCAN / WAI SUBGROUP - MAHABALESHWAR FORMATION","KOLHAPUR SECTION","16.7","16.7","74.32","74.32","SUBAERIAL","","","s KP-02-51 [4695]","BASALT [4695]","","","","CENOZOIC [4695]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [4695] ","49.93","3","","13.14","","","","14.77","9.97","5.85","0.23","","0.49","2.34","0.28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","524","95","","","","81","227","139","24","","","","","11","226","38","182","15","","","","","","","","","","","","","77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","102303",
"[4695]","CONTINENTAL FLOOD BASALT","DECCAN / SOUTHERN DECCAN / WAI SUBGROUP - PANHALA FORMATION","KOLHAPUR SECTION","16.7","16.7","74.32","74.32","SUBAERIAL","","","s KP-03-51 [4695]","BASALT [4695]","","","","CENOZOIC [4695]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [4695] ","50.28","1.85","","13.88","","","","13.46","11.25","6.54","0.19","","0.29","2.09","0.17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","407","92","","","","75","191","110","20","","","","","3","150","32","115","8","","","","","","","","","","","","","48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","102304",
"[4695]","CONTINENTAL FLOOD BASALT","DECCAN / SOUTHERN DECCAN / WAI SUBGROUP - PANHALA FORMATION","KOLHAPUR SECTION","16.7","16.7","74.32","74.32","SUBAERIAL","","","s KP-04-51 [4695]","BASALT [4695]","","","","CENOZOIC [4695]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [4695] ","50.15","1.81","","14.04","","","","13.13","11.82","6.41","0.2","","0.21","2.07","0.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","403","93","","","","75","185","108","21","","","","","4","151","32","114","7","","","","","","","","","","","","","34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","102305",
"[4695]","CONTINENTAL FLOOD BASALT","DECCAN / SOUTHERN DECCAN / WAI SUBGROUP - AMBENALI FORMATION","AMBA GHAT SECTION","17","17","74","74","SUBAERIAL","","","s AG-02-51 [4695]","BASALT [4695]","","","","CENOZOIC [4695]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [4695] ","49.14","2.58","","14.2","","","","14.2","11.1","6","0.19","","0.19","2.18","0.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","486","84","","","","91","175","124","24","","","","","7","219","34","146","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","102306",
"[4695]","CONTINENTAL FLOOD BASALT","DECCAN / SOUTHERN DECCAN / WAI SUBGROUP - AMBENALI FORMATION","AMBA GHAT SECTION","17","17","74","74","SUBAERIAL","","","s AG-03-51 [4695]","BASALT [4695]","","","","CENOZOIC [4695]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [4695] ","49.62","2.5","","14.4","","","","13.13","11.22","6.21","0.19","","0.24","2.27","0.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","467","125","","","","90","193","110","25","","","","","3","224","33","140","9","","","","","","","","","","","","","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","102307",
"[4695]","CONTINENTAL FLOOD BASALT","DECCAN / SOUTHERN DECCAN / WAI SUBGROUP - AMBENALI FORMATION","AMBA GHAT SECTION","17","17","74","74","SUBAERIAL","","","s AG-04-51 [4695]","BASALT [4695]","","","","CENOZOIC [4695]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [4695] ","49.58","2.51","","14.3","","","","13.38","11.48","5.93","0.19","","0.21","2.21","0.21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","468","112","","","","84","151","110","23","","","","","8","229","33","139","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","102308",
"[4695]","CONTINENTAL FLOOD BASALT","DECCAN / SOUTHERN DECCAN / WAI SUBGROUP - AMBENALI FORMATION","AMBA GHAT SECTION","17","17","74","74","SUBAERIAL","","","s AG-05-51 [4695]","BASALT [4695]","","","","CENOZOIC [4695]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [4695] ","49.49","2.63","","14.03","","","","14.06","10.39","6.66","0.16","","0.22","2.11","0.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","453","178","","","","113","220","115","24","","","","","","212","36","156","11","","","","","","","","","","","","","43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","102309",
"[4695]","CONTINENTAL FLOOD BASALT","DECCAN / SOUTHERN DECCAN / WAI SUBGROUP - AMBENALI FORMATION","AMBA GHAT SECTION","17","17","74","74","SUBAERIAL","","","s AG-05-52 [4695]","BASALT [4695]","","","","CENOZOIC [4695]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [4695] ","49.49","2.7","","14","","","","13.97","10.43","6.17","0.21","","0.44","2.33","0.26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","465","178","","","","110","228","118","23","","","","","9","212","37","167","11","","","","","","","","","","","","","67","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","102310",
"[4695]","CONTINENTAL FLOOD BASALT","DECCAN / SOUTHERN DECCAN / WAI SUBGROUP - AMBENALI FORMATION","AMBA GHAT SECTION","17","17","74","74","SUBAERIAL","","","s AG-06-51 [4695]","BASALT [4695]","","","","CENOZOIC [4695]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [4695] ","48.68","2.65","","14.31","","","","14.04","10.63","6.92","0.2","","0.14","2.18","0.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","438","211","","","","126","296","125","25","","","","","","216","36","160","10","","","","","","","","","","","","","34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","102311",
"[4695]","CONTINENTAL FLOOD BASALT","DECCAN / SOUTHERN DECCAN / WAI SUBGROUP - AMBENALI FORMATION","AMBA GHAT SECTION","17","17","74","74","SUBAERIAL","","","s AG-07-51 [4695]","BASALT [4695]","","","","CENOZOIC [4695]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [4695] ","49.22","2.43","","13.83","","","","13.44","10.73","7.37","0.18","","0.41","2.17","0.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","441","398","","","","183","209","121","22","","","","","10","202","34","143","9","","","","","","","","","","","","","77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","102312",
