"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[18327]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","DHARWAR CRATON_ARCHEAN / EASTERN DHARWAR CRATON / GADWAL GREENSTONE BELT","DHARWAR SUPERGROUP","15.5","16.75","77.5","80","SUBAERIAL","","","s GWL-24 [18327]","BASALT [18327]","","","NEO [18327]","ARCHEAN [18327]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [18327] ","51.85","0.92","","13.08","","","","12.78","10.64","6.7","0.16","","0.32","2.01","0.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","","354","151","","","59","159","","","","","","","","12","139","28","48","3","","","","","","","","","","","","0.94","38","4.03","10.8","1.7","8.23","2.65","0.92","3.34","0.63","4.24","0.94","2.48","0.4","2.55","0.4","1.36","","","","","","","","","","","","0.32","0.12","","","","","","","","","","","","","","","","","","","","","","","","","1068149",
"[18327]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","DHARWAR CRATON_ARCHEAN / EASTERN DHARWAR CRATON / GADWAL GREENSTONE BELT","DHARWAR SUPERGROUP","15.5","16.75","77.5","80","SUBAERIAL","","","s OWL-26 [18327]","BASALT [18327]","","","NEO [18327]","ARCHEAN [18327]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [18327] ","52.25","0.89","","13.09","","","","12.82","10.38","6.36","0.15","","0.3","2.2","0.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","","338","137","","","55","138","","","","","","","","12","144","28","56","3.3","","","","","","","","","","","","0.89","36","4.3","10.96","1.69","8.17","2.6","0.97","3.23","0.62","4.13","0.91","2.44","0.4","2.59","0.4","1.58","","","","","","","","","","","","0.38","0.14","","","","","","","","","","","","","","","","","","","","","","","","","1068150",
"[18327]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","DHARWAR CRATON_ARCHEAN / EASTERN DHARWAR CRATON / GADWAL GREENSTONE BELT","DHARWAR SUPERGROUP","15.5","16.75","77.5","80","SUBAERIAL","","","s G-32 [18327]","BASALT [18327]","","","NEO [18327]","ARCHEAN [18327]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [18327] ","51.05","0.9","","14","","","","10.92","11.19","7.56","0.14","","0.09","2.82","0.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","","232","199","","","53","129","","","","","","","","7","226","23","48","2.9","","","","","","","","","","","","1.12","54","4.19","11.11","1.72","8.14","2.63","0.92","3.17","0.59","3.83","0.84","2.31","0.37","2.41","0.38","1.42","","","","","","","","","","","","0.53","0.23","","","","","","","","","","","","","","","","","","","","","","","","","1068151",
"[18327]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","DHARWAR CRATON_ARCHEAN / EASTERN DHARWAR CRATON / GADWAL GREENSTONE BELT","DHARWAR SUPERGROUP","15.5","16.75","77.5","80","SUBAERIAL","","","s GWL-49 [18327]","BASALT [18327]","","","NEO [18327]","ARCHEAN [18327]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [18327] ","52","0.75","","13.12","","","","12.33","10.16","7.69","0.19","","0.54","1.79","0.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46","","288","166","","","52","94","","","","","","","","35","135","19","49","2.2","","","","","","","","","","","","0.7","82","3.19","8.24","1.33","6.3","1.99","0.73","2.43","0.46","3.02","0.67","1.88","0.3","1.99","0.31","1.39","","","","","","","","","","","","0.4","0.12","","","","","","","","","","","","","","","","","","","","","","","","","1068152",
"[18327]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","DHARWAR CRATON_ARCHEAN / EASTERN DHARWAR CRATON / GADWAL GREENSTONE BELT","DHARWAR SUPERGROUP","15.5","16.75","77.5","80","SUBAERIAL","","","s G-58 [18327]","BASALT [18327]","","","NEO [18327]","ARCHEAN [18327]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [18327] ","53.71","0.52","","13.71","","","","7.87","11.38","8.86","0.12","","0.04","2.84","0.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","","101","109","","","44","89","","","","","","","","7","199","31","71","3.7","","","","","","","","","","","","0.31","71","7.32","16.34","2.26","9.86","2.96","0.97","3.68","0.72","4.82","1.1","3.17","0.51","3.41","0.52","2.04","","","","","","","","","","","","1.09","0.34","","","","","","","","","","","","","","","","","","","","","","","","","1068153",
"[18327]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","DHARWAR CRATON_ARCHEAN / EASTERN DHARWAR CRATON / GADWAL GREENSTONE BELT","DHARWAR SUPERGROUP","15.5","16.75","77.5","80","SUBAERIAL","","","s G-57 [18327]","BASALT [18327]","","","NEO [18327]","ARCHEAN [18327]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [18327] ","55.42","0.86","","13.35","","","","10.18","9.51","6.15","0.16","","0.14","2.95","0.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","","101","11","","","40","89","","","","","","","","3","191","35","83","4.3","","","","","","","","","","","","0.13","48","8.16","18.16","2.72","11.63","3.47","1.13","4.38","0.83","5.74","1.29","3.65","0.58","3.92","0.6","2.42","","","","","","","","","","","","1.29","0.34","","","","","","","","","","","","","","","","","","","","","","","","","1068154",
"[19258][20666]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","DHARWAR CRATON_ARCHEAN / EASTERN DHARWAR CRATON / VELIGALLU GREENSTONE BELT","","13.8","14.2","78.4","78.5","SUBAERIAL","","","s TVK-137 [19258]","BASALT [19258]","","","NEO [19258]","ARCHEAN [19258]","","","","FINE-GRAINED [19258] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [19258] ","51.73","0.74","","11.34","","","","10.82","10.47","10.53","0.23","","0.32","2.53","0.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38","","258","327","","","","189","20","76","16","","","","","9","92","19","57","2.5","","","","","","","","","","","","0.24","37","4.51","9.98","1.5","6.42","1.96","0.7","2.44","0.45","3.09","0.67","1.85","0.29","1.93","0.2499","1.2893","0.18","","","","","","","","","5.8","","0.34","0.27","","","","","","","","","","","","","","","","","","0.28258","","","","","","","107389-TVK-137",
"[19258][20666]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","DHARWAR CRATON_ARCHEAN / EASTERN DHARWAR CRATON / VELIGALLU GREENSTONE BELT","","13.8","14.2","78.4","78.5","SUBAERIAL","","","s TVK-155 [19258]","BASALT [19258]","","","NEO [19258]","ARCHEAN [19258]","","","","FINE-GRAINED [19258] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [19258] ","49.42","1.08","","14.61","","","","11","11.05","7.26","0.23","","0.36","3.67","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46","","310","215","","","","147","135","92","18","","","","","8","157","24","48","2.9","","","","","","","","","","","","0.48","152","4.25","11.04","1.66","7.99","2.4","0.88","3.14","0.56","3.7","0.83","2.26","0.34","2.31","0.3222","0.7578","0.17","","","","","","","","","5.3","","0.39","0.16","","","","","","","","","","","","","","","","","","0.284252","","","","","","","107389-TVK-155",
"[19258][20666]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","DHARWAR CRATON_ARCHEAN / EASTERN DHARWAR CRATON / VELIGALLU GREENSTONE BELT","","13.8","14.2","78.4","78.5","SUBAERIAL","","","s TVK-156 [19258]","BASALT [19258]","","","NEO [19258]","ARCHEAN [19258]","","","","FINE-GRAINED [19258] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [19258] ","47.95","0.99","","13.63","","","","13.25","11.25","9.61","0.18","","0.23","1.34","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44","","291","280","","","","148","121","79","17","","","","","5","129","22","50","2.7","","","","","","","","","","","","0.75","42","3.43","9.44","1.48","7.19","2.19","0.85","2.91","0.52","3.5","0.77","2.08","0.32","2.18","0.3076","1.0343","0.17","","","","","","","","","3.3","","0.38","0.11","","","","","","","","","","","","","","","","","","0.283328","","","","","","","107389-TVK-156",
"[19258][20666]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","DHARWAR CRATON_ARCHEAN / EASTERN DHARWAR CRATON / VELIGALLU GREENSTONE BELT","","13.8","14.2","78.4","78.5","SUBAERIAL","","","s TVK46 [19258]","ADAKITE [19258]","","","NEO [19258]","ARCHEAN [19258]","","","","APHANITIC TO MICROCRYSTALLINE [19258] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [19258] ","71.63","0.25","","14.82","","","","2.65","2.57","1.26","0.04","","2.21","4.21","0.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.4","","1.84","60.4","","","","40.5","0.5","16","19","","","","","53","124","7.63","154","6.2","","","","","","","","","","","","1.15","336","22.31","33.42","3.67","13.16","2.3","0.72","1.86","0.26","1.12","0.2","0.59","0.09","0.53","0.0759","3.6624","0.53","","","","","","","","","4.1","","4.05","1.87","","","","","","","","","","","","","","","","","","0.281318","","","","","","","107389-TVK46",
