"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[17971]","INTRAPLATE VOLCANICS","DHARWAR CRATON_PROTEROZOIC / EASTERN DHARWAR CRATON / MAHBUBNAGAR LARGE IGNEOUS PROVINCE / NARAYANPET KIMBERLITE","","16.7675","16.7675","77.4856","77.4856","SUBAERIAL","","","s NK-8C [17971]","KIMBERLITE [17971]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [17971] ","40.78","4.02","","3.07","","","","8.94","12.96","23.16","0.14","","0.98","0.09","0.9","","","","","","","","","","","","","","","1.85","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.29","","197.58","855.23","","","95.84","361.83","41.99","336.53","12.71","","","","","104.14","554.51","19.76","290.66","180.38","","","","","","","","","","","","12.63","1177.23","152.45","290.23","28.07","101.88","16.2","4.35","13.77","1.18","5.23","0.69","1.75","0.17","1.03","0.13","7.43","9.77","","","","","","","","","15.74","","31.66","4.7","","","","","","","","","","","","","","","","","","","","","","","","","1013451",
"[17971]","INTRAPLATE VOLCANICS","DHARWAR CRATON_PROTEROZOIC / EASTERN DHARWAR CRATON / MAHBUBNAGAR LARGE IGNEOUS PROVINCE / NARAYANPET KIMBERLITE","","16.7675","16.7675","77.4856","77.4856","SUBAERIAL","","","s NK-10C [17971]","KIMBERLITE [17971]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [17971] ","42.36","2.99","","3.54","","","","7.15","7.37","27.92","0.13","","3.09","0.06","0.57","","","","","","","","","","","","","","","1.49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.66","","140.11","685.94","","","85.83","385.17","11.3","243.66","12.83","","","","","193.26","317.81","25.46","283.32","159.06","","","","","","","","","","","","4.89","3973.24","205.35","374.4","36.6","131.45","21.36","6.05","17.14","1.5","6.46","0.85","2.22","0.22","1.39","0.18","7.33","2.21","","","","","","","","","24.3","","47.39","5.72","","","","","","","","","","","","","","","","","","","","","","","","","1013452",
"[17971]","INTRAPLATE VOLCANICS","DHARWAR CRATON_PROTEROZOIC / EASTERN DHARWAR CRATON / MAHBUBNAGAR LARGE IGNEOUS PROVINCE / NARAYANPET KIMBERLITE","","16.7675","16.7675","77.4856","77.4856","SUBAERIAL","","","s NK-1A [17971]","KIMBERLITE [17971]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [17971] ","41.21","3.94","","3.39","","","","9.19","9.32","26.5","0.13","","1.3","0.06","0.62","","","","","","","","","","","","","","","0.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.11","","245.74","828.65","","","95.62","398.46","37.39","326.9","12.75","","","","","105.86","193.64","17.18","259.84","137.46","","","","","","","","","","","","3.24","1311.91","117.07","223.14","21.65","78.52","13","3.54","10.79","0.96","4.31","0.58","1.48","0.14","0.94","0.12","6.52","3.82","","","","","","","","","14.46","","25.68","3.89","","","","","","","","","","","","","","","","","","","","","","","","","1013453",
"[17971]","INTRAPLATE VOLCANICS","DHARWAR CRATON_PROTEROZOIC / EASTERN DHARWAR CRATON / MAHBUBNAGAR LARGE IGNEOUS PROVINCE / NARAYANPET KIMBERLITE","","16.7675","16.7675","77.4856","77.4856","SUBAERIAL","","","s MK-5A [17971]","KIMBERLITE [17971]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [17971] ","38.04","3.23","","2.67","","","","8.98","12.16","30.71","0.12","","0.11","0.06","0.61","","","","","","","","","","","","","","","0.62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.31","","154.6","716.8","","","93.82","370.13","29.88","293.06","11.84","","","","","8.68","356.32","19.16","287.1","157.14","","","","","","","","","","","","0.24","151.52","129.25","244.17","23.93","87.71","13.91","3.58","12.14","1.06","4.66","0.63","1.59","0.16","1.03","0.13","7.01","11.57","","","","","","","","","14.75","","25.63","5.76","","","","","","","","","","","","","","","","","","","","","","","","","1013454",
"[17971]","INTRAPLATE VOLCANICS","DHARWAR CRATON_PROTEROZOIC / EASTERN DHARWAR CRATON / MAHBUBNAGAR LARGE IGNEOUS PROVINCE / NARAYANPET KIMBERLITE","","16.7675","16.7675","77.4856","77.4856","SUBAERIAL","","","s KK-1 [17971]","KIMBERLITE [17971]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [17971] ","39.48","2.81","","2.81","","","","8.47","7.9","32.95","0.14","","1.62","0.06","0.5","","","","","","","","","","","","","","","1.73","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.4","","160.65","937.9","","","95.27","439.67","25.09","266.81","10.22","","","","","107.91","281.48","23.84","208.4","147.77","","","","","","","","","","","","1.37","941.11","136.7","264.17","26.63","99.95","17.02","4.56","14.46","1.33","5.98","0.81","2.02","0.2","1.27","0.16","5.17","9.03","","","","","","","","","16.87","","30.98","3.89","","","","","","","","","","","","","","","","","","","","","","","","","1013455",
"[17971]","INTRAPLATE VOLCANICS","DHARWAR CRATON_PROTEROZOIC / EASTERN DHARWAR CRATON / ANANTAPUR DISTRICT / CHIGICHERLA CLUSTER","PIPE 2","14","14","77","77","SUBAERIAL","","","s CC-2 [17971]","KIMBERLITE [17971]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [17971] ","42.32","2.81","","3.12","","","","8.35","9.41","27.49","0.14","","0.58","0.21","0.61","","","","","","","","","","","","","","","1.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.96","","114.93","899.12","","","98.93","598.9","26.97","213.4","8.66","","","","","16.99","304.26","16.1","216.78","120.89","","","","","","","","","","","","2.25","1159.78","106.84","206.32","20.11","72.96","11.83","3.15","9.99","0.86","3.82","0.52","1.379","0.14","0.96","0.12","4.98","7.58","","","","","","","","","20.13","","24.72","2.85","","","","","","","","","","","","","","","","","","","","","","","","","1013456",
"[17971]","INTRAPLATE VOLCANICS","DHARWAR CRATON_PROTEROZOIC / EASTERN DHARWAR CRATON / ANANTAPUR DISTRICT / WAJRAKARUR-LATTAVARAM CLUSTER","CHINTALAMPALLE","15.0467","15.0467","77.4642","77.4642","SUBAERIAL","","","s P-12 [17971]","KIMBERLITE [17971]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [17971] ","44.07","2.15","","3.51","","","","6.96","13.04","22.6","0.13","","1.04","0.17","0.86","","","","","","","","","","","","","","","1.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.74","","99.25","622.38","","","92.15","430.6","24.44","178.49","11.87","","","","","107.95","946.73","29.71","416.67","213.63","","","","","","","","","","","","14.97","2198.2","238","424.56","40.53","144.78","22.29","5.91","19.2","1.65","7.11","0.95","2.5","0.25","1.59","0.2","9.25","8.84","","","","","","","","","24.68","","59.37","44.47","","","","","","","","","","","","","","","","","","","","","","","","","1013459",
"[17971]","INTRAPLATE VOLCANICS","DHARWAR CRATON_PROTEROZOIC / EASTERN DHARWAR CRATON / ANANTAPUR DISTRICT / WAJRAKARUR-LATTAVARAM CLUSTER","","15.05","15.05","77.4","77.4","SUBAERIAL","","","s P-13A [17971]","KIMBERLITE [17971]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [17971] ","41.32","4.56","","2.61","","","","10.95","7.13","25.65","0.15","","2.7","0.1","1.01","","","","","","","","","","","","","","","1.58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.51","","285.72","760.42","","","94.85","384","47.24","338.37","13.84","","","","","174.34","495.58","24.34","501.29","174.77","","","","","","","","","","","","2.72","1390.55","138.95","269.29","26.86","99.93","16.66","4.36","13.95","1.28","5.82","0.8","2","0.21","1.34","0.18","12.35","11.53","","","","","","","","","22.04","","29.34","3.62","","","","","","","","","","","","","","","","","","","","","","","","","1013460",
"[18844]","INTRAPLATE VOLCANICS","DHARWAR CRATON_PROTEROZOIC / EASTERN DHARWAR CRATON / CUDDAPAH BASIN / KUNIGAL MAFIC DIKE SWARM","","13","13","78","78","SUBAERIAL","","","s DC08/4 [18844]","BASALT, SUBALKALINE [18844]","","","PALEO [18844]","PROTEROZOIC [18844]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [18844] ","49.53","1.29","","13.13","","","","15.76","8.91","5.21","0.21","","0.83","2.43","0.18","","","","","","","","","","","","","","","","0.21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","386","80","","","","80","","","19","","","","","49","176","27","96","4","","","","","","","","","","","","","208","12","25.9","3.31","14.1","3.7","1.16","4.4","0.8","5.2","1.1","3.2","0.5","3.4","0.53","2.7","0.2","","","","","","","","","","","2.4","0.7","","","","","","","","","","","","","","","","","","","","","","","","","1020626",
"[18844]","INTRAPLATE VOLCANICS","DHARWAR CRATON_PROTEROZOIC / EASTERN DHARWAR CRATON / CUDDAPAH BASIN / KUNIGAL MAFIC DIKE SWARM","","13","13","78","78","SUBAERIAL","","","s DC08/10 [18844]","BASALT, SUBALKALINE [18844]","","","PALEO [18844]","PROTEROZOIC [18844]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [18844] ","51.14","0.77","","14.41","","","","12.06","10.55","6.83","0.2","","0.44","1.89","0.08","","","","","","","","","","","","","","","","0.62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","271","180","","","","110","","","17","","","","","18","137","15","52","2","","","","","","","","","","","","","73","8.1","16.2","2.08","8.2","2.3","0.76","2.7","0.5","3","0.6","1.8","0.27","1.7","0.27","1.4","0.1","","","","","","","","","","","1.4","0.4","","","","","","","","","","","","","","","","","","","","","","","","","1020627",
