"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[7736]","INTRAPLATE VOLCANICS","DINARIDES / INNER DINARIDES / SERBIA-MONTENEGRO","VELIKI MAJDAN","43.2894","43.2894","19.3167","19.3167","SUBAERIAL","","","s VM01/1 [7736]","MINETTE [7736]","","","","CENOZOIC [7736]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [7736] ","47.98","1.07","","10.82","","","","16.34","1.19","5.35","0.14","","5.54","0.12","0.63","","","","","","","","","","","","","","","","8.67","","","","","","","","","","","","","","36","","","","","","","","","","","","","","12","","80","394","","","6","236","31","302","15","","","","","315","324","21","518","27","","","","","","","","","","","","26.9","1272","70.23","168.63","21.25","90.6","15.73","3.02","9.49","1.21","4.47","0.7","1.79","0.25","1.57","0.22","13.5","","","","","","","","","","1171","","52.2","16.6","","","","","","","","","","","","","","","","","","","","","","","","","306462",
"[7736]","INTRAPLATE VOLCANICS","DINARIDES / INNER DINARIDES / SERBIA-MONTENEGRO","VELIKI MAJDAN","43.2894","43.2894","19.3167","19.3167","SUBAERIAL","","","s VM96VI/1 [7736]","MINETTE [7736]","","","","CENOZOIC [7736]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [7736] ","50.25","1.08","","11","","","","12.83","1.21","8.1","0.09","","5.77","0.04","0.66","","","","","","","","","","","","","","","","7.62","","","","","","","","","","","","","","56","","","","","","","","","","","","","","12","","104","420","","","25","213","11","91","16","","","","","263","300","21","501","36","","","","","","","","","","","","14.5","2159","70.86","175.07","22.33","96.4","16.81","3.33","10.32","1.3","4.68","0.76","1.82","0.24","1.56","0.23","13.6","","","","","","","","","","49","","50.7","16.5","","","","","","","","","","","","","","","","","","","","","","","","","306463",
"[7736]","INTRAPLATE VOLCANICS","DINARIDES / INNER DINARIDES / SERBIA-MONTENEGRO","VELIKI MAJDAN","43.2894","43.2894","19.3167","19.3167","SUBAERIAL","","","s VM V/1 [7736]","MINETTE, LEUCO [7736]","","","","CENOZOIC [7736]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [7736] ","56.81","0.93","","14.05","","","","3.99","4.32","4.87","0.09","","5.74","0.14","0.43","","","","","","","","","","","","","","","","7.38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83","233","","","22","91","9","851","21","","","","","340","274","","451","32","","","","","","","","","","","","","956","45","117","","59","","","","","","","","","","","","","","","","","","","","","39","","37","4","","","","","","","","","","","","","","","","","","","","","","","","","306464",
"[7736]","INTRAPLATE VOLCANICS","DINARIDES / INNER DINARIDES / SERBIA-MONTENEGRO","VELIKI MAJDAN","43.2894","43.2894","19.3167","19.3167","SUBAERIAL","","","s VM V/2 [7736]","MINETTE, LEUCO [7736]","","","","CENOZOIC [7736]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [7736] ","58.86","0.86","","13.72","","","","3.93","3.93","4.59","0.09","","5.46","0.95","0.41","","","","","","","","","","","","","","","","5.86","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77","210","","","20","108","19","116","19","","","","","319","358","","407","28","","","","","","","","","","","","","917","56","131","","64","","","","","","","","","","","","","","","","","","","","","21","","35","4","","","","","","","","","","","","","","","","","","","","","","","","","306465",
"[7736]","INTRAPLATE VOLCANICS","DINARIDES / INNER DINARIDES / SERBIA-MONTENEGRO","VELIKI MAJDAN","43.2894","43.2894","19.3167","19.3167","SUBAERIAL","","","s VM V/3 [7736]","DACITE [7736]","","","","CENOZOIC [7736]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [7736] ","64.66","0.45","","14.74","","","","2.47","3.16","2.09","0.05","","4.31","1.94","0.2","","","","","","","","","","","","","","","","4.39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47","60","","","5","28","15","25","20","","","","","231","411","","179","21","","","","","","","","","","","","","879","31","55","","29","","","","","","","","","","","","","","","","","","","","","42","","20","3","","","","","","","","","","","","","","","","","","","","","","","","","306466",
"[7736]","INTRAPLATE VOLCANICS","DINARIDES / INNER DINARIDES / SERBIA-MONTENEGRO","VELIKI MAJDAN","43.2894","43.2894","19.3167","19.3167","SUBAERIAL","","","s VM V/4 [7736]","MINETTE, LEUCO [7736]","","","","CENOZOIC [7736]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [7736] ","59.1","0.85","","13.61","","","","3.44","4.31","4.19","0.09","","6.02","0.55","0.42","","","","","","","","","","","","","","","","7.23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76","201","","","24","145","14","421","19","","","","","351","294","","418","30","","","","","","","","","","","","","857","30","93","","61","","","","","","","","","","","","","","","","","","","","","18","","30","3","","","","","","","","","","","","","","","","","","","","","","","","","306467",
"[7736]","INTRAPLATE VOLCANICS","DINARIDES / INNER DINARIDES / SERBIA-MONTENEGRO","VELIKI MAJDAN","43.2894","43.2894","19.3167","19.3167","SUBAERIAL","","","s VM VI/1 [7736]","MINETTE, LEUCO [7736]","","","","CENOZOIC [7736]","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [7736] ","54.73","0.99","","12.12","","","","3.23","6.17","5.73","0.13","","7.81","0.21","0.53","","","","","","","","","","","","","","","","7.51","","","","","","","","","","","","","","32","","","","","","","","","","","","","","13","","83","341","","","27","196","17","201","23","","","","","337","590","20","510","34","","","","","","","","","","","","14.4","1257","59.05","149.41","19.78","88.37","15.75","2.96","9.72","1.19","4.31","0.71","1.77","0.23","1.49","0.22","15","","","","","","","","","","46","","44.7","14.5","","","","","","","","","","","","","","","","","","","","","","","","","306468",
"[7736]","INTRAPLATE VOLCANICS","DINARIDES / INNER DINARIDES / SERBIA-MONTENEGRO","VELIKI MAJDAN","43.2894","43.2894","19.3167","19.3167","SUBAERIAL","","","s VM VI/3 [7736]","DACITE [7736]","","","","CENOZOIC [7736]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [7736] ","60.97","0.59","","14.57","","","","2.67","4.14","3.12","0.09","","5.27","1.87","0.29","","","","","","","","","","","","","","","","5.72","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69","108","","","8","56","6","43","19","","","","","243","498","","226","22","","","","","","","","","","","","","1051","39","93","","40","","","","","","","","","","","","","","","","","","","","","22","","27","3","","","","","","","","","","","","","","","","","","","","","","","","","306470",
"[7736]","INTRAPLATE VOLCANICS","DINARIDES / INNER DINARIDES / SERBIA-MONTENEGRO","VELIKI MAJDAN","43.2894","43.2894","19.3167","19.3167","SUBAERIAL","","","s VM VI/4 [7736]","DACITE [7736]","","","","CENOZOIC [7736]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [7736] ","59.39","0.58","","13.97","","","","2.7","5.22","3.4","0.1","","5.28","1.17","0.29","","","","","","","","","","","","","","","","7.19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74","116","","","9","71","6","45","19","","","","","260","382","","241","23","","","","","","","","","","","","","1017","53","94","","44","","","","","","","","","","","","","","","","","","","","","19","","24","4","","","","","","","","","","","","","","","","","","","","","","","","","306471",
"[7736]","INTRAPLATE VOLCANICS","DINARIDES / INNER DINARIDES / SERBIA-MONTENEGRO","VELIKI MAJDAN","43.2894","43.2894","19.3167","19.3167","SUBAERIAL","","","s VM VI/5 [7736]","DACITE [7736]","","","","CENOZOIC [7736]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [7736] ","61.58","0.51","","15.04","","","","2.65","4.07","2.51","0.08","","4.26","2.55","0.25","","","","","","","","","","","","","","","","5.86","","","","","","","","","","","","","","52","","","","","","","","","","","","","","8","","68","59","","","6","30","13","38","18","","","","","191","569","16","182","19","","","","","","","","","","","","14.2","1050","42.43","83.32","9.11","36.45","6.61","1.77","4.98","0.7","2.92","0.51","1.37","0.2","1.18","0.18","2.6","","","","","","","","","","32","","19.6","7","0.51234","","","0.709416","","18.625","","15.663","","38.776","","","","","","","","","","","","","","","306472",
