"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[17232]","INTRAPLATE VOLCANICS","DONGARGARH FOLD BELT / DONGARGARH AREA / KHAIRAGARH GROUP / MANGIKHUTA VOLCANICS","","19.5","21","80","81","SUBAERIAL","","","s DMK1 [17232]","ANDESITE [17232]","2500000000 [17232]","2500000000 [17232]","PALEO [17232]","PROTEROZOIC [17232]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [17232] ","57.84","0.91","","12.83","","","","9.69","6.4","3.85","0.14","","1.93","2.93","0.12","","","","","","","","","","","","","","","","1.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66","","","22","68","","","","","","","","74","175","20","117","","","","","","","","","","","","","","562","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","705965",
"[17232]","INTRAPLATE VOLCANICS","DONGARGARH FOLD BELT / DONGARGARH AREA / KHAIRAGARH GROUP / MANGIKHUTA VOLCANICS","","19.5","21","80","81","SUBAERIAL","","","s DMK1U [17232]","ANDESITE [17232]","2500000000 [17232]","2500000000 [17232]","PALEO [17232]","PROTEROZOIC [17232]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [17232] ","57.63","0.91","","12.89","","","","9.86","6.43","3.83","0.14","","1.94","2.95","0.13","","","","","","","","","","","","","","","","1.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66","","","24","83","","","","","","","","73","176","23","120","","","","","","","","","","","","","","582","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","705966",
"[17232]","INTRAPLATE VOLCANICS","DONGARGARH FOLD BELT / DONGARGARH AREA / KHAIRAGARH GROUP / MANGIKHUTA VOLCANICS","","19.5","21","80","81","SUBAERIAL","","","s DMK2 [17232]","ANDESITE [17232]","2500000000 [17232]","2500000000 [17232]","PALEO [17232]","PROTEROZOIC [17232]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [17232] ","58.24","0.93","","13.25","","","","9.44","6.1","3.27","0.13","","2.03","2.88","0.14","","","","","","","","","","","","","","","","1.63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","","","18","48","","","","","","","","81","192","23","123","","","","","","","","","","","","","","595","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","705967",
"[17232]","INTRAPLATE VOLCANICS","DONGARGARH FOLD BELT / DONGARGARH AREA / KHAIRAGARH GROUP / MANGIKHUTA VOLCANICS","","19.5","21","80","81","SUBAERIAL","","","s DMK2U [17232]","ANDESITE [17232]","2500000000 [17232]","2500000000 [17232]","PALEO [17232]","PROTEROZOIC [17232]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [17232] ","57.82","0.89","","13.52","","","","9.35","5.86","3.21","0.13","","2.12","2.95","0.13","","","","","","","","","","","","","","","","1.63","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","","","26","","","29","58","","76","17.5","","4.9","","","85","187","23","120","","","","","","","","","","","","","0.93","606","24.5","61","","24","6.5","0.98","6.1","0.65","4.4","1.1","","0.48","1.85","0.33","3.4","1.2","","","","","","","","","","","12","6.5","","","","","","","","","","","","","","","","","","","","","","","","","705968",
"[17232]","INTRAPLATE VOLCANICS","DONGARGARH FOLD BELT / DONGARGARH AREA / KHAIRAGARH GROUP / MANGIKHUTA VOLCANICS","","19.5","21","80","81","SUBAERIAL","","","s DMK3 [17232]","ANDESITE [17232]","2500000000 [17232]","2500000000 [17232]","PALEO [17232]","PROTEROZOIC [17232]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [17232] ","57.7","0.87","","12.94","","","","9.51","6.34","3.88","0.14","","1.94","3.09","0.13","","","","","","","","","","","","","","","","1.71","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.4","","","78","","","41","63","","97","19","","6","","","78","241","20","90","","","","","","","","","","","","","1.14","660","26.5","60","","25","5.5","1","4.7","0.8","","1","","0.35","2.3","0.3","3.85","1.4","","","","","","","","","","","14","6.2","","","","","","","","","","","","","","","","","","","","","","","","","705969",
"[17232]","INTRAPLATE VOLCANICS","DONGARGARH FOLD BELT / DONGARGARH AREA / KHAIRAGARH GROUP / MANGIKHUTA VOLCANICS","","19.5","21","80","81","SUBAERIAL","","","s DMK3U [17232]","ANDESITE [17232]","2500000000 [17232]","2500000000 [17232]","PALEO [17232]","PROTEROZOIC [17232]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [17232] ","57.54","0.87","","12.98","","","","9.59","6.39","3.93","0.14","","1.93","3.13","0.12","","","","","","","","","","","","","","","","1.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75","","","23","90","","","","","","","","74","177","22","114","","","","","","","","","","","","","","587","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","705970",
"[17232]","INTRAPLATE VOLCANICS","DONGARGARH FOLD BELT / DONGARGARH AREA / KHAIRAGARH GROUP / MANGIKHUTA VOLCANICS","","19.5","21","80","81","SUBAERIAL","","","s DMK4 [17232]","ANDESITE [17232]","2500000000 [17232]","2500000000 [17232]","PALEO [17232]","PROTEROZOIC [17232]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [17232] ","57.69","0.89","","13.07","","","","9.66","6.25","3.74","0.13","","1.92","3.09","0.12","","","","","","","","","","","","","","","","1.78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61","","","38","77","","","","","","","","71","181","22","116","","","","","","","","","","","","","","574","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","705971",
"[17232]","INTRAPLATE VOLCANICS","DONGARGARH FOLD BELT / DONGARGARH AREA / KHAIRAGARH GROUP / MANGIKHUTA VOLCANICS","","19.5","21","80","81","SUBAERIAL","","","s DMK4U [17232]","ANDESITE [17232]","2500000000 [17232]","2500000000 [17232]","PALEO [17232]","PROTEROZOIC [17232]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [17232] ","57.54","0.88","","13.12","","","","9.73","6.28","3.8","0.13","","1.94","3.1","0.12","","","","","","","","","","","","","","","","1.78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63","","","17","87","","","","","","","","76","184","24","114","","","","","","","","","","","","","","578","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","705972",
"[17232]","INTRAPLATE VOLCANICS","DONGARGARH FOLD BELT / DONGARGARH AREA / KHAIRAGARH GROUP / MANGIKHUTA VOLCANICS","","19.5","21","80","81","SUBAERIAL","","","s DONGARGARH [17232]","ANDESITE [17232]","2500000000 [17232]","2500000000 [17232]","PALEO [17232]","PROTEROZOIC [17232]","","","","","VOLCANIC ROCK","","","","","VOLCANIC GLASS [17232] ","44.82","0.06","","3.85","","","","20.27","17.84","8.04","0.76","","0.01","0.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","705987",
"[17232]","INTRAPLATE VOLCANICS","DONGARGARH FOLD BELT / DONGARGARH AREA / KHAIRAGARH GROUP / MANGIKHUTA VOLCANICS","","19.5","21","80","81","SUBAERIAL","","","s DONGARGARH [17232]","ANDESITE [17232]","2500000000 [17232]","2500000000 [17232]","PALEO [17232]","PROTEROZOIC [17232]","","","","","VOLCANIC ROCK","","","","","VOLCANIC GLASS [17232] ","40.89","0.14","","7.5","","","","22.98","12.54","9.91","0.44","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","705988",
