"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20318]","INTRAPLATE VOLCANICS","EASTERN MEDITERRANEAN BELT - MESOZOIC / TURKEY / EASTERN PONTIDES","GÜMÜSHACIKÖY","40.87","40.87","35.21","35.21","SUBAERIAL","","","s KT-31 [20318]","LEUCITITE [20318]","","","UPPER [20318]","CRETACEOUS [20318]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20318] ","50.06","0.62","","15.38","0.025","","","6.59","6.26","5.88","0.13","","3.61","4.94","0.46","","","","","","","","","","","","","","","","4.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","","172","171.1","","","25.9","31.6","55.2","46","13.6","","","","","65","724.9","16","122.6","9.2","","","","","","","","2","","","","4.5","1847","36.3","63.9","6.8","26.9","4.99","1.41","4.64","0.67","2.97","0.61","1.74","0.27","1.49","0.26","3","0.5","","","","","","","","","7.8","","13.2","4.8","","","","","","","","","","","","","","","","","","","","","","","","","1050757",
"[20318]","INTRAPLATE VOLCANICS","EASTERN MEDITERRANEAN BELT - MESOZOIC / TURKEY / EASTERN PONTIDES","GÜMÜSHACIKÖY","40.87","40.87","35.21","35.21","SUBAERIAL","","","s KT-26A [20318]","LEUCITITE [20318]","","","UPPER [20318]","CRETACEOUS [20318]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20318] ","48.4","0.91","","17.16","0","","","7.2","5.61","3.54","0.15","","1.94","7.38","0.79","","","","","","","","","","","","","","","","5.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","303","","","","23","6.9","146.3","60","16.1","","","","","93.1","1410","25","158.9","12.9","","","","","","","","2","","","","12.6","2800","53.3","96.4","10.5","40","7.76","1.98","7.05","1.03","4.66","1","2.75","0.42","2.49","0.42","4.1","0.7","","","","","","","","","20.1","","17.2","3.2","","","","","","","","","","","","","","","","","","","","","","","","","1050758",
"[20318]","INTRAPLATE VOLCANICS","EASTERN MEDITERRANEAN BELT - MESOZOIC / TURKEY / EASTERN PONTIDES","GÜMÜSHACIKÖY","40.87","40.87","35.21","35.21","SUBAERIAL","","","s KT-28B [20318]","LEUCITITE [20318]","","","UPPER [20318]","CRETACEOUS [20318]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20318] ","48.68","0.64","","14.06","0.026","","","6.62","6.19","4.42","0.1","","2.61","5.46","0.45","","","","","","","","","","","","","","","","9.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","","198","177.905","","","22.9","39.3","56.5","35","14","","","","","95.5","666.1","16.7","121.6","8.9","","","","","","","","2","","","","13.7","1128","35.5","62.3","6.86","26.1","5.01","1.39","4.65","0.7","3.04","0.66","1.69","0.28","1.54","0.26","3","0.5","","","","","","","","","11.2","","13.1","4.9","","","","","","","","","","","","","","","","","","","","","","","","","1050759",
"[20318]","INTRAPLATE VOLCANICS","EASTERN MEDITERRANEAN BELT - MESOZOIC / TURKEY / EASTERN PONTIDES","GÜMÜSHACIKÖY","40.87","40.87","35.21","35.21","SUBAERIAL","","","s KT-27 [20318]","LEUCITITE [20318]","","","UPPER [20318]","CRETACEOUS [20318]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20318] ","49.48","0.67","","15.02","0.027","","","6.98","7.4","5.52","0.14","","2.86","5.37","0.47","","","","","","","","","","","","","","","","4.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","","198","184.7475","","","27.4","30.9","201.1","38","14.2","","","","","85.2","773.3","16.8","121.5","9.5","","","","","","","","2","","","","8.1","1734","37.2","68.7","7.09","28.1","5.18","1.44","4.77","0.69","3.04","0.7","1.71","0.28","1.55","0.28","2.9","0.6","","","","","","","","","9.7","","13.9","3.9","0.51268","","","0.705168","","19.2175619169809","","15.6562937990851","","39.2242049078581","","","","","","","","","","","","","","","1050760",
"[20318]","INTRAPLATE VOLCANICS","EASTERN MEDITERRANEAN BELT - MESOZOIC / TURKEY / EASTERN PONTIDES","GÜMÜSHACIKÖY","40.87","40.87","35.21","35.21","SUBAERIAL","","","s KT-24B [20318]","LEUCITITE [20318]","","","UPPER [20318]","CRETACEOUS [20318]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20318] ","47.85","0.61","","14.93","0","","","6.3","6.54","4.75","0.12","","3.14","5.14","0.45","","","","","","","","","","","","","","","","8.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","","174","","","","24.3","42.1","70.1","45","14","","","","","68.1","1061.2","16.4","119.4","9.4","","","","","","","","2","","","","86.9","1695","35.3","60.9","6.56","25.6","5.05","1.31","4.3","0.65","2.76","0.67","1.54","0.24","1.51","0.27","2.3","0.6","","","","","","","","","3.3","","13","5.6","","","","","","","","","","","","","","","","","","","","","","","","","1050761",
"[20318]","INTRAPLATE VOLCANICS","EASTERN MEDITERRANEAN BELT - MESOZOIC / TURKEY / EASTERN PONTIDES","GÜMÜSHACIKÖY","40.87","40.87","35.21","35.21","SUBAERIAL","","","s GMH-09 [20318]","LEUCITITE [20318]","","","UPPER [20318]","CRETACEOUS [20318]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20318] ","48.2","0.9","","16.81","0","","","7.05","5.99","3.98","0.15","","2.4","6.45","0.78","","","","","","","","","","","","","","","","5.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","308","","","","24.9","7.5","66.7","61","16.8","","","","","106.3","1339.1","25.8","165","12.8","","","","","","","","2","","","","24.5","2425","56.1","101.3","10.67","39.2","7.87","1.98","6.6","1","4.57","1.04","2.58","0.42","2.5","0.38","4.5","0.6","","","","","","","","","13","","16.9","4.9","","","","","","","","","","","","","","","","","","","","","","","","","1050762",
"[20318]","INTRAPLATE VOLCANICS","EASTERN MEDITERRANEAN BELT - MESOZOIC / TURKEY / EASTERN PONTIDES","GÜMÜSHACIKÖY","40.87","40.87","35.21","35.21","SUBAERIAL","","","s GMH-08 [20318]","LEUCITITE [20318]","","","UPPER [20318]","CRETACEOUS [20318]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20318] ","48.25","0.89","","17.05","0","","","7.04","5.72","4.05","0.15","","2.52","6.42","0.78","","","","","","","","","","","","","","","","5.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","","286","13.685","","","23","7.1","73.3","62","15.8","","","","","120.9","1270","26.1","161.2","12.4","","","","","","","","2","","","","23.5","2194","52.1","99.6","10.35","40.2","7.27","2.06","6.73","0.97","4.62","1.02","2.24","0.42","2.19","0.39","3.4","0.7","","","","","","","","","8.9","","17.1","4.3","","","","","","","","","","","","","","","","","","","","","","","","","1050763",
"[20318]","INTRAPLATE VOLCANICS","EASTERN MEDITERRANEAN BELT - MESOZOIC / TURKEY / EASTERN PONTIDES","GÜMÜSHACIKÖY","40.87","40.87","35.21","35.21","SUBAERIAL","","","s KT-25 [20318]","LEUCITITE [20318]","","","UPPER [20318]","CRETACEOUS [20318]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20318] ","48.45","0.92","","17.14","0","","","7.21","5.86","3.76","0.16","","1.88","7.34","0.8","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","289","","","","21.9","7.6","179.1","71","14.9","","","","","84","1472.6","26.8","160.9","13","","","","","","","","2","","","","11.8","2332","51.9","101.7","10.45","41.3","8","2.17","6.96","0.99","5.24","0.89","2.59","0.4","2.42","0.41","3.9","0.7","","","","","","","","","19.9","","17.3","2.9","","","","","","","","","","","","","","","","","","","","","","","","","1050764",
"[20318]","INTRAPLATE VOLCANICS","EASTERN MEDITERRANEAN BELT - MESOZOIC / TURKEY / EASTERN PONTIDES","GÜMÜSHACIKÖY","40.87","40.87","35.21","35.21","SUBAERIAL","","","s KT-29 [20318]","LEUCITITE [20318]","","","UPPER [20318]","CRETACEOUS [20318]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20318] ","50.5","0.72","","15.27","0.028","","","7.55","5.82","5.34","0.15","","2.96","5.54","0.53","","","","","","","","","","","","","","","","4.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","","174","191.6","","","26.2","33.1","108.2","46","14.8","","","","","68.6","882.3","17.5","137.5","10.9","","","","","","","","2","","","","4.3","2107","42.4","73.6","7.64","26.8","5.51","1.46","4.91","0.73","3.58","0.72","1.91","0.3","1.67","0.27","2.7","0.5","","","","","","","","","9.7","","15.2","5.8","0.512697","","","0.705124","","19.1386549424058","","15.5466465208456","","38.866789665417","","","","","","","","","","","","","","","1050765",
"[20318]","INTRAPLATE VOLCANICS","EASTERN MEDITERRANEAN BELT - MESOZOIC / TURKEY / EASTERN PONTIDES","GÜMÜSHACIKÖY","40.87","40.87","35.21","35.21","SUBAERIAL","","","s GMH-14 [20318]","LEUCITITE [20318]","","","UPPER [20318]","CRETACEOUS [20318]","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20318] ","50.6","0.66","","16.06","0.025","","","7.02","6.02","4.56","0.23","","1.89","6.7","0.51","","","","","","","","","","","","","","","","4.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","","175","171.1","","","24.6","36.8","59.3","33","14.1","","","","","93.5","990.3","16.3","119.4","10.5","","","","","","","","2","","","","11.1","1492","39.1","69.8","7.2","27.9","5.36","1.36","4.66","0.67","2.8","0.62","1.8","0.27","1.65","0.25","2.8","0.4","","","","","","","","","16.1","","14.4","2.9","0.512692","","","0.705254","","","","","","","","","","","","","","","","","","","","","1050766",
